Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Slovakia             : parameter = Ground Frost Frequency         : Units = days                
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;30.5;27.1;23.0;12.1;2.5;0.0;0.0;0.0;2.2;6.5;22.2;23.8;37.5;0.0;30.9;72.9;149.8
1902;24.5;24.7;23.6;14.9;9.8;0.6;0.2;0.1;2.8;11.0;25.1;29.7;48.3;0.9;38.9;80.7;166.9
1903;29.0;22.1;18.9;17.3;3.4;0.5;0.0;0.1;1.7;8.5;16.7;26.2;39.5;0.7;26.9;78.3;144.3
1904;28.8;23.3;22.9;11.5;4.9;0.5;0.0;0.0;3.2;8.8;22.1;25.7;39.3;0.5;34.0;79.9;151.6
1905;30.1;24.1;21.1;16.0;3.0;0.0;0.0;0.0;0.8;17.4;17.2;25.8;40.1;0.0;35.3;77.8;155.4
1906;27.9;24.1;23.1;10.3;1.4;0.3;0.0;0.1;2.8;10.2;13.1;28.4;34.8;0.4;26.1;83.5;141.6
1907;29.1;26.1;25.7;17.4;1.1;0.2;0.1;0.1;2.2;2.1;22.1;25.9;44.2;0.4;26.3;79.2;152.0
1908;29.2;24.1;24.0;14.2;0.7;0.0;0.0;0.2;3.7;13.0;25.7;28.0;38.9;0.3;42.4;84.4;162.9
1909;29.5;26.9;24.3;12.2;5.4;0.3;0.0;0.0;0.6;4.6;21.2;24.2;41.8;0.3;26.4;71.7;149.1
1910;26.4;21.2;21.7;12.1;2.3;0.0;0.0;0.0;2.3;9.8;20.5;22.5;36.1;0.1;32.6;75.9;138.8
1911;27.9;25.5;22.1;12.8;2.1;0.4;0.0;0.0;1.2;9.3;14.3;24.0;37.0;0.4;24.7;77.5;139.5
1912;29.8;23.7;16.5;16.3;4.0;0.0;0.0;0.2;6.0;15.3;22.9;24.6;36.8;0.2;44.3;78.3;159.4
1913;28.7;24.9;17.7;10.9;4.1;0.5;0.4;0.2;1.6;8.9;14.0;24.4;32.7;1.1;24.5;79.3;136.2
1914;30.2;24.8;19.6;8.7;3.1;0.3;0.0;0.0;3.2;10.3;21.5;24.1;31.4;0.4;35.1;74.0;145.9
1915;26.2;23.7;25.0;12.0;2.3;0.0;0.0;0.3;4.8;11.5;23.1;21.9;39.3;0.3;39.4;70.8;150.9
1916;24.1;24.8;16.6;11.5;3.0;0.6;0.0;0.0;2.9;10.0;15.1;22.4;31.1;0.7;28.1;78.2;131.2
1917;28.4;27.4;26.0;16.4;2.5;0.0;0.0;0.0;0.6;7.4;16.2;28.1;45.0;0.0;24.2;79.3;153.0
1918;26.9;24.3;22.4;5.0;2.6;1.3;0.0;0.0;0.6;6.7;21.1;24.6;29.9;1.3;28.4;74.9;135.3
1919;25.7;24.6;21.4;13.5;9.4;0.3;0.2;0.1;0.4;11.3;22.6;26.3;44.2;0.6;34.3;75.6;155.7
1920;25.4;23.9;18.1;3.6;0.8;0.8;0.0;0.1;0.9;17.6;25.2;26.0;22.4;0.9;43.7;72.7;142.3
1921;22.4;24.3;19.5;12.0;1.0;0.7;0.0;0.0;2.6;8.3;24.2;27.4;32.5;0.7;35.1;83.6;142.4
1922;29.6;26.5;20.0;13.7;2.4;0.1;0.0;0.0;3.3;14.5;22.9;25.6;36.1;0.1;40.6;75.9;158.7
1923;26.0;24.3;20.6;14.7;1.3;1.9;0.0;0.1;1.1;3.6;15.2;26.9;36.6;2.0;19.9;84.1;135.6
1924;30.1;27.2;25.1;14.1;0.7;0.1;0.0;0.1;0.4;8.7;22.2;27.1;39.9;0.3;31.3;73.1;155.8
