Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Slovenia             : parameter = Ground Frost Frequency         : Units = days                
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;29.9;26.5;20.4;9.3;2.0;0.0;0.0;0.0;0.4;3.9;21.5;22.4;31.7;0.0;25.8;67.7;136.2
1902;22.8;22.4;20.7;9.6;7.6;0.3;0.0;0.0;0.7;6.1;23.5;28.0;37.9;0.3;30.3;77.0;141.7
1903;28.6;20.4;17.1;17.0;2.4;0.3;0.0;0.0;0.6;5.0;14.2;25.0;36.5;0.3;19.8;73.7;130.6
1904;27.7;21.0;19.2;8.3;2.0;0.0;0.0;0.0;1.1;5.2;19.7;24.4;29.4;0.0;26.0;76.3;128.5
1905;29.3;22.6;17.2;13.0;2.5;0.0;0.0;0.0;0.0;13.5;16.3;24.2;32.6;0.0;29.8;73.9;138.6
1906;26.8;22.9;21.2;9.9;1.4;0.1;0.0;0.0;1.4;6.8;12.0;27.3;32.5;0.1;20.2;79.7;130.0
1907;27.8;24.6;24.1;15.4;0.7;0.0;0.0;0.0;0.4;0.8;19.9;23.9;40.3;0.0;21.1;74.9;137.7
1908;28.7;22.2;22.5;12.5;0.1;0.0;0.0;0.0;1.6;9.3;24.3;26.7;35.1;0.0;35.2;81.3;148.0
1909;29.0;25.6;22.8;8.6;3.7;0.1;0.0;0.0;0.2;2.7;19.3;22.4;35.1;0.1;22.3;67.5;134.5
1910;25.2;19.9;18.5;11.2;2.4;0.0;0.0;0.0;0.8;5.3;19.1;19.9;32.1;0.0;25.2;70.8;122.3
1911;27.6;23.3;19.3;11.4;1.6;0.1;0.0;0.0;0.2;6.7;12.4;21.8;32.3;0.1;19.3;70.0;124.4
1912;27.6;20.6;12.7;13.5;1.6;0.0;0.0;0.0;2.4;10.1;22.4;23.9;27.9;0.0;35.0;75.2;135.0
1913;27.4;23.9;14.9;9.3;2.4;0.0;0.1;0.0;0.5;5.1;11.2;23.7;26.6;0.1;16.9;78.0;118.6
1914;29.7;24.6;16.5;7.3;1.9;0.2;0.0;0.0;1.0;6.4;18.5;23.0;25.7;0.2;25.9;70.3;129.1
1915;25.0;22.3;21.5;10.2;0.9;0.0;0.0;0.0;2.3;8.6;22.1;18.5;32.7;0.0;33.0;63.4;131.4
1916;21.8;23.2;12.7;10.6;1.5;0.3;0.0;0.0;1.4;6.4;12.8;20.2;24.9;0.3;20.5;73.5;110.9
1917;26.8;26.5;23.9;14.8;1.1;0.0;0.0;0.0;0.0;5.8;16.3;27.3;39.8;0.0;22.2;76.7;142.6
1918;26.1;23.2;19.8;5.3;1.2;0.6;0.0;0.0;0.1;5.7;19.6;21.9;26.3;0.6;25.3;67.9;123.5
1919;22.5;23.5;17.4;12.5;6.6;0.0;0.0;0.0;0.1;8.7;20.9;24.3;36.4;0.1;29.7;68.0;136.4
