Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Spain                : parameter = Ground Frost Frequency         : Units = days                
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;13.9;16.6;11.1;4.3;2.2;0.1;0.0;0.0;0.2;3.1;9.9;15.7;17.5;0.2;13.2;40.9;77.2
1902;14.9;10.4;8.2;3.6;3.5;0.4;0.0;0.1;0.3;2.9;6.5;11.9;15.3;0.5;9.7;37.0;62.7
1903;14.0;11.1;9.0;5.9;2.2;0.4;0.1;0.0;0.2;1.4;6.5;13.6;17.2;0.5;8.1;38.1;64.6
1904;14.1;10.3;11.7;4.7;1.1;0.2;0.0;0.0;0.4;1.6;8.3;9.4;17.4;0.2;10.4;40.7;61.9
1905;16.3;15.0;7.0;3.7;2.4;0.2;0.0;0.0;0.3;3.8;8.7;13.5;13.1;0.3;12.8;39.8;71.0
1906;12.8;13.5;11.2;7.0;2.3;0.2;0.0;0.0;0.2;1.4;7.4;14.3;20.5;0.3;9.0;45.6;70.4
1907;16.4;15.0;10.7;5.7;2.6;0.2;0.1;0.0;0.2;2.4;6.1;7.9;19.1;0.4;8.7;33.2;67.4
1908;12.7;12.6;12.6;7.7;1.1;0.3;0.0;0.1;0.2;1.3;5.3;10.4;21.4;0.4;6.7;42.2;64.2
1909;16.4;15.4;10.0;4.4;1.8;0.7;0.1;0.1;0.4;1.4;7.0;8.4;16.2;0.9;8.8;31.6;66.1
1910;14.4;8.7;11.2;5.6;2.8;0.2;0.1;0.0;0.3;1.5;6.3;9.6;19.5;0.3;8.1;40.5;60.7
1911;18.6;12.3;10.3;7.7;2.0;0.3;0.0;0.0;0.1;1.8;6.5;8.3;20.0;0.3;8.4;27.5;67.9
1912;12.2;7.0;6.2;5.6;1.1;0.3;0.1;0.1;0.5;2.5;9.4;14.7;12.9;0.4;12.4;36.4;59.7
1913;9.9;11.8;8.7;5.8;1.7;0.2;0.1;0.0;0.3;1.6;4.3;13.0;16.3;0.3;6.3;40.4;57.5
1914;17.9;9.6;7.7;4.1;2.0;0.6;0.1;0.1;0.1;1.9;7.8;10.7;13.8;0.7;9.9;37.1;62.5
1915;14.1;12.3;8.9;7.6;1.2;0.2;0.0;0.0;0.3;3.0;7.2;8.1;17.6;0.3;10.4;32.9;62.9
1916;13.2;11.6;10.9;5.3;1.4;0.4;0.0;0.0;0.3;1.7;6.8;10.0;17.6;0.4;8.8;38.1;61.6
1917;15.6;12.5;12.3;7.8;1.1;0.2;0.0;0.1;0.1;3.5;8.2;17.0;21.3;0.3;11.8;40.5;78.5
1918;11.9;11.7;10.8;7.0;1.5;0.2;0.0;0.0;0.2;3.9;6.9;10.0;19.3;0.3;10.9;33.4;64.0
1919;15.3;8.1;8.9;7.0;1.8;0.2;0.1;0.0;0.1;3.4;10.0;13.2;17.7;0.4;13.5;35.2;68.1
1920;11.7;10.3;9.1;4.1;1.0;0.2;0.1;0.1;0.2;2.0;7.9;12.5;14.2;0.4;10.1;37.2;59.2
1921;13.1;11.7;10.4;6.5;2.0;0.2;0.0;0.0;0.1;0.5;8.1;13.9;18.9;0.3;8.8;39.4;66.6
