Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Sweden               : parameter = Ground Frost Frequency         : Units = days                
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;29.7;27.5;28.9;22.2;13.1;2.1;0.1;1.0;5.3;10.5;26.7;29.4;64.2;3.2;42.4;85.1;196.4
1902;28.4;27.3;28.9;25.6;19.8;7.3;4.3;4.4;11.1;21.2;25.9;29.7;74.4;16.0;58.2;84.1;234.0
1903;29.5;24.8;25.0;23.9;14.4;4.9;2.3;2.9;7.1;21.2;25.3;28.2;63.2;10.2;53.6;84.3;209.6
1904;28.2;27.9;28.9;22.0;17.4;5.4;2.2;3.0;7.3;16.7;25.9;28.6;68.4;10.6;49.9;84.3;213.7
1905;29.6;26.1;27.6;24.9;13.9;1.9;1.0;2.9;8.4;23.2;25.0;27.6;66.4;5.8;56.6;82.2;212.0
1906;28.6;26.0;28.7;21.4;12.7;3.3;0.8;3.3;8.0;16.6;21.8;29.4;62.8;7.4;46.3;85.6;200.5
1907;29.6;26.6;27.6;23.1;18.1;3.9;2.2;5.0;9.2;11.5;23.3;29.4;68.8;11.1;44.0;85.3;209.6
1908;29.1;26.8;29.0;23.2;16.7;5.8;1.5;1.6;8.7;15.0;26.9;28.3;68.9;8.9;50.6;84.3;212.6
1909;28.6;27.3;29.3;25.8;20.9;5.3;1.7;2.7;8.1;12.3;27.4;28.7;76.0;9.7;47.8;82.5;218.2
1910;29.0;24.8;26.7;21.2;12.4;3.8;1.6;3.0;7.3;18.1;25.8;27.7;60.3;8.4;51.1;82.6;201.3
1911;28.7;26.2;27.8;22.8;11.5;5.3;1.5;1.3;6.3;20.5;23.8;26.8;62.1;8.0;50.7;85.1;202.4
1912;30.3;28.0;26.6;24.2;15.9;3.1;0.9;1.8;10.4;20.7;25.4;26.5;66.8;5.8;56.6;81.6;214.0
1913;29.4;25.6;26.8;21.4;13.4;4.2;0.9;2.3;7.5;17.8;20.9;28.7;61.5;7.4;46.3;82.8;199.0
1914;29.5;24.6;28.0;19.8;15.2;3.0;0.2;2.3;6.9;18.4;25.1;26.3;63.0;5.5;50.4;82.4;199.4
1915;29.8;26.3;29.6;23.1;18.0;7.1;0.8;2.5;10.4;21.2;26.6;30.2;70.6;10.4;58.2;85.9;225.5
1916;28.5;27.3;29.1;22.4;16.3;5.3;0.3;3.4;10.7;20.9;21.7;28.2;67.8;8.9;53.3;85.8;213.9
1917;30.4;27.3;30.2;25.9;17.1;1.8;1.9;0.3;7.3;16.5;23.8;29.2;73.1;4.0;47.7;85.8;211.7
1918;30.2;26.3;28.5;21.5;13.8;5.1;0.5;3.4;9.1;13.9;21.8;28.4;63.8;8.9;44.9;84.0;202.5
1919;28.4;27.2;29.1;23.5;11.7;3.1;0.4;3.4;7.4;20.7;27.9;29.7;64.3;6.9;56.1;85.2;212.5
1920;29.5;26.0;24.4;19.3;10.1;3.6;0.6;2.6;5.4;20.9;23.5;28.4;53.8;6.8;49.8;83.3;194.2
1921;28.6;26.3;25.3;18.6;9.7;4.7;2.1;2.2;8.9;18.8;27.4;28.4;53.5;9.0;55.0;85.7;200.9
1922;30.1;27.1;28.6;24.7;13.4;3.7;0.8;2.6;8.1;22.0;26.0;28.0;66.7;7.0;56.1;82.6;215.0
1923;27.6;27.1;27.7;24.8;16.4;8.6;1.1;3.2;7.3;15.7;25.9;29.6;69.0;12.8;48.9;87.9;215.0
1924;29.9;28.4;29.8;25.0;14.7;5.4;0.5;1.0;4.9;12.8;23.0;25.0;69.4;6.9;40.7;75.4;200.4
1925;26.2;24.2;29.0;21.3;11.6;3.0;0.1;1.5;7.4;21.0;27.4;29.9;61.9;4.6;55.8;86.0;202.7
1926;29.4;26.6;27.4;22.0;14.4;3.1;0.8;1.3;7.7;22.6;22.4;29.2;63.9;5.2;52.8;83.3;207.0
1927;28.3;25.9;25.6;22.7;17.9;4.9;0.0;0.8;8.0;19.5;26.9;30.3;66.2;5.8;54.4;86.4;210.8
1928;29.0;27.1;28.8;22.6;15.3;6.9;2.7;2.5;8.4;18.0;23.0;28.3;66.7;12.1;49.4;86.3;212.6
1929;30.1;27.9;27.6;26.2;13.3;5.2;2.1;3.0;6.6;15.4;21.0;23.8;67.1;10.3;43.0;75.5;202.1
1930;25.4;26.3;27.2;19.8;10.0;2.2;0.3;0.6;9.3;15.2;23.6;26.9;57.1;3.0;48.1;82.9;186.9
1931;29.4;26.6;30.2;23.7;10.9;7.1;0.4;2.3;12.4;19.4;20.5;28.3;64.7;9.8;52.3;82.2;211.1
1932;26.8;27.1;29.2;22.3;13.3;5.5;0.5;1.8;8.1;19.8;23.3;25.0;64.8;7.8;51.2;80.1;202.7
1933;28.6;26.5;27.6;23.3;14.1;1.2;0.3;1.9;6.5;15.4;25.3;29.3;65.0;3.4;47.2;80.7;200.0
1934;26.8;24.6;26.2;22.0;10.7;3.6;0.2;0.7;2.5;13.3;22.6;24.1;58.8;4.5;38.4;78.9;177.3
1935;29.2;25.7;28.5;21.3;17.2;3.3;1.0;2.7;7.8;15.5;20.1;27.1;67.0;6.9;43.5;83.2;199.3
1936;28.2;28.0;27.6;22.7;10.9;1.0;0.3;1.1;8.8;20.1;21.7;24.4;61.3;2.3;50.6;79.7;194.7
1937;28.7;26.6;28.5;19.0;8.4;1.8;0.1;0.2;6.2;12.5;23.7;29.5;56.0;2.0;42.4;83.0;185.3
1938;28.6;24.9;24.3;22.0;14.5;3.5;0.2;1.0;5.0;12.5;19.5;27.6;60.9;4.6;37.0;79.7;183.5
1939;28.5;23.6;27.8;22.9;15.6;3.7;0.7;0.6;8.2;22.1;22.7;29.4;66.2;5.0;53.0;89.1;205.7
1940;30.7;29.0;30.2;25.3;11.9;2.5;1.0;2.5;8.3;17.7;23.9;29.3;67.5;5.9;49.8;87.8;212.2
1941;30.9;27.5;29.4;26.1;18.2;4.7;0.0;1.9;8.4;21.0;25.9;29.3;73.8;6.7;55.3;88.2;223.5
1942;31.0;28.0;30.8;24.5;17.0;5.2;1.4;1.6;7.6;16.5;24.4;27.6;72.3;8.2;48.4;81.2;215.5
1943;29.7;23.9;26.2;19.8;12.8;2.4;0.8;2.1;6.4;13.6;23.1;27.3;58.9;5.3;43.2;82.5;188.2
1944;28.5;26.8;28.3;24.7;16.5;5.2;0.9;1.5;6.2;13.3;23.4;25.9;69.5;7.5;42.9;81.1;201.1
1945;29.6;25.6;27.0;20.4;14.2;3.5;0.4;0.7;8.0;18.5;23.9;28.6;61.6;4.6;50.4;84.7;200.4
1946;29.2;26.9;28.9;21.0;13.2;3.2;0.4;1.5;4.3;20.5;23.5;27.0;63.1;5.0;48.2;84.7;199.5
1947;29.7;28.0;30.3;22.8;12.1;1.6;0.3;1.3;4.5;18.5;25.8;28.8;65.2;3.2;48.8;86.5;203.7
1948;29.9;27.8;27.1;19.7;12.4;3.7;0.6;3.0;6.2;19.1;24.2;25.5;59.2;7.2;49.5;77.6;199.2
1949;27.7;24.4;28.7;20.8;11.2;4.1;1.8;3.0;3.0;16.2;20.5;26.7;60.6;8.9;39.7;82.8;188.1
1950;30.0;26.0;27.3;20.1;12.3;2.8;1.1;0.6;5.9;14.5;24.4;28.8;59.8;4.5;44.7;84.1;193.9
1951;29.5;25.8;29.7;22.1;18.0;5.7;2.2;0.5;4.8;14.5;22.2;25.8;69.7;8.5;41.5;81.6;200.8
1952;28.7;27.1;29.7;21.0;15.1;4.5;1.3;3.6;11.4;19.8;26.3;28.9;65.8;9.4;57.5;85.2;217.5
1953;29.3;27.0;26.5;21.3;13.0;0.6;0.7;1.2;8.2;11.5;21.0;25.6;60.8;2.5;40.8;83.0;186.1
1954;29.9;27.5;27.3;24.0;10.2;3.7;0.5;1.5;6.5;17.9;24.6;25.7;61.5;5.7;49.0;82.8;199.3
1955;29.6;27.5;29.8;25.8;17.8;7.1;0.7;1.3;4.2;18.2;24.4;29.5;73.4;9.0;46.8;88.1;215.9
1956;29.7;28.9;29.2;25.8;13.8;3.4;1.1;3.6;8.4;18.4;27.3;27.5;68.8;8.1;54.1;80.8;217.1
1957;27.8;25.5;28.9;23.7;16.0;5.7;0.4;1.9;8.1;16.0;23.2;28.3;68.6;8.0;47.3;85.5;205.6
1958;29.7;27.5;30.3;25.2;15.8;4.7;1.7;1.5;5.7;12.9;20.2;28.7;71.2;7.9;38.8;84.0;203.7
1959;29.7;25.6;25.8;20.9;13.2;3.5;0.9;1.3;8.1;16.7;21.4;27.2;59.9;5.8;46.1;85.2;194.3
1960;29.8;28.2;28.4;23.0;11.4;1.9;0.4;1.2;6.2;19.7;23.1;26.8;62.8;3.4;48.9;80.7;200.0
1961;29.3;24.6;24.9;23.0;12.7;1.8;0.6;2.0;5.7;7.1;22.3;29.5;60.6;4.5;35.1;84.4;183.6
1962;28.6;26.3;30.3;21.8;14.5;5.5;2.3;3.1;8.2;14.9;24.1;29.7;66.6;10.9;47.1;88.3;209.3
1963;30.8;27.8;29.9;22.9;9.1;3.4;1.8;0.9;4.8;14.6;22.8;29.0;61.9;6.2;42.2;85.0;197.9
1964;28.2;27.9;29.3;22.2;11.9;4.3;1.4;2.4;9.0;14.6;23.7;28.3;63.3;8.1;47.3;83.8;203.0
1965;28.6;26.9;29.3;21.8;17.9;3.2;2.6;3.0;4.0;15.7;27.7;29.7;69.0;8.7;47.4;88.0;210.4
