Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Switzerland          : parameter = Ground Frost Frequency         : Units = days                
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;28.4;27.0;24.3;14.7;8.5;2.2;1.1;1.5;1.9;10.1;23.5;24.9;47.4;4.9;35.5;73.1;168.0
1902;24.7;23.6;22.9;11.4;14.9;3.8;1.4;1.5;3.4;10.9;21.4;26.8;49.2;6.7;35.6;75.5;166.7
1903;27.0;21.7;21.5;20.8;8.6;3.7;1.9;1.5;3.1;7.6;18.4;26.3;50.9;7.2;29.1;76.9;162.2
1904;27.2;23.3;22.4;12.3;7.0;2.3;0.6;1.2;5.1;10.0;21.7;24.5;41.7;4.1;36.8;76.9;157.6
1905;28.9;23.5;20.5;16.5;10.0;2.4;0.5;1.3;2.0;17.2;20.6;25.3;46.9;4.2;39.8;76.4;168.5
1906;26.6;24.5;25.1;16.7;7.8;3.9;1.3;1.4;5.5;7.3;16.6;28.1;49.7;6.6;29.3;81.3;164.9
1907;27.7;25.4;25.8;19.1;7.1;3.1;2.8;1.5;3.0;6.3;18.3;23.9;52.0;7.4;27.6;77.2;164.0
1908;28.7;24.6;25.1;19.3;5.1;1.6;1.8;2.5;5.1;12.6;23.1;25.9;49.5;5.9;40.9;80.7;175.6
1909;28.7;26.0;25.5;14.5;11.1;4.3;2.7;1.8;4.0;7.4;22.8;23.9;51.1;8.7;34.2;72.4;172.7
1910;25.9;22.6;23.4;17.1;10.1;2.4;2.6;1.9;5.3;8.3;21.7;21.8;50.6;6.9;35.3;74.2;163.1
1911;28.5;23.8;22.8;17.9;7.3;3.4;0.6;0.5;2.0;9.5;16.2;22.1;47.9;4.4;27.7;68.7;154.5
1912;25.8;20.7;18.1;18.5;7.1;2.7;1.8;3.3;7.5;13.8;23.6;23.5;43.7;7.8;44.8;73.3;166.4
1913;25.5;24.3;19.1;15.4;8.8;3.1;3.4;2.5;3.9;7.4;12.9;24.9;43.3;9.0;24.1;76.1;151.1
1914;29.3;21.9;20.2;12.8;9.4;4.2;2.1;1.4;4.2;11.4;20.4;22.2;42.4;7.6;36.1;72.0;159.5
1915;26.4;23.3;24.1;17.4;4.4;1.6;1.9;2.4;5.9;14.7;23.9;18.8;45.9;6.0;44.5;64.2;164.9
1916;22.0;23.4;21.0;15.4;6.4;5.2;1.9;1.8;5.5;9.8;18.0;23.6;42.9;8.9;33.3;77.6;154.0
1917;28.0;26.0;25.7;21.1;3.9;1.5;1.4;1.6;1.7;13.9;18.8;28.8;50.7;4.5;34.4;78.3;172.4
1918;26.4;23.1;23.5;12.7;5.9;6.0;1.7;1.9;2.6;13.0;20.3;20.7;42.1;9.6;35.8;70.2;157.7
1919;25.2;24.4;22.3;19.5;11.2;2.9;3.7;1.2;1.9;16.8;22.9;24.9;53.0;7.9;41.6;70.7;177.0
1920;23.1;22.8;19.6;12.2;4.0;3.1;1.6;2.4;2.5;10.7;21.9;24.4;35.8;7.1;35.1;69.0;148.3
1921;21.1;23.5;22.3;18.3;5.7;3.4;0.6;1.4;2.5;6.7;24.2;25.6;46.3;5.4;33.3;77.5;155.1
1922;27.6;24.4;21.3;17.6;6.0;2.3;2.4;1.8;5.2;13.4;23.1;24.8;44.9;6.4;41.7;71.4;169.8
1923;26.1;20.4;20.7;16.0;7.6;6.9;0.6;1.3;3.7;5.2;19.6;26.2;44.3;8.8;28.5;80.3;154.3
1924;27.9;26.2;24.1;15.0;5.5;2.9;1.4;3.4;2.6;9.0;18.9;24.6;44.6;7.7;30.5;69.7;161.6
1925;24.3;20.7;26.0;14.6;7.2;2.9;1.6;1.5;5.7;9.3;21.2;26.1;47.7;6.0;36.2;69.1;161.1
1926;26.5;16.5;21.0;13.5;9.8;5.0;1.5;1.8;1.7;8.5;14.2;26.5;44.3;8.4;24.3;76.0;146.5
1927;25.3;24.2;20.9;14.5;7.5;2.7;1.4;1.6;2.6;11.4;17.7;26.2;42.9;5.7;31.7;73.2;156.0
1928;24.2;22.8;22.2;14.8;12.4;3.0;0.4;0.8;3.7;10.6;15.6;26.2;49.4;4.1;30.0;83.6;156.8
1929;29.8;27.6;24.7;20.4;7.3;2.4;1.1;1.4;1.9;8.3;17.9;22.3;52.5;5.0;28.0;70.6;165.1
1930;23.6;24.7;21.4;13.7;8.9;1.2;1.8;1.8;2.4;10.1;15.0;25.2;44.0;4.8;27.5;76.7;149.8
1931;26.6;24.9;27.1;17.9;4.8;1.7;1.8;2.1;9.2;15.4;16.7;27.1;49.7;5.6;41.3;80.1;175.2
1932;25.3;27.6;26.5;17.4;8.9;4.0;1.4;0.6;0.8;10.3;17.3;23.9;52.8;6.0;28.4;76.7;164.0
1933;28.6;24.2;22.6;16.3;9.9;5.4;1.2;1.3;2.9;9.6;20.4;29.1;48.8;7.9;33.0;80.2;171.5
1934;26.4;24.7;22.4;12.3;6.1;3.0;1.0;1.8;2.0;10.1;20.5;18.0;40.7;5.8;32.7;69.0;148.3
1935;28.2;22.9;25.6;15.5;11.4;1.6;1.1;2.0;2.6;8.6;17.2;26.1;52.5;4.8;28.4;72.4;162.8
1936;22.0;24.4;20.6;15.7;7.0;2.9;1.6;1.9;2.7;17.1;18.3;24.1;43.3;6.5;38.1;69.8;158.3
1937;25.3;20.4;22.7;14.6;5.6;2.0;1.3;1.5;3.2;9.0;20.4;26.5;42.8;4.8;32.6;76.5;152.3
1938;25.9;24.2;19.9;21.8;11.6;2.0;1.7;1.3;3.1;9.7;14.1;27.4;53.3;5.0;27.0;74.7;162.7
1939;24.1;23.1;26.1;11.7;10.3;2.6;1.9;1.3;3.3;10.7;15.3;27.0;48.1;5.7;29.3;82.8;157.5
1940;30.3;25.5;23.6;14.7;8.6;3.1;2.1;2.7;2.9;9.5;17.5;29.5;46.9;7.8;29.9;81.7;170.0
1941;28.9;23.3;22.4;17.9;14.6;2.5;1.0;2.1;5.5;11.5;20.6;26.2;54.9;5.7;37.6;83.0;176.5
1942;30.3;26.5;21.4;15.2;8.1;3.0;1.5;1.3;1.3;4.6;21.7;24.4;44.6;5.8;27.6;73.1;159.3
1943;26.4;22.3;20.9;13.1;7.4;3.5;1.5;0.8;2.0;6.4;21.5;24.3;41.4;5.8;29.9;75.1;150.0
1944;24.4;26.4;26.7;12.9;9.3;3.4;1.3;0.3;2.9;10.6;19.5;26.6;48.9;5.0;33.1;76.7;164.5
1945;30.3;19.8;20.0;13.2;5.0;1.9;0.9;1.4;2.2;10.5;20.4;25.0;38.2;4.2;33.2;73.3;150.6
1946;28.0;20.2;20.3;12.1;5.3;2.5;0.8;1.4;2.3;13.2;19.8;27.5;37.6;4.7;35.3;82.4;153.4
1947;29.4;25.5;20.5;11.3;4.3;1.7;0.6;0.6;1.3;12.1;15.9;25.4;36.1;2.8;29.3;71.6;148.5
1948;22.0;24.3;18.8;13.7;5.2;3.5;2.4;1.2;3.3;9.9;18.5;25.5;37.7;7.0;31.7;75.2;148.2
1949;25.7;23.9;26.3;11.1;8.0;3.7;1.1;1.2;0.9;6.6;20.2;22.7;45.4;5.9;27.7;70.5;151.4
1950;27.1;20.7;21.9;16.4;5.1;1.2;0.4;1.0;2.5;10.9;18.1;27.2;43.3;2.5;31.5;73.7;152.4
1951;24.4;22.0;23.9;16.4;8.6;2.8;1.3;1.2;1.9;14.1;15.0;24.5;48.9;5.3;31.0;77.4;156.1
1952;27.2;25.7;21.1;11.5;7.2;2.0;0.4;0.9;6.3;11.4;22.1;25.9;39.8;3.3;39.9;78.6;161.8
1953;28.2;24.6;23.4;14.0;6.6;2.8;1.0;1.7;2.5;6.8;19.6;21.9;44.0;5.5;28.9;76.2;153.1
1954;28.8;25.4;21.7;17.9;10.0;2.2;2.4;2.0;2.3;9.8;18.6;21.8;49.7;6.6;30.7;71.5;163.0
1955;25.8;23.9;25.9;16.8;10.5;2.7;1.0;1.8;3.3;13.1;21.1;21.4;53.1;5.4;37.5;75.4;167.1
1956;25.3;28.7;24.2;18.0;8.0;4.3;1.4;2.2;2.1;11.9;22.0;24.4;50.1;7.9;36.0;71.0;172.4
1957;27.7;18.9;16.7;16.2;13.0;2.2;1.1;2.1;3.5;11.2;16.9;25.3;45.9;5.3;31.6;72.7;154.7
1958;26.6;20.7;27.1;19.7;4.6;3.4;1.1;1.0;1.7;9.5;16.1;23.4;51.4;5.5;27.4;74.3;155.1
1959;27.0;23.9;18.2;14.3;7.4;2.4;0.6;1.4;3.1;13.4;19.8;22.4;40.0;4.4;36.2;72.9;153.9
1960;27.1;23.4;19.5;15.8;7.2;2.2;2.5;1.6;4.5;9.5;15.6;24.9;42.6;6.3;29.6;69.8;153.8
1961;26.2;18.8;20.5;8.2;9.9;2.2;2.3;1.6;0.8;7.1;19.2;25.8;38.6;6.1;27.2;74.8;142.6
1962;25.0;24.0;26.5;14.9;10.6;4.3;1.9;1.0;3.8;10.4;22.3;28.8;52.0;7.2;36.4;86.1;173.5
1963;30.3;26.9;24.2;12.5;8.3;2.5;0.9;1.6;2.0;11.2;12.4;27.9;45.0;5.0;25.6;79.0;160.8
1964;28.0;23.2;23.5;12.4;5.5;1.7;0.9;1.8;2.6;12.3;15.5;25.6;41.5;4.4;30.4;77.1;153.0
1965;25.2;26.2;23.6;16.5;8.4;2.0;1.7;2.1;4.2;10.5;20.5;22.6;48.6;5.8;35.2;66.6;163.6
1966;28.4;15.6;24.0;10.8;6.8;1.7;1.9;1.8;1.8;3.4;22.5;24.6;41.6;5.4;27.7;73.4;143.3
1967;26.3;22.6;19.6;17.6;7.8;3.4;0.5;1.3;2.6;5.5;17.8;26.9;45.1;5.1;25.9;77.2;151.8
1968;27.7;22.6;22.5;13.5;8.4;2.4;1.5;1.6;3.1;5.3;17.1;26.7;44.4;5.5;25.5;77.0;152.5
1969;25.2;25.0;22.3;15.7;5.5;3.8;0.8;1.5;2.1;8.9;18.7;28.9;43.6;6.1;29.7;78.6;158.5
1970;26.1;23.5;25.5;17.6;9.4;1.6;1.5;1.0;2.9;9.8;14.8;26.4;52.5;4.1;27.5;77.8;160.2
1971;27.8;23.6;27.0;13.1;4.7;3.4;1.0;0.7;5.4;11.2;20.9;22.7;44.8;5.0;37.4;69.7;161.4
1972;26.1;20.9;20.6;14.0;7.9;3.3;1.1;1.6;7.8;16.1;18.9;25.2;42.5;6.0;42.8;75.0;163.5
1973;26.2;23.5;24.9;19.5;5.7;1.9;1.1;0.5;2.0;12.0;20.8;26.0;50.1;3.5;34.8;67.1;164.2
