Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Ukraine              : parameter = Ground Frost Frequency         : Units = days                
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;29.5;25.7;21.2;7.3;0.3;0.0;0.0;0.0;0.7;8.1;22.3;22.8;28.9;0.0;31.2;72.7;138.1
1902;25.2;24.6;24.0;13.9;2.0;0.0;0.0;0.0;1.7;12.1;26.3;30.0;39.8;0.0;40.2;80.8;159.9
1903;28.4;22.4;20.5;6.6;0.5;0.0;0.0;0.0;0.7;10.5;17.5;26.9;27.6;0.0;28.7;79.5;134.1
1904;29.6;22.9;25.6;13.0;2.6;0.1;0.0;0.0;1.7;6.9;20.5;25.5;41.3;0.2;29.1;80.8;148.5
1905;30.4;25.0;24.6;11.3;0.2;0.0;0.0;0.0;0.3;7.8;13.0;26.6;36.2;0.0;21.1;79.2;139.2
1906;27.8;24.8;20.7;5.8;0.0;0.0;0.0;0.0;1.7;9.5;14.0;26.1;26.5;0.0;25.2;83.4;130.5
1907;30.2;27.1;25.7;11.0;0.2;0.0;0.0;0.0;1.5;4.6;24.6;28.6;37.0;0.0;30.8;82.3;153.8
1908;29.2;24.5;25.2;10.7;0.9;0.0;0.0;0.0;0.9;13.0;25.8;28.9;36.8;0.0;39.7;86.8;159.1
1909;30.4;27.5;23.8;11.8;2.0;0.0;0.0;0.0;0.0;4.4;17.7;23.6;37.7;0.0;22.1;71.7;141.2
1910;26.4;21.7;23.9;6.2;0.2;0.0;0.0;0.0;0.8;11.4;16.7;23.0;30.2;0.0;28.9;79.9;130.2
1911;29.1;27.8;24.5;9.2;0.2;0.0;0.0;0.0;0.7;7.8;15.6;25.9;33.9;0.0;24.1;83.2;140.9
1912;30.4;26.9;16.7;12.1;2.3;0.0;0.0;0.0;1.3;16.5;19.5;21.7;31.1;0.0;37.3;75.8;147.5
1913;28.1;26.0;18.8;5.1;1.6;0.0;0.0;0.0;0.2;10.1;13.5;22.9;25.6;0.1;23.9;71.4;126.6
1914;28.8;19.7;16.7;7.9;0.5;0.0;0.0;0.0;1.6;10.1;24.4;24.1;25.1;0.0;36.1;71.6;133.8
1915;23.6;24.0;26.1;8.1;1.1;0.0;0.0;0.0;1.0;11.3;18.7;24.2;35.2;0.0;31.1;74.3;138.0
1916;26.2;23.9;20.3;6.5;0.8;0.0;0.0;0.0;1.6;7.3;16.4;24.9;27.6;0.0;25.3;82.1;127.9
1917;29.3;27.8;27.5;8.2;2.8;0.0;0.0;0.0;0.3;6.1;11.4;26.9;38.4;0.0;17.8;77.4;140.3
1918;26.6;24.0;24.9;5.7;2.6;0.1;0.0;0.0;0.1;2.7;20.4;25.5;33.1;0.1;23.2;78.3;132.5
1919;27.3;25.5;25.1;6.2;3.4;0.0;0.0;0.0;0.0;7.1;24.2;26.4;34.7;0.0;31.4;81.6;145.3
1920;27.8;27.4;18.3;2.4;0.1;0.1;0.0;0.0;0.4;20.6;24.3;28.6;20.7;0.1;45.3;82.0;149.8
1921;26.4;27.0;20.4;5.0;0.0;0.0;0.0;0.0;2.2;10.4;24.3;28.6;25.4;0.0;36.9;84.2;144.3
1922;29.6;26.0;20.9;8.5;0.3;0.0;0.0;0.0;1.6;12.5;18.1;25.3;29.7;0.0;32.2;78.1;142.8
1923;26.2;26.6;21.1;12.9;0.1;0.1;0.0;0.0;0.1;3.4;9.9;25.6;34.1;0.2;13.4;84.2;126.1
1924;30.7;27.9;26.4;10.1;0.0;0.0;0.0;0.0;0.0;8.4;20.4;28.2;36.5;0.0;28.8;71.0;152.0
1925;25.4;17.4;20.0;7.4;0.1;0.1;0.0;0.0;0.7;9.6;17.5;26.8;27.5;0.1;27.8;80.4;124.9
1926;28.6;25.0;25.3;7.4;0.2;0.0;0.0;0.0;0.7;9.5;9.1;26.3;33.0;0.0;19.3;82.5;132.1
1927;29.6;26.6;18.7;7.8;1.5;0.0;0.0;0.0;0.1;6.4;20.4;30.3;27.9;0.0;26.9;86.8;141.4
1928;28.4;28.0;28.3;10.6;0.8;0.1;0.0;0.0;0.5;9.4;10.7;26.0;39.8;0.1;20.6;84.0;143.0
1929;30.1;27.9;28.6;19.3;0.0;0.1;0.0;0.0;1.6;2.4;13.6;25.2;48.0;0.1;17.5;77.3;148.9
1930;26.3;25.8;18.7;5.3;0.3;0.0;0.0;0.0;0.7;5.8;13.5;28.1;24.2;0.0;20.0;84.0;124.4
1931;29.0;26.9;25.8;13.7;0.0;0.0;0.0;0.0;1.5;9.4;21.9;27.4;39.5;0.0;32.8;82.3;155.7
1932;26.0;28.9;28.3;8.1;0.0;0.0;0.0;0.0;0.0;3.7;18.6;23.0;36.4;0.0;22.3;78.9;136.6
1933;30.3;25.6;25.1;12.7;1.2;0.0;0.0;0.0;0.8;5.5;19.2;30.4;38.9;0.0;25.6;83.9;150.9
1934;29.0;24.5;20.5;5.7;0.1;0.0;0.0;0.0;0.1;4.4;12.4;27.9;26.2;0.0;17.0;82.8;124.6
1935;30.5;24.4;25.0;7.4;1.4;0.0;0.0;0.0;0.3;2.6;22.5;23.4;33.8;0.0;25.4;73.1;137.6
1936;22.6;27.1;20.3;8.3;0.3;0.0;0.0;0.0;0.9;11.4;15.8;24.3;28.8;0.0;28.1;79.9;131.0
1937;30.4;25.3;19.9;7.0;0.0;0.0;0.0;0.0;0.0;6.5;15.3;23.7;26.9;0.0;21.9;75.9;128.1
1938;27.8;24.4;19.4;9.6;0.9;0.0;0.0;0.0;0.2;3.7;11.3;28.5;30.0;0.0;15.2;76.9;125.9
1939;26.1;22.3;25.0;7.5;0.4;0.0;0.0;0.0;1.1;10.7;16.4;26.8;33.0;0.0;28.1;85.7;136.3
1940;30.8;28.1;27.4;10.9;1.0;0.0;0.0;0.0;0.4;9.8;10.8;28.6;39.2;0.0;21.0;82.0;147.7
1941;30.2;23.2;24.6;8.4;2.0;0.0;0.0;0.0;1.5;12.1;25.4;28.2;35.1;0.0;38.9;86.2;155.6
1942;31.0;27.0;29.5;13.4;0.8;0.0;0.0;0.0;0.6;8.5;23.2;26.9;43.7;0.0;32.3;82.0;160.9
1943;30.3;24.8;24.4;7.2;1.0;0.0;0.0;0.0;0.3;6.8;16.5;25.5;32.7;0.0;23.6;75.0;136.8
1944;26.0;23.5;21.3;11.0;1.0;0.0;0.0;0.0;0.5;5.3;15.0;27.2;33.2;0.0;20.8;83.0;130.8
1945;29.6;26.1;25.1;11.0;1.8;0.0;0.0;0.0;0.6;10.3;21.8;28.3;37.9;0.0;32.8;81.8;154.7
1946;29.2;24.2;22.0;7.9;0.1;0.0;0.0;0.0;0.1;15.5;20.0;28.5;30.0;0.0;35.6;86.0;147.6
1947;30.9;26.7;21.9;6.6;0.5;0.0;0.0;0.0;0.1;14.4;17.3;21.9;29.1;0.0;31.8;71.3;140.3
1948;23.3;26.0;25.3;8.1;0.1;0.0;0.0;0.0;0.8;7.1;21.1;29.2;33.4;0.0;29.0;80.6;141.0
1949;26.3;25.1;25.0;9.8;0.1;0.0;0.0;0.0;0.4;12.8;12.3;22.0;34.9;0.0;25.4;76.8;133.7
1950;31.0;23.9;21.8;2.1;0.2;0.0;0.0;0.0;0.2;7.7;16.3;22.1;24.1;0.0;24.3;75.9;125.4
1951;28.2;25.6;21.6;3.9;0.6;0.0;0.0;0.0;0.1;15.1;16.0;24.0;26.2;0.0;31.2;72.7;135.2
1952;24.4;24.2;29.4;8.6;1.7;0.0;0.0;0.0;0.5;5.4;17.5;25.4;39.7;0.0;23.4;79.5;137.1
1953;27.9;26.2;25.1;8.3;0.7;0.0;0.0;0.0;0.5;7.9;25.3;27.7;34.1;0.0;33.7;86.7;149.8
1954;31.0;28.0;23.9;14.2;0.2;0.0;0.0;0.0;0.1;6.7;15.6;23.7;38.3;0.0;22.4;73.4;143.3
1955;26.7;23.0;25.1;14.0;1.3;0.0;0.0;0.0;0.1;4.2;21.5;26.9;40.3;0.0;25.9;83.3;142.8
1956;27.5;28.9;27.2;9.6;1.0;0.0;0.0;0.0;1.5;6.9;25.2;26.0;37.8;0.0;33.5;73.7;153.7
1957;28.1;19.6;25.5;7.1;0.8;0.0;0.0;0.0;0.5;10.2;17.0;26.4;33.3;0.0;27.6;76.4;135.1
1958;27.5;22.5;25.1;10.3;0.0;0.0;0.0;0.0;1.3;7.2;19.0;23.7;35.5;0.0;27.5;74.3;136.7
1959;25.6;24.9;22.8;7.6;0.5;0.0;0.0;0.0;2.2;14.3;20.8;27.2;30.9;0.0;37.2;80.6;145.8
1960;27.2;26.3;26.3;10.0;0.4;0.0;0.0;0.0;1.6;4.0;12.3;15.3;36.7;0.0;18.0;65.7;123.5
1961;28.0;22.3;17.9;6.2;0.9;0.0;0.0;0.0;0.6;7.3;15.2;26.8;25.1;0.0;23.1;77.3;125.3
1962;25.8;24.7;23.8;5.0;0.5;0.0;0.0;0.0;0.7;6.5;12.4;27.3;29.3;0.0;19.6;83.9;126.7
1963;30.8;25.7;27.7;9.6;0.1;0.0;0.0;0.0;0.1;6.3;13.5;29.3;37.4;0.0;20.0;87.4;143.3
1964;30.3;27.8;26.9;8.0;0.9;0.0;0.0;0.0;0.5;5.6;17.5;22.5;35.8;0.0;23.6;77.8;140.0
1965;28.2;27.1;23.6;13.8;1.5;0.0;0.0;0.0;0.2;11.6;22.4;21.1;38.9;0.0;34.2;69.0;149.5
1966;26.2;21.7;17.2;2.9;0.2;0.0;0.0;0.0;0.9;3.1;15.6;25.6;20.3;0.0;19.5;82.1;113.4
1967;30.3;26.2;20.2;5.8;0.1;0.0;0.0;0.0;0.1;3.0;12.8;27.3;26.1;0.0;15.8;82.5;125.7
1968;29.9;25.4;23.2;6.5;0.2;0.0;0.0;0.0;0.1;7.6;16.3;26.6;29.9;0.0;23.9;83.7;135.7
1969;30.5;26.6;27.1;9.5;0.2;0.0;0.0;0.0;0.9;10.4;11.3;27.9;36.8;0.0;22.6;80.9;144.4
