Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = United_Kingdom       : parameter = Ground Frost Frequency         : Units = days                
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;15.7;18.3;16.4;9.8;4.7;1.1;0.0;0.1;0.3;5.1;11.3;16.6;30.8;1.3;16.7;49.4;99.4
1902;14.3;18.6;11.7;10.2;7.7;1.3;0.7;0.7;1.0;4.0;7.7;13.6;29.6;2.6;12.6;38.7;91.2
1903;15.6;9.6;12.2;12.6;4.6;1.3;0.2;0.6;1.0;3.3;9.8;16.3;29.4;2.2;14.2;47.4;87.3
1904;15.2;15.9;16.1;8.1;4.7;1.0;0.2;0.3;1.1;4.1;10.8;12.9;28.9;1.5;16.1;40.1;90.4
1905;14.1;13.0;12.2;10.8;5.0;0.5;0.0;0.2;1.1;8.9;12.7;9.7;27.9;0.8;22.7;39.5;88.2
1906;12.8;17.0;15.5;12.8;5.1;0.7;0.4;0.1;0.8;3.7;6.5;17.0;33.3;1.2;11.0;49.0;92.2
1907;14.8;17.3;13.7;10.1;5.0;1.5;0.4;0.6;0.8;3.7;10.0;12.9;28.8;2.5;14.5;41.8;90.8
1908;17.5;11.4;16.2;12.8;2.6;0.9;0.1;0.3;0.8;1.3;8.1;13.1;31.6;1.4;10.2;42.9;85.3
1909;14.8;14.9;17.9;9.0;5.8;1.5;0.2;0.2;1.6;3.7;13.4;16.4;32.6;1.9;18.7;46.4;99.3
1910;16.4;13.6;12.7;10.9;4.2;0.6;0.3;0.1;0.9;2.5;15.4;9.6;27.7;0.9;18.8;37.5;87.1
1911;14.5;13.4;13.8;9.7;2.6;0.7;0.1;0.0;1.0;5.1;10.9;10.5;26.1;0.8;17.0;39.3;82.3
1912;15.4;13.4;9.5;8.8;3.6;0.8;0.2;0.9;2.1;7.0;9.5;11.1;21.9;1.9;18.7;38.2;82.3
1913;14.3;12.9;13.6;9.2;3.7;0.8;0.2;0.2;0.6;2.4;6.3;12.3;26.5;1.3;9.3;38.3;76.6
1914;15.5;10.5;13.4;6.8;4.6;0.9;0.1;0.1;0.9;2.9;9.9;15.1;24.8;1.0;13.7;45.5;80.6
1915;15.0;15.3;14.8;9.3;6.1;1.2;0.3;0.1;0.9;4.7;16.1;14.3;30.3;1.5;21.7;39.0;98.1
1916;8.7;16.0;17.1;10.0;4.5;2.1;0.1;0.1;0.5;3.0;7.3;16.2;31.6;2.4;10.9;53.9;85.7
1917;18.7;19.0;17.9;15.2;3.9;0.9;0.1;0.0;0.4;8.7;6.1;18.1;37.1;1.0;15.3;43.6;109.2
1918;16.5;9.1;13.9;10.4;2.7;1.4;0.2;0.0;2.4;4.6;11.0;9.2;27.1;1.6;18.0;41.9;81.4
1919;15.5;17.2;18.3;10.3;2.7;0.9;0.4;0.2;1.3;6.8;17.0;13.2;31.3;1.5;25.0;38.7;103.8
1920;14.3;11.2;11.8;7.9;3.3;0.7;0.3;0.4;0.9;2.9;7.2;14.0;22.9;1.4;11.1;34.1;74.8
1921;8.8;11.3;11.2;9.4;4.4;0.9;0.1;0.3;0.7;1.3;11.0;9.8;24.9;1.4;13.0;39.4;69.1
1922;15.9;13.7;13.7;14.7;3.4;1.2;0.7;0.5;1.6;6.3;9.4;10.7;31.9;2.4;17.4;32.7;91.9
1923;11.0;11.0;10.6;9.9;6.7;1.3;0.0;0.3;1.6;3.9;15.5;15.4;27.2;1.6;21.0;44.2;87.2
1924;13.5;15.3;17.8;12.0;4.1;0.7;0.2;0.1;0.8;3.5;6.8;8.3;33.9;1.0;11.1;33.2;83.1
1925;11.3;13.5;14.5;10.5;3.2;0.7;0.0;0.1;1.8;3.4;14.4;17.7;28.1;0.8;19.6;39.7;91.1
1926;12.9;9.1;11.2;6.1;5.1;0.9;0.0;0.1;0.5;7.5;10.5;13.4;22.3;0.9;18.5;39.3;77.2
1927;13.4;12.4;9.6;9.5;5.7;2.6;0.0;0.1;1.2;3.6;10.5;17.7;24.8;2.7;15.4;43.9;86.4
1928;14.0;12.2;12.8;9.0;4.5;2.0;0.2;0.3;1.7;3.3;7.4;14.4;26.4;2.5;12.3;51.1;81.7
1929;18.8;17.9;10.9;12.2;4.3;1.4;0.1;0.2;0.4;4.5;9.1;11.9;27.4;1.7;14.0;43.1;91.7
