Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Albania              : parameter = Potential Evapotranspiration   : Units = mm/day              
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;0.7;0.9;1.9;2.6;3.5;4.4;5.1;4.3;3.0;1.8;0.8;0.8;2.7;4.6;1.8;1.0;2.5
1902;0.9;1.4;1.7;2.4;3.1;4.2;4.9;4.4;3.0;1.8;0.7;0.4;2.4;4.5;1.8;0.8;2.4
1903;0.9;1.1;2.0;2.3;3.4;4.2;4.9;4.3;3.0;1.9;1.1;0.9;2.6;4.5;2.0;1.0;2.5
1904;0.8;1.4;1.6;2.5;3.5;4.5;5.2;4.4;2.9;1.9;0.7;0.6;2.5;4.7;1.8;0.8;2.5
1905;0.7;1.0;1.7;2.4;3.5;4.3;5.2;4.5;3.1;1.7;1.2;0.8;2.5;4.7;2.0;0.9;2.5
1906;0.9;1.2;1.8;2.5;3.4;4.2;5.0;4.3;2.9;1.8;1.1;0.7;2.6;4.5;1.9;0.8;2.5
1907;0.7;1.0;1.5;2.3;3.7;4.3;5.0;4.4;3.0;2.1;1.0;0.8;2.5;4.6;2.0;0.9;2.5
1908;0.9;1.2;1.7;2.4;3.7;4.5;5.0;4.3;2.9;1.8;0.9;0.7;2.6;4.6;1.9;0.8;2.5
1909;0.7;0.9;1.8;2.5;3.4;4.3;5.0;4.5;3.1;1.8;1.0;0.8;2.6;4.6;1.9;1.0;2.5
1910;0.8;1.3;1.7;2.4;3.3;4.3;4.9;4.4;2.9;1.8;1.0;0.8;2.5;4.5;1.9;0.9;2.5
1911;0.8;1.1;1.7;2.4;3.4;4.3;5.1;4.5;3.0;1.9;1.1;0.7;2.5;4.6;2.0;0.9;2.5
1912;0.7;1.3;1.9;2.3;3.4;4.3;5.0;4.3;2.7;1.7;1.0;0.8;2.5;4.5;1.8;0.9;2.5
1913;0.8;1.1;1.9;2.5;3.3;4.2;4.7;4.2;3.0;1.8;1.1;0.7;2.6;4.3;2.0;0.9;2.4
1914;0.7;1.1;1.8;2.5;3.3;4.2;4.9;4.4;2.8;1.7;1.0;0.8;2.6;4.5;1.8;1.0;2.4
1915;0.9;1.2;1.7;2.5;3.5;4.4;5.0;4.2;2.8;1.7;1.0;0.9;2.5;4.6;1.8;1.0;2.5
1916;0.9;1.2;1.9;2.5;3.5;4.4;5.1;4.3;2.8;1.8;1.1;0.9;2.6;4.6;1.9;0.9;2.5
1917;0.9;1.0;1.7;2.4;3.5;4.4;5.0;4.6;3.1;1.8;1.1;0.7;2.5;4.7;2.0;0.9;2.5
1918;0.9;1.1;1.7;2.5;3.5;4.1;4.9;4.3;3.1;1.8;1.0;0.8;2.6;4.5;2.0;1.0;2.5
1919;0.9;1.2;1.8;2.4;3.2;4.2;4.8;4.4;3.1;1.7;1.0;0.8;2.5;4.5;1.9;0.9;2.5
1920;0.9;1.1;1.9;2.7;3.6;4.2;5.1;4.3;3.0;1.7;0.9;0.8;2.7;4.5;1.8;0.9;2.5
1921;1.0;1.1;1.8;2.4;3.5;4.1;5.2;4.5;3.0;1.8;1.0;0.7;2.6;4.6;1.9;0.9;2.5
1922;0.8;1.1;1.9;2.5;3.4;4.4;5.1;4.5;2.9;1.8;0.9;0.7;2.6;4.7;1.9;0.9;2.5
1923;0.8;1.2;1.8;2.5;3.6;4.1;5.0;4.4;3.1;2.0;1.2;0.8;2.6;4.5;2.1;0.9;2.5
1924;0.7;1.1;1.7;2.6;3.6;4.4;5.0;4.3;3.2;1.8;1.0;0.7;2.6;4.6;2.0;1.0;2.5
1925;0.9;1.3;1.7;2.5;3.4;4.1;5.0;4.4;3.0;1.8;1.1;0.8;2.6;4.5;2.0;1.0;2.5
