Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Greece               : parameter = Potential Evapotranspiration   : Units = mm/day              
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;1.1;1.1;2.2;3.1;4.0;5.3;5.9;5.3;3.7;1.9;0.9;1.2;3.1;5.5;2.2;1.4;3.0
1902;1.2;1.8;2.0;2.8;3.8;5.1;5.6;5.1;3.8;1.9;0.6;0.7;2.9;5.2;2.1;1.0;2.9
1903;1.2;1.2;2.2;2.8;4.1;5.0;5.7;5.1;3.7;2.3;1.4;1.2;3.0;5.3;2.5;1.2;3.0
1904;1.1;1.5;1.7;2.8;4.0;5.2;5.9;5.2;3.6;2.3;1.0;0.9;2.8;5.4;2.3;1.2;2.9
1905;1.1;1.5;2.1;2.9;4.0;5.2;5.9;5.3;3.8;2.1;1.3;1.1;3.0;5.4;2.4;1.2;3.0
1906;1.1;1.5;2.0;3.0;4.0;5.1;5.8;5.2;3.7;2.2;1.4;1.1;3.0;5.4;2.4;1.2;3.0
1907;1.2;1.4;1.7;2.9;4.0;5.1;5.8;5.2;3.8;2.3;1.3;1.1;2.9;5.4;2.5;1.2;3.0
1908;1.1;1.5;2.1;2.9;4.1;5.2;5.8;5.2;3.7;2.3;1.3;1.1;3.0;5.4;2.4;1.2;3.0
1909;1.1;1.4;2.0;2.9;3.9;5.1;5.7;5.3;3.8;2.3;1.2;1.1;3.0;5.4;2.4;1.3;3.0
1910;1.2;1.5;2.2;2.9;4.0;5.2;5.7;5.2;3.7;2.2;1.4;1.1;3.0;5.3;2.4;1.2;3.0
1911;1.2;1.5;2.1;2.9;4.0;5.1;5.9;5.2;3.8;2.3;1.4;1.1;3.0;5.4;2.5;1.3;3.0
1912;1.1;1.5;2.1;2.8;3.9;5.1;5.8;5.1;3.5;2.1;1.3;1.0;3.0;5.3;2.3;1.2;3.0
1913;1.1;1.5;2.2;3.0;3.9;5.1;5.6;5.1;3.8;2.2;1.4;1.2;3.0;5.3;2.5;1.2;3.0
1914;1.0;1.4;2.1;2.9;4.0;5.1;5.8;5.2;3.7;2.2;1.4;1.1;3.0;5.3;2.4;1.2;3.0
1915;1.1;1.5;2.0;2.9;4.0;5.2;5.8;5.1;3.7;2.2;1.3;1.1;3.0;5.4;2.4;1.2;3.0
1916;1.2;1.4;2.2;3.0;4.0;5.3;5.8;5.2;3.7;2.2;1.3;1.0;3.0;5.4;2.4;1.1;3.0
1917;1.1;1.3;2.0;2.9;4.0;5.2;5.8;5.3;3.8;2.2;1.3;1.1;3.0;5.4;2.5;1.2;3.0
1918;1.1;1.3;2.1;2.9;3.9;5.1;5.7;5.2;3.8;2.2;1.3;1.0;3.0;5.3;2.5;1.2;3.0
1919;1.1;1.4;2.1;2.9;3.7;5.1;5.7;5.2;3.8;2.2;1.3;1.1;2.9;5.3;2.4;1.2;3.0
1920;1.2;1.5;2.1;3.0;4.1;5.1;5.9;5.2;3.8;2.2;1.4;1.1;3.1;5.4;2.5;1.3;3.1
1921;1.2;1.5;2.2;2.9;4.0;4.9;5.8;5.2;3.7;2.3;1.3;1.0;3.0;5.3;2.4;1.1;3.0
1922;1.0;1.3;2.3;2.9;4.0;5.1;5.9;5.2;3.7;2.0;1.3;1.1;3.0;5.4;2.4;1.2;3.0
1923;1.1;1.4;2.1;2.9;4.1;5.0;5.8;5.2;3.8;2.3;1.3;1.0;3.0;5.4;2.5;1.2;3.0
1924;1.1;1.4;2.0;2.8;4.1;5.2;5.8;5.1;4.0;2.2;1.3;1.1;3.0;5.4;2.5;1.3;3.0
1925;1.2;1.6;2.1;3.0;4.0;5.1;5.8;5.1;3.7;2.2;1.3;0.9;3.0;5.3;2.4;1.1;3.0
1926;1.1;1.5;2.0;3.0;3.9;5.1;5.7;5.0;3.7;2.2;1.7;1.0;3.0;5.3;2.6;1.2;3.0
1927;1.1;1.4;2.1;2.9;3.9;5.4;5.9;5.3;3.8;2.3;1.3;0.8;3.0;5.5;2.5;1.1;3.0
1928;1.0;1.4;2.0;3.0;3.9;5.2;6.0;5.3;3.8;2.1;1.3;1.1;2.9;5.5;2.4;1.1;3.0
1929;1.0;1.3;1.7;2.8;4.1;5.1;5.8;5.5;3.5;2.2;1.4;1.1;2.9;5.5;2.4;1.2;3.0
1930;1.1;1.4;2.2;3.0;3.8;5.1;5.9;5.3;3.8;2.2;1.4;1.1;3.0;5.4;2.5;1.2;3.0
1931;1.1;1.5;2.1;2.8;4.2;5.3;6.2;5.7;3.8;2.4;1.3;1.0;3.1;5.7;2.5;1.1;3.1
1932;1.0;1.3;2.0;3.1;4.3;5.5;6.3;5.4;4.3;2.8;1.3;1.1;3.1;5.7;2.8;1.2;3.2
1933;1.0;1.5;2.0;2.8;3.7;4.9;5.7;5.3;3.7;2.5;1.5;1.0;2.8;5.3;2.6;1.2;3.0
1934;1.0;1.5;2.4;3.6;4.3;5.5;6.2;5.6;3.9;2.4;1.5;1.1;3.4;5.8;2.6;1.2;3.3
1935;1.0;1.4;2.0;3.1;4.4;5.6;6.1;5.6;4.0;2.5;1.3;1.1;3.2;5.8;2.6;1.3;3.2
1936;1.4;1.5;2.3;3.1;3.8;5.0;6.0;5.1;3.8;2.2;1.4;1.0;3.1;5.4;2.4;1.2;3.0
1937;1.0;1.6;2.4;2.9;4.2;5.6;6.2;5.4;4.1;2.2;1.3;1.1;3.2;5.7;2.6;1.2;3.2
1938;1.0;1.3;2.1;2.7;4.1;5.6;6.1;5.5;3.6;2.5;1.4;1.0;3.0;5.7;2.5;1.3;3.1
1939;1.2;1.5;1.9;3.2;4.2;4.9;6.1;5.2;3.8;2.3;1.3;1.0;3.1;5.4;2.5;1.1;3.1
1940;0.9;1.4;1.9;2.8;3.5;4.8;5.8;5.0;3.8;2.3;1.4;0.8;2.8;5.2;2.5;1.2;2.9
1941;1.1;1.6;2.1;3.0;3.9;5.1;5.7;5.3;3.4;2.2;1.2;1.0;3.0;5.4;2.3;1.1;3.0
1942;0.9;1.3;1.9;2.8;4.3;5.6;5.9;5.1;3.9;2.2;1.3;1.1;3.0;5.5;2.5;1.2;3.0
1943;1.0;1.5;1.9;3.0;3.7;4.9;5.9;5.6;4.0;2.2;1.4;1.1;2.8;5.5;2.5;1.2;3.0
1944;1.1;1.4;1.9;3.0;3.7;5.4;5.8;5.2;3.8;2.2;1.3;0.9;2.9;5.5;2.5;1.1;3.0
1945;1.0;1.3;2.0;3.0;4.7;5.4;6.1;5.6;3.9;2.2;1.3;1.0;3.2;5.7;2.5;1.2;3.1
1946;1.0;1.5;2.0;3.1;4.0;5.4;6.2;5.7;4.1;2.1;1.4;1.0;3.0;5.8;2.5;1.1;3.1
1947;0.8;1.5;2.5;3.5;4.2;5.4;5.9;5.3;3.8;2.2;1.3;1.1;3.4;5.5;2.4;1.3;3.1
1948;1.4;1.4;1.9;3.0;3.8;4.8;5.8;5.4;3.8;2.4;1.3;0.7;2.9;5.3;2.5;1.1;3.0
1949;1.1;1.4;1.7;2.9;4.4;5.1;5.7;5.2;3.6;2.4;1.5;1.1;3.0;5.3;2.5;1.2;3.0
1950;1.0;1.6;2.1;3.3;3.9;5.4;6.4;5.6;4.2;2.3;1.4;1.2;3.1;5.8;2.6;1.4;3.2
1951;1.3;1.6;2.2;3.1;4.2;5.1;5.9;5.5;3.7;1.9;1.4;1.0;3.2;5.5;2.3;1.3;3.1
1952;1.3;1.6;2.1;3.3;3.9;5.1;5.8;5.8;4.1;2.4;1.4;1.2;3.1;5.5;2.7;1.3;3.2
1953;1.2;1.6;1.8;3.0;3.6;4.9;6.0;5.2;3.8;2.2;1.2;0.8;2.8;5.4;2.4;1.0;3.0
1954;0.9;1.2;1.9;2.6;3.7;5.5;6.1;5.5;4.0;2.3;1.3;1.1;2.7;5.7;2.6;1.4;3.0
1955;1.3;1.9;2.1;2.5;4.2;5.3;5.8;4.9;3.6;2.4;1.3;1.2;3.0;5.3;2.4;1.2;3.0
1956;1.2;1.2;1.6;3.1;3.9;5.1;5.9;5.6;3.8;2.4;1.3;1.0;2.9;5.5;2.5;1.2;3.0
1957;1.0;1.7;2.1;2.9;3.4;5.3;5.8;5.5;3.7;2.3;1.3;1.0;2.8;5.5;2.4;1.3;3.0
1958;1.2;1.9;1.9;2.7;4.3;5.0;5.9;5.4;3.5;2.2;1.3;1.2;3.0;5.5;2.3;1.2;3.0
1959;1.2;1.3;2.0;2.9;3.8;4.9;5.7;5.2;3.5;2.1;1.3;1.2;2.9;5.3;2.3;1.3;2.9
1960;1.2;1.5;1.9;2.8;3.8;5.0;5.9;5.5;3.6;2.6;1.6;1.3;2.8;5.4;2.6;1.3;3.1
1961;1.1;1.4;2.3;3.3;3.9;5.1;6.0;5.5;3.9;2.3;1.5;1.1;3.2;5.5;2.6;1.2;3.1
1962;1.2;1.4;2.1;3.0;4.2;5.3;6.1;5.8;3.9;2.1;1.6;1.1;3.1;5.7;2.6;1.2;3.2
1963;1.1;1.5;1.9;2.8;3.6;5.2;5.9;5.7;4.0;2.2;1.5;1.1;2.8;5.6;2.6;1.1;3.0
1964;1.0;1.3;1.9;3.1;3.6;5.1;5.9;5.2;3.6;2.5;1.4;1.1;2.9;5.4;2.5;1.2;3.0
1965;1.2;1.3;2.0;2.6;3.8;5.4;6.0;5.1;4.1;2.2;1.5;1.2;2.8;5.5;2.6;1.4;3.0
1966;1.2;1.9;2.0;3.0;4.0;5.0;6.0;5.5;3.8;2.6;1.6;1.1;3.0;5.5;2.7;1.2;3.1
1967;1.1;1.3;2.1;2.9;3.9;5.1;5.8;5.5;3.8;2.3;1.3;1.2;3.0;5.4;2.5;1.3;3.0
1968;1.1;1.6;2.1;3.4;4.5;5.1;6.0;5.0;3.6;2.1;1.3;1.0;3.3;5.4;2.4;1.1;3.1
1969;0.9;1.6;1.7;2.7;4.3;5.1;5.5;5.4;3.8;2.3;1.5;1.2;2.9;5.3;2.5;1.3;3.0
1970;1.2;1.6;2.1;3.2;3.7;5.2;5.9;5.3;3.8;2.2;1.4;1.0;3.0;5.5;2.5;1.2;3.1
1971;1.4;1.4;1.9;2.8;4.0;5.3;5.4;5.5;3.6;2.1;1.3;0.9;2.9;5.4;2.4;1.1;3.0
1972;1.0;1.3;2.2;2.9;4.0;5.4;5.4;5.0;3.6;1.8;1.3;0.8;3.0;5.3;2.3;1.1;2.9
1973;1.0;1.5;1.8;2.7;4.2;5.0;5.9;5.1;4.0;2.4;1.3;1.2;2.9;5.3;2.6;1.2;3.0
1974;0.9;1.5;2.1;2.7;3.8;5.1;6.1;5.3;3.9;2.4;1.3;0.9;2.9;5.5;2.5;1.1;3.0
1975;1.0;1.3;2.3;3.1;3.8;4.9;5.9;5.0;4.0;2.3;1.3;0.9;3.0;5.3;2.5;1.1;3.0
1976;1.2;1.3;1.9;2.8;3.8;5.1;5.5;4.7;3.7;2.1;1.3;1.0;2.9;5.1;2.3;1.3;2.9
1977;1.1;1.8;2.2;3.0;4.2;5.2;6.0;5.6;3.6;2.2;1.5;0.9;3.1;5.6;2.4;1.2;3.1
1978;1.1;1.6;2.0;2.6;3.8;5.4;6.0;5.2;3.4;2.1;1.2;1.2;2.8;5.5;2.2;1.3;3.0
1979;1.1;1.6;2.3;2.7;3.7;5.3;5.7;5.1;3.9;2.1;1.3;1.0;2.9;5.3;2.4;1.1;3.0
1980;1.0;1.2;1.9;2.7;3.4;5.0;6.0;5.4;3.8;2.3;1.5;1.0;2.7;5.5;2.5;1.1;2.9
1981;0.9;1.4;2.3;3.2;3.8;5.5;5.7;5.3;3.9;2.5;1.2;1.2;3.1;5.5;2.5;1.2;3.1
1982;1.2;1.2;1.9;2.6;3.8;5.4;5.6;5.2;4.0;2.2;1.3;1.0;2.8;5.4;2.5;1.1;2.9
1983;1.0;1.2;2.2;3.2;4.1;4.7;5.6;5.0;3.8;2.2;1.3;1.0;3.2;5.1;2.4;1.2;2.9
1984;1.2;1.4;1.8;2.5;4.1;5.2;5.8;4.9;4.0;2.6;1.3;0.9;2.8;5.3;2.6;1.1;3.0
1985;1.2;1.2;1.8;3.2;4.1;5.3;6.0;5.6;4.0;2.1;1.5;1.1;3.0;5.6;2.5;1.2;3.1
1986;1.2;1.4;2.0;3.5;4.0;5.0;5.9;5.8;4.0;2.2;1.1;0.9;3.2;5.6;2.5;1.2;3.1
1987;1.2;1.5;1.5;2.8;3.6;5.2;6.2;5.4;4.3;2.0;1.3;1.0;2.6;5.6;2.5;1.2;3.0
1988;1.2;1.4;1.9;2.7;4.0;5.0;6.4;5.8;3.9;2.2;1.1;0.9;2.9;5.7;2.4;1.2;3.0
1989;1.0;1.6;2.3;3.5;3.8;4.8;5.7;5.4;3.8;2.0;1.2;0.9;3.2;5.3;2.3;1.2;3.0
1990;1.0;1.6;2.7;2.9;3.8;5.2;6.0;5.3;3.8;2.3;1.5;1.0;3.2;5.5;2.5;1.1;3.1
1991;1.0;1.3;2.1;2.6;3.4;5.3;5.5;5.1;3.8;2.1;1.3;0.7;2.7;5.3;2.4;1.0;2.8
1992;1.0;1.2;1.9;3.0;3.7;4.8;5.5;5.6;3.8;2.6;1.4;0.8;2.8;5.3;2.6;1.0;2.9
1993;1.0;1.2;2.0;3.0;3.7;5.3;6.0;5.5;4.0;2.5;1.2;1.2;2.9;5.6;2.6;1.3;3.1
1994;1.2;1.4;2.4;3.1;4.3;5.4;5.9;5.7;4.5;2.3;1.2;0.9;3.2;5.7;2.7;1.3;3.2
1995;1.1;1.7;2.1;2.9;4.2;5.5;5.8;5.1;3.7;2.2;1.1;1.1;3.1;5.5;2.3;1.2;3.1
1996;1.0;1.4;1.6;2.8;4.1;5.6;6.0;5.3;3.5;1.9;1.4;1.2;2.8;5.7;2.3;1.3;3.0
1997;1.3;1.5;2.0;2.4;4.5;5.2;5.8;4.8;3.6;2.0;1.3;1.0;2.9;5.3;2.3;1.3;3.0
1998;1.2;1.7;1.8;3.3;3.6;5.5;6.2;5.8;3.7;2.4;1.4;1.0;2.9;5.8;2.5;1.2;3.1
1999;1.2;1.5;2.2;3.2;4.3;5.5;6.0;5.6;3.8;2.5;1.4;1.3;3.2;5.7;2.6;1.2;3.2
2000;0.9;1.4;2.2;3.2;4.3;5.6;6.3;5.7;3.8;2.1;1.5;1.1;3.2;5.8;2.5;1.3;3.2
2001;1.2;1.6;2.7;2.9;4.0;5.5;6.2;5.6;4.1;2.5;1.3;0.8;3.2;5.8;2.6;1.2;3.2
2002;1.0;1.9;2.3;2.8;4.3;5.4;5.8;5.2;3.4;2.3;1.4;0.9;3.1;5.5;2.4;1.1;3.1
2003;1.3;1.0;1.9;2.7;4.6;5.7;6.1;5.7;3.8;2.3;1.3;1.0;3.0;5.8;2.5;1.2;3.1
2004;1.0;1.5;2.1;2.9;4.0;5.2;6.0;5.3;4.0;2.5;1.4;1.1;3.0;5.5;2.6;1.2;3.1
2005;1.2;1.3;2.2;3.1;4.0;5.2;5.9;5.4;3.8;2.1;1.2;1.1;3.1;5.5;2.4;1.1;3.0
2006;0.8;1.3;2.1;3.1;4.3;5.3;5.8;5.7;3.7;2.1;1.2;0.9;3.2;5.6;2.4;1.3;3.0
2007;1.4;1.5;2.3;3.3;4.1;5.6;6.5;5.7;3.9;2.3;1.3;0.9;3.2;6.0;2.5;1.1;3.2
2008;1.0;1.5;2.6;3.0;4.3;5.6;6.2;5.8;3.7;2.3;1.5;1.0;3.3;5.9;2.5;1.2;3.2
2009;1.2;1.4;2.0;3.0;4.3;5.4;6.1;5.5;3.6;2.3;1.4;1.2;3.1;5.7;2.4;1.3;3.1
2010;1.2;1.6;2.3;3.3;4.2;5.0;6.0;5.9;3.9;2.0;1.7;1.2;3.3;5.6;2.5;1.3;3.2
2011;1.1;1.5;2.1;2.8;3.8;5.2;6.2;5.7;4.3;2.0;1.1;1.0;2.9;5.7;2.5;1.0;3.1
2012;0.9;1.2;2.3;3.3;4.0;6.0;6.5;5.9;4.2;2.6;1.5;1.0;3.2;6.1;2.8;1.3;3.3
2013;1.2;1.6;2.2;3.4;4.4;5.3;6.1;5.8;4.1;2.2;1.4;0.9;3.3;5.7;2.6;1.3;3.2
2014;1.3;1.8;2.3;3.0;3.9;5.1;5.9;5.6;3.8;2.1;1.3;1.2;3.1;5.5;2.4;1.3;3.1
2015;1.1;1.4;2.0;3.1;4.3;4.9;6.2;5.3;4.0;2.2;1.6;0.9;3.1;5.5;2.6;1.4;3.1
2016;1.2;2.0;2.3;3.7;3.9;5.5;6.2;5.6;3.9;2.3;1.4;0.8;3.3;5.8;2.5;1.1;3.2
2017;0.9;1.6;2.5;3.2;4.0;5.4;6.2;5.8;4.1;2.4;1.3;1.2;3.2;5.8;2.6;1.3;3.2
2018;1.2;1.6;2.5;3.8;4.3;5.1;5.9;5.6;4.1;2.4;1.4;1.0;3.5;5.5;2.6;1.2;3.2
2019;1.1;1.6;2.6;2.9;3.9;5.4;6.0;5.9;4.2;2.6;1.7;1.1;3.1;5.8;2.9;1.4;3.3
2020;1.2;1.8;2.4;3.1;4.2;5.1;6.3;5.8;4.3;2.6;1.4;1.2;3.3;5.7;2.8;1.5;3.3
2021;1.3;1.8;2.2;3.1;4.6;5.3;6.3;6.0;4.1;2.2;1.6;1.2;3.3;5.9;2.7;1.3;3.3
2022;1.1;1.7;1.9;3.4;4.5;5.5;6.3;5.4;4.1;2.6;1.6;1.3;3.2;5.7;2.7;1.5;3.3
2023;1.4;1.7;2.4;2.9;3.6;5.0;6.4;5.8;4.1;2.8;1.8;1.4;3.0;5.8;2.9;1.6;3.3
