Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Hungary              : parameter = Potential Evapotranspiration   : Units = mm/day              
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;0.3;0.3;1.5;2.8;3.8;4.3;4.4;3.4;2.2;1.5;0.3;0.4;2.7;4.1;1.3;0.5;2.1
1902;0.6;0.7;1.3;2.6;2.9;3.9;4.0;3.5;2.4;1.1;0.3;0.0;2.2;3.8;1.3;0.4;1.9
1903;0.4;0.8;1.9;2.1;3.7;4.0;4.1;3.5;2.6;1.4;0.6;0.2;2.6;3.8;1.5;0.5;2.1
1904;0.3;0.9;1.2;2.7;3.6;4.3;4.7;3.8;2.3;1.3;0.4;0.1;2.5;4.3;1.3;0.3;2.1
1905;0.3;0.6;1.5;2.3;3.6;4.3;4.6;3.9;2.5;1.0;0.8;0.4;2.5;4.3;1.5;0.5;2.2
1906;0.4;0.8;1.6;2.9;3.6;3.8;4.2;3.6;2.2;1.3;0.8;0.3;2.7;3.9;1.4;0.4;2.1
1907;0.3;0.5;1.1;2.1;4.0;4.1;4.0;3.7;2.5;1.8;0.5;0.5;2.4;3.9;1.6;0.5;2.1
1908;0.4;0.7;1.4;2.3;3.9;4.4;4.3;3.4;2.3;1.3;0.3;0.2;2.5;4.0;1.3;0.3;2.1
1909;0.3;0.4;1.5;2.7;3.3;3.9;3.9;3.7;2.5;1.5;0.6;0.6;2.5;3.8;1.5;0.7;2.1
1910;0.5;1.0;1.6;2.5;3.4;4.1;3.9;3.5;2.2;1.3;0.6;0.6;2.5;3.8;1.4;0.5;2.1
1911;0.5;0.5;1.5;2.5;3.3;4.0;4.4;3.8;2.5;1.4;0.9;0.5;2.4;4.1;1.6;0.6;2.2
1912;0.3;0.9;1.7;2.2;3.2;4.1;4.2;3.3;1.9;1.1;0.5;0.4;2.4;3.8;1.2;0.5;2.0
1913;0.4;0.6;1.8;2.6;3.2;3.8;3.6;3.2;2.4;1.4;0.6;0.4;2.5;3.5;1.5;0.4;2.0
1914;0.3;0.4;1.5;2.8;3.3;3.8;4.0;3.6;2.2;1.2;0.4;0.5;2.5;3.8;1.3;0.6;2.0
1915;0.6;0.8;1.2;2.5;3.6;4.3;4.2;3.2;2.2;1.2;0.5;0.6;2.5;3.9;1.3;0.6;2.1
1916;0.5;0.7;1.8;2.6;3.5;4.0;4.1;3.4;2.2;1.3;0.8;0.6;2.6;3.8;1.4;0.5;2.1
1917;0.6;0.4;1.2;2.2;3.6;4.5;4.3;3.9;2.7;1.5;0.7;0.4;2.4;4.2;1.6;0.5;2.2
1918;0.6;0.6;1.5;2.8;3.5;3.8;4.0;3.5;2.6;1.4;0.5;0.3;2.6;3.7;1.5;0.5;2.1
1919;0.6;0.7;1.5;2.3;2.8;3.8;3.8;3.6;2.7;1.2;0.6;0.4;2.2;3.7;1.5;0.6;2.0
1920;0.5;0.7;1.7;3.0;3.7;3.7;4.4;3.4;2.3;1.0;0.3;0.4;2.8;3.8;1.2;0.6;2.1
1921;0.6;0.7;1.8;2.5;3.8;3.8;4.5;3.9;2.4;1.4;0.4;0.3;2.7;4.1;1.4;0.4;2.2
1922;0.4;0.5;1.7;2.4;3.5;4.1;4.3;3.7;2.1;1.1;0.4;0.3;2.5;4.0;1.2;0.5;2.0
1923;0.5;0.7;1.5;2.4;3.8;3.4;4.3;3.7;2.5;1.6;0.9;0.5;2.6;3.8;1.7;0.5;2.2
