Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Italy                : parameter = Potential Evapotranspiration   : Units = mm/day              
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;0.8;0.7;1.7;2.8;3.5;4.6;4.9;4.1;2.9;1.8;0.9;0.8;2.7;4.6;1.8;1.1;2.5
1902;1.0;1.4;1.9;2.9;2.9;4.1;5.0;4.2;3.0;1.6;1.1;0.7;2.6;4.4;1.9;1.0;2.5
1903;1.0;1.3;2.1;2.1;3.6;4.1;4.6;4.3;3.0;1.9;1.1;0.7;2.6;4.3;2.0;1.0;2.5
1904;0.9;1.3;1.7;2.7;3.7;4.6;5.4;4.4;2.8;1.7;1.0;0.8;2.7;4.8;1.8;0.9;2.6
1905;0.8;1.2;1.9;2.5;3.3;4.5;5.4;4.4;3.1;1.6;1.2;0.9;2.6;4.8;2.0;1.0;2.6
1906;1.0;1.2;1.9;2.6;3.5;4.4;5.0;4.5;3.0;1.9;1.2;0.7;2.6;4.6;2.0;0.9;2.6
1907;0.8;1.1;1.7;2.4;3.7;4.4;4.8;4.6;3.1;2.0;1.1;0.9;2.6;4.6;2.1;1.0;2.5
1908;0.9;1.2;1.7;2.3;3.8;4.6;5.0;4.2;2.9;1.9;1.0;0.8;2.6;4.6;1.9;0.9;2.5
1909;0.8;1.0;1.8;2.7;3.5;4.1;4.7;4.4;3.0;1.9;1.0;1.0;2.7;4.4;2.0;1.1;2.5
1910;1.0;1.3;1.9;2.5;3.2;4.3;4.7;4.2;2.7;1.9;1.0;1.0;2.5;4.4;1.9;1.0;2.5
1911;0.8;1.2;1.9;2.5;3.3;4.3;5.3;4.7;3.3;1.9;1.3;1.0;2.6;4.8;2.1;1.2;2.6
1912;0.9;1.5;2.1;2.4;3.5;4.3;4.9;4.0;2.8;1.7;0.9;0.9;2.7;4.4;1.8;1.0;2.5
1913;0.9;1.2;2.1;2.5;3.4;4.2;4.5;4.2;3.0;1.9;1.2;0.9;2.7;4.3;2.1;1.0;2.5
1914;0.8;1.4;1.9;2.9;3.3;4.1;4.6;4.3;2.9;1.7;1.1;1.0;2.7;4.4;1.9;1.1;2.5
1915;0.9;1.2;1.8;2.5;3.6;4.5;4.9;4.2;2.9;1.6;1.0;1.1;2.6;4.5;1.8;1.2;2.5
