Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Moldova              : parameter = Potential Evapotranspiration   : Units = mm/day              
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;0.6;0.2;1.6;3.1;4.5;6.0;5.6;4.7;2.7;1.0;0.0;0.2;3.1;5.4;1.3;0.5;2.5
1902;0.7;0.6;1.2;2.5;3.8;5.4;4.6;4.3;2.9;1.1;0.1;0.0;2.5;4.8;1.4;0.3;2.3
1903;0.5;0.4;1.9;3.0;4.5;5.3;5.4;4.3;3.5;1.4;0.8;0.0;3.1;5.0;1.9;0.4;2.6
1904;0.4;0.9;0.3;2.6;3.9;5.4;5.5;4.7;2.7;1.5;0.0;0.0;2.3;5.2;1.4;0.5;2.3
1905;0.6;0.8;1.1;2.4;4.2;5.1;5.5;4.9;3.0;1.6;0.7;0.4;2.5;5.2;1.8;0.5;2.5
1906;0.6;0.6;1.5;2.9;4.5;5.2;5.2;4.4;2.8;1.4;0.6;0.4;3.0;4.9;1.6;0.5;2.5
1907;0.4;0.6;1.2;2.0;4.4;4.8;5.1;4.6;3.1;1.6;0.4;0.1;2.6;4.8;1.7;0.5;2.4
1908;0.6;0.8;1.1;2.2;4.1;4.9;5.1;4.4;2.9;1.5;0.7;0.3;2.5;4.8;1.7;0.4;2.4
1909;0.4;0.7;1.0;2.2;4.0;4.8;4.9;4.5;3.4;1.8;0.8;0.3;2.4;4.8;2.0;0.5;2.4
1910;0.5;0.6;1.5;2.8;4.1;4.9;4.8;4.1;2.8;1.3;0.8;0.3;2.8;4.6;1.7;0.3;2.4
1911;0.2;0.4;0.9;2.5;4.4;4.5;5.0;4.5;2.8;1.5;0.6;0.1;2.6;4.7;1.7;0.3;2.3
1912;0.5;0.5;1.2;2.4;3.5;4.8;4.5;4.2;2.7;1.2;0.7;0.5;2.4;4.5;1.5;0.6;2.2
1913;0.4;0.8;1.6;3.0;3.6;4.4;4.7;4.5;2.9;1.5;0.9;0.6;2.7;4.5;1.8;0.8;2.4
1914;0.7;1.1;1.6;2.8;4.3;4.9;5.1;4.2;2.6;1.3;0.5;0.3;2.9;4.7;1.5;0.5;2.4
1915;0.5;0.6;1.1;2.7;3.9;4.9;5.1;4.0;2.7;1.3;0.8;0.4;2.6;4.7;1.6;0.5;2.3
1916;0.4;0.7;1.2;2.7;3.7;4.7;4.8;4.2;2.8;1.4;0.6;0.2;2.5;4.5;1.6;0.4;2.3
1917;0.3;0.6;1.0;2.6;3.9;5.1;4.7;4.6;3.1;1.6;0.9;0.4;2.5;4.8;1.8;0.5;2.4
1918;0.5;0.7;1.3;2.9;4.0;5.0;4.9;4.4;3.2;1.8;0.7;0.4;2.7;4.7;1.9;0.4;2.5
1919;0.3;0.6;1.1;2.7;3.4;4.3;4.8;4.3;3.4;1.6;0.6;0.4;2.4;4.5;1.9;0.4;2.3
1920;0.3;0.6;1.3;3.2;4.4;4.5;5.7;4.9;3.0;1.2;0.7;0.1;3.0;5.0;1.6;0.3;2.5
