Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Norway               : parameter = Potential Evapotranspiration   : Units = mm/day              
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;0.3;0.1;0.7;1.3;2.2;3.0;3.4;2.0;1.1;0.6;0.2;0.0;1.4;2.8;0.6;0.1;1.2
1902;0.3;0.0;0.4;0.9;1.8;2.6;2.1;1.5;1.0;0.3;0.2;0.0;1.0;2.0;0.5;0.2;0.9
1903;0.2;0.5;0.9;1.2;2.1;2.7;2.4;1.5;1.2;0.3;0.0;0.3;1.4;2.2;0.5;0.3;1.1
1904;0.4;0.1;0.5;1.2;1.9;2.6;2.5;1.6;1.2;0.5;0.2;0.0;1.2;2.2;0.6;0.2;1.1
1905;0.2;0.4;0.7;1.0;2.1;2.9;2.6;1.8;1.1;0.5;0.3;0.3;1.3;2.4;0.6;0.4;1.2
1906;0.4;0.4;0.6;1.3;2.1;2.7;2.6;1.9;1.1;0.6;0.3;0.3;1.3;2.4;0.7;0.3;1.2
1907;0.2;0.4;0.8;1.2;1.8;2.4;2.4;1.7;1.2;0.7;0.3;0.2;1.3;2.2;0.7;0.3;1.1
1908;0.3;0.5;0.6;1.1;1.9;2.6;2.7;2.0;1.1;0.6;0.2;0.4;1.2;2.4;0.6;0.4;1.2
1909;0.4;0.4;0.6;1.1;1.7;2.7;2.6;1.9;1.2;0.8;0.2;0.4;1.1;2.4;0.7;0.4;1.1
1910;0.4;0.5;0.7;1.2;2.1;2.7;2.5;1.9;1.2;0.6;0.3;0.3;1.3;2.3;0.7;0.4;1.2
1911;0.4;0.4;0.8;1.2;2.2;2.5;2.5;2.2;1.2;0.6;0.4;0.3;1.4;2.4;0.7;0.3;1.2
1912;0.2;0.2;0.7;1.3;1.9;2.6;2.9;1.9;1.0;0.4;0.3;0.4;1.3;2.4;0.6;0.3;1.1
1913;0.2;0.4;0.8;1.3;2.0;2.6;2.7;1.9;1.2;0.5;0.3;0.2;1.4;2.4;0.7;0.3;1.2
1914;0.3;0.4;0.7;1.3;2.0;2.7;3.1;1.9;1.2;0.5;0.3;0.4;1.3;2.6;0.6;0.3;1.2
1915;0.2;0.4;0.6;1.2;1.9;2.4;2.5;1.8;1.1;0.5;0.2;0.1;1.2;2.2;0.6;0.3;1.1
1916;0.3;0.4;0.6;1.2;1.8;2.3;2.8;1.7;1.1;0.5;0.3;0.3;1.2;2.3;0.6;0.3;1.1
1917;0.2;0.3;0.5;1.0;2.0;3.0;2.5;2.2;1.1;0.6;0.3;0.2;1.2;2.6;0.7;0.3;1.2
1918;0.2;0.4;0.8;1.2;2.1;2.3;2.5;1.9;1.1;0.6;0.3;0.3;1.4;2.2;0.7;0.3;1.1
