Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Albania              : parameter = Precipitation                  : Units = mm/month            
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;120.1;147.6;122.5;36.0;104.7;132.4;29.3;43.8;73.4;169.3;167.5;194.7;263.2;205.5;410.1;508.0;1341.1
1902;95.9;217.4;126.5;76.9;122.9;38.5;12.8;22.6;112.5;139.8;132.1;134.9;326.3;73.9;384.4;264.1;1232.8
1903;70.3;58.9;107.9;164.8;69.1;71.7;27.2;20.8;21.6;100.6;140.6;212.1;341.9;119.7;262.8;474.7;1065.7
1904;122.8;139.8;93.2;77.8;72.5;83.2;22.1;23.3;85.5;196.1;89.7;116.6;243.5;128.7;371.3;334.0;1122.7
1905;125.4;92.1;102.8;65.9;72.4;58.2;23.3;68.7;63.8;197.7;142.8;60.7;241.2;150.2;404.4;347.9;1074.0
1906;150.9;136.3;83.1;44.9;108.6;160.1;22.7;24.5;65.1;117.8;100.1;230.9;236.6;207.3;283.0;557.6;1245.0
1907;168.6;158.1;59.1;108.6;55.1;70.1;15.2;27.1;25.5;121.7;125.9;168.2;222.8;112.5;273.1;370.9;1103.2
1908;95.3;107.4;79.5;121.3;35.2;20.6;33.3;17.2;40.3;85.0;133.8;197.6;236.0;71.0;259.1;428.6;966.5
1909;126.3;104.7;117.5;48.2;151.2;33.3;63.2;61.3;118.0;81.4;232.2;157.7;316.8;157.8;431.6;406.7;1295.0
1910;124.9;124.1;92.7;127.3;93.9;42.4;42.3;22.3;124.3;92.3;160.7;159.3;313.9;107.0;377.3;316.9;1206.5
1911;97.0;60.6;67.8;103.7;127.2;41.5;41.8;50.5;108.9;89.6;95.8;121.9;298.7;133.8;294.3;312.2;1006.4
1912;126.9;63.5;89.2;108.6;80.4;45.2;45.0;26.3;113.7;88.2;225.4;95.3;278.3;116.4;427.2;331.5;1107.5
