Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Austria              : parameter = Precipitation                  : Units = mm/month            
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;34.3;40.4;81.8;99.0;70.8;132.2;129.6;109.7;113.3;59.1;66.2;76.5;251.5;371.5;238.7;198.9;1012.8
1902;58.8;63.7;84.3;47.0;134.1;132.5;144.5;104.8;73.7;91.2;9.7;92.9;265.4;381.8;174.6;193.2;1037.0
1903;65.4;34.9;42.6;112.8;54.5;103.4;212.2;134.8;102.2;125.2;122.1;65.3;209.9;450.3;349.6;177.6;1175.3
1904;21.3;91.0;62.6;94.2;99.4;119.7;71.6;112.9;145.0;124.6;90.0;78.5;256.2;304.2;359.6;221.0;1110.8
1905;62.6;79.9;81.3;80.0;86.9;82.4;98.1;174.9;66.8;109.9;143.4;27.3;248.2;355.4;320.1;141.8;1093.6
1906;50.1;64.4;87.4;73.8;99.9;151.9;184.8;99.7;150.8;48.1;93.7;92.7;261.1;436.4;292.6;209.9;1197.4
1907;84.5;32.7;70.4;144.2;87.5;101.1;169.0;113.2;63.8;93.2;33.4;86.9;302.1;383.3;190.3;188.3;1079.8
1908;31.1;70.3;39.7;119.2;82.4;99.5;108.3;133.7;77.0;15.0;39.3;41.5;241.3;341.4;131.2;180.6;856.8
1909;40.7;98.4;74.9;55.0;92.6;117.8;155.5;159.6;105.7;70.0;55.3;103.3;222.5;432.8;231.0;299.7;1128.6
1910;115.7;80.7;39.6;105.8;144.2;187.8;170.0;152.5;110.2;49.3;140.0;53.5;289.7;510.3;299.4;136.8;1349.4
1911;30.5;52.8;62.0;70.5;134.7;118.9;55.1;83.4;88.1;93.5;53.9;102.2;267.2;257.4;235.5;218.6;945.6
1912;58.0;58.5;82.5;76.3;153.9;119.4;157.4;138.3;158.1;96.6;68.9;31.4;312.7;415.1;323.7;99.7;1199.2
1913;50.2;18.1;45.2;60.6;87.8;136.2;190.7;129.1;131.7;49.3;157.6;105.3;193.6;456.0;338.6;174.9;1161.9
1914;46.2;23.4;105.6;65.8;145.9;105.8;246.3;76.4;125.9;59.8;43.4;64.6;317.3;428.6;229.1;242.7;1109.2
1915;119.7;58.5;86.1;62.6;59.8;121.7;182.0;138.2;92.2;122.9;77.1;71.1;208.5;441.9;292.2;231.8;1191.9
1916;78.0;82.6;76.5;126.3;76.5;148.2;161.3;116.2;168.7;57.2;94.9;107.1;279.3;425.8;320.8;234.8;1293.7
1917;107.0;20.7;69.8;121.1;34.1;55.7;121.8;112.5;50.4;158.0;66.1;59.2;225.1;290.0;274.6;134.8;976.5
1918;30.6;44.9;35.4;76.6;70.0;167.7;174.2;164.3;108.2;101.9;29.9;146.3;182.0;506.2;240.0;257.0;1150.0
1919;76.7;34.0;63.0;116.9;82.3;147.7;161.9;84.1;73.4;114.7;122.3;92.1;262.1;393.7;310.4;219.0;1169.1
1920;101.4;25.5;35.3;82.0;130.0;124.7;182.3;156.4;117.0;12.4;9.4;90.3;247.3;463.5;138.8;226.6;1066.7
1921;85.5;50.8;13.1;133.0;68.5;128.3;88.2;103.8;57.2;65.8;46.4;43.0;214.5;320.3;169.4;181.9;883.5
1922;89.2;49.7;65.3;105.0;74.0;113.8;118.5;120.6;190.6;127.7;79.7;60.1;244.3;352.9;398.0;225.0;1194.2
1923;89.5;75.4;57.9;113.0;54.8;150.7;84.8;104.9;89.8;105.5;93.8;133.1;225.7;340.4;289.2;228.6;1153.3
1924;37.1;58.4;29.9;99.2;117.4;172.9;126.3;132.2;106.1;39.5;23.9;31.8;246.5;431.3;169.5;128.7;974.6
1925;21.2;75.7;54.3;113.7;94.1;123.7;140.6;185.5;93.4;67.9;115.1;67.2;262.1;449.8;276.4;189.9;1152.3
1926;46.3;76.4;86.1;66.4;139.8;203.9;210.2;99.2;79.5;104.1;65.8;70.4;292.3;513.2;249.4;182.4;1248.2
1927;87.4;24.6;75.9;119.6;84.7;137.2;125.4;129.7;138.2;37.8;89.2;26.3;280.2;392.3;265.2;149.6;1076.1
1928;38.4;84.9;53.6;86.4;141.9;132.8;74.1;144.9;117.6;59.8;88.6;69.0;281.9;351.9;266.0;169.7;1092.1
1929;65.2;35.5;14.2;62.5;102.3;123.7;112.1;115.0;45.1;99.2;74.6;83.9;179.0;350.8;218.9;144.2;933.2
1930;24.4;35.9;59.8;111.3;106.6;69.9;141.8;162.2;115.4;141.7;72.1;66.9;277.7;373.9;329.2;210.5;1107.9
1931;60.3;83.2;46.9;72.4;42.9;126.3;173.2;147.3;125.0;75.5;59.7;56.9;162.2;446.8;260.2;132.0;1069.7
1932;53.6;21.5;49.7;59.1;134.6;79.0;143.3;79.7;45.7;118.3;86.5;14.9;243.4;302.0;250.6;133.7;886.1
1933;47.0;71.8;36.7;81.3;146.0;150.0;141.0;132.4;92.9;138.1;82.1;70.4;263.9;423.4;313.1;152.1;1189.6
1934;43.2;38.5;48.9;48.0;66.7;169.4;105.5;177.0;60.6;72.2;65.8;76.6;163.6;452.0;198.6;262.8;972.5
1935;56.5;129.7;42.6;112.6;125.7;77.8;98.9;85.8;78.2;163.9;64.5;65.2;280.9;262.5;306.7;221.0;1101.4
1936;81.4;74.4;29.2;84.8;157.3;128.4;176.2;88.4;90.8;121.6;47.4;55.5;271.4;393.0;259.7;197.4;1135.3
1937;50.6;91.4;97.7;102.0;50.3;149.7;145.1;176.2;195.9;76.7;63.1;89.7;250.0;471.0;335.7;179.5;1288.3
1938;58.6;31.2;61.0;69.4;114.3;90.2;141.8;197.4;61.4;53.7;57.1;63.5;244.8;429.4;172.1;152.8;999.6
1939;58.5;30.8;81.2;29.4;172.8;135.3;115.7;113.3;107.4;133.2;90.1;79.5;283.3;364.3;330.7;166.3;1147.1
1940;44.8;42.1;79.6;49.4;162.9;112.3;157.1;121.0;118.0;87.3;69.7;36.6;291.9;390.4;275.0;178.9;1080.7
1941;65.2;77.1;82.2;105.2;103.8;94.6;167.7;174.3;69.3;123.7;67.4;61.7;291.3;436.6;260.3;162.9;1192.2
1942;49.5;51.7;36.9;96.9;104.9;111.6;143.2;92.5;68.4;91.2;71.0;26.3;238.8;347.2;230.6;104.5;944.1
1943;38.4;39.8;34.4;98.0;90.0;165.5;153.8;86.2;103.6;12.9;71.9;52.3;222.5;405.4;188.4;184.5;946.8
1944;64.6;67.5;108.9;66.9;119.2;203.3;156.3;69.9;94.3;123.9;139.4;88.6;295.0;429.5;357.5;236.7;1302.8
1945;72.0;76.2;66.4;75.2;85.2;124.9;95.2;122.3;112.7;77.1;58.7;53.7;226.8;342.4;248.6;195.8;1019.7
1946;39.7;102.3;30.9;19.5;74.4;131.7;186.4;123.7;46.2;71.2;67.0;82.2;124.9;441.8;184.4;207.6;975.2
1947;43.3;82.1;68.1;46.8;53.0;114.6;136.8;51.0;26.0;25.0;144.8;133.2;167.9;302.3;195.8;359.4;924.7
1948;114.5;111.6;63.6;65.9;61.1;193.5;206.9;138.7;40.9;76.3;29.0;31.8;190.7;539.0;146.2;120.4;1133.8
1949;70.0;18.5;35.6;74.9;146.2;113.2;113.5;185.5;56.5;36.7;129.2;83.6;256.6;412.2;222.4;226.7;1063.4
1950;81.5;61.6;25.9;107.0;50.4;55.7;150.5;93.6;140.8;90.7;136.1;79.2;183.2;299.9;367.6;252.8;1073.0
