Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Belarus              : parameter = Precipitation                  : Units = mm/month            
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;26.9;35.1;46.1;56.3;34.5;100.7;59.3;66.1;41.0;30.5;57.1;60.9;136.9;226.1;128.6;149.3;614.5
1902;57.3;31.1;46.0;48.9;79.8;86.6;107.3;96.0;41.7;47.0;11.1;26.3;174.7;289.9;99.8;111.3;679.2
1903;39.0;46.0;25.9;58.1;75.3;124.2;136.5;79.8;21.9;67.4;49.2;20.4;159.3;340.5;138.6;89.2;743.7
1904;20.6;48.3;15.3;28.1;49.9;61.4;52.6;88.5;41.5;49.3;59.2;70.4;93.4;202.5;150.0;132.4;585.1
1905;42.4;19.6;26.4;59.1;73.6;46.9;94.7;57.2;76.3;84.1;72.3;36.9;159.1;198.8;232.7;111.9;689.5
1906;44.8;30.2;57.2;45.8;68.3;90.3;117.5;77.0;63.0;45.9;67.6;72.9;171.4;284.8;176.5;139.0;780.6
1907;40.0;26.1;24.3;48.9;41.6;76.7;118.4;71.7;21.2;16.2;32.3;74.0;114.8;266.8;69.7;193.0;591.3
1908;56.0;63.1;35.9;50.1;69.1;77.5;58.0;123.7;67.9;30.0;26.7;24.1;155.1;259.1;124.6;84.6;681.9
1909;29.3;31.2;41.2;46.3;52.9;82.7;109.7;30.5;49.4;38.1;66.9;41.4;140.4;223.0;154.4;141.1;619.7
1910;67.8;32.0;27.3;45.3;44.5;51.7;98.7;129.5;49.0;18.2;84.5;47.7;117.1;280.0;151.7;138.5;696.3
1911;44.2;46.6;21.1;37.6;36.1;79.8;62.2;61.4;41.8;46.1;33.0;23.3;94.8;203.4;120.9;114.2;533.1
1912;47.3;43.7;70.9;57.3;70.6;71.1;64.6;78.5;107.0;57.6;35.4;66.6;198.8;214.3;200.0;118.0;770.6
1913;21.9;29.6;27.7;63.6;44.8;72.6;138.2;66.9;39.1;27.5;58.9;77.5;136.2;277.7;125.6;151.3;668.5
1914;50.5;23.3;66.6;34.5;42.6;47.3;83.0;40.2;71.9;58.1;26.5;25.9;143.8;170.5;156.6;145.3;570.6
1915;83.2;36.1;59.8;36.2;47.1;36.2;79.2;78.0;63.6;13.3;64.6;86.9;143.0;193.4;141.5;196.4;684.1
1916;65.2;44.2;37.2;43.1;42.5;104.9;107.8;90.9;59.7;78.5;50.2;60.3;122.9;303.6;188.5;136.1;784.7
1917;38.9;36.9;40.5;66.4;23.0;50.5;126.1;84.1;64.6;58.6;64.3;36.0;129.9;260.7;187.5;128.0;689.8
1918;61.0;31.1;17.6;18.2;23.6;78.8;118.4;74.4;60.7;32.5;36.7;46.0;59.3;271.6;130.0;111.4;599.0
1919;28.5;36.9;38.9;33.2;37.1;107.2;88.0;79.2;44.6;38.8;45.5;47.6;109.3;274.4;128.9;117.3;625.5
1920;43.0;26.7;27.1;31.1;51.3;70.4;59.9;60.3;47.9;26.0;24.6;28.0;109.6;190.6;98.6;108.1;496.5
1921;65.4;14.7;22.7;38.9;51.7;95.3;76.0;48.8;48.3;43.1;41.3;47.6;113.2;220.1;132.7;153.1;593.8
1922;50.4;55.1;59.7;46.6;65.7;79.3;92.7;89.6;62.8;58.1;46.9;53.6;172.0;261.5;167.8;116.6;760.5
1923;39.5;23.5;21.3;35.0;68.4;74.3;72.4;102.3;63.3;75.4;89.5;39.0;124.7;249.1;228.2;118.5;704.0
1924;27.2;52.3;37.6;59.5;57.9;82.2;97.1;85.8;26.9;21.5;31.1;18.9;155.0;265.1;79.5;84.4;598.0
1925;31.4;34.1;42.4;29.1;36.6;112.6;72.4;127.5;69.8;51.7;45.8;58.6;108.2;312.5;167.2;142.8;712.1
1926;35.0;49.2;37.0;30.8;45.2;86.2;65.5;71.1;64.0;80.3;36.0;58.0;113.1;222.8;180.4;100.1;658.5
1927;22.8;19.3;41.5;53.4;91.4;94.5;76.6;89.5;83.9;53.1;74.2;22.0;186.3;260.6;211.2;84.1;722.2
1928;31.5;30.6;9.5;42.1;91.5;97.7;56.6;81.6;60.6;45.4;61.9;55.6;143.2;235.8;167.9;104.4;664.5
1929;29.3;19.5;26.4;42.9;55.2;67.0;77.3;57.8;60.1;51.8;44.7;44.9;124.5;202.2;156.6;83.7;576.9
1930;16.4;22.3;44.3;43.1;51.9;48.1;108.8;118.4;53.7;73.7;83.1;50.9;139.4;275.3;210.5;134.1;714.8
1931;49.5;33.7;34.0;36.2;38.3;67.9;66.9;109.5;85.5;60.7;47.3;55.7;108.5;244.4;193.5;103.1;685.1
1932;18.2;29.2;19.2;39.9;87.4;100.6;61.2;86.6;61.1;103.2;29.1;40.2;146.5;248.4;193.5;103.1;676.0
1933;16.7;46.3;21.3;45.7;80.9;119.6;83.8;120.9;88.1;68.8;55.9;29.0;147.9;324.3;212.8;83.4;776.9
1934;19.4;35.1;35.6;32.2;44.4;60.8;138.0;65.0;24.1;40.7;61.5;12.9;112.2;263.8;126.3;110.3;569.7
1935;44.6;52.9;25.8;53.6;58.1;83.8;122.1;58.2;67.9;63.2;18.1;56.4;137.6;264.1;149.2;158.0;704.8
1936;68.5;33.1;30.0;66.0;22.3;61.7;62.9;79.5;74.2;62.6;41.2;32.7;118.3;204.1;177.9;102.8;634.5
1937;21.9;48.2;48.7;61.7;37.1;51.5;93.5;88.2;38.1;40.4;62.5;77.3;147.6;233.2;141.1;133.0;669.4
1938;39.5;16.2;40.1;55.0;54.7;59.5;101.2;45.5;39.2;66.6;45.0;30.7;149.9;206.2;150.8;124.1;593.3
1939;50.5;42.8;27.8;50.2;75.6;59.7;70.9;19.7;40.9;70.7;48.7;40.8;153.6;150.3;160.3;124.5;598.3
1940;33.0;50.7;44.6;24.7;54.1;25.9;97.4;112.9;84.6;34.8;51.1;26.4;123.5;236.2;170.5;100.2;640.2
