Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Bosnia-Herzegovinia  : parameter = Precipitation                  : Units = mm/month            
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;55.4;63.3;102.6;52.6;59.7;101.4;91.3;78.6;154.4;133.0;57.2;149.3;214.9;271.3;344.6;301.2;1098.9
1902;38.5;113.4;116.0;100.2;138.3;116.5;61.6;28.0;112.4;176.8;51.7;68.6;354.5;206.1;340.9;146.8;1121.9
1903;41.7;36.6;57.0;127.3;73.9;94.1;104.1;32.0;38.9;119.0;136.3;157.0;258.2;230.1;294.3;326.1;1017.9
1904;70.5;98.6;82.0;52.0;56.5;71.5;38.1;77.2;95.0;149.9;67.6;80.5;190.5;186.9;312.5;217.1;939.4
1905;54.3;82.3;69.4;108.0;84.6;116.5;57.4;38.0;86.6;200.1;188.2;27.3;262.0;211.9;474.9;196.7;1112.7
1906;89.6;79.8;73.2;52.0;89.2;111.9;94.9;61.0;115.7;49.6;95.1;185.7;214.4;267.8;260.5;325.1;1097.7
1907;66.9;72.4;26.4;148.3;75.7;67.3;67.2;25.5;45.2;89.8;81.4;170.9;250.4;160.0;216.4;332.5;937.1
1908;73.3;88.3;85.6;136.0;20.2;43.6;84.7;91.0;34.3;51.1;133.7;110.7;241.8;219.2;219.1;212.3;952.4
1909;55.8;45.8;103.1;61.1;124.1;77.5;71.4;120.4;137.6;92.4;126.0;131.1;288.3;269.3;356.0;338.6;1146.1
1910;113.9;93.6;44.8;128.5;108.3;113.4;139.2;63.4;153.3;122.4;176.3;102.8;281.7;315.9;451.9;206.4;1359.8
1911;63.5;40.2;20.5;81.6;155.6;93.0;47.8;52.8;104.3;100.7;67.5;97.1;257.7;193.6;272.5;269.1;924.6
1912;101.8;70.2;115.7;133.6;98.4;74.2;68.8;77.7;120.5;101.0;112.4;66.7;347.7;220.6;333.9;170.2;1140.9
1913;65.9;37.6;23.0;62.3;111.9;106.4;188.0;115.5;118.8;37.5;69.6;114.6;197.1;409.9;225.8;211.2;1051.0
1914;65.4;31.2;130.3;55.6;104.1;103.8;138.4;41.3;107.1;94.9;94.9;137.6;290.0;283.6;297.0;407.4;1104.7
1915;157.0;112.8;97.3;88.9;81.1;149.5;183.9;111.4;103.5;220.1;121.4;117.1;267.3;444.8;445.0;204.4;1543.9
1916;33.4;54.0;107.5;78.3;70.1;31.7;63.9;87.1;154.5;146.0;117.6;192.6;255.8;182.7;418.1;382.2;1136.7
1917;138.4;51.2;102.1;75.5;33.7;18.7;74.3;50.7;31.4;155.2;155.2;114.7;211.3;143.7;341.9;179.3;1001.1
1918;47.0;17.6;51.1;78.2;91.2;101.1;70.6;87.4;47.6;149.7;56.9;113.8;220.6;259.2;254.3;284.7;912.4
1919;101.6;69.2;79.5;133.7;102.1;74.8;123.8;46.9;83.4;134.9;186.7;72.3;315.3;245.5;405.0;197.1;1208.9
1920;97.6;27.1;60.5;87.4;54.3;142.4;107.4;76.8;57.8;64.6;41.8;122.7;202.1;326.7;164.2;226.1;940.4
1921;44.7;58.7;24.5;109.0;100.4;160.8;38.4;72.1;23.8;42.3;121.2;64.4;233.9;271.3;187.3;253.4;860.3
1922;95.8;93.2;97.7;142.2;43.8;88.8;34.1;16.1;167.1;210.3;81.9;56.7;283.8;139.1;459.3;256.9;1127.9
1923;97.9;102.3;60.0;95.3;55.7;137.3;51.9;68.9;60.9;100.0;221.5;138.3;211.0;258.2;382.4;327.5;1190.1
1924;79.7;109.5;61.7;135.5;90.9;102.8;94.6;102.6;85.3;103.2;24.3;57.5;288.2;300.0;212.8;167.4;1047.7
1925;18.0;91.9;64.8;92.5;108.3;130.3;77.9;74.4;153.3;69.1;243.4;131.6;265.6;282.7;465.8;250.1;1255.5
1926;82.8;35.7;46.7;74.6;107.0;161.7;169.9;86.5;59.0;88.0;110.3;159.9;228.3;418.0;257.2;289.2;1181.9
1927;106.4;23.0;104.1;29.1;102.8;56.3;50.7;76.4;103.4;103.7;111.2;165.6;236.0;183.5;318.4;225.3;1032.8
1928;25.2;34.5;91.7;88.2;134.6;50.1;20.5;48.1;133.9;120.5;116.9;86.1;314.5;118.7;371.4;239.4;950.4
1929;97.0;56.3;10.7;105.0;87.1;110.0;27.8;98.0;48.4;124.1;167.4;68.1;202.8;235.7;340.0;246.0;999.9
1930;72.7;105.3;64.7;102.6;96.1;69.8;124.5;80.3;67.9;144.9;57.2;122.9;263.3;274.5;270.0;290.3;1108.8
