Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Bulgaria             : parameter = Precipitation                  : Units = mm/month            
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;60.6;79.3;38.0;52.6;34.9;99.3;73.4;87.0;26.3;107.0;29.0;52.7;125.5;259.6;162.3;123.0;740.0
1902;22.6;47.7;31.8;48.8;76.6;53.7;48.3;69.9;24.9;48.3;23.6;95.2;157.2;171.8;96.8;142.1;591.3
1903;33.3;13.6;23.8;82.4;70.4;77.7;51.2;27.8;26.8;64.6;36.0;34.2;176.6;156.7;127.4;106.7;541.9
1904;18.2;54.3;23.5;31.6;39.7;44.2;36.0;33.8;83.5;45.2;72.5;29.7;94.8;114.0;201.2;106.9;512.1
1905;42.8;34.4;27.0;59.1;75.0;72.8;66.9;13.8;28.5;110.0;31.1;33.7;161.1;153.6;169.7;129.6;595.2
1906;50.7;45.2;38.9;33.7;87.6;88.7;62.2;43.4;42.1;63.2;38.7;68.0;160.3;194.3;144.0;138.4;662.4
1907;35.3;35.1;47.1;43.7;30.1;98.5;45.6;20.7;18.8;8.7;55.9;34.6;120.9;164.8;83.4;112.8;474.0
1908;34.7;43.4;32.7;41.2;28.1;74.9;51.6;29.6;39.6;42.2;87.7;47.9;102.0;156.2;169.5;120.2;553.7
1909;32.4;39.9;78.3;28.7;63.8;60.0;41.0;35.5;87.1;48.5;80.4;46.0;170.8;136.5;215.9;162.4;641.6
1910;66.2;50.2;23.1;58.4;47.8;79.8;52.7;34.9;34.4;88.8;51.3;27.6;129.3;167.4;174.5;92.9;615.2
1911;40.7;24.5;39.3;43.0;57.9;66.1;49.3;44.8;79.9;19.7;24.8;70.7;140.2;160.2;124.4;155.0;560.8
1912;52.0;32.3;58.5;52.5;72.9;55.9;67.5;44.1;101.7;53.8;121.1;26.6;183.9;167.6;276.7;86.6;739.0
1913;43.9;16.1;22.7;32.9;91.6;70.8;62.9;50.0;82.9;12.2;39.8;45.9;147.1;183.7;134.8;137.4;571.5
1914;80.5;11.0;58.3;35.3;93.9;107.9;93.0;41.5;45.5;81.5;41.3;32.6;187.4;242.5;168.3;121.1;722.4
1915;65.2;23.2;75.5;57.6;122.9;72.7;97.7;52.7;25.0;105.1;56.4;22.4;255.9;223.1;186.5;86.2;776.4
1916;18.8;45.0;39.5;55.1;94.2;35.7;62.1;44.9;50.1;57.2;44.7;40.0;188.9;142.7;151.9;161.5;587.3
1917;83.9;37.6;79.9;63.1;52.0;81.0;35.3;27.6;11.0;49.4;59.3;28.1;195.0;143.9;119.7;86.0;608.2
1918;27.2;30.7;39.9;21.9;45.2;56.0;76.4;43.6;16.3;112.2;101.0;61.9;107.0;176.0;229.5;194.3;632.3
1919;73.5;58.9;66.0;51.4;108.6;75.5;72.3;44.0;17.0;124.4;63.4;54.0;226.0;191.8;204.9;128.9;809.1
1920;50.0;24.9;51.0;58.0;90.1;92.0;60.2;26.1;27.9;71.0;58.5;32.8;199.0;178.2;157.5;102.9;642.4
1921;36.0;34.1;14.6;41.6;74.1;75.0;41.3;22.1;28.4;16.9;84.2;88.0;130.3;138.3;129.6;163.4;556.3
1922;60.1;15.3;24.3;55.3;99.0;76.8;25.9;30.9;26.8;106.2;91.2;30.7;178.6;133.6;224.1;163.0;642.5
1923;69.8;62.5;60.8;56.9;63.4;88.8;71.6;15.1;21.6;22.0;22.7;77.2;181.1;175.4;66.3;139.8;632.3
1924;25.5;37.1;34.8;46.2;44.9;97.8;34.6;91.4;30.9;74.5;90.1;20.6;125.9;223.8;195.6;70.6;628.5
1925;12.5;37.5;63.5;44.8;90.6;101.6;60.3;28.7;68.3;30.9;67.5;82.8;198.9;190.7;166.7;168.1;689.1
1926;67.1;18.2;49.0;29.0;69.8;62.6;67.3;34.6;12.5;29.8;11.8;65.6;147.8;164.5;54.0;152.5;517.2
1927;57.7;29.2;26.5;73.2;65.3;57.1;46.6;46.7;36.5;65.4;49.9;72.8;165.0;150.5;151.8;154.1;627.1
1928;45.3;36.0;30.9;68.2;80.1;68.8;15.9;27.4;24.5;32.1;93.6;62.9;179.2;112.2;150.2;170.7;585.8
1929;79.9;27.9;28.7;76.9;52.3;63.7;22.9;50.6;24.8;82.9;43.0;105.0;157.9;137.2;150.7;143.8;658.5
1930;11.7;27.1;22.5;52.5;104.2;63.7;62.5;25.9;64.8;43.7;15.2;110.0;179.2;152.1;123.8;223.7;603.9
1931;58.5;55.2;57.4;69.0;58.5;98.5;49.6;18.4;64.9;66.8;54.6;57.1;184.9;166.5;186.4;118.3;708.6
1932;26.3;34.9;44.8;42.9;68.5;81.6;43.2;24.6;27.1;29.6;29.6;18.9;156.2;149.5;86.3;142.9;472.0
1933;63.3;60.7;39.1;51.5;102.2;78.0;83.6;57.1;26.4;47.0;48.2;66.9;192.8;218.7;121.6;131.6;723.9
1934;44.4;20.4;9.2;10.7;47.3;57.9;77.6;53.0;53.0;57.8;46.4;25.7;67.2;188.5;157.2;146.5;503.3
1935;72.9;47.9;34.6;65.0;40.3;82.6;34.0;27.7;20.9;29.5;64.9;91.3;139.8;144.3;115.4;175.8;611.6
1936;21.5;63.0;46.6;46.9;84.2;110.0;54.6;64.6;27.7;71.2;50.6;23.0;177.7;229.2;149.6;125.9;663.9
1937;52.4;50.6;30.1;96.3;58.3;42.5;53.0;66.9;42.0;85.9;112.2;86.2;184.7;162.4;240.0;152.4;776.3
1938;28.4;37.7;28.7;56.2;69.7;25.2;53.5;32.0;45.1;60.2;28.4;111.1;154.6;110.7;133.7;174.7;576.3
1939;39.3;24.3;84.1;31.8;63.8;99.0;40.5;69.6;41.4;81.2;56.7;79.9;179.8;209.1;179.3;164.8;711.7
1940;40.6;44.3;55.8;89.1;89.3;101.9;70.3;45.5;45.4;51.7;76.6;116.5;234.2;217.7;173.7;227.9;827.0
1941;46.1;65.4;16.6;59.1;72.1;104.5;100.4;22.1;55.7;72.2;63.5;41.6;147.8;227.0;191.4;175.1;719.3
1942;79.6;53.9;42.0;55.3;41.6;84.3;37.9;30.2;11.8;35.1;102.9;11.6;138.8;152.4;149.8;96.4;586.1
1943;63.1;21.8;7.9;39.8;117.8;79.1;32.0;14.2;44.4;45.4;63.7;76.1;165.5;125.3;153.6;189.6;605.3
1944;31.5;82.0;57.0;82.6;56.0;40.9;97.1;50.0;55.5;105.9;60.5;25.3;195.6;188.0;221.9;82.9;744.4
1945;48.6;9.0;21.2;47.4;16.6;41.0;30.5;26.6;30.1;62.5;30.9;84.7;85.2;98.2;123.4;173.4;449.1
1946;45.9;42.8;53.9;32.8;61.6;42.7;26.1;24.6;15.6;70.9;64.6;84.7;148.2;93.4;151.1;185.3;566.2
1947;57.7;43.0;25.2;6.1;30.2;67.5;46.8;76.7;14.1;54.3;57.2;102.6;61.4;191.0;125.6;183.0;581.3
1948;50.1;30.4;15.6;47.5;101.1;126.2;17.6;16.7;20.0;11.7;26.9;15.8;164.2;160.5;58.6;52.5;479.4
1949;30.3;6.4;68.7;32.8;46.5;75.5;77.1;83.7;28.8;12.5;73.5;40.2;148.0;236.2;114.8;108.7;575.9
1950;53.5;15.0;52.0;37.6;61.9;38.6;27.3;8.3;20.4;33.1;64.8;64.0;151.5;74.2;118.4;148.5;476.6
1951;50.5;33.9;55.0;70.4;54.6;60.0;77.6;66.3;19.5;52.1;41.1;16.7;180.1;203.9;112.7;114.5;597.8
1952;38.6;59.2;39.8;15.7;80.6;53.2;22.3;5.7;22.3;91.1;118.4;102.1;136.1;81.2;231.9;198.7;649.1
1953;62.3;34.3;8.8;51.0;84.7;90.4;25.8;39.6;9.1;103.8;25.6;19.2;144.5;155.8;138.6;157.6;554.7
1954;57.8;80.6;32.7;46.9;89.1;78.7;50.1;32.6;19.5;70.0;106.2;77.0;168.7;161.4;195.8;185.6;741.2
1955;68.2;40.5;71.5;75.5;51.3;84.9;113.8;61.4;49.2;64.3;100.8;37.5;198.2;260.2;214.3;181.0;818.9
1956;54.6;88.9;48.1;37.5;109.5;97.7;45.0;17.4;11.0;47.2;97.5;67.8;195.2;160.1;155.8;120.3;722.3
1957;26.9;25.6;17.3;60.3;118.0;91.1;58.7;43.6;78.4;63.1;40.7;71.3;195.6;193.3;182.2;158.4;694.9
1958;69.9;17.1;64.7;88.0;36.8;70.5;23.1;17.0;38.6;52.2;25.9;14.8;189.5;110.6;116.7;76.8;518.5
1959;54.8;7.3;26.7;37.6;74.7;119.4;72.4;55.3;48.0;30.4;73.9;50.7;138.9;247.0;152.3;150.6;651.0
1960;56.0;43.9;25.5;80.9;82.7;116.1;66.0;19.7;60.8;19.8;59.6;111.1;189.1;201.8;140.2;181.9;742.0
1961;52.6;18.2;37.4;46.3;114.5;104.0;52.4;25.1;21.2;29.6;56.7;71.8;198.1;181.5;107.5;151.9;629.8
1962;33.0;47.2;74.4;60.2;36.1;37.9;65.4;15.3;30.0;75.4;78.1;81.7;170.7;118.6;183.5;264.5;634.7
1963;104.3;78.4;57.8;52.8;64.8;65.0;46.9;19.0;29.2;57.5;27.5;60.6;175.4;130.9;114.1;110.0;663.7
1964;13.5;35.9;38.5;42.6;86.2;59.5;48.1;40.4;122.2;40.1;47.8;44.3;167.4;148.0;210.1;158.9;619.1
1965;41.8;72.8;43.0;52.8;90.8;25.5;21.2;24.1;8.7;4.1;70.0;92.8;186.6;70.7;82.8;204.3;547.6
