Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Croatia              : parameter = Precipitation                  : Units = mm/month            
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;49.7;60.6;126.7;54.9;57.7;100.2;60.5;90.3;218.1;128.5;68.2;187.4;239.3;251.0;414.8;385.3;1202.7
1902;47.7;150.3;119.2;85.3;136.9;119.0;74.5;32.8;85.9;193.5;69.4;51.8;341.4;226.3;348.8;132.9;1166.2
1903;48.7;32.4;70.6;129.3;60.5;89.5;118.1;42.6;57.0;118.3;166.0;237.3;260.3;250.2;341.3;449.1;1170.2
1904;77.8;134.0;106.7;61.5;65.2;71.3;24.5;147.7;110.2;156.5;77.5;90.8;233.4;243.5;344.2;234.0;1123.6
1905;44.4;98.8;84.2;94.9;101.0;104.8;68.0;73.1;122.7;227.6;296.1;32.7;280.2;246.0;646.4;217.5;1348.4
1906;91.3;93.5;77.1;67.9;106.8;86.6;103.6;65.3;114.6;85.0;148.1;200.7;251.7;255.4;347.7;338.0;1240.4
1907;72.8;64.5;19.4;165.1;92.1;51.0;79.9;32.7;69.4;196.7;72.1;202.0;276.5;163.6;338.1;335.7;1117.4
1908;55.7;78.0;93.8;149.3;17.2;44.4;94.9;118.4;33.6;60.5;111.8;131.6;260.4;257.7;205.9;256.3;989.2
1909;69.1;55.6;132.3;61.0;88.2;88.4;79.6;124.9;113.8;114.8;111.5;172.1;281.6;292.9;340.0;426.6;1211.3
1910;151.0;103.5;50.7;108.9;100.4;118.6;116.2;67.7;151.2;152.3;240.8;139.8;260.0;302.5;544.3;224.9;1501.1
1911;56.2;29.0;58.0;74.0;126.3;99.8;43.5;36.0;120.7;120.4;81.8;139.2;258.3;179.3;322.9;332.3;984.9
1912;91.7;101.5;129.3;111.2;96.4;91.5;60.0;85.4;141.1;131.9;115.8;72.8;337.0;236.8;388.7;175.6;1228.5
1913;72.0;30.8;34.2;83.5;86.4;98.3;171.4;114.1;139.8;55.6;112.2;118.4;204.1;383.8;307.6;230.0;1116.7
1914;70.1;41.5;147.4;59.1;141.7;97.0;132.7;40.6;111.6;95.2;84.4;169.6;348.3;270.3;291.1;506.7;1190.9
1915;189.7;147.5;100.6;78.8;62.5;132.5;135.2;134.8;114.3;230.8;154.6;146.6;241.9;402.4;499.7;251.4;1627.8
1916;25.4;79.4;151.8;96.6;58.8;43.6;65.9;94.5;200.3;155.9;162.8;250.8;307.2;203.9;518.9;481.2;1385.6
1917;174.2;56.3;134.1;92.5;32.1;15.1;72.5;69.2;30.2;255.5;181.6;108.6;258.8;156.9;467.3;176.7;1222.0
1918;54.9;13.2;64.5;98.9;88.3;112.1;54.8;111.7;80.7;225.4;52.8;117.6;251.6;278.6;358.9;326.8;1074.8
1919;134.4;74.8;112.8;138.8;47.8;112.7;127.7;52.2;109.5;168.2;231.0;53.9;299.3;292.7;508.8;196.4;1363.9
1920;118.4;24.1;52.3;98.0;60.7;152.9;83.5;91.0;66.9;77.9;45.0;155.1;211.1;327.4;189.8;261.1;1025.8
1921;40.4;65.6;31.5;134.3;102.8;127.4;24.3;65.7;21.8;70.4;82.4;61.4;268.6;217.4;174.6;239.2;827.9
1922;99.2;78.6;123.2;165.1;38.0;75.4;31.7;25.8;188.4;214.7;100.0;75.0;326.3;132.8;503.2;263.9;1215.1
1923;91.0;97.9;53.2;140.6;49.7;148.6;41.0;80.1;85.9;89.2;290.7;146.9;243.5;269.7;465.8;358.8;1314.9
1924;114.3;97.6;85.1;122.3;95.3;93.8;93.0;125.3;85.4;116.1;12.5;80.7;302.7;312.2;214.0;228.2;1121.4
1925;25.9;121.6;92.9;117.3;108.5;134.0;56.6;87.1;148.4;67.4;257.8;103.8;318.8;277.6;473.6;244.9;1321.3
1926;85.6;55.4;46.3;84.4;93.7;142.3;144.7;112.0;131.8;160.7;170.7;142.4;224.4;399.1;463.2;296.9;1370.1
1927;122.4;32.1;121.2;48.4;98.0;61.2;36.9;62.3;125.7;91.5;112.7;156.3;267.6;160.5;329.9;219.8;1068.7
1928;38.0;25.5;138.8;86.0;155.9;56.2;18.6;57.3;182.6;155.5;141.3;100.7;380.8;132.1;479.4;259.2;1156.5
1929;100.3;58.1;9.5;101.0;69.3;104.5;30.2;86.5;40.2;137.5;220.8;84.2;179.8;221.1;398.5;279.3;1042.1
1930;96.1;99.0;94.5;106.2;125.3;51.0;127.0;103.9;129.6;197.2;80.6;143.3;326.0;282.0;407.4;340.8;1353.9
1931;86.1;111.3;126.0;128.4;52.1;53.6;46.2;65.5;102.8;104.4;192.5;49.2;306.4;165.3;399.7;125.4;1118.1
1932;37.3;38.9;122.6;100.4;122.5;78.9;109.6;29.1;40.5;208.1;146.7;90.0;345.5;217.6;395.3;255.9;1124.6
1933;87.2;78.7;67.8;67.1;150.9;111.8;41.8;56.0;123.4;166.0;219.3;179.4;285.7;209.5;508.7;277.2;1349.3
1934;74.0;23.8;106.8;66.2;96.6;173.7;86.1;116.9;105.0;86.1;155.9;124.2;269.6;376.7;347.0;252.8;1215.3
1935;57.7;70.9;49.2;83.1;55.7;30.8;54.6;83.1;46.4;197.1;164.8;186.0;188.0;168.5;408.2;466.6;1079.3
1936;121.9;158.7;74.8;87.7;117.6;107.5;71.8;31.1;135.1;158.0;56.4;66.3;280.1;210.4;349.5;260.0;1186.8
