Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Czech_Republic       : parameter = Precipitation                  : Units = mm/month            
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;25.8;25.0;56.9;60.8;51.1;67.0;96.4;68.2;57.5;48.3;34.2;53.1;168.8;231.7;140.0;116.9;644.4
1902;35.2;28.5;47.9;28.8;63.9;94.2;83.1;75.9;50.7;58.8;3.8;71.1;140.6;253.2;113.3;134.8;641.8
1903;36.9;26.8;25.7;73.5;38.9;73.9;145.7;91.9;58.2;63.3;87.6;45.8;138.1;311.5;209.1;106.9;768.3
1904;16.0;45.1;37.3;62.7;62.2;45.0;28.1;45.8;88.4;76.8;51.8;48.8;162.2;118.9;217.1;112.4;608.0
1905;32.7;30.8;46.0;52.8;61.2;62.6;67.1;90.3;44.6;53.5;70.7;37.0;160.0;219.9;168.8;106.7;649.3
1906;39.1;30.6;59.2;31.3;83.5;92.4;115.1;58.0;132.2;33.6;36.1;51.4;174.0;265.6;201.8;121.1;762.5
1907;47.7;22.0;41.7;71.4;50.3;65.6;131.8;74.7;31.5;36.6;28.5;78.1;163.4;272.1;96.5;148.8;679.8
1908;27.5;43.2;34.4;53.6;76.2;62.7;92.5;87.1;40.4;2.8;28.1;18.7;164.2;242.3;71.3;119.6;567.3
1909;30.6;70.3;46.0;40.5;76.0;96.5;125.2;73.1;69.8;29.6;40.9;69.9;162.4;294.8;140.3;149.7;768.2
1910;44.3;35.5;26.6;42.7;123.8;118.9;104.0;105.1;94.2;29.7;96.8;35.4;193.1;328.0;220.7;113.3;857.0
1911;36.0;41.9;34.9;36.2;112.5;39.0;34.9;56.9;60.7;37.0;32.3;70.0;183.7;130.7;130.0;150.1;592.3
1912;42.5;37.6;45.3;35.9;100.2;104.2;103.2;107.1;82.4;44.2;42.7;32.9;181.5;314.4;169.3;75.5;778.3
