Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Denmark              : parameter = Precipitation                  : Units = mm/month            
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;31.6;20.7;54.8;53.3;44.7;81.1;38.8;59.8;25.1;44.8;63.4;68.0;152.8;179.7;133.4;133.0;586.2
1902;53.1;11.9;47.4;22.5;66.4;33.7;66.2;102.6;37.6;65.4;12.8;41.3;136.2;202.5;115.8;135.9;560.8
1903;47.2;47.4;38.5;53.9;32.6;38.2;74.1;103.7;56.7;145.4;46.1;33.3;125.0;216.1;248.1;137.8;717.1
1904;46.7;57.8;33.1;57.6;46.7;35.7;14.5;63.7;27.1;63.4;71.2;62.1;137.5;113.9;161.7;116.5;579.6
1905;28.7;25.7;54.5;52.4;24.6;50.1;58.1;126.5;75.1;81.7;45.3;15.1;131.6;234.7;202.2;128.3;637.9
1906;73.4;39.8;37.2;34.7;53.9;37.2;37.7;79.4;32.1;62.4;92.7;38.5;125.9;154.4;187.2;111.3;619.1
1907;38.3;34.5;29.8;27.7;49.0;87.0;69.9;92.2;17.7;61.7;43.2;77.8;106.5;249.1;122.6;162.9;628.8
1908;34.1;51.0;41.8;44.4;65.6;45.0;60.1;78.4;66.7;12.7;51.4;36.5;151.7;183.4;130.8;92.3;587.6
1909;39.3;16.5;44.9;46.7;41.1;57.3;80.4;66.9;69.6;85.4;61.4;88.6;132.7;204.6;216.4;217.2;698.1
1910;52.9;75.7;19.3;52.0;44.9;53.2;83.7;112.1;52.8;26.5;89.8;56.4;116.2;249.0;169.1;157.0;719.3
1911;33.4;67.2;38.6;35.9;27.5;61.3;39.8;36.3;35.8;100.9;119.2;70.1;102.0;137.4;255.8;137.1;665.9
1912;24.5;42.4;49.7;36.6;39.1;82.7;52.1;133.8;48.7;92.3;83.1;106.1;125.4;268.7;224.1;161.3;791.2
1913;31.5;23.8;61.5;28.3;22.4;42.1;39.4;54.5;41.3;54.2;87.5;72.6;112.1;136.0;183.0;153.6;559.0
1914;32.5;48.5;74.2;44.9;37.5;22.1;79.9;39.4;59.3;45.4;69.5;86.9;156.6;141.3;174.2;195.6;640.1
1915;69.2;39.4;32.3;28.4;36.2;14.0;113.2;52.3;47.7;19.7;66.5;99.8;97.0;179.4;133.9;225.5;618.7
1916;83.8;41.9;26.6;37.9;55.3;81.1;53.2;94.5;51.8;104.9;79.3;83.4;119.8;228.8;235.9;134.3;793.6
1917;40.1;10.7;45.1;39.5;10.0;46.4;52.4;104.8;65.7;119.7;89.2;32.4;94.7;203.6;274.6;124.7;656.2
1918;46.9;45.4;8.8;41.5;13.5;43.2;69.1;62.4;123.0;48.2;31.8;80.8;63.8;174.8;202.9;170.7;614.7
1919;55.1;34.8;42.5;50.0;18.0;54.0;69.0;61.7;54.1;40.2;47.5;75.5;110.4;184.7;141.7;196.5;602.3
1920;73.6;47.4;32.4;98.8;79.0;32.6;89.8;77.9;63.5;9.4;26.0;54.3;210.3;200.4;98.9;172.4;684.8
1921;96.7;21.4;33.9;23.7;34.0;33.6;30.7;96.1;36.0;58.6;52.1;89.1;91.6;160.4;146.7;151.7;605.9
1922;32.2;30.3;43.5;43.8;29.7;45.8;92.4;80.1;83.9;16.6;43.5;71.5;117.0;218.3;144.1;153.6;613.4
1923;50.4;31.7;16.3;40.6;66.2;38.7;64.6;114.3;72.7;110.5;115.0;35.4;123.0;217.6;298.2;92.5;756.2
1924;31.8;25.3;43.5;59.7;70.4;37.6;77.7;90.3;78.4;56.5;40.0;59.7;173.6;205.6;174.9;166.8;670.9
1925;57.2;50.0;27.5;31.3;54.2;37.0;52.5;65.4;79.2;72.0;64.4;71.7;112.9;155.0;215.5;174.4;662.4
1926;44.7;58.1;24.2;33.3;55.0;69.9;63.8;60.7;74.3;91.1;77.7;40.9;112.5;194.4;243.1;149.9;693.8
1927;81.6;27.3;67.2;66.1;46.4;99.3;94.6;115.7;85.3;108.4;52.5;28.1;179.8;309.7;246.2;146.0;872.7
1928;58.4;59.4;20.5;19.1;41.8;66.3;52.6;111.8;40.9;87.1;139.7;33.7;81.4;230.6;267.7;74.6;731.3
1929;22.2;18.7;13.4;44.2;48.1;59.3;47.2;63.9;32.8;102.3;87.9;99.0;105.7;170.4;223.1;157.7;639.1
1930;43.8;14.9;28.3;40.0;71.3;42.7;113.4;80.1;98.1;89.4;90.2;33.8;139.6;236.2;277.6;155.3;746.0
1931;75.8;45.6;22.1;51.1;61.4;38.4;104.3;78.7;63.6;44.6;37.8;41.4;134.6;221.4;146.0;101.5;664.9
1932;55.9;4.2;26.8;53.0;59.3;21.3;91.4;42.0;95.0;134.6;44.7;34.4;139.1;154.7;274.3;112.5;662.6
1933;32.0;46.0;46.6;14.3;34.7;66.5;81.1;53.5;26.2;96.4;19.9;10.3;95.6;201.1;142.5;95.5;527.6
1934;56.3;28.9;49.5;27.5;35.6;39.0;49.3;122.9;84.3;130.7;49.9;61.1;112.6;211.2;264.9;166.9;735.0
1935;31.9;73.8;18.6;53.5;24.8;82.2;52.1;44.1;132.6;120.5;58.0;61.1;96.9;178.4;311.1;185.1;753.3
1936;78.8;45.3;21.4;74.7;37.6;15.9;125.9;50.9;39.0;70.7;55.6;48.1;133.7;192.7;165.3;168.9;663.8
1937;49.3;71.5;58.6;46.6;66.0;57.1;55.2;38.2;84.5;16.9;46.9;67.2;171.1;150.6;148.3;149.5;658.0
1938;62.4;19.9;21.0;16.0;54.3;55.8;75.0;66.0;51.4;108.3;84.5;69.8;91.4;196.8;244.2;187.9;684.4
1939;87.1;31.0;27.2;42.3;17.4;42.7;112.3;80.1;36.9;50.9;82.9;43.9;86.8;235.1;170.6;90.2;654.6
1940;26.9;19.4;66.4;35.9;27.5;23.4;83.5;79.8;84.6;54.6;82.6;39.4;129.9;186.8;221.7;102.2;624.1
1941;21.3;41.6;33.4;18.7;20.9;31.3;84.0;123.2;25.9;85.1;23.9;58.4;73.0;238.4;134.9;103.4;567.5
1942;24.1;20.8;29.5;28.8;45.0;42.4;63.5;88.0;80.2;74.0;49.9;71.1;103.2;193.8;204.1;196.4;617.3
1943;74.5;50.8;21.6;33.4;26.1;61.2;51.1;128.3;57.7;48.9;73.6;29.6;81.1;240.6;180.3;118.6;656.8
1944;70.0;19.0;30.0;25.1;57.8;75.2;55.2;37.0;109.1;54.8;112.7;65.1;113.0;167.3;276.6;199.1;711.1
1945;68.0;66.0;22.3;37.4;55.5;71.3;63.2;116.4;53.2;57.3;43.7;68.7;115.2;250.9;154.2;173.7;723.0
1946;42.9;62.0;36.0;21.1;35.7;112.2;72.6;73.9;140.3;34.3;74.8;37.4;92.8;258.7;249.4;66.2;743.2
1947;19.6;9.2;63.6;46.8;9.5;39.0;68.0;11.9;47.9;16.9;98.3;44.5;119.9;118.8;163.1;179.0;475.0
1948;92.4;42.1;12.5;42.7;40.5;43.8;56.8;94.3;70.3;52.5;40.2;42.7;95.7;194.9;163.0;131.4;630.7
1949;54.1;34.6;20.7;65.6;69.5;36.0;64.0;50.2;58.2;86.4;75.1;94.3;155.8;150.2;219.7;217.8;708.8
1950;44.6;78.8;33.6;61.1;34.4;42.1;96.1;121.2;109.7;70.2;100.8;64.2;129.0;259.4;280.6;216.3;856.6
1951;93.6;58.4;62.1;62.2;43.8;42.8;54.5;112.8;62.2;14.9;101.9;66.7;168.1;210.1;178.9;158.3;775.8
1952;60.5;31.2;28.9;31.9;40.2;60.5;71.6;75.2;75.0;113.3;61.3;48.7;101.0;207.3;249.6;121.7;698.3
1953;43.4;29.6;15.2;45.3;55.2;60.0;77.6;96.4;72.9;35.0;60.7;43.1;115.7;234.0;168.5;127.2;634.3
1954;51.0;33.2;42.7;26.3;39.5;62.8;102.4;83.5;103.5;113.7;73.1;93.8;108.5;248.6;290.2;156.5;825.2
1955;35.3;27.4;33.5;27.6;68.9;38.1;30.9;36.8;86.7;72.2;28.6;91.5;129.9;105.8;187.5;176.8;577.4
1956;62.5;22.9;22.3;24.0;27.7;57.2;56.6;101.5;52.1;59.7;41.0;65.8;74.0;215.2;152.8;172.6;593.2
1957;45.2;61.5;45.7;18.0;30.2;45.0;65.0;91.8;91.5;79.4;51.9;44.0;93.9;201.8;222.8;174.5;669.2
1958;56.6;73.9;15.2;35.2;76.0;32.5;118.4;110.6;50.8;64.4;38.6;61.2;126.5;261.4;153.7;135.0;733.3
1959;67.3;6.6;29.7;66.8;14.7;23.9;55.7;56.5;20.1;67.0;58.6;72.0;111.2;136.1;145.7;200.1;538.9
1960;76.0;52.1;14.8;29.7;25.8;50.1;111.7;104.5;43.6;87.7;113.5;94.0;70.3;266.3;244.8;183.1;803.6
1961;47.3;41.8;31.0;37.6;38.1;41.8;112.4;77.1;76.8;91.5;62.0;65.9;106.8;231.3;230.4;191.5;723.5
1962;71.0;54.6;30.9;42.2;73.5;45.3;67.3;137.4;66.0;42.0;40.2;39.6;146.6;250.0;148.2;65.0;709.9
1963;7.8;17.7;33.6;39.8;54.0;55.1;59.2;150.6;55.7;75.9;128.1;15.3;127.4;265.0;259.7;63.5;692.8
1964;27.9;20.3;12.0;33.0;37.2;83.3;69.9;56.5;61.7;78.2;46.5;80.4;82.2;209.6;186.3;167.0;606.8
