Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Estonia              : parameter = Precipitation                  : Units = mm/month            
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;31.1;39.2;16.5;39.7;6.1;55.9;23.1;59.7;31.1;34.8;60.9;56.8;62.2;138.8;126.8;133.1;454.9
1902;55.8;20.5;41.4;8.0;72.9;79.5;87.8;90.9;66.7;58.8;32.7;42.1;122.3;258.2;158.2;129.4;657.2
1903;41.5;45.9;23.4;58.3;56.0;70.1;58.9;134.1;43.3;71.3;63.0;19.2;137.6;263.2;177.6;101.3;684.9
1904;23.0;59.1;14.7;52.5;48.9;63.5;50.4;107.3;30.4;46.1;54.2;70.4;116.0;221.2;130.7;141.9;620.5
1905;48.7;22.8;35.9;37.8;25.7;20.7;79.1;100.6;47.8;96.2;47.7;26.0;99.3;200.4;191.7;113.5;588.9
1906;47.8;39.7;40.3;38.7;42.4;64.8;54.3;111.9;40.4;30.5;75.3;53.1;121.3;231.0;146.2;115.9;639.1
1907;38.2;24.6;20.8;36.5;45.6;70.8;72.5;87.7;60.3;26.2;24.1;19.7;102.9;231.0;110.5;104.8;527.0
1908;40.9;44.3;26.4;36.0;34.4;54.9;55.2;76.3;64.1;33.1;49.4;22.1;96.8;186.5;146.6;66.5;537.1
1909;23.4;20.9;38.5;40.1;26.4;32.8;97.5;64.3;36.5;45.6;72.6;61.0;105.0;194.6;154.8;155.1;559.7
1910;52.2;42.0;24.9;24.6;45.9;39.5;74.7;84.9;49.3;27.5;68.5;68.4;95.4;199.1;145.3;157.8;602.4
1911;40.6;48.8;14.2;30.9;41.0;48.5;52.3;71.1;61.2;68.6;81.3;37.6;86.2;171.8;211.0;81.6;596.0
1912;24.1;19.9;44.3;27.5;58.7;68.2;31.2;84.5;96.4;67.3;65.2;70.1;130.4;183.8;229.0;135.9;657.3
1913;24.0;41.8;44.7;33.5;24.1;39.9;64.6;62.6;43.4;41.2;70.2;62.5;102.3;167.2;154.9;126.9;552.7
1914;37.7;26.6;49.7;21.5;58.6;29.1;25.2;39.2;89.1;27.1;38.9;79.7;129.8;93.5;155.1;168.1;522.5
1915;47.6;40.7;28.5;34.9;44.3;41.0;84.0;49.8;93.4;36.1;61.4;64.4;107.7;174.8;190.9;146.1;626.2
1916;46.9;34.7;32.6;22.1;65.9;89.9;64.0;95.9;41.4;73.9;61.0;47.1;120.6;249.9;176.3;110.4;675.5
1917;37.1;26.1;22.0;49.4;23.6;36.5;43.2;46.3;83.9;75.7;78.6;52.9;95.0;125.9;238.3;142.8;575.3
1918;59.8;30.1;5.7;20.2;10.9;53.8;72.1;50.5;119.8;57.6;27.6;75.3;36.8;176.5;204.9;136.1;583.4
1919;31.8;28.9;34.5;39.2;12.2;67.5;54.9;79.9;56.5;47.6;42.7;46.3;85.9;202.3;146.8;106.7;542.0
1920;34.3;26.2;19.8;63.6;49.7;47.7;53.6;77.7;46.7;17.8;24.8;17.3;133.0;179.0;89.3;107.8;479.2
1921;75.3;15.2;34.1;34.2;32.1;65.4;58.9;45.0;63.7;59.6;32.0;55.9;100.4;169.2;155.3;112.5;571.2
1922;28.2;28.4;40.0;39.4;50.0;80.8;55.4;89.8;48.0;37.6;44.1;34.9;129.3;226.0;129.7;82.4;576.5
1923;35.2;12.3;6.1;29.9;68.9;70.0;46.1;115.6;74.8;98.2;98.0;57.3;104.9;231.7;271.1;142.8;712.4
1924;34.9;50.5;43.1;35.1;49.3;58.8;51.4;92.5;93.6;48.5;39.5;43.5;127.5;202.7;181.5;134.9;640.7
1925;56.8;34.7;35.0;60.8;23.7;88.9;64.1;96.8;105.9;66.9;50.4;45.8;119.5;249.8;223.1;117.6;729.7
1926;27.2;44.5;30.0;34.9;83.7;43.9;37.6;64.7;45.9;70.7;56.7;33.8;148.6;146.1;173.3;84.6;573.7
1927;26.1;24.6;36.8;58.9;79.2;49.5;45.6;103.1;93.9;107.3;62.5;30.3;174.9;198.3;263.8;108.8;717.9
1928;38.8;39.8;14.7;24.8;71.7;88.6;84.7;129.6;91.8;51.6;90.0;35.9;111.1;302.8;233.4;71.3;761.7
1929;26.4;9.1;28.1;31.2;54.7;43.0;74.8;62.3;65.9;93.6;75.7;50.9;114.0;180.1;235.2;102.6;615.7
1930;32.3;19.4;41.5;29.0;57.0;22.3;76.8;125.1;46.6;65.9;111.0;26.0;127.5;224.1;223.5;122.5;652.8
1931;64.8;31.6;27.4;26.2;47.6;53.7;60.8;67.2;89.8;65.9;30.1;65.9;101.3;181.7;185.8;138.8;631.0
1932;50.5;22.4;21.8;39.1;74.6;41.5;38.8;92.7;86.3;95.4;49.2;27.4;135.5;173.0;230.9;89.8;639.7
1933;26.6;35.8;28.4;38.7;34.2;19.5;48.9;82.2;45.0;46.6;40.0;31.6;101.3;150.6;131.6;82.9;477.5
1934;28.0;23.3;41.0;29.2;59.8;20.9;109.3;40.9;47.2;108.2;77.0;23.0;130.0;171.1;232.4;107.7;607.8
1935;32.4;52.3;31.2;47.6;30.2;55.1;90.3;117.0;130.6;88.6;17.8;51.7;109.0;262.4;237.1;149.7;744.9
1936;56.9;41.1;30.4;29.1;60.1;44.5;83.5;59.9;64.2;106.1;39.0;35.3;119.6;187.8;209.3;116.0;650.1
