Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Finland              : parameter = Precipitation                  : Units = mm/month            
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;31.8;29.8;17.3;34.2;17.9;49.9;38.7;46.4;21.7;48.3;41.8;36.3;69.4;135.0;111.8;102.5;414.1
1902;45.1;21.1;37.8;5.4;38.5;60.2;99.1;93.4;83.4;40.2;30.7;22.3;81.7;252.7;154.3;93.9;577.2
1903;36.6;34.9;28.3;43.4;33.7;53.8;82.9;111.7;48.0;54.7;44.0;23.4;105.5;248.3;146.7;76.3;595.4
1904;22.6;30.3;15.8;42.3;49.9;60.7;53.2;94.2;30.4;44.4;41.1;48.6;108.0;208.2;115.9;108.9;533.5
1905;36.5;23.8;29.6;37.4;28.3;45.6;83.4;84.2;58.8;56.2;41.1;22.9;95.4;213.2;156.2;100.3;548.0
1906;42.4;35.0;36.4;33.6;46.8;44.5;52.2;70.9;30.0;30.3;50.8;43.7;116.8;167.6;111.1;108.1;516.7
1907;31.6;32.8;20.0;25.8;43.8;72.2;71.2;92.2;43.7;34.6;24.3;18.7;89.5;235.6;102.6;91.5;510.9
1908;35.5;37.3;14.1;23.2;20.7;61.2;50.8;42.5;63.8;20.7;24.9;33.7;58.0;154.5;109.3;81.8;428.3
1909;30.0;18.1;38.2;23.4;29.7;36.4;70.3;72.7;44.5;76.6;41.9;46.7;91.3;179.4;163.0;137.1;528.5
1910;51.3;39.0;23.0;39.0;25.6;54.7;84.2;26.5;51.9;30.6;62.0;44.4;87.5;165.3;144.5;108.6;532.2
1911;28.9;35.3;17.6;31.0;18.2;47.6;67.0;78.1;62.4;61.7;66.3;37.4;66.8;192.7;190.4;81.3;551.5
1912;23.3;20.5;40.3;15.8;46.1;77.1;18.0;89.1;91.2;47.5;54.4;49.4;102.2;184.3;193.1;94.8;572.9
1913;16.2;29.1;35.2;27.3;25.7;52.4;45.4;65.4;26.5;34.7;52.5;38.8;88.2;163.2;113.7;96.7;449.3
1914;29.5;28.4;28.3;19.4;52.9;43.1;57.5;47.3;56.5;17.1;32.1;54.5;100.6;147.9;105.6;118.8;466.4
1915;35.3;29.1;17.3;28.5;37.8;56.1;64.4;47.3;70.8;18.8;52.2;29.8;83.6;167.9;141.7;94.1;487.4
1916;40.1;24.2;26.5;18.7;45.0;66.8;57.8;61.3;45.7;46.2;56.4;44.7;90.2;185.9;148.2;88.8;533.3
1917;24.1;20.0;14.1;37.1;34.6;46.4;34.1;39.4;98.5;77.2;67.0;44.8;85.7;119.9;242.7;105.6;537.2
1918;35.5;25.2;10.4;14.0;18.8;65.7;40.0;53.2;98.6;52.4;30.9;51.7;43.1;158.9;181.9;101.9;496.3
1919;30.1;20.1;24.0;43.8;9.9;72.3;46.9;85.0;70.1;47.0;30.6;34.2;77.7;204.2;147.6;111.5;513.9
1920;38.9;38.4;22.7;60.9;46.9;47.0;75.6;58.6;46.2;18.0;29.0;22.4;130.5;181.2;93.2;89.3;504.5
1921;49.8;17.1;36.1;35.7;36.5;73.2;82.5;60.8;58.2;69.9;23.5;48.5;108.2;216.6;151.6;94.0;591.9
1922;25.9;19.6;30.9;35.2;60.2;74.5;54.5;88.5;44.4;31.1;44.6;37.4;126.3;217.5;120.1;92.6;546.7
1923;44.2;11.0;5.5;20.4;44.7;69.7;56.7;69.4;95.2;85.5;66.0;47.0;70.5;195.8;246.7;112.2;615.2
1924;29.6;35.7;41.9;24.9;51.3;79.0;25.7;57.9;90.2;58.7;34.3;36.9;118.1;162.6;183.2;102.2;566.0
1925;30.0;35.4;26.7;36.3;34.1;58.7;56.8;77.6;72.7;49.1;31.1;48.0;97.1;193.1;152.8;99.6;556.4
1926;23.5;28.1;34.6;28.8;49.1;56.0;34.4;64.2;42.3;55.9;47.7;31.3;112.5;154.6;145.9;105.6;496.0
1927;45.8;28.4;35.2;44.6;54.2;61.6;53.8;83.8;57.2;64.2;35.4;22.9;133.9;199.2;156.8;80.1;587.0
1928;28.5;28.8;17.1;22.2;48.3;69.4;98.0;78.7;41.5;66.2;60.3;34.5;87.5;246.1;167.9;71.7;593.3
1929;24.7;12.5;22.7;27.4;43.7;38.7;70.2;83.5;59.8;81.6;56.6;56.9;93.8;192.4;198.0;117.5;578.4
1930;41.8;18.8;32.5;22.9;36.2;33.0;41.0;97.0;45.6;58.9;73.1;21.2;91.6;170.9;177.6;92.3;522.0
1931;42.0;29.1;25.1;30.6;47.7;85.4;64.1;89.0;63.9;56.7;24.3;44.9;103.5;238.5;144.9;111.4;602.8
1932;48.5;18.0;16.0;47.7;54.4;66.7;60.9;85.7;93.0;68.9;40.8;30.2;118.1;213.3;202.7;88.0;630.8
1933;24.2;33.7;29.9;25.3;20.4;33.1;83.8;59.3;28.7;54.0;24.3;25.9;75.7;176.1;107.0;87.4;442.5
1934;31.4;30.0;34.4;39.9;47.9;42.1;98.8;63.8;46.0;94.8;59.7;29.6;122.2;204.8;200.5;113.5;618.5
1935;35.6;48.3;23.5;42.8;26.3;56.6;71.5;71.7;88.5;95.4;34.7;55.0;92.6;199.8;218.7;134.2;650.0
1936;52.8;26.4;23.8;34.2;40.1;41.6;95.3;71.6;31.8;55.7;36.0;38.3;98.1;208.4;123.5;104.2;547.6
1937;25.5;40.3;41.5;16.3;51.2;32.0;46.0;45.7;104.6;20.3;58.2;25.9;109.0;123.7;183.1;95.1;507.6
1938;51.7;17.5;42.0;30.3;43.6;75.4;54.2;44.2;52.7;70.2;53.6;23.0;115.9;173.8;176.4;93.7;558.3
1939;38.7;32.1;14.6;35.9;22.8;46.2;85.4;33.2;45.0;15.3;56.7;25.7;73.3;164.8;117.0;74.7;451.5
1940;27.4;21.5;23.0;18.4;18.0;41.9;73.9;85.6;74.8;28.4;67.2;22.2;59.5;201.4;170.4;63.0;502.4
1941;12.0;28.8;23.4;13.3;13.5;31.7;33.3;99.0;44.1;26.4;17.6;28.9;50.2;164.0;88.1;70.1;371.9
1942;24.8;16.4;19.2;17.4;35.0;47.4;59.5;57.2;63.7;75.8;35.0;39.3;71.7;164.1;174.6;117.7;490.9
1943;31.3;47.1;22.9;43.0;28.6;48.3;76.3;102.8;47.4;54.6;65.7;29.9;94.5;227.3;167.6;94.1;597.7
1944;44.5;19.7;32.6;26.7;47.5;63.3;46.3;60.0;67.2;51.8;69.3;55.1;106.8;169.6;188.3;125.1;584.0
1945;37.0;33.1;28.7;29.0;30.7;66.2;52.9;80.5;51.1;40.0;22.7;31.2;88.3;199.6;113.8;87.6;503.0
1946;26.1;30.2;14.8;30.3;26.7;70.5;47.2;55.7;77.3;18.8;42.7;21.1;71.8;173.4;138.8;56.3;461.5
1947;21.7;13.4;22.0;42.9;13.5;42.4;78.5;27.0;43.0;35.8;39.4;56.0;78.4;147.8;118.2;113.5;435.6
1948;45.0;12.4;17.1;28.8;50.0;74.6;33.2;99.4;59.1;54.5;44.7;32.1;95.9;207.2;158.3;98.0;551.0
1949;45.4;20.6;20.9;39.9;43.4;70.3;51.4;80.8;31.3;74.2;28.7;58.5;104.2;202.5;134.2;102.0;565.3
1950;13.1;30.5;26.3;62.7;33.4;43.5;62.5;26.9;72.6;54.2;59.9;43.2;122.5;133.0;186.7;103.0;529.0
1951;32.3;27.5;32.0;43.2;18.0;50.9;71.1;43.6;49.4;17.1;62.2;52.8;93.3;165.5;128.7;134.3;500.0
1952;42.3;39.2;20.1;26.8;32.1;61.2;78.8;77.9;66.3;46.8;38.9;52.3;78.9;217.9;152.1;117.4;582.7
1953;29.1;36.1;26.2;26.7;39.5;48.3;94.1;113.2;45.2;33.6;34.4;19.4;92.3;255.5;113.3;62.0;545.7
1954;35.7;6.9;27.8;20.5;19.6;72.4;97.0;93.9;89.3;64.8;47.6;61.5;67.8;263.3;201.7;138.8;636.9
