Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = France               : parameter = Precipitation                  : Units = mm/month            
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;41.7;37.7;90.2;78.8;39.4;51.0;79.0;52.4;113.4;96.7;28.9;106.7;208.4;182.4;239.0;223.5;815.9
1902;45.1;71.7;61.2;70.6;64.8;70.8;44.3;85.4;55.7;70.0;73.7;56.4;196.5;200.5;199.4;134.9;769.6
1903;52.6;25.9;56.6;68.9;65.7;92.0;74.0;69.0;54.4;115.3;62.0;87.3;191.2;234.9;231.6;254.2;823.6
1904;61.2;105.7;47.8;40.6;55.5;78.3;36.5;51.5;74.9;38.6;36.9;69.6;144.0;166.3;150.3;152.1;697.2
1905;51.7;30.7;78.8;46.3;62.7;78.3;34.1;105.5;102.5;48.3;132.1;35.3;187.8;217.9;282.9;196.9;806.4
1906;85.0;76.6;54.3;60.0;52.0;21.9;50.3;26.5;31.0;78.3;120.8;85.3;166.3;98.7;230.2;172.8;742.1
1907;39.8;47.7;34.4;66.1;72.4;66.3;52.7;29.0;69.7;171.0;71.4;100.3;172.9;148.0;312.1;185.7;820.8
1908;27.6;57.8;58.5;53.4;63.2;81.5;64.6;68.8;69.5;31.1;54.8;76.9;175.1;214.9;155.5;147.0;707.7
1909;40.3;29.8;98.1;47.2;37.3;103.7;55.8;64.0;92.2;99.8;48.8;115.4;182.6;223.5;240.9;308.2;832.5
1910;90.8;102.0;47.7;62.3;84.0;101.8;76.0;83.0;44.9;90.2;169.7;115.7;194.0;260.8;304.8;179.5;1068.1
1911;32.6;31.2;59.3;39.7;63.5;83.1;24.1;37.3;58.1;112.8;113.8;114.5;162.6;144.5;284.8;260.6;770.2
1912;79.2;66.9;92.0;32.0;53.0;84.1;72.3;128.8;43.0;86.9;65.9;54.6;177.0;285.2;195.9;179.2;858.7
1913;87.8;36.8;78.6;81.3;78.3;55.8;56.9;47.5;88.9;88.1;93.7;66.5;238.3;160.2;270.7;174.2;860.3
1914;36.1;71.6;108.4;39.7;79.1;72.7;92.7;76.7;64.1;80.5;75.6;123.4;227.2;242.2;220.1;322.2;920.6
1915;100.0;98.8;41.8;64.7;88.3;75.9;66.2;47.8;78.7;53.9;84.1;117.9;194.7;190.0;216.7;257.5;918.1
1916;27.8;111.8;82.8;65.5;56.3;61.8;61.3;67.7;85.8;88.0;107.7;127.6;204.6;190.8;281.4;219.7;944.0
1917;60.6;31.5;82.5;55.3;92.5;89.6;65.9;91.4;43.2;114.0;49.3;64.3;230.3;246.9;206.5;142.3;840.1
1918;55.8;22.2;53.8;92.4;62.5;53.5;46.2;38.1;110.8;75.6;78.3;93.5;208.7;137.8;264.7;285.6;782.7
1919;99.1;93.0;98.6;64.1;34.7;34.2;61.6;31.0;67.3;69.2;124.0;95.9;197.3;126.7;260.6;200.6;872.6
1920;85.1;19.5;82.5;78.7;48.2;65.1;72.4;44.4;91.7;85.9;56.3;58.9;209.4;181.9;233.9;131.3;788.8
1921;47.1;25.3;30.0;38.8;72.2;38.0;25.3;83.2;44.5;20.9;40.7;48.6;141.0;146.6;106.1;204.3;514.6
1922;95.2;60.5;80.8;116.9;32.3;74.6;65.9;78.1;77.5;66.1;64.8;97.7;229.9;218.6;208.4;241.1;910.2
1923;46.5;96.9;61.4;80.6;78.3;30.5;37.2;46.3;67.7;113.8;119.4;110.9;220.3;114.0;301.0;212.4;889.6
1924;60.8;40.7;64.2;62.9;59.1;62.8;72.2;85.6;91.0;86.1;63.5;60.4;186.2;220.6;240.6;181.8;809.2
1925;43.1;78.3;47.5;75.2;87.1;22.6;92.7;89.5;69.7;66.3;80.3;95.4;209.8;204.7;216.3;249.2;847.6
1926;79.8;74.0;50.6;70.7;99.3;84.8;48.6;39.4;41.9;104.7;142.7;30.4;220.5;172.9;289.3;155.1;866.9
1927;70.8;53.9;108.4;48.7;52.2;81.8;85.5;105.3;109.7;34.5;88.9;97.9;209.3;272.5;233.1;236.2;937.6
1928;76.0;62.3;89.9;89.9;64.9;51.9;20.7;58.9;51.4;128.1;118.2;66.8;244.6;131.5;297.7;133.1;879.0
1929;32.4;33.9;7.1;46.5;61.8;66.6;56.1;49.4;40.2;114.2;90.0;113.8;115.5;172.1;244.4;258.4;712.1
1930;89.1;55.5;76.2;76.0;87.6;83.4;96.2;64.9;90.8;108.2;121.8;87.1;239.8;244.6;320.8;231.9;1036.8
1931;77.0;67.8;74.7;59.8;85.3;40.2;76.6;122.9;65.2;64.9;111.0;40.7;219.8;239.7;241.1;106.4;886.2
1932;53.8;12.0;72.0;80.4;93.7;82.5;105.4;57.6;101.8;105.4;52.2;70.8;246.1;245.5;259.4;165.6;887.5
1933;41.1;53.7;58.6;32.4;64.0;89.5;38.0;33.2;117.2;90.1;83.3;58.8;155.0;160.8;290.5;129.9;760.0
1934;52.6;18.5;80.6;84.3;31.5;59.9;32.8;86.2;49.0;60.7;123.1;129.5;196.4;178.8;232.9;259.9;808.8
1935;44.3;86.2;51.4;78.4;67.8;62.4;29.2;88.9;72.9;99.8;136.4;140.3;197.6;180.5;309.1;351.6;957.9
1936;129.6;81.7;67.8;85.3;54.2;84.4;100.9;35.9;89.3;46.6;82.4;43.7;207.2;221.3;218.3;241.6;901.8
