Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Germany              : parameter = Precipitation                  : Units = mm/month            
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;34.9;27.9;50.0;66.6;38.6;73.7;76.3;72.7;57.1;55.0;52.7;59.2;155.1;222.8;164.8;133.1;664.6
1902;47.7;26.2;53.9;34.2;77.5;61.0;79.7;98.4;49.1;51.9;10.9;63.4;165.6;239.0;111.9;140.5;653.8
1903;42.4;34.7;30.4;69.9;43.8;53.8;100.1;104.2;57.0;82.5;63.7;21.3;144.1;258.1;203.1;123.1;703.7
1904;35.1;66.7;32.5;50.4;67.6;54.9;34.3;55.4;59.5;52.5;57.7;45.1;150.5;144.7;169.7;119.6;611.8
1905;41.6;32.8;59.6;51.4;37.1;68.9;77.5;102.3;68.7;85.4;53.0;30.9;148.1;248.7;207.2;140.2;709.4
1906;65.7;43.6;58.4;34.2;78.1;65.0;79.2;78.6;56.3;32.5;51.6;55.5;170.7;222.7;140.4;142.3;698.5
1907;50.2;36.7;43.6;37.9;46.9;77.4;97.4;74.0;34.5;37.6;28.1;67.3;128.4;248.7;100.1;153.4;631.4
1908;31.9;54.3;35.5;58.7;87.4;57.7;82.4;89.3;52.6;5.6;35.6;23.1;181.6;229.4;93.8;100.9;614.1
1909;33.5;44.3;34.8;50.0;40.1;80.5;113.7;65.9;70.7;52.2;57.4;75.4;124.9;260.0;180.2;199.7;718.4
1910;62.2;62.1;22.5;46.4;61.2;98.2;107.0;102.3;58.4;19.5;86.8;48.4;130.2;307.5;164.7;132.0;775.0
1911;28.7;54.9;38.1;31.7;45.7;63.2;33.1;33.1;44.7;53.8;54.0;68.0;115.4;129.5;152.4;163.8;548.9
1912;53.2;42.7;53.2;34.1;64.2;93.7;70.5;122.1;60.5;57.2;61.5;58.5;151.5;286.2;179.2;129.3;771.2
1913;47.0;23.9;45.0;35.9;55.8;78.0;80.8;59.0;56.6;38.3;68.7;76.2;136.7;217.7;163.6;151.1;665.1
1914;42.3;32.5;89.7;36.6;75.8;73.0;114.7;54.5;69.5;45.9;43.3;58.3;202.1;242.2;158.7;170.3;736.3
1915;79.6;32.4;65.4;44.0;38.5;40.1;91.9;85.2;49.0;43.1;48.5;102.5;148.0;217.2;140.6;228.3;720.3
1916;68.9;56.9;39.9;49.7;59.0;97.7;84.4;87.1;55.3;61.7;47.7;75.5;148.6;269.3;164.7;142.8;783.9
1917;55.3;12.0;44.9;52.1;31.7;57.1;74.5;106.7;40.0;96.4;48.2;37.9;128.8;238.4;184.5;136.1;656.7
1918;62.0;36.3;19.0;56.5;27.1;64.1;87.4;83.0;89.7;46.1;25.1;92.7;102.5;234.5;161.0;164.1;688.9
1919;36.2;35.2;60.9;60.1;23.6;63.4;88.9;53.2;40.9;51.5;78.0;102.2;144.7;205.5;170.3;214.4;694.1
1920;78.8;33.4;25.8;75.8;77.7;46.7;108.5;80.7;66.3;11.9;9.5;46.9;179.3;235.9;87.7;146.8;662.0
1921;80.8;19.0;17.0;32.6;52.4;61.0;32.0;74.4;32.6;39.9;39.8;52.6;102.0;167.3;112.3;153.0;534.0
1922;58.8;41.7;49.5;69.6;39.6;66.1;107.6;99.2;89.9;53.9;60.8;64.3;158.6;273.0;204.5;165.4;801.0
1923;53.3;47.8;25.1;46.3;75.8;64.7;60.4;67.8;51.0;109.1;59.4;58.8;147.2;192.9;219.6;115.5;719.5
1924;26.0;30.8;29.1;72.4;75.8;69.6;98.0;107.7;75.5;43.4;37.6;26.6;177.3;275.3;156.5;116.3;692.4
1925;47.1;42.6;43.5;50.0;45.5;44.8;71.6;98.5;84.0;48.6;51.8;85.5;139.1;214.9;184.4;192.2;713.5
1926;51.2;55.5;43.8;28.6;78.3;107.1;114.3;60.1;43.8;92.7;53.7;43.9;150.7;281.6;190.2;132.2;773.1
1927;56.1;32.3;47.6;80.8;44.5;104.1;109.3;119.7;75.9;37.7;54.4;31.2;172.9;333.1;168.1;136.9;793.6
1928;50.5;55.2;22.5;55.9;53.6;64.5;46.0;94.3;27.7;67.7;88.1;51.3;132.0;204.9;183.4;108.3;677.3
1929;34.9;22.2;10.5;45.3;43.5;68.3;73.3;52.6;31.6;84.3;42.0;78.8;99.4;194.2;157.8;127.9;587.2
1930;33.1;16.1;33.2;65.2;82.9;51.8;129.8;91.9;80.9;88.7;89.0;30.9;181.3;273.5;258.6;152.6;793.5
1931;78.5;43.2;28.9;61.8;65.5;74.5;135.5;114.4;78.0;44.4;20.9;43.9;156.3;324.4;143.3;100.4;789.5
1932;45.1;11.4;25.3;53.3;81.5;48.9;96.1;58.6;79.2;94.7;41.0;12.7;160.1;203.6;214.9;85.2;647.9
1933;29.7;42.8;28.6;28.5;74.5;98.7;74.6;54.3;44.0;64.2;37.2;18.6;131.5;227.5;145.3;86.5;595.5
1934;45.2;22.7;36.2;35.4;30.9;67.8;55.3;100.2;54.1;69.8;42.8;50.0;102.5;223.3;166.7;172.3;610.3
1935;46.8;75.5;26.3;83.2;51.9;87.4;45.5;60.2;75.7;91.3;33.9;50.5;161.4;193.0;200.9;172.2;728.0
1936;66.9;54.7;24.5;71.7;47.7;62.1;121.0;64.3;71.5;62.3;46.6;37.9;144.0;247.4;180.4;175.9;731.3
1937;54.6;83.4;59.8;68.1;59.6;72.2;64.0;69.4;67.0;31.1;35.7;49.4;187.5;205.5;133.8;158.4;714.1
1938;80.4;28.6;23.2;30.0;63.8;52.3;84.1;95.5;46.7;67.2;46.0;45.2;117.0;231.9;159.9;134.0;662.9
1939;63.4;25.4;61.7;50.6;71.1;60.9;99.6;83.4;74.6;110.4;82.6;46.7;183.4;243.9;267.6;109.6;830.4
1940;28.6;34.3;68.1;48.1;53.4;61.6;120.1;80.2;91.8;34.4;76.5;56.9;169.6;261.9;202.8;158.4;754.2
1941;55.5;46.0;49.7;45.1;58.0;63.6;97.1;120.5;35.1;101.0;29.2;55.4;152.8;281.2;165.4;121.4;756.3
1942;38.6;27.4;32.9;31.0;63.0;54.3;117.5;53.3;54.9;67.3;47.6;33.6;126.9;225.2;169.8;114.3;621.4
1943;47.5;33.2;19.4;50.7;36.4;86.7;57.8;82.4;64.9;11.5;56.3;27.5;106.6;226.9;132.7;136.9;574.4
