Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Greece               : parameter = Precipitation                  : Units = mm/month            
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;78.0;88.1;58.3;16.7;39.1;59.9;7.2;18.3;15.7;91.3;122.3;100.5;114.1;85.4;229.3;255.7;695.3
1902;71.5;83.8;61.9;17.9;45.4;10.3;4.2;11.3;16.1;88.1;90.1;113.7;125.2;25.8;194.3;222.9;614.3
1903;52.7;56.5;78.9;52.8;33.6;26.3;14.7;4.9;7.1;58.1;64.6;179.2;165.3;45.9;129.9;410.6;629.5
1904;162.5;68.9;50.4;36.0;43.0;23.5;9.4;6.5;35.8;94.5;79.5;103.7;129.4;39.4;209.9;349.4;713.7
1905;171.9;73.7;92.4;19.1;17.6;20.4;9.7;13.1;15.9;129.7;71.8;47.2;129.1;43.2;217.4;243.9;682.5
1906;104.7;92.1;51.7;41.4;66.1;54.0;4.8;9.9;16.7;83.8;63.2;160.9;159.2;68.8;163.7;371.2;749.3
1907;105.6;104.7;75.7;56.7;12.1;26.3;3.1;29.3;5.2;28.6;77.3;104.5;144.5;58.7;111.1;242.1;629.1
1908;71.1;66.4;59.7;28.6;28.3;12.0;11.9;4.0;71.0;40.9;87.4;171.5;116.6;27.9;199.4;363.5;652.9
1909;106.5;85.5;67.9;30.0;52.3;19.2;13.1;11.2;55.7;50.9;132.0;80.9;150.3;43.4;238.6;312.0;705.2
1910;128.6;102.6;70.7;46.6;74.8;19.7;9.2;8.4;51.8;24.3;88.7;136.6;192.0;37.3;164.8;264.2;762.0
1911;63.2;64.4;70.1;61.1;51.8;19.1;20.9;20.1;48.9;35.3;124.3;121.0;183.0;60.2;208.5;284.8;700.2
1912;91.9;71.8;39.0;35.8;29.5;25.2;31.8;2.8;31.6;36.1;186.4;109.4;104.3;59.9;254.1;303.8;691.4
1913;92.6;101.8;40.5;27.0;47.1;21.4;11.8;23.4;42.2;47.0;63.2;122.3;114.6;56.6;152.4;336.5;640.4
1914;163.0;51.2;40.7;30.1;36.4;34.5;22.2;29.8;14.3;44.5;162.4;94.7;107.3;86.5;221.2;340.6;723.8
1915;137.9;108.0;47.5;72.6;29.8;35.5;37.2;10.6;44.5;70.8;61.4;64.7;149.9;83.3;176.7;233.1;720.5
1916;80.8;87.6;49.0;42.1;35.3;13.6;9.0;35.0;35.6;55.1;64.9;113.5;126.4;57.6;155.6;330.6;621.4
1917;147.3;69.8;57.6;45.0;40.0;16.0;3.3;2.1;5.6;75.9;105.5;168.3;142.6;21.4;187.0;328.8;736.4
1918;65.7;94.8;90.7;23.2;26.7;16.9;11.4;9.8;6.3;149.9;164.2;151.4;140.7;38.0;320.4;392.0;811.0
1919;153.9;86.7;85.6;46.1;78.2;17.6;14.8;10.2;29.0;98.5;96.4;127.4;209.9;42.5;223.9;306.0;844.3
1920;98.4;80.2;68.7;57.8;55.2;20.1;18.6;18.2;5.6;135.2;100.1;130.5;181.8;56.9;241.0;265.9;788.8
1921;68.1;67.3;48.6;57.8;33.4;49.8;4.2;2.0;51.0;50.6;162.4;153.0;139.8;56.0;264.1;356.0;748.2
1922;137.8;65.2;37.1;26.6;55.8;8.1;2.1;7.7;5.7;61.9;146.9;107.0;119.5;17.8;214.5;352.3;661.8
1923;147.0;98.3;66.2;58.2;41.8;45.2;11.3;10.9;7.9;22.5;65.1;145.6;166.2;67.4;95.5;379.7;720.1
1924;145.3;88.8;61.2;14.1;25.6;22.1;5.1;23.9;37.9;100.9;130.4;104.5;100.9;51.2;269.2;220.1;759.9
1925;53.1;62.5;98.7;34.6;72.7;24.6;9.9;2.3;10.2;57.7;115.1;84.5;206.0;36.8;182.9;293.7;625.7
1926;144.7;64.6;66.4;19.8;35.7;22.1;10.5;7.6;11.2;15.7;36.5;192.2;121.9;40.2;63.5;372.0;627.0
1927;93.7;86.1;55.1;59.3;16.1;6.1;8.9;6.4;19.9;127.4;40.6;143.1;130.4;21.4;187.9;373.8;662.6
1928;150.0;80.6;118.2;35.7;16.0;4.1;2.1;4.0;16.3;49.6;185.8;153.9;169.9;10.1;251.7;397.1;816.3
