Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Hungary              : parameter = Precipitation                  : Units = mm/month            
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;32.5;21.7;55.4;43.3;39.9;72.4;76.9;63.0;55.0;47.9;41.8;48.9;138.6;212.3;144.6;144.9;598.5
1902;31.3;64.7;41.3;40.7;87.9;95.3;87.0;45.8;34.3;94.6;8.6;46.7;169.9;228.1;137.6;92.9;678.3
1903;27.3;18.9;23.1;87.9;43.1;85.7;108.5;45.2;46.9;48.7;73.2;58.2;154.1;239.3;168.8;140.5;666.7
1904;20.6;61.7;39.6;33.0;52.9;53.1;17.8;50.9;73.8;83.0;46.2;36.0;125.5;121.9;202.9;73.0;568.5
1905;19.3;17.8;31.8;57.0;80.3;76.0;38.6;51.9;65.1;101.5;96.2;18.4;169.1;166.5;262.7;78.3;653.7
1906;31.2;28.7;56.5;36.0;63.7;101.7;99.3;63.4;102.7;13.6;47.8;88.1;156.1;264.4;164.1;156.0;732.7
1907;50.6;17.2;23.4;82.7;43.1;60.9;82.7;32.2;29.7;18.9;28.0;64.3;149.3;175.8;76.6;139.7;533.7
1908;23.9;51.5;39.8;66.9;51.1;41.0;70.5;66.9;25.8;8.8;42.0;40.8;157.8;178.5;76.6;104.3;529.0
1909;25.4;38.1;43.3;32.9;79.5;73.5;75.4;64.3;57.6;31.0;33.1;82.7;155.6;213.2;121.7;177.4;636.7
1910;52.4;42.2;8.8;63.7;92.1;91.8;60.5;56.9;88.9;22.2;98.2;46.4;164.6;209.2;209.4;100.3;724.3
1911;24.3;29.6;23.8;40.5;107.8;55.1;27.4;48.0;44.8;56.0;30.5;49.8;172.1;130.4;131.3;131.6;537.6
1912;36.7;45.0;65.2;63.2;73.4;76.8;61.2;64.2;93.1;67.7;47.2;34.7;201.8;202.2;208.0;75.8;728.5
1913;31.3;9.8;21.1;47.8;74.5;65.3;114.4;84.7;70.8;27.4;55.3;45.5;143.4;264.5;153.5;72.3;648.0
1914;17.0;9.8;60.4;22.7;84.6;90.2;138.9;35.1;94.0;48.5;14.4;57.3;167.7;264.3;156.8;160.8;672.9
1915;74.6;28.9;55.2;38.2;50.0;104.7;96.6;85.1;84.6;106.7;57.4;55.4;143.5;286.4;248.7;134.5;837.5
1916;38.7;40.4;53.2;92.0;53.8;77.5;56.7;40.9;76.9;46.5;44.3;70.8;199.1;175.1;167.6;147.3;691.7
1917;54.9;21.6;39.3;54.3;18.4;25.3;62.8;32.7;24.7;60.9;44.9;54.9;111.9;120.8;130.5;99.9;494.7
1918;22.9;22.0;15.3;40.6;52.1;70.0;75.1;106.9;51.6;94.6;48.2;67.2;108.1;251.9;194.4;136.2;666.6
1919;40.5;28.5;49.5;73.6;76.0;55.2;71.4;40.2;45.5;59.7;93.8;53.4;199.2;166.8;198.9;123.1;687.3
1920;47.6;22.1;27.6;52.7;65.0;96.4;102.0;62.8;57.3;26.3;14.4;71.0;145.4;261.2;98.0;149.4;645.3
1921;33.0;45.4;5.3;61.0;54.7;69.6;36.2;51.1;19.9;32.5;59.6;28.8;121.0;156.9;112.1;131.4;497.3
1922;66.9;35.6;46.7;75.2;34.3;62.4;43.9;39.5;120.0;109.9;39.9;26.0;156.3;145.8;269.8;114.1;700.4
1923;41.7;46.4;36.5;58.0;24.2;74.4;35.5;30.6;34.7;72.4;96.5;64.0;118.6;140.5;203.5;136.5;614.7
1924;21.6;50.9;38.5;72.7;82.0;122.2;50.8;62.4;45.1;21.2;18.9;10.7;193.1;235.4;85.2;54.1;596.9
1925;10.0;33.4;31.2;50.0;77.4;89.1;114.0;71.7;70.6;31.5;87.5;48.4;158.6;274.7;189.6;113.0;714.8
1926;34.1;30.5;31.6;32.8;65.0;139.7;112.8;64.5;32.6;85.9;27.6;50.7;129.4;317.1;146.1;106.6;708.0
1927;43.9;11.9;53.2;56.9;51.8;61.3;63.9;84.0;70.2;37.6;51.2;41.4;162.0;209.2;159.0;92.5;627.5
1928;19.8;31.3;26.0;41.6;81.1;62.9;19.7;45.0;73.0;35.4;49.4;41.5;148.6;127.5;157.8;123.0;526.5
1929;47.9;33.7;8.5;56.0;67.1;77.0;40.4;70.7;23.9;70.1;56.6;31.2;131.6;188.2;150.6;98.3;583.2
1930;20.6;46.4;40.9;76.1;50.4;39.1;55.9;78.3;57.0;115.1;56.3;74.2;167.4;173.4;228.4;158.2;710.5
1931;35.5;48.5;45.8;56.1;39.9;57.5;49.2;74.4;77.8;56.2;44.7;23.2;141.9;181.1;178.7;66.4;608.9
1932;27.9;15.3;40.3;42.2;86.9;40.9;72.0;50.0;17.1;82.4;23.3;22.1;169.4;162.9;122.8;83.4;520.4
1933;24.3;37.1;32.7;34.7;88.8;89.6;51.7;68.0;33.5;80.6;86.7;48.0;156.1;209.2;200.9;88.8;675.7
1934;18.2;22.6;16.6;26.2;42.1;107.8;69.2;60.8;64.1;52.8;51.4;41.1;84.9;237.8;168.2;127.9;572.8
1935;29.3;57.4;34.2;66.2;68.2;35.2;30.4;61.9;39.1;58.6;38.5;77.2;168.7;127.4;136.1;205.1;596.1
1936;49.4;78.5;32.6;48.5;101.3;59.2;73.5;51.1;58.7;111.1;24.9;25.2;182.4;183.8;194.7;105.1;713.9
1937;43.6;36.3;64.1;65.2;62.6;91.4;74.4;98.1;69.0;31.7;91.4;78.8;191.9;263.9;192.1;134.5;806.6
1938;42.5;13.3;23.3;36.4;94.1;45.0;70.0;115.3;26.3;52.4;26.4;51.0;153.9;230.2;105.1;95.9;595.9
1939;26.8;18.0;50.9;15.3;126.1;77.1;51.7;56.3;49.6;108.0;63.0;33.1;192.4;185.1;220.6;117.0;676.1
1940;36.7;47.2;30.4;30.8;111.7;112.5;100.2;99.6;61.1;75.2;42.0;31.1;172.9;312.3;178.4;119.1;778.6
1941;42.5;45.5;62.3;77.3;58.5;67.7;71.8;54.3;40.7;69.0;75.0;42.7;198.2;193.8;184.7;128.4;707.2
1942;38.8;46.9;20.5;78.8;86.6;54.4;65.9;35.1;14.8;32.7;39.7;21.1;185.9;155.4;87.2;89.5;535.3
1943;32.1;36.3;16.4;28.3;57.7;90.4;75.4;22.7;39.7;11.8;78.5;50.9;102.5;188.5;130.0;122.5;540.3
1944;28.5;43.1;60.5;29.7;71.2;89.3;69.3;43.2;44.6;105.0;92.8;47.7;161.4;201.9;242.3;129.6;725.0
1945;60.0;21.9;19.1;39.4;54.1;52.9;43.3;54.7;48.9;43.6;72.6;40.9;112.7;150.9;165.1;108.6;551.5
1946;18.2;49.5;20.2;8.6;64.9;73.0;64.1;47.5;12.0;57.2;72.8;51.4;93.7;184.5;142.1;164.5;539.4
1947;31.7;81.3;38.1;36.7;24.3;59.8;58.8;22.3;9.0;15.3;59.2;68.9;99.2;141.0;83.5;190.9;505.6
