Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Iceland              : parameter = Precipitation                  : Units = mm/month            
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;150.4;23.1;49.7;75.2;104.3;55.5;92.6;76.1;115.3;93.5;61.1;54.6;229.3;224.1;269.9;191.5;951.4
1902;85.3;51.5;60.4;42.6;56.3;43.9;27.2;52.4;65.7;105.6;131.8;123.1;159.3;123.5;303.2;290.2;845.9
1903;96.3;70.8;58.1;62.3;52.1;79.0;24.2;40.6;131.6;70.5;93.0;132.7;172.5;143.8;295.1;286.8;911.2
1904;91.0;63.1;105.2;55.6;96.5;52.8;59.6;54.5;127.9;132.0;88.3;72.6;257.3;166.9;348.3;285.8;999.2
1905;143.1;70.1;64.5;27.6;63.5;36.4;75.8;47.6;115.0;85.6;77.5;95.5;155.6;159.8;278.0;229.4;902.1
1906;88.4;45.5;31.3;88.2;31.2;62.7;109.4;30.7;151.3;115.5;95.5;82.2;150.7;202.8;362.2;259.7;931.8
1907;119.9;57.6;69.8;54.3;27.7;25.0;52.3;36.4;104.2;67.4;80.8;92.4;151.8;113.8;252.4;236.6;787.9
1908;82.2;62.0;65.0;48.0;50.6;87.4;28.8;50.3;90.1;188.3;83.3;100.2;163.6;166.6;361.7;255.7;936.2
1909;82.0;73.5;49.8;61.0;58.6;19.4;46.2;122.9;56.4;100.8;62.0;55.9;169.5;188.6;219.1;175.6;788.6
1910;66.9;52.8;87.6;36.0;60.0;60.1;42.5;41.1;117.0;108.8;48.3;76.3;183.6;143.6;274.1;222.6;797.4
1911;92.1;54.1;46.2;29.3;91.5;42.8;70.5;55.0;83.5;65.7;65.1;117.0;167.0;168.2;214.3;234.9;812.8
1912;67.9;50.0;36.7;55.1;47.9;41.0;50.5;40.0;89.1;115.8;101.8;49.7;139.6;131.5;306.7;234.3;745.4
1913;106.8;77.7;59.4;83.1;24.3;48.7;71.5;115.0;68.3;40.0;100.2;72.4;166.8;235.2;208.5;183.3;867.5
1914;72.9;38.0;29.2;58.1;41.6;69.9;36.7;63.4;145.6;114.5;60.2;100.3;128.9;170.1;320.4;214.8;830.5
1915;66.4;48.1;26.1;61.8;22.8;29.4;52.1;43.0;63.2;187.0;51.7;63.7;110.7;124.6;301.9;249.8;715.4
1916;125.2;60.8;11.9;40.9;37.2;7.0;53.2;93.5;82.5;74.0;55.5;40.9;90.0;153.7;212.0;141.0;682.7
1917;41.3;58.8;65.8;27.3;41.2;51.6;26.8;63.9;94.1;82.1;80.2;84.4;134.3;142.3;256.5;260.2;717.7
1918;36.2;139.5;147.8;74.4;53.8;77.8;32.3;50.6;57.3;93.8;131.1;89.4;276.0;160.7;282.1;243.1;983.9
1919;91.6;62.1;53.0;65.8;104.7;90.3;69.7;46.7;65.6;62.1;45.2;117.9;223.5;206.8;172.8;261.9;874.7
1920;51.0;93.1;62.5;30.3;59.5;31.7;79.6;74.4;130.9;138.1;135.6;86.9;152.3;185.7;404.6;268.9;973.6
1921;66.7;115.4;95.7;136.2;54.8;47.5;75.1;47.3;126.9;132.1;192.4;153.5;286.7;169.8;451.4;453.6;1243.4
1922;166.9;133.3;62.3;45.7;41.6;94.8;67.6;98.2;71.1;75.2;117.6;99.1;149.7;260.6;263.8;295.1;1073.3
1923;102.1;93.9;117.7;53.4;27.2;80.3;115.4;61.5;109.0;90.0;45.8;75.7;198.3;257.3;244.9;272.4;972.1
1924;133.4;63.3;52.7;34.0;38.0;55.8;73.1;92.6;63.0;134.1;108.2;129.6;124.6;221.5;305.2;309.6;977.7
1925;128.6;51.4;64.8;74.5;89.6;66.1;80.0;68.5;111.7;57.7;112.4;59.7;228.8;214.6;281.9;270.0;965.0
1926;131.0;79.3;56.8;83.9;65.1;57.8;103.0;125.3;109.6;51.2;100.4;115.0;205.8;286.2;261.2;289.5;1078.5
1927;69.3;105.2;83.0;55.9;57.1;44.6;61.2;59.6;79.3;77.7;121.8;58.8;195.9;165.4;278.8;218.7;873.4
1928;81.7;78.2;72.8;58.1;20.1;33.3;70.2;58.3;101.7;64.5;103.6;81.8;151.0;161.7;269.7;274.2;824.1
1929;75.2;117.3;82.2;21.1;96.7;62.9;29.0;77.9;127.6;88.4;77.2;113.4;200.0;169.7;293.2;364.3;968.8
1930;131.0;119.9;60.7;84.1;45.0;103.6;67.9;115.7;88.6;101.6;81.8;108.3;189.8;287.3;272.0;246.8;1108.3
1931;76.4;62.1;78.0;78.4;11.4;41.2;38.2;35.1;72.4;128.6;176.2;112.2;167.8;114.5;377.3;274.2;910.3
1932;116.6;45.4;51.6;64.8;16.0;39.6;94.2;97.4;93.1;79.2;143.2;109.6;132.4;231.2;315.5;286.6;950.7
1933;139.6;37.4;100.8;43.3;50.2;111.2;51.3;102.7;132.6;123.6;103.2;121.4;194.3;265.2;359.4;331.4;1117.3
1934;118.6;91.4;49.8;44.6;76.1;52.5;72.1;122.0;156.8;105.3;116.3;97.4;170.5;246.7;378.4;252.9;1103.0
1935;91.3;64.3;113.0;18.5;28.7;70.0;133.6;101.2;57.9;127.3;90.3;77.7;160.2;304.7;275.5;152.7;973.7
1936;24.5;50.5;88.2;29.4;71.0;73.8;32.6;143.1;134.2;152.3;104.0;74.0;188.6;249.4;390.6;269.7;977.6
1937;106.7;89.1;24.2;94.3;96.9;40.9;104.5;132.5;124.4;86.0;84.7;91.0;215.4;277.9;295.1;247.5;1075.1
1938;86.4;70.1;115.6;54.1;48.0;87.7;56.0;62.0;85.2;133.3;97.6;125.3;217.7;205.7;316.1;273.5;1021.3
1939;47.6;100.6;79.0;60.0;53.5;63.4;24.9;115.0;95.3;68.2;66.0;107.4;192.5;203.3;229.5;267.9;880.9
1940;101.3;59.3;79.9;68.3;100.6;100.7;47.2;87.6;87.4;117.5;97.7;88.9;248.8;235.5;302.6;175.5;1036.3
1941;37.1;49.5;49.1;30.3;48.9;59.5;96.8;51.0;136.6;73.0;98.3;96.1;128.3;207.3;307.8;284.3;826.2
1942;134.6;53.6;72.5;74.4;78.1;44.5;81.1;101.2;109.8;88.0;82.0;98.1;225.0;226.8;279.8;258.6;1017.9
1943;63.2;97.3;83.3;65.3;54.2;78.8;108.7;44.1;146.0;132.8;96.2;117.8;202.8;231.5;375.0;273.5;1087.7
1944;100.7;55.0;65.9;77.8;59.9;33.0;36.9;115.8;104.6;129.0;64.2;92.9;203.7;185.6;297.8;234.6;935.8
1945;46.6;95.1;108.1;84.8;47.4;54.0;66.2;78.9;164.2;95.6;127.4;71.8;240.3;199.1;387.2;257.1;1040.0
1946;115.2;70.1;61.5;98.7;21.5;57.4;63.8;98.4;97.4;120.0;87.1;125.0;181.7;219.6;304.6;298.4;1016.2
1947;121.4;52.0;30.0;62.9;78.1;79.1;107.4;89.7;90.2;99.6;87.3;89.5;171.1;276.2;277.1;240.5;987.3
1948;68.3;82.7;120.0;50.4;58.2;39.6;77.7;30.7;68.2;151.3;101.8;94.2;228.7;148.1;321.3;270.3;943.2
1949;93.7;82.4;65.6;57.4;47.7;70.5;66.8;91.4;124.5;81.1;78.8;91.5;170.7;228.7;284.4;301.4;951.3
1950;144.8;65.1;64.6;46.1;57.6;45.6;100.7;119.5;94.2;139.6;68.8;90.9;168.2;265.8;302.6;241.3;1037.4
1951;88.9;61.5;57.0;53.9;39.6;43.9;58.6;86.8;123.6;145.1;54.8;128.7;150.5;189.3;323.5;347.9;942.4
1952;113.2;106.0;41.7;86.5;65.4;34.4;68.8;69.8;60.6;127.1;55.5;83.3;193.6;173.0;243.2;312.8;912.2
1953;99.8;129.8;130.7;76.7;39.5;75.5;70.6;93.5;122.8;160.9;151.8;163.9;246.9;239.6;435.5;346.1;1315.5
1954;97.1;85.1;78.6;85.5;55.4;41.4;83.9;73.8;76.9;89.7;150.1;87.3;219.5;199.1;316.7;209.4;1004.8
1955;84.4;37.8;52.1;99.1;38.4;70.0;99.9;107.3;98.7;63.2;93.2;67.8;189.7;277.1;255.1;264.9;911.9
1956;100.4;96.6;78.1;71.3;101.1;63.1;54.0;33.8;91.0;132.4;148.4;113.3;250.5;150.9;371.9;287.3;1083.5
1957;115.6;58.5;70.4;84.1;95.9;33.5;34.7;83.2;53.5;138.7;93.7;110.1;250.4;151.4;285.9;267.5;971.8
1958;104.3;53.1;45.2;80.2;14.4;31.2;39.9;76.2;78.0;153.2;175.7;77.3;139.8;147.4;406.9;280.0;928.8
1959;55.5;147.1;108.5;55.4;54.2;104.5;65.2;138.0;134.0;154.8;106.0;106.0;218.1;307.7;394.8;242.2;1229.3
1960;65.9;70.3;79.0;88.0;77.5;76.7;93.5;18.1;80.4;44.6;89.9;121.3;244.6;188.3;214.9;340.6;905.1
1961;108.6;110.8;115.2;60.1;58.0;89.6;52.5;92.5;128.5;138.1;146.3;79.9;233.3;234.6;412.9;299.0;1180.0
1962;125.6;93.5;23.0;79.6;37.8;100.3;56.8;62.3;92.0;131.5;65.4;129.1;140.4;219.3;289.0;234.6;996.9
1963;43.3;62.2;79.7;87.0;101.6;56.9;81.7;28.2;116.2;126.6;91.0;75.2;268.4;166.7;333.7;260.0;949.6
1964;124.3;60.4;95.5;62.0;75.2;62.8;90.6;65.6;59.9;134.6;110.2;86.1;232.7;219.0;304.7;229.3;1027.2
1965;93.7;49.6;28.7;57.7;30.3;55.8;46.0;79.9;71.4;173.7;59.8;50.7;116.6;181.8;304.9;157.0;797.2
1966;75.6;30.8;95.6;52.4;77.5;84.5;80.0;84.6;67.9;51.4;124.6;96.2;225.6;249.0;243.9;277.3;921.0
1967;94.8;86.4;81.0;76.8;37.2;84.6;74.9;73.8;83.2;91.7;87.2;148.5;195.0;233.3;262.1;351.2;1020.1
1968;103.6;99.1;85.1;61.6;28.2;86.8;43.5;108.6;81.4;60.7;136.1;80.5;175.0;238.9;278.2;232.7;975.3
1969;82.3;69.9;94.7;75.5;21.6;98.4;107.7;121.4;110.5;149.0;54.7;97.3;191.9;327.5;314.1;268.8;1083.0
1970;105.3;66.2;98.0;48.4;98.0;54.4;77.5;105.7;107.6;126.3;69.8;117.8;244.4;237.7;303.7;289.0;1075.1
1971;64.0;107.3;94.9;81.6;88.5;24.9;87.2;79.6;132.0;124.3;103.7;128.2;265.0;191.6;359.9;353.5;1116.0
