Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Ireland              : parameter = Precipitation                  : Units = mm/month            
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;114.4;43.3;84.9;85.6;53.5;73.0;34.9;94.6;152.2;108.9;104.6;127.6;224.0;202.4;365.7;288.6;1077.4
1902;76.3;84.7;73.1;68.7;74.3;72.7;77.8;78.6;82.9;68.6;162.8;103.7;216.1;229.0;314.3;370.8;1024.1
1903;167.8;99.3;170.9;52.3;73.5;71.3;141.4;139.3;116.3;154.7;81.3;113.8;296.7;352.0;352.2;380.3;1382.0
1904;127.4;139.1;80.6;64.1;73.4;57.2;106.9;104.9;102.3;73.4;83.8;85.3;218.1;269.0;259.5;223.0;1098.4
1905;81.7;56.0;143.0;80.4;36.4;53.3;52.6;148.7;59.7;50.9;124.6;81.4;259.9;254.6;235.2;315.3;968.6
1906;143.4;90.5;72.3;53.0;101.9;54.1;78.3;81.6;39.1;137.6;76.0;96.1;227.2;213.9;252.7;213.1;1023.9
1907;52.1;64.9;69.6;82.2;102.8;107.1;80.7;96.0;50.8;146.4;106.7;145.1;254.5;283.8;303.8;308.8;1104.2
1908;89.5;74.3;108.5;65.2;77.6;48.6;86.1;102.6;166.5;61.6;78.2;122.7;251.3;237.3;306.3;257.4;1081.4
1909;81.3;53.4;94.0;131.2;57.7;50.9;81.2;36.5;64.9;162.0;54.5;125.4;282.8;168.6;281.4;386.6;993.0
1910;108.9;152.3;71.9;75.9;74.6;110.2;89.9;140.9;29.6;74.8;129.7;123.9;222.4;341.0;234.1;253.2;1182.7
1911;48.3;81.0;62.1;65.3;55.6;61.3;85.7;62.2;87.1;115.6;144.2;210.1;183.0;209.3;346.8;431.4;1078.4
1912;115.7;105.6;121.3;34.5;42.8;137.1;126.3;129.9;27.4;83.9;77.4;138.6;198.6;393.4;188.7;368.1;1140.6
1913;178.6;50.9;115.0;106.2;117.6;77.6;24.5;40.5;119.2;138.6;134.5;83.3;338.8;142.6;392.3;300.8;1186.6
1914;61.0;156.6;132.8;47.0;53.5;30.7;96.9;120.7;75.3;59.8;125.2;231.2;233.3;248.3;260.2;499.4;1190.6
1915;119.0;149.2;28.0;58.8;46.6;49.9;151.5;78.2;59.7;125.1;110.1;184.3;133.4;279.6;294.9;400.1;1160.4
1916;81.3;134.5;63.3;93.9;113.8;69.4;62.0;98.1;66.8;221.3;193.3;102.1;271.1;229.5;481.4;219.9;1300.0
1917;63.3;54.4;86.1;45.7;94.7;57.4;70.5;191.7;57.7;140.1;97.4;77.2;226.5;319.7;295.3;308.6;1036.4
1918;104.3;127.2;63.2;39.5;68.1;44.2;117.7;70.5;199.0;125.9;105.5;165.4;170.7;232.4;430.3;353.0;1230.2
1919;124.7;63.0;82.7;51.1;86.8;63.8;44.4;81.1;80.3;37.9;78.3;166.0;220.6;189.3;196.4;400.2;960.0
1920;158.0;76.3;108.1;110.4;108.6;57.8;139.2;66.7;74.3;139.4;120.8;111.5;327.1;263.7;334.5;280.4;1271.1
1921;118.1;50.8;103.1;26.7;67.4;10.0;115.4;116.4;50.4;83.9;112.2;99.0;197.3;241.7;246.5;345.5;953.4
1922;127.3;119.3;60.2;80.2;48.5;45.9;99.4;110.0;110.4;35.4;56.4;127.7;188.9;255.4;202.3;393.2;1020.7
1923;88.9;176.7;77.6;106.2;52.0;28.1;86.0;153.8;116.1;128.7;112.8;106.5;235.8;268.0;357.6;313.2;1233.4
1924;156.2;50.5;37.1;85.7;117.2;103.2;113.3;116.5;188.0;107.3;127.7;187.0;240.1;333.0;422.9;458.6;1389.6
1925;131.1;140.5;23.4;112.0;142.7;14.6;99.8;72.4;86.8;108.9;79.4;88.9;278.1;186.8;275.1;368.1;1100.6
1926;187.2;91.9;43.1;69.8;88.4;78.4;87.5;80.6;59.1;90.4;157.1;33.5;201.3;246.5;306.6;253.5;1067.1
1927;143.9;76.1;116.9;48.3;46.0;98.6;106.0;136.9;140.9;86.7;115.8;113.0;211.2;341.4;343.5;380.5;1229.1
1928;159.7;107.8;133.2;76.8;50.0;144.6;51.3;140.9;67.7;184.7;159.5;132.0;260.0;336.8;411.9;323.5;1408.1
1929;56.9;134.6;22.5;36.6;83.7;56.9;112.9;116.7;34.3;126.5;187.0;243.5;142.9;286.5;347.8;453.3;1212.1
1930;179.1;30.7;139.6;58.3;59.0;61.8;97.7;155.4;141.6;167.7;130.9;132.5;256.8;314.9;440.3;303.9;1354.4
1931;86.6;84.8;94.5;78.9;118.7;116.4;110.4;86.2;82.6;56.5;208.4;83.2;292.2;313.0;347.5;226.6;1207.2
1932;135.5;8.0;68.6;88.4;98.8;42.6;122.1;61.8;97.2;114.6;64.0;180.5;255.8;226.5;275.8;363.5;1082.1
1933;98.0;85.0;91.6;44.5;92.1;67.0;83.4;55.5;39.4;85.5;52.6;62.1;228.2;205.8;177.4;191.1;856.6
1934;120.3;8.7;97.4;81.0;70.2;50.9;57.9;126.6;173.4;114.9;50.3;206.6;248.7;235.4;338.7;351.5;1158.4
1935;42.1;102.7;46.4;87.5;34.0;131.6;29.9;72.4;175.9;112.1;145.2;89.9;168.0;233.9;433.2;325.8;1069.8
1936;149.6;86.3;69.9;50.8;39.9;82.8;163.0;41.8;116.8;72.5;118.4;134.5;160.7;287.7;307.7;454.7;1126.5
1937;180.5;139.6;101.4;83.2;57.0;46.1;121.9;69.5;107.5;76.7;78.1;86.3;241.6;237.5;262.3;289.3;1147.9
1938;145.9;57.0;48.4;5.6;108.9;100.1;134.5;100.7;88.4;182.1;165.6;128.9;163.0;335.3;436.1;368.8;1266.2
1939;140.8;99.1;86.6;49.3;31.2;59.9;124.3;51.8;66.7;87.2;203.1;90.9;167.0;236.0;357.1;324.4;1090.8
1940;101.8;131.6;89.5;97.8;44.4;36.3;101.9;17.6;73.5;181.0;156.1;118.8;231.7;155.8;410.6;344.9;1150.2
1941;115.3;110.9;90.4;45.0;80.4;27.8;83.9;90.5;38.0;88.5;179.9;69.8;215.7;202.2;306.4;265.1;1020.2
1942;155.9;39.4;108.1;64.6;120.5;11.2;95.4;132.5;124.0;68.3;28.1;145.7;293.2;239.1;220.4;387.4;1093.6
1943;183.5;58.2;34.3;52.3;105.8;82.6;69.8;126.7;98.8;136.0;92.8;79.3;192.5;279.1;327.7;235.3;1120.3
1944;116.1;39.8;14.0;71.6;47.9;60.5;107.5;80.8;140.2;144.4;175.1;133.6;133.5;248.8;459.8;327.1;1131.5
1945;85.8;107.7;47.1;43.9;101.0;106.2;123.4;61.8;98.6;108.4;37.3;145.3;192.0;291.3;244.3;372.9;1066.4
1946;132.0;95.5;55.9;36.8;67.1;99.4;97.1;158.9;169.8;71.1;138.6;157.8;159.9;355.4;379.4;364.5;1280.0
1947;131.3;75.4;175.1;109.1;107.9;117.8;99.3;30.8;95.3;84.7;148.9;116.0;392.1;247.9;328.9;395.9;1291.5
1948;209.8;70.1;79.2;71.6;56.2;97.1;74.8;96.2;96.2;115.9;98.4;217.8;207.0;268.1;310.5;373.4;1283.3
1949;76.5;79.0;59.7;79.4;65.3;30.2;72.5;107.8;68.5;175.6;116.7;137.3;204.4;210.4;360.7;358.7;1068.4
1950;72.0;149.4;56.8;87.6;30.0;62.0;125.9;159.0;182.1;90.9;106.5;103.5;174.4;346.9;379.5;338.2;1225.7
1951;128.8;105.9;92.8;55.9;54.4;57.1;74.3;135.2;131.3;59.7;150.7;182.8;203.1;266.6;341.7;348.6;1228.8
1952;139.2;26.6;65.8;65.0;69.5;64.7;30.7;86.5;58.2;146.6;74.2;115.8;200.4;181.9;279.0;211.1;942.9
1953;45.5;49.8;23.6;70.8;55.5;41.5;136.6;109.8;123.2;88.6;108.4;94.4;149.9;287.8;320.3;311.9;947.8
1954;90.4;127.1;106.7;32.6;93.5;63.9;99.2;77.9;144.0;176.1;143.0;134.4;232.8;241.0;463.0;339.5;1288.7
1955;110.0;95.2;37.6;77.2;99.0;125.4;20.3;51.2;93.6;62.8;93.2;140.0;213.8;196.9;249.6;282.4;1005.4
1956;110.4;32.0;103.4;28.3;45.9;76.7;129.9;140.7;127.9;78.4;70.8;172.3;177.5;347.3;277.0;395.4;1116.7
1957;131.6;91.4;130.6;33.7;59.4;46.5;104.4;83.2;165.9;123.2;42.3;115.0;223.7;234.1;331.3;371.1;1127.2
1958;139.8;116.3;80.6;34.9;118.1;123.6;126.7;144.2;145.3;71.6;72.3;136.2;233.6;394.5;289.2;258.8;1309.5
1959;91.1;31.5;99.6;91.6;55.2;70.1;70.4;37.6;49.2;163.0;131.6;231.0;246.3;178.2;343.8;438.5;1121.8
1960;117.6;89.9;79.7;80.6;73.3;85.2;151.9;118.2;135.5;127.5;188.4;149.0;233.6;355.3;451.4;413.2;1396.9
1961;168.3;95.8;20.7;125.9;49.7;50.5;96.1;73.2;137.8;124.2;81.2;94.6;196.3;219.8;343.2;284.5;1118.0
1962;141.4;48.4;89.1;69.0;77.5;48.3;72.3;121.7;154.6;57.1;91.5;114.7;235.6;242.4;303.2;205.7;1085.6
1963;27.5;63.5;147.3;77.5;73.2;67.3;75.5;111.9;69.7;131.1;172.2;54.0;298.0;254.8;372.9;166.4;1070.8
1964;49.4;63.0;128.3;74.5;88.2;85.4;82.7;113.0;81.4;121.4;83.1;161.7;291.0;281.1;285.9;325.8;1132.0
1965;154.5;9.6;98.4;91.3;86.3;108.3;96.1;97.2;100.7;66.9;157.4;182.9;276.0;301.6;325.1;460.4;1249.6
1966;111.6;165.8;56.8;146.0;92.6;113.4;58.5;87.1;90.8;142.9;74.8;131.2;295.4;259.1;308.4;334.8;1271.6
1967;86.3;117.3;67.0;38.1;133.1;30.1;81.7;104.9;142.5;191.0;78.9;80.3;238.2;216.6;412.3;248.1;1151.0
1968;130.2;37.6;85.1;71.3;64.8;72.7;40.9;90.7;149.9;133.6;131.4;167.4;221.2;204.3;414.9;411.0;1175.6
1969;183.0;60.6;50.4;70.0;89.0;71.8;42.8;50.5;49.3;59.0;120.2;121.0;209.5;165.1;228.5;375.7;967.6
1970;118.8;135.8;58.0;97.5;34.0;53.6;95.5;76.1;124.7;86.3;179.6;59.3;189.5;225.1;390.6;225.4;1119.2
1971;101.5;64.6;61.1;46.1;47.7;81.8;72.2;87.1;51.2;89.6;107.2;53.2;154.9;241.1;248.0;300.2;863.2
1972;144.8;102.2;93.3;81.7;113.0;73.5;68.6;54.9;17.2;64.0;147.3;138.5;288.0;197.0;228.5;327.4;1099.0
1973;103.2;85.7;38.4;48.1;106.0;38.7;74.2;114.3;120.0;69.7;147.4;111.1;192.4;227.2;337.1;438.0;1056.7
1974;210.7;116.1;49.4;36.9;89.8;43.1;99.3;110.5;179.1;60.6;102.7;104.7;176.1;252.9;342.4;332.8;1202.9
1975;179.9;48.2;49.0;67.6;26.8;21.3;87.1;49.4;151.6;125.0;96.4;50.0;143.4;157.8;373.0;227.5;952.2
1976;117.2;60.3;95.5;30.6;98.4;48.9;71.9;11.5;118.3;169.6;99.3;118.7;224.5;132.3;387.2;383.4;1040.2
1977;102.3;162.4;113.8;81.1;28.3;60.3;49.5;103.8;70.6;168.9;131.7;123.0;223.2;213.6;371.3;350.1;1195.9
1978;119.1;108.0;126.3;57.7;23.9;61.8;76.5;92.7;67.5;54.3;126.3;211.6;207.9;231.0;248.2;379.1;1125.8
1979;95.8;71.7;107.7;74.6;115.8;59.5;35.5;130.2;62.7;143.6;144.3;184.9;298.1;225.2;350.6;416.2;1226.3
1980;114.4;116.9;109.3;27.3;33.8;86.9;107.7;107.5;144.2;151.3;124.3;136.8;170.5;302.0;419.8;296.2;1260.4
1981;69.2;90.2;154.8;33.5;166.3;82.9;57.9;31.3;173.0;116.7;95.1;118.9;354.6;172.1;384.8;345.7;1189.8
1982;106.9;119.9;126.6;30.1;74.9;134.9;24.9;97.9;111.1;164.0;164.2;156.6;231.7;257.7;439.3;360.7;1311.9
1983;140.7;63.4;107.8;80.7;109.9;56.8;34.4;66.0;135.7;134.3;52.5;161.5;298.5;157.2;322.4;445.3;1143.7
1984;192.0;91.9;68.5;47.0;32.3;44.7;47.3;79.2;111.4;125.9;162.8;128.5;147.7;171.1;400.1;263.2;1131.3
1985;70.0;64.8;107.6;70.9;96.0;83.6;98.8;195.4;104.1;63.8;95.2;134.2;274.5;377.8;263.1;278.1;1184.3
1986;138.0;5.9;125.2;74.7;134.2;94.4;73.0;171.0;8.0;109.9;151.5;195.1;334.1;338.3;269.4;326.3;1280.8
1987;52.4;78.8;100.8;74.7;29.9;111.2;53.5;83.4;125.8;140.6;88.7;104.7;205.3;248.1;355.1;399.5;1044.5
1988;206.1;88.8;125.3;42.3;88.1;52.3;140.8;123.3;86.1;153.7;61.0;76.3;255.7;316.5;300.8;283.1;1244.1
1989;97.3;109.5;139.9;79.9;25.5;67.4;23.3;111.3;69.7;150.8;66.9;126.2;245.3;201.9;287.4;489.8;1067.5
1990;150.5;213.1;40.9;59.2;38.7;103.0;64.4;65.7;42.9;187.9;86.2;136.2;138.8;233.0;317.0;341.7;1188.7
1991;111.5;94.0;108.4;128.5;8.1;95.2;74.3;40.6;84.1;130.0;138.5;66.4;245.0;210.1;352.6;221.5;1079.6
1992;75.9;79.3;116.7;107.0;56.5;36.3;108.0;149.2;109.9;64.3;139.5;96.7;280.2;293.5;313.7;268.9;1139.3
1993;143.3;28.9;65.2;107.6;136.7;99.2;90.8;47.5;146.7;62.7;93.4;214.5;309.6;237.5;302.7;525.6;1236.5
1994;159.1;152.0;129.9;111.4;72.4;57.8;96.8;87.3;98.4;72.5;106.0;183.1;313.7;241.9;276.9;525.2;1326.7
1995;189.7;152.4;99.2;34.7;67.7;33.5;98.9;15.0;72.0;164.8;150.3;90.6;201.6;147.4;387.1;347.1;1168.8
1996;137.8;118.7;110.8;93.4;74.2;35.0;66.4;110.9;41.1;177.9;137.8;57.4;278.4;212.3;356.9;249.3;1161.5
1997;34.7;157.2;35.6;47.5;89.3;118.9;79.7;138.3;61.1;112.5;149.0;136.0;172.3;336.9;322.6;333.1;1159.6
1998;156.9;40.2;110.4;124.9;36.2;141.0;91.1;78.0;109.6;160.8;139.1;142.4;271.5;310.1;409.5;362.2;1330.6
1999;155.0;64.8;72.3;89.1;70.2;64.2;47.5;110.6;201.5;66.5;115.4;214.1;231.6;222.4;383.4;415.1;1271.3
2000;74.4;126.6;36.1;77.9;75.3;57.8;69.5;87.6;145.8;187.1;196.0;162.6;189.3;215.0;528.9;320.1;1296.8
2001;70.0;87.5;89.3;91.5;43.7;62.5;85.4;113.0;69.3;133.2;71.8;63.9;224.5;260.9;274.3;392.9;981.1
2002;140.3;188.7;60.0;99.3;137.5;101.0;80.9;64.4;37.7;216.6;218.6;122.0;296.8;246.2;472.9;271.5;1467.0
2003;86.4;63.0;60.9;72.3;124.2;96.2;91.8;18.1;71.5;82.8;132.1;110.6;257.4;206.1;286.3;303.9;1009.8
2004;140.4;52.8;86.2;65.4;46.5;75.6;69.8;120.5;114.1;184.6;67.1;100.9;198.1;265.9;365.7;293.1;1124.0
2005;133.0;59.2;57.9;106.0;95.8;56.9;86.5;62.2;99.8;149.4;97.9;102.6;259.7;205.6;347.1;223.9;1107.2
2006;62.0;59.3;119.7;52.4;143.6;29.4;55.5;66.4;159.7;137.6;148.7;189.5;315.7;151.2;445.9;414.3;1223.6
2007;119.1;105.7;79.2;27.8;71.4;126.5;126.8;104.4;62.4;56.7;87.1;139.2;178.4;357.7;206.2;394.7;1106.3
2008;191.6;63.8;131.1;52.1;50.0;93.9;119.4;183.6;128.4;171.8;97.1;83.0;233.2;396.9;397.3;273.5;1365.8
2009;142.8;47.6;57.0;114.0;94.1;72.1;145.7;151.5;57.0;124.9;256.0;130.6;265.2;369.4;437.9;280.8;1393.5
2010;89.5;60.7;91.2;55.2;57.6;49.2;146.0;48.2;147.6;83.3;155.5;74.9;204.0;243.4;386.4;287.7;1058.9
2011;72.7;140.2;41.6;51.3;101.2;91.0;61.2;63.1;129.5;159.8;134.6;130.0;194.2;215.3;423.9;291.9;1176.3
2012;111.4;50.4;32.8;92.9;65.4;165.2;127.1;127.5;78.7;107.2;130.8;130.8;191.1;419.8;316.7;339.0;1220.2
2013;141.9;66.3;84.8;74.8;84.8;73.5;72.5;72.5;58.2;158.6;72.3;175.3;244.4;218.5;289.1;573.6;1135.5
2014;196.4;201.9;98.5;61.6;105.4;53.6;52.4;122.6;29.1;153.7;175.2;111.1;265.5;228.6;358.0;310.1;1361.5
2015;127.6;71.4;96.2;54.8;133.9;42.6;119.1;96.5;86.6;71.7;182.3;294.9;284.9;258.2;340.6;606.6;1377.5
2016;179.0;132.7;75.7;82.2;70.1;92.9;76.9;79.4;127.1;68.0;72.6;78.3;228.0;249.3;267.7;245.1;1135.0
2017;70.3;96.5;115.6;25.1;64.1;112.4;98.2;98.7;147.4;98.7;121.9;135.2;204.8;309.2;368.1;387.3;1184.1
2018;177.7;74.3;108.4;113.4;59.0;26.1;64.2;79.0;88.3;85.5;179.7;167.6;280.8;169.2;353.5;316.9;1223.1
