Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Italy                : parameter = Precipitation                  : Units = mm/month            
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;43.2;81.2;93.8;40.6;65.3;55.5;44.1;38.9;113.6;146.8;81.2;113.2;199.7;138.6;341.6;286.0;917.5
1902;50.1;122.8;60.3;66.8;69.5;42.3;20.8;26.1;51.0;130.0;96.1;62.1;196.5;89.2;277.1;142.4;797.7
1903;49.4;30.9;51.7;67.0;46.0;78.8;38.3;17.2;44.2;96.3;99.2;146.7;164.7;134.3;239.7;309.9;765.7
1904;85.0;78.3;98.3;50.7;32.1;50.6;23.6;50.3;82.9;97.5;73.2;73.2;181.0;124.5;253.6;210.3;795.6
1905;58.1;79.0;65.4;51.5;110.3;60.1;45.1;55.8;62.5;98.9;148.3;63.9;227.2;160.9;309.7;225.8;898.9
1906;71.4;90.5;57.3;55.7;60.6;41.2;42.1;20.1;53.4;84.6;109.1;96.4;173.7;103.4;247.1;232.6;782.5
1907;67.9;68.4;32.4;84.2;40.0;38.9;27.2;26.0;62.5;149.1;72.7;100.8;156.6;92.1;284.3;181.3;770.1
1908;44.4;36.2;79.1;77.9;27.4;33.4;60.4;40.3;36.4;59.4;103.7;105.5;184.3;134.1;199.5;229.2;704.0
1909;55.9;67.7;100.2;49.2;48.6;56.9;28.2;54.4;76.0;85.2;85.2;85.8;198.0;139.6;246.4;240.7;793.5
1910;75.6;79.2;50.8;74.1;61.4;67.4;34.4;36.0;89.7;93.9;111.0;123.7;186.3;137.8;294.6;218.4;897.2
1911;71.0;23.7;68.5;57.8;89.5;57.5;27.3;36.5;86.5;94.2;120.4;88.8;215.8;121.2;301.1;235.6;821.6
1912;88.9;57.9;60.4;66.6;56.4;47.2;32.6;32.9;74.9;92.1;88.8;51.7;183.3;112.7;255.8;165.6;750.4
1913;66.0;47.9;52.2;77.9;54.5;50.1;50.1;38.1;61.5;69.6;69.9;63.0;184.6;138.3;201.0;201.7;700.8
1914;72.5;66.2;75.8;33.9;82.3;45.6;40.0;47.1;37.6;110.7;96.6;114.2;192.1;132.7;244.9;358.9;822.7
1915;134.6;110.0;70.2;62.2;56.8;78.2;44.0;39.3;88.7;95.6;114.7;73.8;189.2;161.5;299.0;183.2;968.2
1916;33.3;76.2;99.3;70.2;40.4;27.4;30.2;46.5;116.6;79.1;152.1;136.1;210.0;104.1;347.9;323.7;907.4
1917;133.4;54.2;84.8;56.0;55.3;25.2;38.9;32.1;27.8;108.8;100.6;81.5;196.1;96.1;237.2;139.8;798.5
1918;36.2;22.1;66.1;98.3;60.0;58.2;28.1;34.6;47.4;162.2;70.0;69.2;224.4;120.9;279.7;245.0;752.4
1919;111.3;64.5;54.0;74.5;40.6;33.5;37.9;25.5;50.3;84.5;111.1;59.2;169.1;96.9;245.9;187.9;747.0
1920;82.0;46.7;66.8;67.1;28.4;65.1;29.1;49.0;61.3;102.6;101.4;84.4;162.3;143.2;265.4;186.5;783.9
