Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Latvia               : parameter = Precipitation                  : Units = mm/month            
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;25.6;39.7;24.5;48.8;13.8;77.9;28.5;70.0;37.7;30.8;67.9;64.4;87.1;176.5;136.3;153.5;529.6
1902;65.5;23.6;41.2;18.1;71.6;83.2;97.3;94.5;55.7;58.3;21.7;44.0;131.0;275.0;135.7;127.4;674.7
1903;34.7;48.7;22.2;68.0;67.5;75.5;75.7;144.5;29.2;67.3;64.1;24.3;157.7;295.7;160.6;105.1;721.8
1904;24.7;56.1;11.2;52.7;53.6;64.5;56.5;110.2;28.0;54.9;65.6;74.4;117.5;231.3;148.5;149.5;652.4
1905;50.7;24.5;34.7;41.5;32.6;30.7;87.0;88.6;63.1;100.7;58.2;31.1;108.8;206.3;222.0;110.5;643.3
1906;45.9;33.5;46.4;34.4;48.1;87.9;66.5;122.3;36.7;33.6;73.0;53.6;128.9;276.6;143.4;121.2;681.9
1907;40.9;26.7;26.5;38.7;36.1;76.4;100.2;84.2;54.7;23.9;23.5;44.9;101.3;260.8;102.1;143.5;576.7
1908;54.0;44.6;36.6;39.1;47.2;52.2;54.8;117.6;71.5;29.2;55.0;22.8;123.0;224.6;155.8;69.5;624.7
1909;22.0;24.7;34.1;44.8;22.5;40.9;111.7;61.1;30.2;32.5;71.0;63.0;101.5;213.8;133.7;144.9;558.6
1910;47.0;34.9;25.6;29.7;40.3;47.9;84.9;111.5;50.6;25.9;66.6;60.8;95.7;244.3;143.1;152.2;625.8
1911;48.1;43.3;17.8;27.5;36.3;68.5;71.4;60.7;46.3;71.1;66.5;36.0;81.6;200.6;183.8;86.7;593.5
1912;22.6;28.1;52.7;37.1;62.2;66.4;51.7;90.2;84.5;57.8;59.0;71.3;152.0;208.3;201.3;140.0;683.7
1913;29.1;39.6;40.2;46.4;23.9;45.8;100.6;71.4;56.9;49.3;68.9;79.3;110.4;217.8;175.1;149.6;651.4
1914;47.2;23.0;55.0;26.0;54.9;32.7;40.2;43.1;101.5;37.5;43.2;67.3;135.9;115.9;182.2;162.8;571.6
1915;49.5;45.9;39.9;37.1;37.9;35.6;92.2;51.4;72.3;34.4;61.5;69.9;115.0;179.2;168.2;165.5;627.8
1916;59.2;36.4;32.5;29.1;48.3;92.8;90.0;101.7;42.2;82.7;48.3;50.5;109.9;284.4;173.2;117.4;713.6
1917;39.7;27.3;30.1;62.9;29.3;41.3;66.0;62.4;69.0;66.6;81.6;56.8;122.3;169.7;217.2;147.9;632.9
1918;62.8;28.4;5.7;17.6;14.2;55.3;81.5;50.6;99.6;43.4;26.3;66.0;37.5;187.4;169.2;117.4;551.4
1919;26.1;25.2;34.2;46.0;20.3;70.5;83.6;86.9;58.1;39.2;35.3;50.7;100.6;241.0;132.7;111.1;576.3
