Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Lithuania            : parameter = Precipitation                  : Units = mm/month            
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;24.8;39.0;39.9;65.4;28.1;116.1;43.1;73.4;33.9;29.5;77.9;70.6;133.5;232.6;141.3;165.2;641.8
1902;71.7;23.0;39.9;28.1;64.0;81.0;98.0;107.2;48.1;49.3;12.3;40.7;132.0;286.2;109.7;133.4;663.3
1903;43.9;48.7;23.2;77.7;75.8;76.9;99.9;133.1;21.6;70.7;65.4;27.0;176.6;309.9;157.7;114.5;763.9
1904;26.7;60.7;10.6;57.4;65.2;62.8;48.0;121.9;21.7;59.1;68.7;75.5;133.2;232.7;149.5;159.1;678.3
1905;54.4;29.3;34.7;52.2;49.6;42.6;85.3;76.5;73.8;87.4;67.7;31.5;136.5;204.4;228.9;111.7;685.0
1906;48.9;31.2;61.1;32.6;55.2;105.4;72.4;113.6;43.6;35.7;64.0;57.1;148.9;291.4;143.3;129.6;720.8
1907;40.6;32.0;31.8;33.4;34.1;78.7;115.5;94.2;48.8;19.2;26.3;71.8;99.2;288.4;94.4;186.4;626.3
1908;65.3;49.3;46.2;35.3;63.4;50.6;45.9;133.1;68.4;25.6;50.9;24.0;144.9;229.6;144.8;76.2;657.9
1909;24.6;27.6;32.4;44.8;24.6;49.4;115.4;48.5;26.5;25.3;81.2;69.0;101.9;213.3;132.9;153.0;569.3
1910;49.6;34.4;20.7;40.6;42.1;63.0;112.2;115.2;46.2;22.1;72.8;54.1;103.4;290.4;141.0;158.6;672.8
1911;52.2;52.4;26.4;27.4;31.2;68.2;71.3;49.1;33.4;63.5;47.0;32.7;85.0;188.6;144.0;101.7;554.9
1912;29.4;39.6;60.9;40.3;63.8;57.6;58.8;116.7;74.2;55.8;59.9;76.4;165.1;233.1;189.9;133.2;733.4
1913;25.4;31.5;40.9;59.7;36.1;58.5;112.2;89.1;57.1;41.4;63.0;97.7;136.8;259.8;161.6;175.1;712.8
1914;55.5;21.8;62.2;32.7;53.9;34.0;65.4;42.8;104.3;58.1;42.3;55.6;148.8;142.2;204.7;162.5;628.6
1915;57.4;49.6;53.5;35.3;35.5;21.9;92.9;50.4;68.3;32.0;66.7;79.5;124.3;165.2;167.0;194.4;643.0
1916;77.1;37.7;33.6;44.7;39.9;88.8;112.0;101.4;49.5;78.6;46.9;53.8;118.2;302.2;175.0;120.9;764.1
1917;37.4;29.7;35.3;70.7;30.0;46.1;74.8;74.2;61.5;56.6;88.4;60.0;136.0;195.0;206.5;160.1;664.7
1918;65.7;34.4;7.1;15.9;15.7;52.1;92.0;57.2;75.7;30.1;25.5;57.8;38.8;201.3;131.2;99.6;529.1
1919;23.5;18.3;36.5;55.2;31.1;76.6;115.6;90.9;55.4;37.2;30.9;54.2;122.8;283.1;123.5;132.1;625.4
1920;49.4;28.5;21.2;48.8;49.9;78.4;60.2;94.0;60.3;14.7;26.4;16.4;119.9;232.7;101.5;122.1;548.4
1921;92.3;13.4;31.9;49.1;39.2;68.6;57.4;54.3;65.8;39.6;46.1;78.1;120.1;180.3;151.5;155.3;635.7
1922;42.4;34.9;56.2;46.5;57.0;66.0;99.4;82.3;52.4;46.5;45.7;51.2;159.7;247.7;144.7;117.2;680.4
1923;39.7;26.3;9.6;30.5;61.7;71.6;63.8;131.3;52.8;103.4;106.3;55.9;101.7;266.7;262.5;133.2;752.8
1924;30.7;46.7;31.6;53.2;65.5;70.7;88.9;137.0;55.5;28.1;40.8;26.6;150.2;296.6;124.4;112.1;675.2
1925;49.2;36.3;39.2;39.9;43.8;86.5;60.5;124.7;81.0;70.2;46.7;73.1;122.9;271.7;197.9;142.8;751.0
1926;31.0;38.7;43.6;43.6;71.4;84.4;70.9;84.9;86.0;69.6;60.9;54.2;158.6;240.2;216.4;93.5;739.1
1927;20.6;18.7;43.4;54.1;66.5;90.4;61.3;81.3;88.0;97.2;73.5;23.9;164.0;233.0;258.7;93.4;718.8
1928;32.5;37.0;7.9;38.6;109.8;98.5;67.3;107.2;86.9;54.9;54.9;42.5;156.2;273.0;196.7;79.8;738.0
1929;21.5;15.8;20.4;37.5;44.2;67.2;81.7;62.7;54.3;70.2;88.6;50.0;102.1;211.6;213.1;82.3;614.1
1930;16.0;16.4;47.1;40.3;96.9;27.4;87.6;132.0;48.8;100.3;112.8;32.5;184.2;247.0;261.9;125.4;758.0
1931;64.8;28.2;27.7;43.0;50.6;66.7;69.9;90.1;75.9;58.5;26.0;56.4;121.3;226.7;160.3;106.3;657.7
1932;19.1;30.8;18.0;33.3;90.0;50.9;81.7;118.0;79.8;112.4;31.2;23.3;141.3;250.6;223.4;85.2;688.4
1933;24.8;37.2;19.7;49.8;84.4;105.4;63.5;116.2;72.1;52.5;43.3;25.7;153.9;285.1;167.8;87.4;694.5
1934;23.9;37.8;51.3;26.5;65.9;26.0;116.8;71.1;32.5;76.9;72.5;11.0;143.7;214.0;181.8;104.6;612.2
1935;33.3;60.3;26.5;50.3;61.6;90.4;114.2;61.3;92.9;83.5;14.0;49.6;138.3;265.9;190.4;155.6;737.8
1936;68.2;37.9;33.4;54.0;41.2;52.7;83.0;84.8;63.7;93.0;36.1;36.0;128.6;220.6;192.9;116.5;684.2
1937;22.6;57.8;70.4;33.5;36.5;69.2;99.5;73.9;37.3;25.8;64.2;71.4;140.3;242.6;127.3;129.1;662.0
