Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Luxembourg           : parameter = Precipitation                  : Units = mm/month            
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;55.4;37.7;69.0;80.4;43.5;62.3;49.2;88.1;119.4;99.9;42.4;92.7;192.9;199.6;261.7;202.8;840.1
1902;61.2;48.8;54.8;47.4;92.6;73.9;59.3;102.6;80.6;59.4;40.5;112.5;194.8;235.8;180.5;239.7;833.5
1903;85.5;41.8;80.4;121.0;54.0;60.1;100.8;113.7;76.2;131.1;92.9;32.3;255.4;274.6;300.2;208.4;989.8
1904;67.9;108.2;67.6;31.3;65.5;58.6;53.8;53.6;53.1;59.1;77.4;97.4;164.3;165.9;189.6;202.2;793.5
1905;64.8;39.9;100.8;48.6;42.9;111.6;86.8;88.0;94.7;84.5;98.2;37.0;192.3;286.5;277.3;238.7;897.8
1906;126.8;74.9;90.8;42.8;92.4;60.6;69.8;78.8;30.2;61.7;102.6;78.0;225.9;209.1;194.4;170.2;909.2
1907;53.4;38.7;57.4;60.3;69.8;73.5;90.7;70.1;40.1;78.4;59.7;86.1;187.5;234.3;178.2;219.5;778.2
1908;47.9;85.6;56.4;60.3;95.1;67.3;84.4;125.8;60.5;2.2;69.9;40.9;211.8;277.6;132.7;136.8;796.4
1909;51.4;44.4;70.2;60.7;32.1;103.5;139.2;59.7;80.3;83.4;52.0;132.0;162.9;302.3;215.7;373.6;908.8
1910;109.4;132.2;18.5;42.7;68.6;119.9;162.6;61.3;106.3;31.4;178.1;93.9;129.8;343.8;315.8;185.2;1124.9
1911;33.3;58.0;69.9;41.4;37.2;89.5;29.6;25.8;46.2;80.5;101.9;131.8;148.5;144.9;228.5;271.9;745.1
1912;80.3;59.8;99.9;23.5;46.4;67.1;49.5;138.6;86.2;96.4;76.6;82.2;169.7;255.2;259.2;231.2;906.4
1913;108.8;40.2;57.4;59.1;83.5;76.0;100.4;38.5;83.3;60.3;94.9;86.9;200.0;215.0;238.5;244.0;889.4
1914;93.0;64.1;153.2;49.7;76.4;90.4;81.5;100.7;104.7;36.5;61.2;118.5;279.3;272.6;202.4;330.0;1030.0
1915;142.1;69.4;54.5;64.9;46.2;39.5;111.5;111.0;51.1;26.8;93.4;216.5;165.6;262.0;171.3;421.1;1026.9
1916;89.3;115.4;59.1;82.4;76.9;113.0;69.2;109.3;80.4;96.8;64.9;144.8;218.3;291.5;242.1;245.0;1101.4
1917;81.6;18.5;82.3;61.8;52.6;116.9;100.8;102.4;23.2;144.4;80.0;41.9;196.8;320.1;247.6;198.1;906.5
1918;105.8;50.4;45.7;92.1;54.1;42.7;105.0;87.4;135.8;63.3;54.8;149.0;192.0;235.2;254.0;299.6;986.3
1919;78.0;72.6;95.2;86.6;23.7;40.8;119.6;48.2;62.2;44.5;138.7;197.9;205.5;208.6;245.4;407.7;1008.0
1920;174.1;35.7;43.0;96.2;46.6;36.8;113.3;66.2;79.5;37.5;23.6;68.3;185.7;216.3;140.6;185.7;820.8
1921;102.4;15.0;25.9;25.8;42.3;37.7;16.2;63.3;29.9;19.1;53.0;71.7;93.9;117.3;102.1;270.9;502.4
1922;121.4;77.7;68.3;117.7;43.3;56.2;112.7;104.8;98.1;58.9;108.5;144.9;229.3;273.8;265.4;320.7;1112.6
1923;79.5;96.3;59.5;49.1;110.0;70.0;69.2;73.5;69.6;183.9;81.2;96.0;218.5;212.8;334.8;197.5;1037.8
1924;49.4;52.0;62.6;99.7;94.9;52.6;112.6;159.3;81.5;103.1;70.7;41.4;257.2;324.4;255.2;223.6;979.7
1925;100.5;81.7;64.9;65.0;74.0;42.9;96.8;116.9;112.6;81.3;93.0;197.7;203.9;256.6;286.8;380.2;1127.3
1926;73.0;109.5;51.0;37.0;133.9;79.7;87.8;79.8;32.4;141.0;89.7;58.6;221.9;247.4;263.1;200.9;973.5
1927;74.9;67.4;76.7;80.0;47.9;109.3;111.4;141.8;88.4;25.8;83.5;71.4;204.6;362.5;197.7;253.7;978.6
1928;91.8;90.4;27.6;107.3;52.3;71.7;50.0;79.7;37.2;115.1;126.7;93.6;187.2;201.3;279.0;153.3;943.4
1929;33.9;25.8;4.8;52.1;41.7;72.4;103.3;31.6;30.8;151.3;87.8;157.6;98.7;207.3;270.0;250.7;793.2
1930;62.5;30.6;60.4;59.2;109.8;55.9;207.7;93.4;127.5;119.9;157.4;63.2;229.4;357.0;404.9;313.7;1147.6
1931;170.5;80.0;17.3;82.1;53.1;56.0;123.2;169.8;59.5;60.8;45.5;71.4;152.6;349.0;165.8;162.4;989.3
1932;73.4;17.6;53.9;107.5;66.9;51.7;123.5;46.8;138.3;182.2;56.7;19.3;228.3;222.0;377.3;108.9;938.0
