Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Macedonia            : parameter = Precipitation                  : Units = mm/month            
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;45.0;59.2;49.5;36.2;69.9;120.4;56.9;51.6;29.0;95.2;62.1;67.5;155.6;228.9;186.3;178.1;742.5
1902;33.9;76.7;44.7;39.8;86.0;38.6;31.1;64.4;48.4;53.0;48.1;61.6;170.5;134.1;149.5;110.9;626.4
1903;29.8;19.5;40.7;79.2;65.3;67.5;45.0;22.1;25.2;75.0;45.2;53.8;185.2;134.6;145.4;139.0;568.4
1904;37.2;48.0;30.7;45.3;61.7;78.1;27.3;30.9;66.2;73.8;46.8;41.5;137.6;136.4;186.7;112.9;587.4
1905;42.8;28.6;42.7;42.4;82.9;68.6;61.5;46.2;33.1;109.6;47.6;26.8;167.9;176.2;190.2;120.7;632.5
1906;46.6;47.4;38.5;27.4;88.5;136.1;34.4;32.0;46.4;53.3;53.1;70.8;154.5;202.5;152.8;167.5;674.5
1907;48.0;48.7;34.9;48.7;36.5;81.4;21.4;34.4;16.4;34.7;60.0;45.2;120.2;137.3;111.2;121.8;510.5
1908;34.8;41.8;34.0;51.8;39.9;27.5;36.9;23.7;39.0;43.8;63.6;61.6;125.7;88.0;146.4;149.9;498.2
1909;45.3;43.1;57.6;28.3;118.0;35.1;70.8;52.0;66.5;37.3;103.7;62.0;203.8;157.9;207.5;169.0;719.5
1910;63.9;43.1;37.6;63.1;75.1;51.8;43.7;29.9;56.8;39.4;66.3;46.5;175.8;125.5;162.6;106.2;617.3
1911;36.3;23.4;43.8;54.1;80.4;52.5;60.0;48.7;93.6;33.7;40.7;42.9;178.3;161.2;168.0;117.2;610.1
1912;45.4;29.0;51.1;56.3;71.7;55.2;62.5;26.1;83.8;49.2;111.8;42.9;179.0;143.8;244.8;118.4;684.9
1913;46.2;29.3;26.2;36.0;91.1;73.2;74.0;67.5;42.6;25.9;45.1;48.7;153.2;214.8;113.6;139.5;605.9
1914;68.9;21.8;50.4;31.9;87.6;77.4;75.7;54.0;36.1;55.9;72.6;55.6;169.8;207.1;164.5;165.3;687.9
1915;71.8;37.9;53.0;52.9;114.6;117.7;103.2;42.1;46.5;113.1;54.4;38.2;220.5;263.0;214.0;102.2;845.3
1916;23.7;40.4;44.0;55.8;83.7;37.1;45.8;60.6;64.1;53.5;57.5;55.2;183.5;143.6;175.1;155.8;621.4
1917;62.8;37.8;64.2;50.2;62.0;47.9;27.7;24.0;16.2;52.7;73.6;49.4;176.4;99.6;142.4;118.8;568.3
1918;35.2;34.2;48.0;37.5;59.5;53.3;63.2;37.0;23.8;99.7;84.2;56.7;145.0;153.5;207.7;178.0;632.3
1919;65.0;56.4;64.8;62.3;110.2;46.7;60.5;31.0;35.9;94.4;63.8;49.1;237.2;138.2;194.1;123.0;740.0
1920;45.2;28.7;45.8;71.6;76.9;70.9;47.7;33.5;28.2;79.2;61.6;43.5;194.4;152.2;169.0;108.4;633.0
1921;33.1;31.8;28.3;49.2;61.9;80.0;27.9;24.5;27.4;31.4;78.3;74.1;139.4;132.3;137.2;153.1;547.8
1922;49.8;29.2;36.1;51.3;81.3;47.3;22.8;28.5;31.5;87.2;76.8;38.9;168.7;98.5;195.6;147.1;580.7
1923;50.2;58.0;54.5;56.1;66.5;70.7;54.3;35.4;34.7;37.1;65.0;70.5;177.0;160.4;136.8;152.3;652.9
1924;38.8;43.0;39.3;42.9;57.9;72.8;35.6;84.9;39.6;69.5;75.1;34.2;140.2;193.2;184.2;94.6;633.5
1925;22.4;38.0;56.9;48.3;104.5;72.7;51.4;25.9;50.5;41.5;73.2;61.8;209.7;149.9;165.2;137.2;647.0
1926;53.4;21.9;43.9;37.5;71.6;85.2;57.4;35.3;24.3;35.1;36.3;73.2;153.0;177.9;95.7;171.2;575.2
1927;63.0;35.0;47.8;62.7;61.4;46.6;36.4;40.8;45.3;75.3;52.6;78.7;171.9;123.8;173.3;155.2;645.8
1928;44.7;31.8;57.6;68.2;69.6;37.3;17.3;26.1;39.5;50.5;103.4;61.8;195.4;80.7;193.4;172.4;607.8
1929;72.0;38.6;43.3;73.0;55.7;67.3;18.5;73.6;42.0;62.1;61.3;88.0;172.0;159.4;165.4;159.5;695.4
1930;29.9;41.5;30.8;55.8;96.9;68.7;46.8;38.4;62.8;51.7;34.8;85.1;183.5;153.9;149.3;209.0;643.2
1931;62.1;61.9;47.7;79.8;79.1;54.1;35.3;10.7;59.0;69.7;55.3;59.8;206.5;100.2;184.0;113.8;674.4
1932;19.4;34.6;57.6;54.9;50.1;51.1;29.4;20.5;43.8;34.2;42.5;28.0;162.6;101.0;120.5;122.3;466.1
1933;44.5;49.8;23.8;47.8;89.2;67.1;29.9;43.3;24.4;62.1;62.5;74.1;160.8;140.3;149.0;151.2;618.4
1934;56.9;20.2;25.4;23.5;60.5;81.6;54.2;35.7;46.8;70.5;66.3;38.3;109.4;171.5;183.6;161.6;580.0
1935;85.7;37.6;40.9;34.5;37.7;56.7;22.3;18.3;19.4;46.5;66.1;105.8;113.1;97.4;132.1;196.6;571.6
1936;40.4;50.5;61.5;55.2;124.0;122.9;59.9;36.2;29.9;73.2;53.4;28.4;240.8;219.1;156.5;125.8;735.6
1937;52.4;45.1;41.6;92.9;84.4;65.1;53.9;59.7;54.1;80.1;140.4;76.3;218.9;178.7;274.6;142.8;845.9
1938;28.9;37.7;21.3;86.6;74.2;18.2;30.7;43.5;41.5;63.3;45.8;107.6;182.1;92.4;150.7;192.2;599.3
1939;57.1;27.5;76.0;52.4;67.3;88.2;25.9;54.6;58.0;77.0;69.1;76.5;195.6;168.7;204.1;155.5;729.5
1940;44.1;34.8;41.8;76.5;113.3;96.3;70.0;34.3;31.7;69.2;84.1;101.1;231.7;200.5;185.0;217.4;797.2
1941;51.3;64.9;13.7;64.2;58.6;46.6;63.9;22.7;50.9;72.6;74.1;40.9;136.6;133.2;197.5;189.6;624.4
1942;86.9;61.8;48.0;48.8;46.7;78.1;38.1;32.4;16.4;34.2;85.8;27.8;143.5;148.6;136.4;114.7;605.0
1943;60.1;26.8;14.2;37.9;74.8;67.8;20.4;15.0;50.0;42.1;83.0;59.0;126.9;103.2;175.0;171.2;550.9
1944;29.2;83.1;60.7;85.1;51.2;48.3;74.1;47.9;58.3;104.4;48.3;47.5;197.0;170.3;211.0;111.8;738.1
1945;55.7;8.5;19.6;35.0;19.3;42.4;20.4;40.0;80.1;48.3;52.8;91.6;74.0;102.8;181.1;181.9;513.8
1946;65.1;25.2;45.1;30.0;67.9;31.0;17.4;14.1;22.7;69.8;64.7;98.1;143.1;62.5;157.2;189.8;551.2
1947;51.5;40.3;20.6;14.8;34.2;66.7;24.9;57.6;28.4;44.4;47.1;93.9;69.6;149.2;119.9;162.3;524.4
1948;41.3;27.1;14.9;55.2;88.7;88.4;21.7;22.2;34.9;22.1;52.7;20.5;158.9;132.3;109.7;83.1;489.8
1949;53.9;8.7;76.5;31.2;61.4;40.9;54.6;82.5;49.4;32.9;105.2;33.9;169.1;177.9;187.6;125.5;631.0
1950;66.1;25.5;53.1;42.9;74.8;43.4;15.9;12.3;36.1;47.6;69.9;77.4;170.7;71.7;153.7;173.0;565.0
1951;51.2;44.5;63.4;62.5;71.2;48.0;58.0;45.4;37.8;104.3;43.1;36.5;197.1;151.3;185.2;135.7;665.8
1952;57.9;41.3;31.3;19.4;68.7;24.8;34.0;8.6;27.7;84.7;100.0;94.4;119.4;67.4;212.4;178.7;592.8
1953;51.9;32.4;12.0;51.9;92.2;64.1;38.7;45.4;20.3;79.6;37.9;27.7;156.1;148.2;137.8;185.5;554.1
1954;72.2;85.6;56.4;47.7;94.3;48.0;13.5;19.5;15.7;58.1;103.1;55.2;198.4;81.1;176.9;163.2;669.4
1955;67.3;40.6;66.2;74.5;33.2;57.7;68.3;69.6;87.5;93.7;99.1;26.3;173.9;195.6;280.2;173.9;783.9
1956;64.3;83.4;53.3;37.1;92.9;101.2;31.7;20.3;12.4;45.5;106.4;44.6;183.3;153.2;164.2;115.0;692.9
1957;35.6;34.8;17.8;35.5;110.2;84.2;50.0;47.1;62.9;84.9;50.7;56.8;163.5;181.3;198.6;122.8;670.6
1958;45.8;20.2;73.3;71.6;50.7;42.4;30.7;12.0;49.8;48.6;57.0;37.1;195.7;85.1;155.3;104.5;539.3
1959;53.8;13.6;37.2;51.0;87.2;96.1;57.4;57.3;62.8;54.3;70.3;53.3;175.4;210.8;187.5;146.9;694.3
1960;46.9;46.7;40.6;77.4;88.1;54.7;40.1;12.3;95.9;38.5;74.1;101.2;206.1;107.1;208.5;148.5;716.5
1961;34.4;12.9;40.7;45.0;87.8;74.1;54.3;14.1;10.4;28.1;84.7;71.0;173.6;142.4;123.2;144.7;557.5
