Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Moldova              : parameter = Precipitation                  : Units = mm/month            
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;44.4;52.4;45.6;59.2;26.0;109.7;69.6;59.3;28.8;46.2;7.4;36.8;130.9;238.6;82.4;73.4;585.4
1902;13.9;22.7;32.2;27.5;64.2;46.3;48.6;40.0;29.3;45.3;1.9;48.3;124.0;134.8;76.5;73.2;420.2
1903;17.4;7.5;13.0;60.6;58.7;78.4;36.6;25.1;2.2;25.9;20.8;31.2;132.2;140.1;48.9;58.5;377.5
1904;10.3;17.0;31.2;15.8;45.6;45.6;19.1;44.0;90.9;28.1;48.2;13.6;92.6;108.7;167.2;62.6;409.3
1905;20.3;28.7;6.0;44.0;32.9;55.9;32.5;16.9;35.5;70.5;66.9;22.0;82.9;105.2;172.9;87.6;432.1
1906;41.6;24.0;24.2;38.8;71.2;68.0;96.7;41.2;21.7;17.3;27.8;52.1;134.3;205.8;66.7;96.6;524.4
1907;20.9;23.6;39.3;29.1;21.6;100.9;61.7;17.4;37.8;5.7;45.4;31.0;90.0;180.0;88.9;95.1;434.4
1908;23.9;40.3;17.8;25.5;18.9;52.0;75.6;51.2;63.0;35.8;36.2;27.7;62.2;178.8;135.0;110.8;467.8
1909;37.0;46.1;44.8;21.9;27.3;102.5;25.3;16.9;52.6;26.0;37.3;27.6;94.1;144.7;115.8;117.7;465.2
1910;49.5;40.6;8.1;45.5;39.1;67.2;102.3;57.3;10.7;49.8;54.1;17.1;92.7;226.8;114.6;79.3;541.4
1911;40.0;22.2;20.3;40.6;43.5;93.9;57.4;68.0;44.6;21.8;26.6;40.7;104.3;219.3;93.1;112.3;519.6
1912;43.5;28.1;27.7;46.5;80.7;59.2;92.8;75.8;116.3;59.4;49.3;25.9;154.8;227.7;225.0;59.6;705.1
1913;24.5;9.2;15.3;22.7;54.1;61.1;74.3;66.8;45.7;3.9;47.4;26.2;92.1;202.3;97.0;71.1;451.3
1914;39.7;5.2;49.1;28.7;69.2;82.4;95.6;69.1;83.7;52.0;34.9;19.8;147.0;247.1;170.6;103.4;629.4
1915;58.6;25.0;57.6;34.4;60.1;49.1;69.8;67.2;22.5;38.8;40.9;16.1;152.2;186.1;102.2;98.9;540.2
1916;33.3;49.5;29.6;32.0;79.1;47.1;65.5;19.4;12.2;63.9;30.8;33.9;140.8;132.0;106.9;114.6;496.5
1917;56.5;24.2;37.7;47.3;24.7;82.2;36.5;52.2;19.6;40.9;33.0;19.0;109.7;170.9;93.5;43.9;473.8
1918;10.3;14.7;10.5;11.5;24.9;62.6;83.6;66.6;31.9;53.6;63.1;48.7;47.0;212.8;148.5;91.0;482.0
1919;16.4;25.8;33.8;30.5;92.5;93.9;85.6;53.7;13.5;61.6;57.0;45.3;156.8;233.2;132.0;118.1;609.7
1920;48.0;24.8;34.0;21.1;43.3;85.0;29.3;40.3;24.3;13.4;22.7;17.3;98.4;154.6;60.4;76.7;403.4
1921;25.3;34.1;3.5;31.7;41.4;58.0;50.3;26.7;22.7;8.8;75.3;17.7;76.6;135.0;106.8;92.7;395.5
1922;50.0;24.9;30.8;58.3;70.5;78.4;21.0;43.7;80.2;66.2;60.4;26.8;159.6;143.1;206.8;117.2;611.4
1923;50.2;40.2;49.0;30.5;46.7;60.0;41.6;21.8;38.4;15.0;19.7;66.2;126.2;123.4;73.1;114.2;479.3
1924;17.0;31.0;22.3;71.7;17.3;42.7;45.2;54.7;23.1;14.7;40.3;7.7;111.3;142.7;78.0;44.0;387.7
1925;14.4;21.9;18.1;33.5;42.5;70.7;48.0;57.7;52.3;15.7;48.8;40.3;94.1;176.4;116.8;85.7;464.1
1926;23.1;22.4;20.1;23.2;86.4;100.0;89.5;49.4;21.8;25.7;1.8;40.6;129.7;238.9;49.3;82.0;504.0
1927;31.2;10.2;20.9;26.5;51.8;37.7;55.2;85.7;34.8;24.2;28.3;35.7;99.2;178.6;87.2;73.8;442.1
1928;10.9;27.3;8.3;30.1;44.3;64.5;19.5;65.4;31.4;32.4;55.7;72.0;82.8;149.4;119.5;139.4;461.9
1929;43.9;23.4;10.5;44.5;42.9;44.2;49.9;20.6;38.8;30.2;38.9;14.6;97.9;114.7;107.8;41.1;402.5
1930;8.4;18.1;23.6;56.9;85.7;55.7;39.3;59.4;24.5;29.8;33.6;59.6;166.2;154.5;87.9;108.7;494.8
1931;34.8;14.3;37.9;46.8;36.7;58.0;40.9;79.4;52.0;25.2;44.9;21.1;121.4;178.3;122.1;96.6;491.9
1932;27.7;47.8;37.2;29.1;76.2;119.2;51.9;43.8;17.9;58.2;18.0;20.7;142.5;214.9;94.1;95.0;547.7
1933;40.0;34.3;34.4;55.8;73.1;71.9;95.9;70.6;42.8;40.8;45.2;25.0;163.3;238.4;128.9;67.5;629.9
1934;27.5;15.0;7.8;9.6;32.3;45.2;67.4;70.1;44.0;23.7;35.2;7.3;49.6;182.7;102.9;71.5;385.1
1935;37.2;27.0;10.3;45.2;31.2;46.0;45.0;38.6;25.4;14.1;25.6;39.3;86.7;129.6;65.1;101.8;385.0
1936;22.1;40.4;21.5;38.4;13.1;82.6;34.0;68.2;42.5;42.2;43.1;25.6;73.0;184.8;127.7;105.8;473.7
1937;45.7;34.4;16.9;70.1;26.8;34.4;46.3;113.9;20.8;44.1;43.6;53.8;113.8;194.6;108.5;100.4;550.8
1938;21.2;25.4;11.9;34.9;54.1;42.8;37.8;56.7;46.6;63.3;21.2;34.3;100.9;137.3;131.2;73.9;450.2
1939;22.1;17.5;36.3;15.7;40.3;34.9;32.8;39.7;39.1;89.9;16.3;45.8;92.3;107.4;145.4;132.4;430.4
1940;41.6;45.1;19.1;52.9;74.3;86.0;59.2;65.0;34.6;64.1;26.7;44.3;146.3;210.2;125.4;160.1;612.8
1941;53.6;62.2;33.2;47.3;54.9;87.2;107.4;44.0;76.6;52.7;40.0;20.1;135.3;238.6;169.3;92.0;679.2
1942;50.6;21.4;11.1;48.5;36.2;70.2;54.4;8.5;16.1;18.4;61.1;13.1;95.9;133.1;95.6;70.2;409.6
1943;35.7;21.5;8.2;19.0;84.7;48.1;106.0;14.1;51.3;23.9;57.7;56.2;111.9;168.2;132.8;131.7;526.3
1944;22.0;53.4;45.8;36.6;49.7;41.1;54.1;38.9;20.4;29.5;63.3;20.3;132.1;134.1;113.1;87.4;475.1
1945;50.0;17.1;13.7;54.9;42.8;18.8;33.0;62.5;13.1;28.3;13.0;34.9;111.4;114.2;54.4;67.0;382.0
1946;11.1;21.0;13.4;11.1;44.9;51.4;35.4;25.3;30.8;76.3;42.2;40.4;69.4;112.1;149.3;104.1;403.2
1947;37.0;26.7;25.6;11.6;17.7;85.2;68.6;97.4;22.6;30.1;68.5;57.5;54.9;251.3;121.2;125.6;548.5
1948;50.4;17.8;29.8;2.0;68.8;138.2;78.6;34.1;20.7;14.8;16.2;6.4;100.6;250.9;51.7;30.7;477.7
1949;11.3;13.1;24.8;17.7;30.0;125.6;104.7;85.6;28.7;3.0;42.1;51.0;72.5;316.0;73.8;76.2;537.6
1950;16.3;9.0;30.3;50.5;33.9;29.8;50.3;63.7;21.6;66.5;27.4;27.6;114.7;143.9;115.5;71.6;426.9
1951;15.9;28.1;33.1;41.5;46.6;36.7;32.6;47.5;40.0;19.2;27.1;13.7;121.1;116.7;86.3;95.3;381.9
