Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Montenegro           : parameter = Precipitation                  : Units = mm/month            
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;84.1;116.7;146.4;60.2;86.1;111.4;89.5;65.4;176.3;197.7;97.8;197.4;292.7;266.2;471.7;443.6;1428.8
1902;66.5;179.7;174.0;130.6;155.0;97.1;36.9;33.1;153.8;230.0;88.2;106.7;459.7;167.2;472.0;238.4;1451.8
1903;68.3;63.4;86.4;158.0;87.6;94.8;75.2;26.7;46.4;156.8;182.1;179.3;331.9;196.8;385.3;417.5;1225.0
1904;102.0;136.2;116.9;67.2;56.3;71.1;43.4;43.2;116.2;205.9;95.0;116.8;240.4;157.7;417.1;344.6;1170.1
1905;102.7;125.1;108.3;125.9;99.2;108.6;49.5;37.1;83.1;250.7;214.3;41.6;333.4;195.2;548.0;298.3;1346.0
1906;138.2;118.5;106.5;60.5;107.5;109.3;69.0;54.9;123.1;77.9;130.4;232.1;274.5;233.2;331.3;477.2;1327.8
1907;116.6;128.4;46.1;167.2;78.3;76.9;51.3;26.1;47.3;112.7;132.4;226.7;291.6;154.3;292.4;471.2;1210.0
1908;129.0;115.5;125.6;170.2;26.4;40.2;74.6;55.9;38.9;86.6;181.9;163.9;322.3;170.7;307.4;330.5;1208.7
1909;85.8;80.8;156.5;72.5;155.6;71.0;53.4;122.7;186.8;111.0;218.0;159.9;384.7;247.2;515.8;463.4;1474.1
1910;162.8;140.7;85.2;174.2;116.2;101.0;137.9;54.5;175.5;171.1;219.6;139.6;375.5;293.4;566.2;306.3;1678.2
1911;106.6;60.1;34.7;114.6;173.6;67.6;50.7;58.5;138.6;126.8;106.7;133.0;322.8;176.9;372.1;384.0;1171.6
1912;165.1;85.9;148.0;169.3;120.0;56.3;67.2;69.0;131.4;125.4;177.9;89.3;437.3;192.6;434.8;268.8;1404.9
1913;120.4;59.0;41.0;82.2;123.9;101.5;168.5;112.1;127.5;55.4;87.4;155.1;247.0;382.1;270.4;332.0;1234.0
1914;119.6;57.3;186.8;70.0;113.4;105.0;112.6;48.9;112.5;130.2;165.3;201.5;370.2;266.6;408.0;603.6;1423.3
1915;235.3;166.8;148.8;113.6;93.7;155.9;179.1;100.4;131.1;271.1;170.3;157.3;356.1;435.4;572.5;287.8;1923.4
1916;55.6;74.8;150.3;82.1;92.7;31.3;62.6;87.7;171.0;196.1;174.1;249.8;325.1;181.6;541.3;532.0;1428.2
1917;211.5;70.7;134.2;90.7;44.7;19.9;57.7;46.4;36.3;172.2;200.5;162.9;269.6;124.0;408.9;275.3;1247.7
1918;79.0;33.4;76.6;105.7;108.3;89.0;64.9;78.3;46.8;209.8;91.3;140.0;290.7;232.2;347.8;424.4;1123.1
1919;168.4;116.0;112.6;158.5;120.8;64.7;97.9;40.3;91.5;181.3;234.4;102.4;391.9;202.9;507.1;310.1;1488.7
1920;159.8;47.8;101.8;110.5;58.0;126.8;89.8;72.7;69.2;98.4;77.0;157.3;270.2;289.3;244.6;323.4;1169.0
1921;78.7;87.5;49.2;136.6;105.0;153.9;37.6;76.8;41.1;48.9;167.5;100.9;290.9;268.3;257.5;383.5;1083.7
1922;157.6;125.1;134.9;163.4;53.3;74.7;27.9;14.0;180.2;279.9;122.0;87.7;351.6;116.6;582.1;392.9;1420.5
1923;150.1;155.1;89.7;111.4;60.4;117.6;49.1;63.0;82.4;122.6;290.5;204.8;261.4;229.8;495.5;513.3;1496.8
1924;137.0;171.4;89.6;181.1;90.1;99.2;85.6;94.2;104.4;161.7;60.6;81.6;360.9;279.1;326.7;230.4;1356.7
1925;32.4;116.4;90.3;121.1;118.9;109.0;70.9;51.5;163.7;99.1;336.1;198.1;330.2;231.4;598.9;393.5;1507.4
1926;133.5;61.9;72.3;83.3;130.1;166.3;141.3;66.6;44.8;94.5;164.7;232.2;285.7;374.1;303.9;478.2;1391.5
1927;200.4;45.6;154.4;36.6;122.7;50.4;50.5;63.6;119.4;134.6;154.7;259.2;313.7;164.5;408.7;358.2;1392.0
1928;47.8;51.3;143.3;125.6;153.7;42.2;16.1;35.2;154.2;147.4;177.9;128.3;422.5;93.6;479.5;360.3;1222.9
1929;156.7;75.3;23.2;151.4;87.7;100.7;20.1;114.4;56.8;164.5;225.9;104.1;262.2;235.1;447.3;388.5;1280.7
1930;113.9;170.4;84.7;133.4;121.8;86.8;111.5;72.3;54.5;154.0;79.1;176.9;339.9;270.5;287.6;429.1;1359.3
1931;125.1;127.1;125.1;146.5;71.0;40.0;50.5;31.7;184.5;165.4;197.7;88.4;342.7;122.3;547.7;198.9;1353.1
1932;47.3;63.3;179.3;160.3;96.3;72.7;114.7;29.9;28.5;229.2;160.3;123.2;435.9;217.4;418.1;417.5;1305.1
1933;158.7;135.7;90.8;88.3;129.3;97.0;56.1;28.6;74.8;143.1;198.4;246.4;308.3;181.8;416.3;370.9;1447.1
1934;91.2;33.3;120.2;67.1;87.0;96.5;100.9;102.0;143.3;109.7;186.7;154.9;274.3;299.3;439.7;446.7;1292.8
1935;147.6;144.1;73.4;85.3;49.9;29.4;34.1;65.5;54.5;137.7;153.8;234.0;208.5;129.0;346.0;547.2;1209.3
1936;104.6;208.6;90.6;109.5;112.1;90.6;61.0;47.8;138.2;201.6;94.9;90.7;312.2;199.5;434.7;353.9;1350.2
1937;132.0;131.2;155.7;202.6;91.8;91.0;53.7;128.8;150.0;158.2;242.5;240.5;450.1;273.5;550.7;442.5;1777.9
1938;95.8;106.2;39.1;83.7;127.4;27.7;51.3;117.7;97.3;139.1;97.6;129.3;250.2;196.7;334.0;295.9;1112.2
1939;119.7;46.9;162.6;53.5;214.6;119.9;39.4;76.4;143.8;244.2;116.0;179.5;430.7;235.8;504.1;469.4;1516.7
1940;163.7;126.2;60.6;99.7;135.5;112.5;90.2;76.7;81.7;274.0;188.6;102.0;295.8;279.5;544.3;446.8;1511.5
1941;137.9;206.9;71.8;109.3;145.3;94.0;64.9;78.0;112.2;220.3;183.1;114.7;326.4;236.9;515.5;583.3;1538.3
1942;221.0;247.6;95.5;121.1;102.9;69.1;63.0;28.2;47.4;66.8;181.7;95.3;319.5;160.3;296.0;343.6;1339.7
1943;177.7;70.5;55.9;49.2;123.9;128.2;74.1;13.9;88.6;68.8;254.1;194.5;229.0;216.1;411.5;407.3;1299.4
