Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Netherlands          : parameter = Precipitation                  : Units = mm/month            
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;38.0;30.9;56.1;65.5;26.6;60.9;61.3;66.6;70.2;80.2;66.1;82.6;148.2;188.8;216.5;161.5;705.0
1902;51.7;27.2;42.9;45.0;75.3;41.7;62.9;109.8;47.4;53.6;27.2;64.2;163.2;214.4;128.2;144.7;649.1
1903;46.7;33.7;52.7;100.6;50.4;69.1;104.9;88.4;94.1;114.6;75.9;26.8;203.8;262.3;284.7;142.2;858.0
1904;52.4;62.9;42.8;26.6;52.0;56.7;41.6;49.1;42.4;47.2;69.3;68.7;121.4;147.3;159.0;141.7;611.9
1905;39.2;33.8;71.0;52.3;35.2;66.5;58.1;103.5;64.8;131.0;57.8;31.9;158.5;228.1;253.6;196.1;745.0
1906;106.4;57.8;55.7;26.3;80.3;41.2;65.1;68.6;37.9;67.1;76.9;74.9;162.3;174.9;182.0;158.8;758.3
1907;46.4;37.5;43.3;38.6;61.4;81.1;42.5;49.5;26.3;72.5;42.4;69.4;143.3;173.1;141.2;174.9;611.0
1908;46.1;59.3;47.2;43.5;55.7;51.6;79.5;88.8;57.6;10.3;56.7;34.5;146.5;219.8;124.5;102.0;630.7
1909;33.5;34.0;59.1;59.3;31.7;55.5;104.9;88.2;70.1;80.0;53.7;105.9;150.1;248.6;203.8;247.0;775.9
1910;70.8;70.2;31.0;45.4;54.5;64.9;119.1;50.7;73.5;32.0;106.4;70.0;130.9;234.6;211.9;151.9;788.5
1911;34.1;47.8;58.6;27.2;29.9;70.8;19.4;16.6;61.2;97.0;75.2;74.4;115.7;106.8;233.4;176.3;612.1
1912;57.4;44.5;70.9;25.0;42.6;85.8;52.7;152.2;98.0;71.2;89.2;73.2;138.5;290.6;258.5;162.2;862.8
1913;63.8;25.1;67.3;35.3;64.0;81.5;87.0;32.4;47.4;56.3;73.0;73.4;166.6;200.9;176.6;161.1;706.5
1914;55.7;31.9;118.2;35.9;44.4;74.4;91.6;40.4;93.7;46.9;65.9;96.4;198.4;206.4;206.6;265.3;795.5
1915;110.4;58.5;62.6;37.2;54.4;47.0;97.6;93.7;57.5;30.9;92.7;128.7;154.2;238.2;181.1;262.1;871.0
1916;67.0;66.4;58.8;59.7;55.0;93.5;43.8;88.8;57.6;80.4;53.4;89.6;173.6;226.1;191.4;146.1;814.2
1917;45.4;11.1;46.4;47.4;28.4;68.9;89.8;131.5;36.4;138.3;56.2;49.4;122.1;290.2;231.0;174.0;749.2
1918;81.9;42.6;25.4;43.4;25.7;42.2;89.2;83.4;144.9;72.5;41.0;100.6;94.5;214.8;258.4;195.1;792.9
1919;48.8;45.7;62.3;60.6;23.3;50.6;106.8;44.4;60.4;68.3;74.4;122.0;146.1;201.8;203.2;245.7;767.5
1920;91.0;32.7;19.5;75.8;62.3;37.7;103.9;86.9;50.1;16.8;16.8;55.4;157.5;228.5;83.7;156.8;648.8
1921;89.7;11.7;28.2;28.2;19.9;36.5;11.4;42.3;35.2;30.4;52.7;60.6;76.3;90.2;118.3;190.0;446.8
1922;74.2;55.2;49.3;64.3;19.0;60.7;84.9;76.9;91.5;36.9;70.0;61.6;132.6;222.6;198.4;176.0;744.6
1923;55.8;58.6;29.2;30.7;95.8;50.5;59.0;74.2;81.0;132.6;69.7;74.1;155.7;183.7;283.3;145.9;811.2
1924;39.5;32.3;33.0;56.8;58.6;35.0;91.6;150.1;86.2;85.9;29.4;47.7;148.4;276.6;201.5;181.4;745.9
1925;75.2;58.5;52.6;48.6;72.3;43.7;68.6;82.1;123.1;79.0;88.0;125.8;173.5;194.5;290.2;245.1;917.6
1926;65.9;53.5;31.3;33.6;71.3;54.2;97.0;68.4;64.0;126.4;61.1;50.6;136.3;219.7;251.5;151.2;777.4
1927;53.6;47.0;52.3;69.4;32.4;116.8;64.4;109.4;98.9;41.6;64.3;57.0;154.1;290.5;204.8;194.8;807.1
1928;85.9;51.9;24.4;50.8;57.9;59.2;50.1;88.7;33.4;87.9;123.1;58.7;133.2;197.9;244.3;96.1;771.9
1929;25.5;11.9;10.5;52.0;19.8;50.9;51.2;47.4;42.6;119.5;74.5;98.6;82.3;149.5;236.6;153.6;604.4
1930;37.8;17.1;31.2;36.5;65.3;41.0;160.0;103.0;119.4;93.6;127.3;44.8;133.0;304.0;340.2;207.7;876.9
1931;90.0;73.0;17.4;71.7;65.9;51.6;123.0;106.8;62.4;46.2;32.5;44.4;155.0;281.4;141.1;103.2;784.9
1932;48.0;10.8;32.5;75.7;69.3;25.4;94.2;46.5;107.4;178.8;38.9;18.0;177.5;166.1;325.1;80.8;745.5
1933;23.7;39.1;43.3;16.6;64.0;73.6;62.4;50.6;56.4;87.4;45.3;11.0;124.0;186.7;189.1;78.3;573.5
1934;56.1;11.3;51.9;46.5;44.1;52.4;38.4;61.5;45.4;100.7;47.4;88.7;142.5;152.4;193.5;219.5;644.4
1935;61.4;69.4;25.4;77.3;53.9;100.4;29.1;66.1;118.9;89.6;54.6;74.6;156.6;195.6;263.1;209.4;820.7
1936;83.1;51.6;14.9;52.6;25.2;54.2;123.7;39.2;88.6;83.2;78.6;51.0;92.8;217.1;250.4;237.8;745.9
1937;93.1;93.8;71.3;69.5;56.3;55.8;55.8;59.2;87.8;27.4;49.7;65.2;197.0;170.8;164.8;208.3;784.7
1938;107.9;35.1;23.5;25.6;45.6;32.8;69.2;82.5;56.2;106.6;73.8;65.0;94.6;184.5;236.6;195.7;723.8
1939;100.5;30.2;65.4;56.7;29.3;37.7;79.3;64.0;65.8;131.1;138.8;46.7;151.4;181.0;335.7;114.3;845.5
1940;33.6;34.0;83.8;65.9;25.4;47.1;100.4;62.0;77.8;39.8;134.0;102.5;175.1;209.5;251.6;187.0;806.3
1941;37.7;46.8;73.2;25.4;42.1;31.9;57.7;132.5;27.4;138.4;33.5;73.0;140.7;222.0;199.3;148.1;719.6
1942;53.2;22.0;36.9;17.8;59.7;38.0;171.1;61.0;69.3;106.4;63.1;69.7;114.3;270.1;238.7;195.1;768.0
1943;84.3;41.2;18.8;44.9;40.1;77.4;38.5;91.4;56.9;25.2;106.0;37.8;103.8;207.2;188.1;144.7;662.3
1944;70.2;36.7;32.9;33.9;43.4;71.1;73.7;33.2;101.7;94.7;163.6;74.7;110.1;178.0;360.0;198.1;829.7
1945;58.3;65.0;27.2;50.4;83.3;45.6;63.3;108.5;77.4;50.9;43.3;70.8;160.9;217.4;171.7;236.3;744.2
1946;51.7;113.8;40.5;22.6;49.7;79.1;63.2;90.9;92.3;61.3;59.3;46.0;112.8;233.1;212.9;95.3;770.3
1947;24.8;24.5;87.5;56.3;36.4;43.1;70.7;37.0;49.9;18.4;106.9;86.9;180.2;150.8;175.1;253.7;642.3
1948;125.0;41.8;27.3;50.7;44.1;73.1;93.3;93.6;49.9;43.1;31.9;50.3;122.1;260.0;125.0;115.5;724.2
1949;37.7;27.6;36.2;53.8;56.5;25.1;36.2;50.0;61.8;71.7;83.1;80.8;146.5;111.3;216.6;208.0;620.5
1950;43.3;83.8;24.3;70.7;59.7;55.0;100.7;93.0;116.0;39.0;117.5;80.7;154.7;248.8;272.5;219.0;883.9
1951;85.5;52.9;83.1;65.2;54.8;52.4;60.4;108.7;67.7;16.2;108.2;60.3;203.1;221.4;192.1;196.2;815.4
1952;92.7;43.2;62.2;22.5;27.1;46.7;79.1;93.3;95.6;75.2;108.0;87.7;111.9;219.0;278.8;170.0;833.3
1953;24.7;57.7;14.9;49.8;40.5;84.9;78.0;88.9;54.2;14.9;24.8;42.2;105.2;251.8;93.9;139.5;575.5
1954;59.2;38.0;43.3;18.5;34.3;66.1;118.9;117.7;85.2;85.1;63.5;70.1;96.0;302.7;233.8;182.0;799.8
1955;62.6;49.3;36.0;24.6;74.3;57.1;30.9;52.7;74.2;98.1;28.3;74.9;135.0;140.8;200.5;204.6;663.1
1956;101.4;28.4;34.4;32.9;39.2;66.7;101.8;128.9;59.6;105.5;48.5;47.9;106.6;297.5;213.7;183.1;795.4
1957;47.4;87.8;57.2;14.6;48.9;40.7;111.3;124.9;152.6;54.6;46.5;50.9;120.7;276.9;253.7;221.6;837.4
1958;84.6;86.0;30.6;46.8;64.9;55.4;89.5;100.4;82.7;78.4;31.3;78.0;142.3;245.3;192.4;179.1;828.7
1959;94.7;6.4;52.2;54.3;17.8;38.0;55.2;39.7;4.7;66.8;44.7;65.8;124.3;132.8;116.2;179.5;540.2
1960;75.1;38.6;23.9;29.5;44.1;44.0;111.4;124.7;81.3;130.8;121.0;94.1;97.4;280.0;333.0;256.1;918.3
1961;96.0;66.0;33.8;63.9;40.9;64.0;96.8;84.3;73.6;106.8;81.6;105.2;138.6;245.0;262.0;237.0;912.8
1962;79.9;51.9;46.6;63.1;60.5;19.8;82.9;78.5;71.3;56.9;40.4;92.0;170.1;181.2;168.6;130.4;743.7
1963;22.6;15.9;53.7;45.2;64.1;82.9;52.8;124.6;65.5;61.0;91.1;18.1;163.1;260.2;217.6;67.5;697.4
1964;22.3;27.1;41.9;50.6;40.4;77.8;48.7;75.1;67.6;106.3;61.5;86.3;132.9;201.5;235.4;198.6;705.4
1965;88.9;23.4;46.1;83.1;83.9;69.7;146.3;82.1;72.7;24.4;80.9;162.8;213.1;298.1;178.0;287.4;964.3
1966;47.6;77.1;64.9;69.8;37.7;109.6;118.7;81.9;46.2;81.5;115.5;154.6;172.4;310.1;243.2;264.1;1004.9
1967;52.1;57.4;54.3;47.2;67.6;34.1;41.4;67.9;76.9;105.9;89.7;104.5;169.1;143.4;272.5;213.6;799.0
1968;74.7;34.4;43.1;26.0;68.0;79.0;90.3;96.0;132.2;78.1;46.8;39.6;137.2;265.3;257.1;144.6;808.2
1969;45.2;59.8;52.1;59.3;75.8;54.9;58.4;138.3;14.2;24.6;95.9;42.7;187.3;251.6;134.8;182.8;721.3
