Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Poland               : parameter = Precipitation                  : Units = mm/month            
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;23.9;21.3;42.5;49.7;35.7;89.8;61.4;74.1;34.8;39.7;53.0;57.9;127.8;225.3;127.5;126.8;583.8
1902;45.7;23.2;43.6;35.1;54.7;76.8;86.4;74.8;41.3;55.4;10.1;42.3;133.3;237.9;106.8;113.7;589.3
1903;37.1;34.3;17.8;67.5;52.3;75.0;99.0;90.2;30.5;59.3;49.1;28.5;137.6;264.2;139.0;93.1;640.7
1904;20.3;44.3;14.4;49.7;52.1;45.5;38.4;67.3;35.2;56.9;52.3;49.1;116.2;151.2;144.4;116.3;525.5
1905;38.4;28.8;24.2;50.3;54.6;62.2;96.5;83.7;54.7;65.1;54.9;28.9;129.1;242.4;174.7;84.4;642.4
1906;32.8;22.7;48.7;26.0;63.2;93.6;75.1;74.1;71.4;26.0;42.9;46.7;137.9;242.8;140.3;110.1;623.2
1907;37.9;25.5;36.5;35.6;40.3;74.8;115.9;78.7;45.3;17.4;26.0;62.5;112.4;269.5;88.7;137.6;596.4
1908;33.7;41.5;40.5;44.0;73.4;56.3;105.4;85.5;47.0;17.1;26.0;23.9;157.9;247.1;90.1;86.4;594.3
1909;25.1;37.3;33.0;40.6;54.2;70.1;108.7;53.1;46.0;18.3;54.1;48.7;127.7;232.0;118.4;108.3;589.2
1910;33.7;25.9;20.7;43.3;55.3;68.6;109.1;89.6;64.2;17.2;65.1;37.6;119.3;267.2;146.5;123.9;630.2
1911;40.5;45.8;29.3;33.2;62.6;59.9;48.2;52.6;45.4;33.0;34.8;39.8;125.0;160.6;113.2;115.9;525.0
1912;35.5;40.6;42.2;46.2;54.4;68.6;48.6;115.5;70.3;47.6;46.2;53.0;142.8;232.7;164.1;95.1;668.7
1913;22.8;19.4;33.9;42.9;49.2;70.4;94.8;101.9;60.4;29.6;45.2;69.5;126.0;267.1;135.2;112.0;640.0
1914;29.4;13.1;52.4;32.5;55.5;57.7;94.5;44.2;86.0;52.0;24.0;48.0;140.4;196.5;162.0;127.0;589.3
1915;53.8;25.3;44.5;38.9;36.7;34.4;94.4;74.7;66.1;47.9;44.7;63.5;120.1;203.6;158.8;161.2;625.1
1916;68.4;29.3;29.5;46.3;36.7;86.4;94.3;77.3;47.5;62.2;31.5;54.1;112.6;258.0;141.1;118.4;663.5
1917;44.9;19.4;39.2;56.5;23.8;38.7;74.8;64.4;31.6;57.9;52.1;44.7;119.4;177.9;141.6;116.9;548.0
1918;40.1;32.0;17.0;32.9;22.9;65.5;106.4;104.8;47.3;47.1;27.0;50.2;72.8;276.8;121.4;98.0;593.3
1919;28.3;19.4;41.5;46.4;48.6;79.2;117.5;76.4;38.7;47.8;44.4;49.2;136.5;273.1;130.9;126.8;637.5
1920;48.9;28.7;25.5;44.8;59.3;70.9;102.2;78.5;54.2;15.3;15.5;28.2;129.6;251.6;85.0;116.0;572.1
