Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Portugal             : parameter = Precipitation                  : Units = mm/month            
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;106.2;103.8;170.9;63.2;42.9;12.1;4.9;3.8;92.6;86.4;79.3;108.2;276.9;20.8;258.4;385.0;874.4
1902;16.6;260.2;58.0;110.4;38.2;44.1;21.3;18.9;27.4;108.8;198.2;79.1;206.6;84.3;334.4;192.6;981.2
1903;84.1;29.4;55.4;69.4;126.3;69.5;19.3;7.3;77.6;83.4;32.0;199.4;251.1;96.1;193.0;489.5;853.0
1904;125.5;164.7;105.6;33.3;19.1;31.6;3.1;2.6;55.2;52.2;93.2;109.8;158.1;37.3;200.6;189.0;795.9
1905;61.9;17.2;71.7;72.2;37.7;57.8;17.7;7.1;36.8;70.3;192.5;72.9;181.6;82.6;299.6;217.2;715.9
1906;66.6;77.7;66.2;58.8;79.8;41.1;2.1;1.8;67.5;105.8;133.2;31.7;204.8;45.0;306.5;108.3;732.3
1907;30.4;46.1;10.3;92.1;124.6;4.0;11.4;6.2;104.1;226.1;179.2;162.2;227.0;21.5;509.4;288.2;996.6
1908;110.0;16.0;68.0;57.1;29.0;60.9;2.1;8.2;24.3;61.5;147.1;103.6;154.0;71.2;232.9;191.3;687.8
1909;57.6;30.0;149.4;37.7;78.9;33.8;1.3;7.6;47.4;70.5;187.4;204.9;266.1;42.7;305.3;311.8;906.6
1910;38.1;68.8;57.2;74.9;85.4;35.0;5.5;2.7;35.9;138.9;124.8;307.4;217.5;43.3;299.6;388.3;974.7
1911;56.1;24.7;128.1;84.9;59.9;54.8;13.0;14.7;34.5;194.9;129.8;149.8;272.9;82.6;359.1;532.5;945.3
1912;146.4;236.3;93.0;45.1;25.3;27.4;16.1;16.9;57.0;115.3;36.4;35.3;163.3;60.5;208.6;286.9;850.4
1913;169.3;82.3;95.4;42.7;42.3;29.0;1.4;6.0;74.2;242.6;88.6;45.8;180.4;36.4;405.4;282.8;919.7
1914;70.4;166.6;76.6;72.1;33.3;44.5;16.6;3.6;13.8;86.1;102.9;220.0;182.0;64.7;202.8;521.3;906.5
1915;154.3;147.1;157.3;29.2;74.3;13.1;5.9;3.5;22.9;38.9;145.1;184.6;260.7;22.5;206.9;359.9;976.0
1916;32.1;143.2;209.2;37.4;57.9;20.0;13.3;3.7;42.0;30.8;150.8;225.4;304.5;37.0;223.5;527.9;965.6
1917;136.9;165.6;116.6;57.4;65.3;29.6;0.9;8.3;12.3;38.1;6.8;61.8;239.3;38.7;57.2;290.9;699.6
1918;198.2;30.9;92.3;95.4;44.1;14.4;6.3;10.2;64.3;40.9;106.1;59.6;231.7;30.9;211.4;403.7;762.7
1919;131.5;212.6;103.2;73.5;32.5;25.5;12.2;3.0;42.5;70.0;174.0;66.9;209.2;40.7;286.5;218.1;947.4
1920;58.1;93.0;80.0;65.8;84.3;19.8;1.2;2.0;26.3;144.2;89.2;90.6;230.1;23.0;259.6;211.4;754.5
1921;45.7;75.1;46.2;27.4;70.3;20.6;7.3;5.8;55.8;94.3;105.0;52.2;143.9;33.7;255.1;224.5;605.6
1922;133.1;39.2;112.0;44.2;31.3;47.5;5.6;17.0;32.5;148.1;44.9;112.7;187.6;70.1;225.5;265.4;768.2
1923;21.7;131.0;45.6;123.3;25.5;28.6;5.3;3.2;29.4;102.2;177.5;42.6;194.4;37.2;309.1;265.3;735.9
1924;103.1;119.7;186.6;72.4;38.4;8.3;5.4;7.1;48.7;60.5;125.9;107.7;297.4;20.9;235.1;276.0;883.9
1925;41.4;126.9;27.7;58.1;59.6;61.9;16.3;9.5;14.1;80.1;143.5;192.6;145.4;87.7;237.7;413.6;831.6
1926;66.5;154.4;102.7;68.1;50.2;14.7;1.3;3.4;3.5;155.0;189.8;37.0;221.0;19.3;348.3;222.3;846.6
1927;93.5;91.7;103.9;20.4;64.5;22.8;16.3;17.1;25.2;82.0;121.5;223.4;188.8;56.2;228.6;364.0;882.1
1928;47.3;93.4;135.1;132.7;74.1;44.7;3.5;21.8;93.1;52.9;61.1;72.6;341.9;70.0;207.2;265.6;832.3
