Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Romania              : parameter = Precipitation                  : Units = mm/month            
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;52.2;46.6;49.1;63.8;34.8;133.3;86.5;104.5;29.4;71.2;19.8;42.7;147.7;324.3;120.4;100.0;734.0
1902;26.2;31.1;38.3;44.5;84.3;98.3;65.1;76.9;37.3;58.8;5.5;61.9;167.0;240.3;101.6;107.1;628.1
1903;24.9;20.3;13.9;73.0;73.6;97.5;75.2;40.7;12.7;47.4;30.5;23.4;160.5;213.4;90.6;85.0;533.1
1904;16.2;45.5;25.3;18.9;43.4;65.0;34.0;57.7;96.2;48.2;52.7;20.5;87.7;156.7;197.2;75.2;523.6
1905;24.8;29.9;13.1;62.4;59.3;96.3;50.0;36.4;49.8;107.2;44.0;27.7;134.9;182.7;201.0;81.9;600.9
1906;31.8;22.4;40.3;44.8;104.8;102.8;81.1;70.4;55.8;29.3;43.6;59.9;189.8;254.4;128.6;120.0;686.9
1907;29.1;31.1;44.9;41.6;39.0;96.2;66.5;23.3;31.4;8.4;42.6;37.9;125.5;186.0;82.4;116.8;492.0
1908;28.0;50.9;20.5;51.2;34.6;72.2;107.0;59.1;54.7;33.7;53.9;28.3;106.4;238.3;142.3;105.7;594.3
1909;36.8;40.6;44.3;30.8;59.6;99.3;55.4;46.8;89.4;26.8;44.0;44.4;134.6;201.6;160.2;122.3;618.2
1910;45.1;32.8;11.0;59.7;58.4;84.3;95.7;61.1;31.8;57.3;69.5;24.8;129.1;241.1;158.7;85.1;631.6
1911;31.9;28.5;21.1;52.9;59.8;99.6;62.4;75.2;53.4;27.3;22.9;44.1;133.8;237.2;103.6;136.6;579.0
