Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Serbia               : parameter = Precipitation                  : Units = mm/month            
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;42.8;48.9;59.2;48.1;45.1;109.7;90.9;66.5;57.4;92.4;34.0;69.2;152.4;267.1;183.8;172.6;764.3
1902;30.9;72.4;61.7;59.4;91.3;84.0;54.9;65.4;60.2;92.6;15.1;60.8;212.4;204.3;167.9;101.3;748.8
1903;24.4;16.1;25.1;83.5;76.1;100.0;88.0;23.1;40.5;84.1;56.2;45.6;184.7;211.1;180.9;146.5;662.7
1904;35.2;65.7;38.0;34.3;40.9;74.4;32.3;41.8;83.0;77.9;44.0;40.7;113.2;148.5;204.9;107.2;608.1
1905;35.2;31.3;37.4;78.4;88.9;109.6;57.6;30.6;55.6;143.1;66.4;17.9;204.7;197.8;265.1;101.3;751.9
1906;46.5;36.9;55.1;36.3;82.4;120.0;63.0;56.6;92.4;26.8;57.8;99.7;173.8;239.6;177.1;171.8;773.5
1907;38.5;33.6;25.9;80.2;41.1;79.8;45.9;19.7;24.6;21.3;51.4;67.5;147.3;145.4;97.4;178.9;529.6
1908;42.4;69.0;43.6;73.7;28.6;37.7;54.5;67.5;33.3;27.4;80.8;40.0;145.9;159.7;141.5;111.7;598.6
1909;33.6;38.0;55.7;29.8;104.2;80.2;64.1;68.3;96.8;41.5;80.2;84.6;189.7;212.6;218.4;196.1;777.0
1910;65.2;46.3;17.6;81.5;88.5;88.2;94.8;59.1;90.6;47.8;94.7;44.2;187.5;242.0;233.1;108.7;818.4
1911;36.3;28.2;21.5;59.7;100.0;73.7;40.8;57.5;91.7;51.5;26.7;46.1;181.3;172.0;170.0;163.2;633.8
1912;73.0;44.0;73.6;84.1;95.1;62.1;62.1;56.3;116.5;66.3;84.0;45.8;252.8;180.5;266.8;105.5;862.8
