Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Slovenia             : parameter = Precipitation                  : Units = mm/month            
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;41.9;60.0;142.9;90.3;78.9;180.3;87.6;130.7;231.8;93.4;98.8;131.0;312.1;398.5;424.0;348.2;1367.5
1902;59.7;157.5;57.8;72.8;172.2;124.5;172.1;73.4;74.1;173.3;31.3;39.3;302.8;370.0;278.7;146.2;1208.0
1903;82.8;24.2;66.2;143.1;69.2;108.9;173.1;94.6;117.5;172.8;158.0;180.6;278.5;376.6;448.2;389.5;1390.8
1904;50.9;158.0;106.4;87.6;125.6;158.9;70.2;181.0;160.2;169.5;60.3;80.8;319.6;410.1;390.0;202.6;1409.4
1905;28.2;93.6;91.6;74.5;129.1;106.1;107.4;158.6;95.6;195.1;278.8;13.2;295.2;372.1;569.5;162.9;1371.7
1906;62.1;87.6;70.8;94.2;111.8;131.1;165.7;111.6;149.1;87.5;150.5;153.7;276.8;408.4;387.0;271.4;1375.6
1907;75.3;42.5;12.3;195.4;123.0;99.9;135.2;102.7;92.8;197.7;48.2;127.0;330.7;337.8;338.7;203.9;1251.9
1908;21.1;55.8;77.3;207.2;37.9;69.3;92.3;178.8;70.3;45.4;42.4;75.4;322.4;340.4;158.1;170.6;973.1
1909;52.4;42.8;122.7;55.0;79.4;111.7;111.1;200.4;135.7;122.1;50.5;179.8;257.1;423.2;308.3;448.7;1263.5
1910;152.9;116.0;48.5;84.0;138.2;195.7;158.0;130.8;161.4;85.5;216.8;67.9;270.7;484.5;463.7;120.6;1555.7
1911;43.5;9.2;81.2;63.8;144.6;160.6;55.9;71.4;118.5;162.8;78.4;111.3;289.6;287.9;359.7;241.2;1101.1
1912;39.6;90.3;112.3;91.0;102.7;138.9;93.9;152.5;204.6;177.0;94.4;46.9;306.0;385.3;475.9;97.2;1344.0
1913;33.5;16.8;55.3;86.8;75.7;118.6;244.5;135.5;157.4;60.7;146.4;110.5;217.8;498.6;364.6;196.5;1241.7
1914;41.8;44.2;102.6;84.5;176.4;132.2;239.0;99.5;148.8;57.0;60.8;137.2;363.5;470.7;266.6;418.1;1324.0
1915;156.7;124.2;53.0;65.7;90.2;106.5;187.5;193.1;107.4;241.6;122.8;98.6;208.8;487.1;471.8;204.2;1547.2
