Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Spain                : parameter = Precipitation                  : Units = mm/month            
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;61.1;64.7;95.1;58.5;53.8;34.8;33.4;19.5;68.7;84.6;60.1;61.4;207.3;87.8;213.4;171.3;695.7
1902;9.9;100.0;42.4;74.8;52.9;52.1;22.8;38.4;43.7;79.6;110.0;60.4;170.1;113.3;233.3;130.3;687.0
1903;58.2;11.7;49.9;45.0;79.9;57.0;20.7;13.3;53.2;47.3;38.3;117.0;174.9;91.0;138.8;282.0;591.5
1904;87.1;77.9;78.9;42.3;27.6;56.5;6.5;12.8;60.7;36.4;60.7;61.7;148.8;75.8;157.8;127.4;609.2
1905;47.6;18.0;34.9;46.5;50.5;42.4;31.4;19.4;59.2;46.2;117.8;49.0;131.8;93.2;223.2;138.7;562.9
1906;41.7;47.9;62.0;77.9;54.4;39.2;20.5;3.1;75.3;75.8;72.5;63.4;194.3;62.8;223.6;120.8;633.7
1907;21.6;35.8;12.0;59.3;69.7;12.1;14.2;15.9;87.8;147.0;75.3;67.4;141.0;42.2;310.2;153.9;618.1
1908;62.3;24.3;67.5;48.6;43.7;73.2;10.9;22.4;45.6;62.4;79.2;76.2;159.9;106.4;187.3;131.6;616.3
1909;27.3;28.2;82.6;31.9;69.7;45.0;4.3;17.9;47.6;52.5;104.8;96.3;184.2;67.1;204.9;166.5;607.9
1910;29.0;41.2;48.0;53.3;84.1;44.0;11.8;12.1;58.8;81.3;57.3;131.0;185.5;67.9;197.5;193.0;652.0
1911;43.0;19.0;87.1;40.9;79.5;64.6;17.9;19.5;26.5;107.8;79.4;61.5;207.4;101.9;213.6;215.5;646.4
1912;68.9;85.1;44.5;60.9;22.1;34.6;26.9;16.5;51.1;55.4;36.0;17.7;127.6;78.0;142.5;143.6;519.7
1913;68.3;57.6;63.4;49.1;49.7;35.6;6.9;19.7;80.1;105.0;44.6;28.3;162.1;62.2;229.6;119.9;608.2
1914;33.6;58.0;50.2;58.5;68.2;51.0;38.4;22.9;17.2;76.9;71.5;92.5;176.9;112.3;165.7;245.8;638.8
1915;81.6;71.8;87.8;50.2;100.7;43.0;23.4;13.5;37.7;54.3;90.4;83.0;238.7;79.9;182.4;185.4;737.3
1916;12.6;89.8;104.8;47.7;50.0;16.9;21.6;5.9;50.5;27.3;96.0;121.8;202.4;44.4;173.8;279.4;644.7
1917;72.5;85.2;79.0;46.0;73.3;51.3;10.2;18.0;26.0;39.6;26.3;81.6;198.2;79.6;91.8;165.4;608.9
1918;72.6;11.2;83.3;81.2;47.0;27.5;18.4;15.1;57.3;77.0;81.5;41.2;211.4;60.9;215.8;228.3;613.1
1919;72.7;114.4;69.0;51.2;45.4;37.5;18.8;6.7;95.0;94.6;116.6;37.2;165.5;63.0;306.3;123.8;759.1
1920;30.7;55.9;64.4;37.1;55.1;41.3;18.1;14.3;35.0;98.6;82.2;66.5;156.6;73.7;215.8;150.6;599.2
1921;22.1;62.0;38.3;40.9;110.4;35.6;13.6;25.5;55.5;55.1;59.1;43.3;189.5;74.7;169.7;148.2;561.3
1922;73.6;31.3;86.5;40.0;29.5;76.8;15.4;25.7;42.5;86.6;41.8;49.3;155.9;117.9;170.8;129.4;598.9
1923;22.7;57.4;57.8;84.0;40.3;21.3;27.8;13.6;51.7;58.8;128.3;36.9;182.1;62.7;238.8;162.9;600.6
1924;48.1;77.9;97.0;42.8;25.7;19.1;8.3;12.2;42.2;48.7;74.7;65.6;165.5;39.6;165.6;152.0;562.3
1925;19.1;67.3;40.9;42.3;56.4;56.8;22.6;23.0;23.4;69.6;97.3;92.5;139.6;102.4;190.3;208.8;611.2
1926;44.3;72.0;61.8;59.9;52.0;20.7;9.9;32.0;22.6;107.4;123.8;38.9;173.6;62.7;253.8;139.8;645.3
1927;52.2;48.7;65.1;16.8;65.6;35.8;22.6;22.7;40.8;77.4;91.0;135.0;147.4;81.1;209.2;228.0;673.6
1928;37.6;55.5;95.9;87.4;63.8;23.3;11.3;18.9;62.5;55.6;53.6;54.8;247.0;53.5;171.7;162.4;620.1
1929;29.4;78.3;35.9;40.2;53.2;58.6;17.6;20.7;63.2;65.4;71.7;58.1;129.3;96.9;200.3;203.6;592.2
1930;81.8;63.7;53.3;83.2;48.9;69.2;33.6;10.7;24.7;56.9;57.0;74.2;185.4;113.5;138.6;140.1;657.3
1931;36.0;29.9;117.1;31.3;52.0;21.6;17.7;23.6;40.2;89.9;74.9;28.5;200.4;62.8;205.0;114.0;562.7
1932;32.4;53.1;77.1;49.8;55.4;60.3;49.9;24.2;76.8;48.7;83.7;136.0;182.2;134.4;209.2;236.9;747.2
1933;58.3;42.6;84.6;30.7;44.0;65.4;13.4;12.8;56.8;87.7;85.9;106.8;159.2;91.7;230.4;152.3;689.1
1934;23.5;22.1;70.8;99.5;38.6;22.9;13.1;35.5;27.4;23.6;108.6;94.9;208.8;71.5;159.6;155.1;580.3
1935;28.5;31.7;53.6;31.3;124.8;26.8;16.5;30.6;23.8;49.3;87.0;104.5;209.8;73.9;160.1;336.3;608.4
1936;111.9;119.9;129.4;81.4;122.9;53.2;22.8;11.9;45.3;59.4;90.7;32.2;333.8;88.0;195.4;168.3;881.2
1937;99.7;36.4;109.7;49.0;35.4;57.0;10.7;10.7;34.9;129.2;83.8;75.9;194.1;78.4;247.8;124.6;732.3
1938;34.8;13.9;25.4;40.9;68.4;18.8;10.2;23.6;80.0;72.1;41.6;110.1;134.7;52.6;193.8;229.6;539.9
1939;79.2;40.2;44.9;52.6;35.2;66.0;18.1;37.0;75.3;103.1;61.2;85.6;132.8;121.1;239.7;255.9;698.7
1940;97.8;72.5;53.0;39.8;58.3;65.2;23.4;27.6;39.4;115.8;61.2;25.1;151.1;116.2;216.3;270.6;679.0
1941;150.9;94.7;59.7;75.6;81.0;41.9;34.1;37.7;56.4;18.0;83.0;21.5;216.3;113.7;157.3;113.8;754.3
1942;50.1;42.2;88.9;110.3;26.3;38.5;9.3;39.9;60.5;83.6;54.8;68.0;225.5;87.7;198.9;162.5;672.3
1943;60.8;33.8;74.9;54.3;35.1;15.7;44.4;20.7;82.2;81.7;41.2;111.1;164.3;80.8;205.1;172.1;655.9
1944;3.9;57.0;23.1;49.7;53.2;35.4;14.6;37.8;68.9;67.8;48.8;57.1;126.0;87.8;185.5;152.5;517.3
1945;87.9;7.5;29.7;19.8;33.5;29.4;19.2;36.7;10.2;34.3;87.8;101.3;83.0;85.3;132.3;181.1;497.4
1946;59.0;20.8;82.8;120.5;114.5;27.7;4.5;24.0;30.9;52.6;59.6;62.9;317.8;56.2;143.2;283.6;659.9
1947;65.4;155.2;114.9;18.7;65.0;22.7;21.3;35.6;58.1;71.4;39.5;58.9;198.6;79.5;169.0;243.3;726.7
1948;123.3;61.1;33.1;64.7;84.5;13.4;14.3;23.2;21.3;63.8;9.9;83.1;182.2;50.8;95.0;141.6;595.5
