Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Switzerland          : parameter = Precipitation                  : Units = mm/month            
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;47.6;36.5;101.6;169.5;46.0;167.1;140.0;149.0;153.0;92.0;39.6;89.3;317.2;456.1;284.6;220.4;1231.3
1902;58.4;72.6;111.6;61.6;128.6;91.5;121.5;163.3;100.0;106.1;35.1;100.6;301.8;376.3;241.2;193.2;1150.9
1903;53.3;39.3;51.6;89.2;81.5;116.5;167.9;153.0;60.5;139.7;102.9;53.5;222.3;437.4;303.1;222.7;1109.0
1904;37.1;132.1;63.0;98.5;145.8;120.5;51.4;104.9;129.8;58.8;56.6;57.5;307.2;276.9;245.1;150.8;1055.9
1905;57.6;35.7;96.3;116.7;113.3;98.6;108.7;245.5;153.3;104.3;112.7;38.5;326.3;452.8;370.4;172.9;1281.3
1906;61.9;72.5;76.9;62.6;125.4;105.0;151.4;74.3;53.9;45.0;107.9;84.0;264.9;330.7;206.9;209.1;1020.9
1907;80.0;45.1;83.8;96.1;75.8;121.8;122.2;97.2;75.0;100.5;32.6;116.1;255.7;341.2;208.0;247.1;1046.0
1908;34.6;96.5;50.8;85.2;133.8;96.6;184.4;124.7;148.1;17.4;63.8;43.4;269.8;405.8;229.3;117.6;1079.4
1909;36.0;38.2;66.7;63.6;55.6;196.8;156.8;131.9;98.3;114.8;61.4;125.8;185.9;485.5;274.5;369.6;1145.8
1910;158.7;85.1;33.9;104.4;108.7;220.8;173.6;165.9;112.1;58.1;173.7;93.3;247.0;560.3;343.9;169.1;1488.3
1911;20.9;54.9;64.1;55.0;75.6;160.0;33.4;98.3;111.1;98.6;85.1;102.2;194.8;291.7;294.7;246.6;959.2
1912;84.6;59.8;101.9;50.5;129.9;140.0;134.1;223.3;76.1;145.2;66.8;48.4;282.4;497.4;288.1;150.0;1260.7
1913;75.2;26.5;84.6;84.4;90.2;123.4;154.0;137.9;115.6;58.1;146.9;67.7;259.2;415.3;320.6;209.3;1164.4
1914;91.4;50.3;150.3;68.3;161.6;118.9;198.2;165.2;105.4;71.9;63.3;74.8;380.2;482.2;240.5;250.4;1319.4
1915;100.1;75.5;89.8;91.2;97.2;111.9;174.8;127.7;119.8;30.0;81.7;112.4;278.2;414.4;231.5;296.3;1212.1
1916;66.3;117.5;97.7;97.1;88.0;186.1;154.0;138.2;121.8;127.9;112.2;136.0;282.8;478.3;361.9;208.5;1442.9
1917;56.0;16.5;79.5;93.7;89.5;110.4;149.6;199.7;65.5;190.1;77.6;32.4;262.7;459.7;333.2;116.3;1160.5
1918;57.3;26.6;57.5;98.0;54.5;169.2;88.5;109.4;192.4;70.1;54.3;161.9;210.1;367.1;316.8;303.2;1139.8
1919;63.1;78.3;113.3;123.5;47.5;107.1;148.0;57.0;71.3;70.0;145.7;150.7;284.3;312.1;287.0;282.6;1175.4
1920;110.4;21.5;69.4;106.3;109.5;101.9;153.0;99.1;169.7;17.8;13.2;47.5;285.1;354.0;200.7;128.2;1019.1
1921;68.6;12.1;26.6;69.7;97.5;107.5;52.9;150.7;80.0;38.0;76.9;39.0;193.8;311.1;194.8;246.9;819.3
1922;129.0;79.0;93.4;172.9;66.8;150.1;170.2;152.1;151.9;111.5;101.4;124.3;333.2;472.3;364.8;273.5;1502.5
1923;63.4;85.7;41.3;83.5;122.4;105.1;70.2;89.9;98.0;154.1;132.9;136.2;247.2;265.2;385.0;210.2;1182.7
1924;42.4;31.6;44.4;116.0;146.6;155.4;159.4;172.9;113.5;81.8;22.2;37.8;307.0;487.6;217.5;148.3;1123.9
1925;34.8;75.8;53.1;102.3;87.0;64.6;143.2;158.4;137.9;54.8;74.3;111.9;242.4;366.3;266.9;249.5;1098.0
1926;74.3;63.3;78.2;66.1;174.6;195.6;143.7;68.8;57.0;142.1;93.7;47.8;318.8;408.1;292.8;191.5;1205.1
1927;85.9;57.8;107.1;116.9;76.0;142.0;149.0;219.9;184.4;25.7;89.4;43.8;300.0;510.9;299.5;180.5;1298.0
1928;59.2;77.5;61.1;97.8;130.3;111.8;53.2;169.2;88.2;145.9;144.4;67.8;289.3;334.2;378.5;117.1;1206.4
1929;32.8;16.5;14.4;101.4;82.5;131.4;116.6;129.7;42.8;116.0;57.9;117.0;198.3;377.7;216.8;187.6;959.1
1930;45.9;24.7;66.4;133.4;161.4;86.9;210.2;138.1;130.1;162.2;124.5;51.1;361.2;435.2;416.7;238.2;1334.7
1931;97.4;89.7;97.7;70.0;106.4;116.1;185.7;202.3;104.3;71.5;46.2;46.2;274.1;504.2;222.1;122.3;1233.7
1932;68.6;7.5;76.4;82.2;178.7;115.3;192.9;97.1;82.6;129.9;47.5;27.6;337.3;405.3;260.1;126.5;1106.4
1933;41.5;57.4;57.9;64.2;154.7;183.8;120.6;71.5;111.5;115.9;80.9;21.2;276.8;375.9;308.3;106.5;1081.1
1934;69.8;15.5;77.0;50.7;45.7;163.2;122.5;195.1;91.3;89.2;69.2;74.9;173.4;480.7;249.7;274.0;1064.1
