Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Ukraine              : parameter = Precipitation                  : Units = mm/month            
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;31.7;43.9;33.0;44.1;39.7;66.0;60.7;61.8;34.7;31.8;23.4;51.5;116.8;188.4;89.9;106.1;522.1
1902;26.5;28.1;29.5;36.6;73.0;65.0;74.8;46.8;23.2;56.8;7.9;44.5;139.1;186.5;88.0;93.2;512.7
1903;23.4;25.3;10.6;38.6;58.0;99.2;63.8;38.3;7.0;50.0;47.2;18.7;107.2;201.3;104.2;73.9;480.1
1904;18.8;36.4;25.4;24.3;45.2;49.0;26.9;37.9;42.5;41.9;38.8;32.0;94.9;113.9;123.2;73.5;419.1
1905;29.6;11.8;19.1;55.9;40.0;72.4;43.1;43.3;45.4;84.3;60.7;31.8;115.1;158.8;190.4;100.4;537.6
1906;43.2;25.4;46.4;24.2;69.4;58.3;101.6;55.3;59.9;37.5;41.3;60.0;140.0;215.2;138.7;109.3;622.5
1907;29.2;20.1;40.6;44.4;24.5;68.6;72.8;31.3;23.3;11.8;47.6;48.2;109.5;172.7;82.7;151.2;462.4
1908;42.3;60.8;20.2;43.0;33.6;57.7;75.8;44.3;55.3;22.1;38.0;18.4;96.8;177.8;115.3;85.5;511.4
1909;30.0;37.1;44.9;36.5;35.5;83.4;45.1;19.9;29.3;27.2;65.3;33.7;116.9;148.3;121.9;106.9;487.9
1910;50.9;22.3;14.7;48.4;42.7;62.7;105.2;61.9;25.6;32.4;68.2;23.9;105.8;229.8;126.1;84.1;558.7
1911;33.7;26.5;20.8;31.8;44.8;84.6;60.8;74.3;37.9;34.0;24.4;27.2;97.4;219.7;96.3;119.9;500.9
1912;53.8;38.8;32.0;53.4;67.2;74.4;73.8;70.3;82.4;49.3;32.7;46.0;152.6;218.5;164.3;93.4;674.0
1913;31.0;16.3;19.3;34.9;62.7;74.0;101.3;68.6;52.1;13.5;43.3;48.9;116.8;243.9;108.9;96.9;565.9
1914;36.7;11.3;54.2;28.1;51.9;69.8;86.9;49.0;68.1;49.2;30.0;28.5;134.2;205.6;147.3;137.8;563.5
1915;81.7;27.7;51.7;35.8;55.4;35.1;80.8;65.5;40.6;33.9;57.9;51.0;142.9;181.4;132.4;122.2;617.1
1916;33.4;37.9;26.8;49.5;64.0;52.7;72.3;49.7;23.4;58.0;28.9;55.2;140.2;174.8;110.3;129.4;551.7
1917;41.8;32.4;38.6;46.0;31.6;66.2;64.9;76.0;38.6;37.7;44.7;34.1;116.2;207.1;120.9;79.0;552.5
1918;22.1;22.8;16.8;7.5;28.6;56.1;92.0;68.4;39.0;40.4;42.9;57.7;53.0;216.5;122.3;107.4;494.4
1919;14.4;35.3;41.8;34.0;89.4;90.3;77.4;52.2;21.3;68.5;67.0;46.1;165.3;219.9;156.9;109.1;637.9
1920;47.4;15.5;28.7;13.1;54.4;80.1;46.2;45.7;39.8;20.7;9.5;17.1;96.3;172.0;70.0;72.9;418.4
1921;37.4;18.4;6.4;40.0;41.1;67.3;33.1;36.2;28.3;24.8;47.3;25.7;87.5;136.5;100.3;110.2;405.8
1922;51.2;33.2;40.9;58.8;60.9;75.3;36.6;60.9;98.5;61.7;44.4;39.9;160.6;172.8;204.6;118.5;662.4
1923;44.8;33.8;27.1;28.0;41.3;62.5;39.9;31.3;38.0;42.2;37.2;55.2;96.3;133.7;117.4;130.4;481.3
1924;33.6;41.5;30.0;64.4;29.6;39.1;61.5;58.3;27.4;19.9;36.7;8.6;124.0;158.9;84.0;49.5;450.7
1925;15.9;25.0;29.9;24.4;55.6;90.8;81.4;88.2;60.1;41.2;56.3;58.3;109.8;260.4;157.5;106.2;626.9
1926;26.9;21.1;30.2;30.8;66.0;84.3;52.2;49.8;57.0;49.8;4.4;44.3;127.1;186.2;111.2;87.9;516.8
1927;25.9;17.6;31.7;43.6;49.7;51.9;72.8;67.6;33.5;28.3;43.8;47.1;125.0;192.2;105.5;92.3;513.4
1928;16.4;28.8;10.5;29.3;46.9;61.6;20.9;73.8;37.9;45.9;50.8;60.7;86.7;156.4;134.7;114.9;483.6
1929;34.8;19.4;18.1;42.5;52.1;69.2;71.2;25.1;43.5;40.7;27.2;25.1;112.8;165.5;111.4;79.0;469.0
1930;18.0;35.8;29.3;47.7;68.2;53.8;49.4;67.8;51.7;43.0;48.0;43.9;145.1;171.0;142.6;100.5;556.4
1931;45.4;11.2;42.0;41.7;48.5;58.0;70.4;75.5;64.9;45.2;33.2;33.3;132.2;203.9;143.2;91.2;569.2
1932;25.7;32.2;30.6;64.3;74.9;100.6;62.6;54.3;28.8;58.9;39.9;30.0;169.8;217.4;127.6;96.3;602.8
1933;22.0;44.2;24.7;57.6;81.6;100.7;91.3;66.0;61.4;47.5;44.7;33.2;163.9;258.0;153.6;74.8;675.1
1934;19.1;22.5;17.2;10.6;24.8;42.1;93.5;55.0;27.1;30.5;48.9;15.2;52.7;190.6;106.5;88.6;406.6
1935;36.2;37.2;19.8;63.2;48.0;41.6;62.1;51.8;37.2;42.0;22.2;62.2;131.0;155.5;101.3;129.4;523.4
1936;40.2;27.1;19.3;60.1;14.4;82.7;35.9;64.7;50.5;58.9;45.9;29.4;93.9;183.3;155.3;126.3;529.1
1937;40.3;56.6;31.5;50.2;19.1;44.9;47.7;106.8;32.5;45.0;56.2;64.5;100.8;199.4;133.7;126.4;595.2
1938;39.4;22.5;27.3;58.7;59.2;52.7;62.8;47.1;36.7;57.0;26.2;24.8;145.1;162.6;119.9;85.1;514.4
1939;42.7;17.5;41.0;23.3;57.7;43.3;50.9;44.5;42.4;94.5;35.7;60.9;122.0;138.8;172.6;141.3;554.5
1940;30.8;49.6;36.9;46.3;51.1;40.5;75.7;77.1;49.7;62.7;35.6;43.0;134.3;193.3;148.0;146.4;599.0
1941;43.1;60.3;38.9;47.5;74.5;80.7;97.7;76.6;43.3;61.0;42.0;39.1;161.0;255.1;146.3;107.6;704.9
1942;43.7;24.8;20.5;51.1;45.7;89.9;52.3;21.2;19.8;18.9;35.5;21.9;117.3;163.4;74.2;82.7;445.3
1943;43.1;17.7;8.5;30.3;68.8;49.1;86.3;16.8;47.4;22.6;57.1;45.4;107.6;152.2;127.1;122.6;493.2
1944;30.7;46.5;56.5;36.6;47.5;54.7;66.6;44.4;19.6;23.4;73.2;20.7;140.6;165.8;116.2;83.2;520.5
