Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = United_Kingdom       : parameter = Precipitation                  : Units = mm/month            
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;79.8;59.8;80.6;82.8;42.1;71.9;67.9;96.5;74.1;112.2;105.0;155.0;205.5;236.4;291.3;288.6;1027.9
1902;78.5;55.0;78.3;55.3;82.3;69.3;79.5;89.4;76.1;94.9;86.9;110.8;215.9;238.3;257.9;372.6;956.3
1903;144.9;117.0;150.0;62.7;77.5;67.3;116.3;146.8;107.5;227.5;99.3;87.6;290.2;330.4;434.3;314.6;1404.4
1904;112.5;114.5;64.5;85.1;77.6;49.8;78.2;113.8;81.1;65.5;85.6;101.4;227.2;241.8;232.3;239.8;1029.8
1905;67.9;70.5;128.1;79.0;39.7;60.2;61.3;123.4;79.6;99.0;143.9;59.2;246.9;244.9;322.5;306.4;1012.0
1906;147.2;100.0;79.8;48.0;104.8;50.0;60.9;100.7;45.8;162.4;139.1;114.4;232.7;211.7;347.3;260.1;1153.2
1907;68.2;77.5;79.5;78.7;99.0;116.8;74.6;107.4;36.2;173.7;99.5;133.3;257.2;298.8;309.3;311.7;1144.3
1908;91.5;86.9;126.0;76.6;66.2;57.1;86.3;102.6;123.0;59.6;82.6;107.9;268.8;246.0;265.2;247.6;1066.4
1909;90.6;49.0;116.8;87.9;59.7;74.2;109.2;84.5;77.6;170.3;67.3;151.2;264.5;267.8;315.2;398.3;1138.4
1910;120.7;126.4;52.5;97.8;68.5;68.0;96.6;139.9;30.9;94.4;153.6;139.2;218.8;304.4;279.0;307.4;1188.5
1911;61.5;106.7;62.2;72.7;53.1;79.5;54.0;68.9;74.2;105.6;153.7;193.5;188.0;202.4;333.5;396.3;1085.7
1912;116.0;86.8;125.7;37.9;61.2;123.0;92.5;161.3;59.5;125.1;114.8;157.3;224.8;376.8;299.3;342.9;1261.0
1913;129.1;56.5;135.3;98.2;82.4;62.9;31.7;45.4;85.1;104.9;126.2;99.3;315.9;140.1;316.2;298.2;1057.0
1914;85.9;113.1;133.3;55.3;62.1;51.1;99.8;86.1;66.5;69.4;149.6;207.6;250.8;237.1;285.6;473.6;1180.0
1915;126.2;139.9;62.5;67.7;53.0;40.4;127.6;80.6;69.4;83.2;92.5;205.8;183.3;248.7;245.1;459.6;1148.9
1916;109.3;144.4;96.3;73.8;100.1;82.1;75.2;91.2;59.6;185.1;139.4;124.3;270.2;248.6;384.2;248.7;1280.9
1917;84.1;40.4;82.0;65.2;72.4;75.0;62.6;160.3;80.8;183.0;137.8;75.9;219.5;297.8;401.5;301.3;1119.2
1918;115.7;109.8;47.0;49.9;68.2;47.2;128.8;92.0;196.5;112.8;99.3;149.3;165.1;268.0;408.5;347.6;1216.4
1919;134.2;64.1;123.0;85.5;31.4;71.7;48.3;93.4;91.2;83.6;120.8;177.7;240.0;213.4;295.6;423.7;1125.0
1920;146.3;99.6;116.6;101.5;99.0;64.7;125.3;77.7;84.6;86.1;94.6;113.5;317.2;267.7;265.3;299.8;1209.6
1921;157.0;29.3;108.1;39.6;64.9;20.7;65.8;111.6;61.9;93.7;83.4;135.6;212.6;198.1;239.0;389.1;971.5
1922;135.6;117.9;75.4;90.2;63.9;55.8;118.6;104.0;90.2;51.0;72.8;133.0;229.6;278.4;214.0;402.9;1108.5
1923;109.6;160.3;52.5;81.9;84.0;37.0;97.3;137.4;122.2;163.4;129.3;136.3;218.4;271.8;415.0;298.0;1311.3
1924;116.3;45.4;44.2;76.2;119.7;76.6;128.8;121.7;145.6;132.7;89.1;162.2;240.2;327.1;367.3;414.8;1258.6
1925;107.4;145.1;58.3;93.5;115.6;16.0;83.7;88.0;117.8;119.5;74.3;123.2;267.4;187.7;311.7;373.5;1142.6
1926;145.1;105.2;63.0;70.0;78.9;78.2;81.9;88.1;93.1;139.6;173.5;55.6;211.9;248.2;406.2;267.7;1172.2
1927;132.7;79.4;101.0;86.4;54.8;111.3;98.9;133.8;172.8;120.3;125.8;78.6;242.2;343.9;418.8;397.3;1295.6
1928;212.4;106.3;104.0;48.8;43.9;114.8;73.7;111.4;70.6;172.1;150.0;118.4;196.7;299.9;392.7;219.8;1326.3
1929;55.9;45.6;18.7;44.9;73.1;67.5;83.1;120.8;49.8;164.0;190.3;225.1;136.7;271.4;404.2;408.0;1138.8
1930;154.7;28.2;82.0;67.4;57.2;58.0;99.7;149.4;127.0;154.6;155.0;127.0;206.6;307.1;436.7;355.7;1260.3
1931;121.1;107.6;36.2;85.0;100.3;114.7;116.3;94.4;72.0;76.3;171.4;88.3;221.4;325.3;319.7;239.6;1183.5
1932;140.3;11.1;79.7;103.1;100.9;38.2;117.1;63.2;118.9;192.7;94.6;113.9;283.7;218.5;406.2;329.8;1173.6
1933;101.9;114.0;79.1;57.0;59.3;60.3;82.5;69.4;48.5;132.6;67.4;48.1;195.3;212.2;248.4;189.8;919.9
1934;117.7;24.1;84.3;95.3;69.3;56.0;71.7;110.2;111.1;144.1;66.3;191.8;248.9;237.9;321.4;389.5;1141.8
1935;72.5;125.2;51.6;104.3;34.0;99.7;48.6;81.6;165.0;189.0;160.7;109.4;189.9;229.9;514.6;329.5;1241.5
1936;139.9;80.1;72.3;48.7;44.6;81.1;143.3;58.4;108.3;100.2;116.4;137.6;165.6;282.8;324.9;443.3;1131.0
1937;158.2;147.5;86.2;71.5;68.0;64.3;92.0;73.3;82.9;97.3;52.5;110.3;225.7;229.6;232.7;326.3;1104.0
1938;154.3;61.8;63.2;16.6;86.9;102.1;112.8;89.5;92.2;185.0;171.3;128.8;166.7;304.4;448.6;385.2;1264.5
1939;156.2;100.2;86.1;64.6;34.8;63.5;135.6;69.0;56.6;115.4;181.3;85.3;185.5;268.1;353.4;245.8;1148.7
1940;83.0;77.6;108.4;78.4;46.8;31.7;125.0;45.8;81.6;141.0;203.7;121.9;233.6;202.4;426.3;318.2;1144.8
1941;83.7;112.6;89.8;51.8;62.8;31.9;90.1;135.0;40.2;123.8;120.7;79.7;204.4;257.0;284.7;284.0;1022.1
1942;147.5;56.7;75.5;52.0;96.6;34.9;95.3;117.0;118.3;137.8;48.7;147.3;224.1;247.2;304.8;390.7;1127.8
1943;155.7;87.7;48.1;69.2;94.4;75.1;69.2;122.5;110.4;140.4;96.6;70.2;211.8;266.8;347.5;248.4;1139.7
1944;121.9;56.3;34.0;69.8;63.8;85.1;79.7;86.5;131.1;145.5;178.4;120.0;167.6;251.3;455.1;349.5;1172.2
1945;112.3;117.2;55.2;53.6;101.9;97.5;91.9;72.1;100.6;129.7;29.9;137.1;210.7;261.5;260.2;362.4;1099.0
1946;125.4;99.9;57.0;50.7;62.2;96.8;105.7;135.4;152.3;35.6;169.8;123.3;169.8;337.9;357.8;281.7;1214.1
1947;109.9;48.5;150.2;103.0;80.8;87.4;88.0;12.8;97.6;49.0;142.3;93.5;333.9;188.3;288.9;365.2;1063.0
1948;189.2;82.5;69.3;71.5;63.0;109.9;78.3;137.1;117.8;122.1;85.1;153.9;203.8;325.3;324.9;337.1;1279.6
1949;102.1;81.1;68.2;90.1;66.6;31.0;61.1;94.3;68.0;168.9;139.3;158.6;224.9;186.3;376.2;378.4;1129.2
1950;74.6;145.1;70.6;96.5;49.9;63.6;119.7;140.9;192.0;88.6;146.7;94.7;217.0;324.2;427.3;340.6;1283.0
1951;130.3;115.5;116.2;86.5;62.8;45.3;81.6;137.6;89.7;46.8;211.9;153.9;265.6;264.4;348.3;314.8;1278.1
1952;117.5;43.3;88.7;61.3;66.5;76.3;54.6;122.3;97.0;128.5;100.5;124.0;216.4;253.2;325.9;242.2;1080.4
1953;55.2;63.0;34.6;82.5;70.3;59.9;121.6;99.7;110.8;88.4;130.6;88.3;187.4;281.2;329.8;285.8;1004.9
1954;95.3;102.2;94.1;32.3;92.8;94.6;97.1;116.5;129.6;184.8;193.5;147.4;219.1;308.2;507.9;331.1;1380.1
1955;99.6;84.1;56.5;51.7;92.5;83.3;31.6;34.7;90.6;107.2;68.6;167.1;200.8;149.6;266.4;344.5;967.6
1956;130.8;46.7;47.9;49.9;45.4;77.9;121.5;157.9;113.6;87.9;62.5;152.3;143.2;357.3;263.9;382.5;1094.2
1957;126.6;103.5;103.6;31.3;53.3;59.8;123.6;125.1;127.1;107.5;74.6;127.2;188.1;308.5;309.2;384.5;1163.2
1958;130.6;126.7;60.5;45.1;95.0;98.7;114.9;117.0;122.5;104.2;62.6;134.1;200.6;330.6;289.3;271.5;1211.8
1959;107.5;29.9;77.1;93.5;33.9;65.5;95.8;46.2;29.9;136.2;158.8;186.4;204.6;207.5;324.9;425.8;1060.8
1960;138.0;101.4;56.3;74.4;48.9;64.6;115.4;124.0;111.7;152.7;161.8;136.5;179.6;304.0;426.2;372.1;1285.7
1961;131.9;103.7;46.9;103.2;46.8;54.1;86.2;113.2;113.8;154.7;89.3;116.3;196.9;253.5;357.7;351.7;1160.0
1962;161.9;73.5;58.9;70.2;73.0;45.3;66.2;142.6;131.4;56.8;89.5;116.1;202.1;254.2;277.7;188.7;1085.6
1963;35.9;36.8;122.4;81.7;76.2;86.9;65.4;121.8;94.6;100.2;191.9;41.4;280.3;274.1;386.6;131.7;1055.0
