Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Albania              : parameter = Minimum Temperature            : Units = degrees Celsius     
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;-4.0;-2.3;3.1;5.6;9.1;12.4;15.3;14.2;11.8;8.6;2.9;3.1;5.9;14.0;7.7;2.0;6.6
1902;1.2;1.9;1.6;5.4;6.8;11.1;14.3;15.0;12.1;8.4;1.7;-1.9;4.6;13.5;7.4;-0.4;6.5
1903;-0.6;1.3;3.3;3.6;9.2;10.9;13.9;14.4;11.9;8.5;4.7;2.1;5.4;13.1;8.4;0.9;6.9
1904;-1.5;2.1;2.0;5.7;9.6;12.4;15.9;14.7;10.6;8.3;2.1;0.5;5.8;14.3;7.0;-1.8;6.9
1905;-4.0;-1.8;2.0;4.5;9.5;12.1;16.0;16.0;13.3;5.8;5.8;1.3;5.4;14.7;8.3;0.1;6.7
1906;-0.8;-0.0;2.6;5.7;9.3;11.4;14.8;14.2;10.7;7.7;5.8;-0.6;5.9;13.5;8.1;-2.0;6.7
1907;-2.7;-2.8;-1.3;3.5;11.2;12.4;14.1;14.9;11.6;11.0;3.7;2.1;4.5;13.8;8.8;0.2;6.5
1908;-1.5;-0.1;1.3;4.3;12.0;13.8;14.5;14.1;10.7;7.1;0.9;-0.4;5.9;14.1;6.2;-2.5;6.4
1909;-3.0;-4.1;2.1;5.8;9.2;11.8;14.2;15.2;12.5;8.9;3.0;3.3;5.7;13.7;8.1;1.9;6.6
1910;0.3;2.2;1.8;5.0;8.8;12.1;13.7;14.5;10.7;8.1;3.6;3.2;5.2;13.5;7.5;-0.0;7.0
1911;-1.0;-2.3;2.0;4.8;9.1;11.8;15.2;15.6;12.2;8.5;6.1;2.3;5.3;14.2;9.0;0.9;7.0
1912;-2.1;2.5;4.2;3.6;8.9;12.5;14.5;13.5;9.1;6.6;2.4;1.9;5.6;13.5;6.0;-0.2;6.5
1913;-0.9;-1.6;3.9;5.6;8.6;11.6;12.3;12.9;11.9;8.7;5.2;0.9;6.0;12.3;8.6;-1.3;6.6
1914;-3.7;-1.1;3.0;6.1;8.8;11.0;13.7;14.5;10.4;7.0;3.1;2.4;6.0;13.1;6.8;1.3;6.3
1915;1.1;0.5;1.5;5.1;9.8;13.1;14.5;13.5;9.9;7.3;3.0;4.1;5.5;13.7;6.7;1.8;6.9
1916;1.1;0.1;4.5;5.5;9.6;12.6;15.1;13.9;10.4;8.0;5.7;3.9;6.5;13.9;8.0;0.3;7.5
1917;0.2;-3.2;1.2;4.3;9.5;13.1;14.9;16.1;13.0;8.5;4.3;-1.1;5.0;14.7;8.6;-0.8;6.7
1918;-0.1;-1.4;1.5;6.0;9.7;10.8;14.3;14.3;13.3;8.0;3.4;1.4;5.7;13.2;8.2;0.9;6.8
1919;1.3;-0.1;3.1;5.1;7.3;11.7;13.4;14.4;12.6;7.2;3.7;1.0;5.2;13.2;7.8;0.7;6.7
1920;1.4;-0.3;3.5;7.4;10.9;11.4;15.4;14.2;11.9;6.2;0.8;1.5;7.2;13.7;6.3;1.0;7.0
1921;2.1;-0.7;2.8;4.6;10.5;10.7;15.7;15.8;11.4;8.1;2.3;0.1;6.0;14.1;7.3;-1.1;7.0
1922;-1.7;-1.8;4.1;5.4;9.7;12.7;15.3;15.7;11.4;7.3;1.8;0.1;6.4;14.5;6.8;0.0;6.7
