Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Denmark              : parameter = Minimum Temperature            : Units = degrees Celsius     
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;-4.2;-5.8;-1.4;2.7;7.0;10.2;14.5;13.2;10.1;7.9;0.5;-1.8;2.8;12.6;6.2;-2.1;4.4
1902;0.6;-4.9;-0.9;1.0;4.1;9.5;10.1;9.8;7.6;4.6;0.2;-3.5;1.4;9.8;4.1;-1.8;3.2
1903;-2.5;0.6;1.9;1.6;7.2;10.2;11.9;11.2;9.3;5.5;1.8;-1.3;3.6;11.1;5.5;-1.7;4.8
1904;-1.1;-2.7;-1.5;3.0;5.6;9.5;11.4;11.5;8.9;5.8;2.0;-0.0;2.4;10.8;5.6;-1.2;4.4
1905;-2.5;-1.1;0.2;1.1;6.2;11.6;12.9;11.5;9.4;2.8;1.3;-0.0;2.5;12.0;4.5;-0.7;4.5
1906;-1.1;-1.1;-1.0;2.3;7.5;10.9;11.9;12.1;9.8;6.6;4.8;-3.1;2.9;11.7;7.1;-2.9;5.0
1907;-2.6;-2.9;-0.7;1.8;5.3;9.1;11.0;10.5;8.6;8.8;1.8;-1.6;2.1;10.2;6.4;-1.3;4.1
1908;-2.0;-0.2;-1.6;1.6;6.1;10.2;13.0;11.9;9.3;5.9;-0.1;-1.1;2.1;11.7;5.0;-2.6;4.4
1909;-1.9;-4.9;-3.0;0.6;3.7;9.3;11.5;11.6;9.6;8.4;-0.4;-1.0;0.4;10.8;5.9;-0.8;3.6
1910;-1.2;-0.0;0.5;3.0;7.5;11.5;12.6;12.7;10.0;6.3;0.6;0.5;3.7;12.3;5.6;-0.5;5.3
1911;-0.7;-1.3;-0.2;2.2;8.2;9.9;12.0;13.3;9.9;5.0;3.1;1.0;3.4;11.8;6.0;-2.7;5.2
1912;-5.3;-3.8;1.2;1.9;5.7;10.4;13.8;11.8;7.4;4.6;1.5;2.1;3.0;12.0;4.5;-0.2;4.3
1913;-2.1;-0.6;1.0;2.9;6.6;9.8;12.1;11.4;9.3;5.7;4.8;0.0;3.5;11.1;6.6;-0.7;5.1
1914;-3.0;0.9;0.2;3.8;6.0;11.1;15.2;13.0;9.7;6.3;1.9;1.5;3.3;13.1;6.0;-1.1;5.6
1915;-3.1;-1.6;-2.5;2.2;4.8;8.9;11.6;12.1;8.6;4.4;0.2;-3.9;1.5;10.9;4.4;-1.7;3.5
1916;0.7;-1.8;-1.6;2.8;6.4;8.6;12.4;11.6;8.1;5.2;3.8;-0.1;2.5;10.9;5.7;-3.5;4.7
1917;-5.5;-4.8;-4.4;0.2;5.3;12.0;12.4;13.7;10.5;5.4;3.1;-2.4;0.4;12.7;6.4;-2.8;3.8
1918;-4.1;-1.8;-1.3;3.3;7.0;8.5;12.1;12.3;9.0;7.3;2.6;0.1;3.0;11.0;6.3;-1.6;4.6
1919;-0.8;-4.1;-2.1;2.3;6.7;9.4;12.2;10.4;9.5;4.3;-1.9;-3.2;2.3;10.7;3.9;-1.9;3.5
1920;-2.3;-0.0;1.6;4.3;7.2;10.1;13.0;11.7;9.8;3.0;1.9;-0.8;4.4;11.6;4.9;-0.6;5.0
1921;0.0;-1.0;1.7;4.0;7.6;9.6;11.7;11.3;8.4;6.3;-1.0;-0.2;4.5;10.9;4.6;-3.2;4.9
