Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Finland              : parameter = Minimum Temperature            : Units = degrees Celsius     
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;-10.3;-18.9;-12.7;-4.0;1.0;8.9;12.5;9.7;5.6;2.7;-9.9;-17.3;-5.2;10.4;-0.5;-16.8;-2.7
1902;-16.9;-16.2;-14.5;-7.8;-0.8;4.1;7.2;7.1;2.7;-4.1;-8.5;-13.6;-7.7;6.1;-3.3;-12.9;-5.1
1903;-14.4;-10.6;-6.9;-3.7;1.7;7.0;8.3;8.0;4.5;-4.4;-6.0;-9.6;-3.0;7.8;-2.0;-12.2;-2.2
1904;-9.4;-17.6;-12.2;-3.9;-0.2;5.6;7.7;7.5;4.4;0.5;-10.0;-15.4;-5.4;6.9;-1.7;-14.7;-3.6
1905;-15.8;-12.9;-9.3;-5.7;2.1;8.5;9.8;7.6;3.8;-2.9;-6.4;-10.1;-4.3;8.6;-1.9;-11.1;-2.6
1906;-11.2;-12.1;-13.8;-3.1;3.3;7.6;10.9;6.8;2.9;-1.0;-6.3;-11.6;-4.5;8.4;-1.5;-14.0;-2.3
1907;-18.3;-12.3;-8.8;-4.1;-0.9;7.4;9.5;6.6;3.1;1.9;-5.3;-17.7;-4.6;7.8;-0.1;-15.9;-3.3
1908;-15.3;-14.8;-12.4;-3.8;-0.4;5.6;8.9;9.0;3.5;-0.1;-9.9;-10.1;-5.5;7.8;-2.2;-12.2;-3.3
1909;-10.2;-16.5;-12.3;-8.5;-2.3;5.6;9.3;8.3;4.7;2.4;-11.4;-12.3;-7.7;7.7;-1.4;-11.0;-3.6
1910;-13.0;-7.9;-7.3;-2.9;2.2;6.6;8.8;6.7;4.3;-2.6;-7.6;-11.3;-2.7;7.4;-1.9;-13.9;-2.0
1911;-13.3;-17.1;-9.9;-5.3;2.0;5.8;8.9;9.6;5.0;-3.3;-5.8;-8.5;-4.4;8.1;-1.3;-16.4;-2.7
1912;-20.3;-20.3;-8.3;-7.2;-0.0;7.4;9.8;9.1;3.1;-3.8;-7.1;-10.3;-5.1;8.8;-2.6;-13.1;-4.0
1913;-15.3;-13.8;-10.2;-2.7;1.1;6.2;10.9;8.9;4.5;-2.4;-4.5;-14.1;-3.9;8.7;-0.8;-14.2;-2.6
1914;-16.3;-12.1;-11.3;-3.4;1.2;8.0;12.7;7.5;4.4;-1.9;-6.9;-8.5;-4.5;9.4;-1.5;-13.1;-2.2
1915;-16.4;-14.4;-16.2;-4.9;0.0;4.7;11.6;8.0;3.2;-2.4;-10.3;-21.2;-7.0;8.1;-3.1;-15.1;-4.8
1916;-12.6;-11.6;-13.4;-4.4;-0.5;6.1;11.9;7.2;2.6;-3.9;-3.6;-10.9;-6.1;8.4;-1.6;-16.5;-2.8
1917;-18.2;-20.4;-18.0;-6.0;-0.7;9.4;9.3;11.4;4.8;1.6;-5.9;-12.1;-8.3;10.1;0.2;-15.2;-3.7
1918;-20.0;-13.7;-9.8;-2.7;0.4;6.3;10.8;6.4;4.1;1.7;-2.7;-10.5;-4.0;7.8;1.1;-13.6;-2.5
1919;-11.9;-18.3;-13.3;-5.3;2.5;8.5;11.8;8.1;5.3;-1.9;-10.8;-14.9;-5.4;9.5;-2.5;-13.7;-3.4
1920;-16.0;-10.3;-5.3;-1.3;4.2;7.7;11.3;8.8;6.5;-2.3;-3.9;-9.3;-0.8;9.3;0.1;-13.4;-0.8
1921;-15.8;-15.1;-6.8;-0.0;4.6;8.2;8.3;9.2;4.3;-2.7;-11.3;-11.6;-0.7;8.6;-3.2;-14.1;-2.4
1922;-15.8;-15.0;-11.3;-4.6;2.3;8.2;10.5;8.5;5.4;-2.4;-8.2;-13.7;-4.6;9.0;-1.7;-13.7;-3.0
1923;-9.6;-17.8;-10.0;-6.3;0.1;4.8;10.4;7.1;4.8;0.5;-5.9;-12.0;-5.4;7.4;-0.2;-14.4;-2.8
1924;-15.0;-16.2;-12.5;-5.9;1.6;5.8;10.9;10.3;6.3;2.4;-5.4;-7.4;-5.6;9.0;1.1;-7.9;-2.1
1925;-6.6;-9.5;-13.6;-2.4;2.8;7.2;13.4;9.1;4.6;-3.0;-11.1;-15.0;-4.4;9.9;-3.2;-16.4;-2.0
1926;-18.0;-16.2;-9.5;-5.4;1.2;7.5;9.9;9.1;4.1;-3.6;-4.8;-14.3;-4.5;8.9;-1.4;-14.3;-3.3
