Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Germany              : parameter = Minimum Temperature            : Units = degrees Celsius     
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;-6.4;-6.9;-0.8;3.6;7.1;10.7;13.2;12.2;9.4;6.2;-0.0;-1.3;3.3;12.0;5.2;-1.6;3.9
1902;0.4;-4.0;0.0;3.2;4.4;10.2;11.1;10.8;8.1;4.2;-1.1;-4.5;2.5;10.7;3.7;-2.4;3.6
1903;-2.9;0.3;1.5;1.2;7.5;9.8;11.7;11.6;9.1;6.3;2.3;-2.6;3.4;11.0;5.9;-2.4;4.6
1904;-3.4;-1.2;-0.3;4.4;7.1;10.2;12.8;11.6;8.0;5.2;1.1;-0.3;3.7;11.5;4.8;-2.1;4.6
1905;-4.7;-1.2;1.2;2.1;6.8;11.6;13.6;12.1;9.7;2.4;0.8;-1.1;3.4;12.4;4.3;-1.6;4.4
1906;-1.9;-1.8;-0.9;3.0;8.2;10.2;12.4;11.9;8.6;6.1;3.7;-4.5;3.4;11.5;6.2;-3.8;4.6
1907;-3.1;-3.8;-1.0;1.9;7.6;10.2;10.6;11.5;8.5;7.7;0.8;-1.0;2.8;10.7;5.7;-2.4;4.2
1908;-5.1;-1.1;-1.0;1.8;8.7;11.6;12.3;10.9;8.1;3.7;-1.5;-2.8;3.1;11.6;3.4;-4.2;3.8
1909;-4.6;-5.4;-1.9;2.8;5.1;9.4;11.1;11.8;9.2;6.7;-0.2;-1.1;2.0;10.7;5.2;-0.9;3.6
1910;-1.3;-0.4;-0.4;2.8;7.3;11.6;11.5;11.8;8.4;5.4;0.0;0.4;3.2;11.6;4.6;-1.6;4.8
1911;-3.3;-1.8;0.2;2.5;8.1;10.0;13.1;13.7;9.4;4.9;2.3;0.5;3.6;12.3;5.5;-1.7;5.0
1912;-4.4;-1.1;2.5;2.3;6.8;11.0;12.8;10.7;6.5;3.1;0.4;0.6;3.9;11.5;3.4;-1.4;4.3
1913;-2.7;-2.2;1.9;3.4;7.2;10.3;10.6;10.6;8.6;5.7;4.3;-0.1;4.2;10.5;6.2;-2.1;4.8
1914;-5.6;-0.6;1.4;4.4;6.7;10.1;13.0;12.4;8.4;5.6;1.4;0.7;4.2;11.8;5.1;-1.1;4.8
