Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Ireland              : parameter = Minimum Temperature            : Units = degrees Celsius     
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;2.4;0.8;1.7;3.6;5.9;8.4;12.0;10.4;9.8;5.7;3.5;1.8;3.7;10.3;6.3;1.7;5.5
1902;2.7;0.5;3.8;3.4;4.9;8.7;9.9;9.7;8.8;6.8;4.9;3.5;4.1;9.4;6.8;3.3;5.6
1903;2.2;4.4;3.2;3.0;6.4;8.4;10.4;9.3;8.6;6.9;3.8;1.9;4.2;9.4;6.4;2.0;5.7
1904;2.5;1.6;1.8;4.6;6.0;8.7;10.8;10.0;8.3;6.3;3.6;3.1;4.1;9.8;6.1;3.0;5.6
1905;3.2;2.8;3.0;3.8;5.9;9.5;11.7;10.0;8.3;4.0;2.3;5.1;4.2;10.4;4.9;3.0;5.8
1906;3.3;0.7;2.3;2.4;5.9;9.1;9.9;11.2;8.7;6.5;4.9;2.0;3.5;10.1;6.7;1.8;5.6
1907;2.5;0.9;2.9;3.6;5.7;8.0;10.1;9.6;9.2;6.2;3.5;3.0;4.1;9.2;6.3;2.9;5.4
1908;1.7;3.9;1.7;2.5;7.5;8.5;10.9;10.1;8.8;8.7;5.1;3.3;3.9;9.8;7.5;2.8;6.1
1909;2.9;2.3;1.2;4.3;5.6;8.1;10.6;10.4;7.8;6.5;2.1;1.9;3.7;9.7;5.5;1.9;5.3
1910;1.7;2.2;3.0;3.2;6.3;9.5;10.1;10.8;8.5;7.4;1.3;4.3;4.2;10.1;5.7;3.0;5.7
1911;2.5;2.3;2.5;3.9;7.3;9.0;11.1;11.5;8.2;5.9;3.1;3.7;4.6;10.5;5.7;2.9;5.9
1912;2.4;2.6;4.0;4.4;6.8;9.0;10.4;8.3;7.5;4.7;4.1;3.9;5.1;9.2;5.4;3.0;5.7
1913;2.4;2.6;2.3;4.0;6.4;8.5;10.1;10.0;9.2;7.5;5.0;3.4;4.2;9.5;7.2;3.1;5.9
1914;2.5;3.4;2.5;4.8;6.2;8.8;11.0;10.8;8.6;7.0;3.7;1.8;4.5;10.2;6.4;1.7;5.9
1915;2.0;1.2;2.1;4.2;5.6;8.5;10.1;10.5;8.8;6.2;1.1;2.5;4.0;9.7;5.4;2.7;5.2
1916;4.4;1.2;1.3;3.3;6.2;7.5;10.7;11.3;9.5;7.1;4.9;1.3;3.6;9.8;7.2;0.8;5.7
1917;1.0;0.1;1.3;1.7;6.6;8.6;10.9;11.2;9.4;4.1;5.7;1.3;3.2;10.2;6.4;2.7;5.2
1918;1.9;4.9;2.4;3.2;7.0;8.1;10.3;11.1;7.4;5.8;3.2;4.7;4.2;9.9;5.4;2.5;5.8
1919;1.8;1.1;0.5;3.6;7.3;8.5;9.4;10.5;7.8;5.2;0.6;3.2;3.8;9.5;4.6;3.1;5.0
1920;2.5;3.6;3.0;4.4;6.8;9.2;9.9;9.5;8.7;7.6;5.6;2.5;4.7;9.5;7.3;3.5;6.1
1921;4.8;3.3;3.7;3.8;5.9;8.9;11.8;10.2;9.0;8.7;4.4;5.0;4.5;10.3;7.4;3.4;6.6
1922;2.3;2.8;2.6;1.4;6.7;8.4;9.0;9.5;8.0;5.5;4.2;3.8;3.6;8.9;5.9;3.8;5.4
1923;3.9;3.7;3.8;3.9;4.9;8.9;11.9;10.1;7.8;6.3;1.2;2.7;4.2;10.3;5.1;2.7;5.7
1924;3.3;2.2;1.2;2.6;6.2;9.4;10.4;10.2;8.7;6.5;5.1;5.1;3.3;10.0;6.8;3.6;5.9
1925;3.7;1.9;2.5;3.2;6.5;9.1;11.2;10.7;7.6;7.1;1.6;1.5;4.1;10.3;5.4;3.0;5.6
1926;3.2;4.3;3.7;5.3;5.9;8.5;12.1;11.3;9.7;4.7;2.9;3.0;4.9;10.6;5.8;2.8;6.2
1927;2.7;2.9;4.1;3.9;5.9;7.2;11.6;11.0;8.3;6.9;3.5;1.9;4.7;9.9;6.3;2.6;5.8
1928;2.6;3.4;3.2;4.0;6.4;7.9;10.5;10.1;7.8;7.1;4.6;2.6;4.5;9.5;6.5;1.9;5.9
1929;1.2;1.8;4.0;3.2;6.0;8.1;10.4;10.5;9.8;6.1;3.9;3.2;4.4;9.7;6.6;1.9;5.7
1930;2.4;0.2;2.2;4.6;6.5;9.1;11.0;10.7;9.5;7.3;3.1;3.4;4.4;10.2;6.6;2.5;5.8
1931;1.9;2.3;1.8;4.5;6.7;9.6;11.1;10.2;8.4;6.0;5.3;4.8;4.3;10.3;6.5;3.9;6.1
1932;4.7;2.2;2.2;3.2;6.5;9.3;11.7;11.8;8.9;5.7;4.6;4.5;4.0;10.9;6.4;2.6;6.3
1933;1.2;2.2;3.8;5.3;7.5;10.2;12.4;11.6;10.2;7.3;3.7;2.1;5.5;11.4;7.1;2.8;6.5
1934;3.4;2.8;2.3;3.7;6.5;10.0;12.3;10.4;9.5;7.2;4.2;6.4;4.2;10.9;7.0;4.5;6.6
1935;3.6;3.5;4.0;4.3;6.0;9.6;11.1;11.0;9.4;6.3;3.5;1.7;4.8;10.6;6.4;1.7;6.2
1936;1.7;1.7;4.2;3.1;6.6;9.3;11.3;11.5;10.4;6.8;3.5;3.8;4.6;10.7;6.9;3.4;6.2
1937;3.3;3.0;0.7;5.9;7.1;9.4;11.1;11.2;8.9;6.5;4.1;1.9;4.6;10.5;6.5;2.9;6.1
1938;3.5;3.3;5.7;3.8;6.3;9.1;10.3;10.7;9.7;7.4;6.4;2.6;5.3;10.1;7.8;2.8;6.6
1939;2.0;3.9;3.7;4.6;7.0;9.2;11.0;11.3;9.9;5.4;6.0;2.4;5.1;10.5;7.1;1.5;6.4
