Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Italy                : parameter = Minimum Temperature            : Units = degrees Celsius     
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;0.5;-1.0;4.2;7.6;10.1;14.8;17.2;16.8;15.0;10.7;5.2;4.1;7.3;16.2;10.3;3.6;8.8
1902;3.2;3.6;4.4;8.6;7.9;13.3;16.9;17.0;14.6;10.5;5.7;2.6;7.0;15.7;10.3;2.7;9.0
1903;2.1;3.4;5.1;4.9;10.6;13.1;16.0;16.8;14.5;11.2;6.5;3.8;6.8;15.3;10.8;3.2;9.0
1904;2.1;3.8;4.8;8.2;11.2;15.2;18.2;17.2;13.2;10.3;5.0;3.6;8.1;16.9;9.5;1.5;9.4
1905;-0.3;1.3;4.9;6.9;10.0;14.2;18.2;17.5;15.5;7.9;6.8;3.7;7.3;16.7;10.1;2.4;8.9
1906;2.0;1.4;3.8;6.7;10.2;13.5;16.7;17.0;13.3;10.9;7.6;1.4;6.9;15.7;10.6;0.7;8.7
1907;0.5;0.2;2.0;5.5;11.2;14.1;15.6;17.2;14.7;12.5;7.2;4.6;6.2;15.6;11.5;2.7;8.8
1908;1.3;2.1;3.3;5.4;12.5;15.2;16.4;16.0;13.2;10.4;4.9;2.9;7.1;15.8;9.5;0.9;8.6
1909;0.2;-0.5;3.4;7.6;10.0;13.4;15.2;16.5;14.0;11.5;5.4;5.1;7.0;15.0;10.3;3.7;8.5
1910;2.6;3.4;4.3;6.7;9.6;14.2;15.3;16.4;12.7;11.4;5.7;5.6;6.9;15.3;9.9;2.6;9.0
1911;0.6;1.6;4.6;6.3;10.5;14.0;18.0;18.7;15.4;11.2;8.2;5.4;7.2;16.9;11.6;4.5;9.6
1912;3.0;5.1;6.3;5.9;11.0;14.3;16.7;15.5;11.9;9.6;4.3;4.1;7.7;15.5;8.6;3.0;9.0
1913;3.2;1.8;5.9;7.1;10.4;14.2;14.7;16.0;14.7;11.8;8.6;3.7;7.8;14.9;11.7;2.3;9.3
1914;-0.3;3.6;5.4;8.4;10.3;13.2;15.9;16.8;13.5;9.9;6.1;4.9;8.0;15.3;9.8;3.3;9.0
1915;2.5;2.5;4.0;6.5;12.1;15.5;16.5;16.1;12.8;9.0;5.1;6.6;7.5;16.0;8.9;4.7;9.1
1916;4.0;3.5;5.9;7.3;11.4;13.9;16.8;16.5;12.9;10.3;7.3;5.2;8.2;15.7;10.2;2.4;9.6
1917;1.6;0.6;3.1;5.2;12.3;15.8;16.8;17.5;15.8;9.7;6.0;1.0;6.9;16.7;10.5;1.9;8.8
1918;2.5;2.2;4.1;7.7;11.2;12.7;16.4;16.3;15.6;9.6;6.1;4.7;7.7;15.1;10.4;3.4;9.1
1919;3.3;2.3;4.8;5.9;8.8;14.3;15.0;17.3;15.4;8.8;5.5;3.6;6.5;15.5;9.9;3.9;8.7
1920;4.2;3.8;5.9;8.3;12.9;14.1;17.2;16.3;14.9;10.6;5.6;4.2;9.0;15.9;10.4;3.8;9.8
1921;4.6;2.6;4.9;6.2;11.8;13.6;18.1;17.5;15.2;12.0;5.1;3.1;7.6;16.4;10.8;2.2;9.5
1922;1.5;2.1;5.9;6.8;11.8;15.2;16.4;17.7;13.4;9.9;4.6;3.2;8.2;16.4;9.3;3.0;9.0
1923;2.0;3.6;4.8;7.0;11.3;11.7;17.9;17.8;14.2;12.3;7.6;3.0;7.7;15.8;11.4;1.7;9.4
1924;0.9;1.0;4.0;7.5;12.4;14.8;17.2;15.5;15.5;10.9;6.6;4.1;8.0;15.8;11.0;3.9;9.2
1925;3.4;4.1;2.7;7.4;10.9;14.4;16.5;17.0;13.4;10.7;6.5;2.5;7.0;16.0;10.2;3.6;9.1
1926;2.3;5.8;4.9;8.1;9.8;12.8;15.9;16.2;15.8;11.7;9.9;3.0;7.6;15.0;12.5;2.6;9.7
1927;3.0;1.7;5.7;7.5;11.2;15.4;17.5;17.6;15.1;10.4;7.8;3.5;8.1;16.8;11.1;3.3;9.7
1928;3.3;3.1;4.5;7.8;9.0;14.4;19.1;18.7;15.0;10.9;7.6;2.5;7.1;17.4;11.2;-0.2;9.7
1929;-0.8;-2.2;3.7;5.5;11.4;14.9;17.4;17.3;15.4;11.0;7.3;4.7;6.9;16.5;11.2;3.7;8.8
1930;4.3;2.1;5.7;7.8;10.2;16.1;16.8;16.8;15.0;10.4;8.0;4.1;7.9;16.6;11.1;2.7;9.8
1931;2.6;1.5;3.3;6.1;12.1;16.2;17.3;16.9;11.8;9.7;7.7;2.1;7.1;16.8;9.7;1.4;8.9
1932;3.1;-1.0;2.9;6.3;10.6;13.4;16.8;18.5;17.4;11.1;7.6;5.5;6.6;16.3;12.0;3.0;9.3
1933;1.1;2.3;4.9;6.8;9.7;12.3;16.8;17.3;14.7;11.2;6.6;1.1;7.1;15.5;10.8;1.8;8.7
