Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Macedonia            : parameter = Minimum Temperature            : Units = degrees Celsius     
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;-8.0;-5.1;1.3;4.1;8.3;11.9;14.0;12.8;9.7;6.3;-0.2;-0.1;4.6;12.9;5.3;-1.0;4.6
1902;-2.1;-0.8;-0.4;3.5;5.7;10.6;12.7;13.4;10.0;6.0;-1.9;-6.3;3.0;12.2;4.7;-4.1;4.2
1903;-4.5;-1.5;1.6;2.3;8.1;10.3;12.7;12.7;10.0;6.0;2.0;-1.4;4.0;11.9;6.0;-2.4;4.9
1904;-5.4;-0.3;-0.2;4.1;8.2;11.6;14.3;13.3;8.8;6.0;-1.0;-3.0;4.0;13.1;4.6;-5.1;4.7
1905;-7.7;-4.5;0.2;2.9;8.5;11.5;14.6;14.7;11.3;3.4;3.2;-2.5;3.9;13.6;6.0;-3.2;4.6
1906;-4.5;-2.5;0.9;4.5;8.4;10.9;13.5;12.5;8.9;5.0;3.1;-3.9;4.6;12.3;5.7;-5.4;4.7
1907;-6.4;-5.8;-3.5;1.9;10.6;11.7;12.8;13.2;9.6;8.7;0.4;-1.5;3.0;12.6;6.2;-3.1;4.3
1908;-5.2;-2.5;-0.4;2.9;10.9;13.0;13.2;12.7;8.7;4.3;-2.7;-4.2;4.5;13.0;3.4;-6.0;4.2
1909;-6.8;-7.1;0.2;4.3;8.1;11.1;13.1;14.1;11.0;6.7;0.5;-0.1;4.2;12.8;6.1;-1.0;4.6
1910;-3.1;0.0;0.0;3.8;8.1;11.7;12.7;13.2;9.3;5.4;0.9;-0.3;3.9;12.5;5.2;-3.4;5.1
1911;-4.3;-5.7;-0.0;3.5;8.3;11.1;13.7;14.0;10.2;6.1;3.4;-1.4;3.9;12.9;6.6;-2.8;4.9
1912;-6.4;-0.5;2.5;2.3;7.6;12.0;13.1;12.1;7.4;3.8;-0.2;-1.7;4.1;12.4;3.7;-3.6;4.3
1913;-4.6;-4.5;2.1;4.2;7.5;10.8;11.0;11.5;10.2;5.9;2.2;-2.4;4.6;11.1;6.1;-4.6;4.5
1914;-7.3;-4.2;1.4;4.9;7.8;10.5;12.7;13.0;8.5;4.4;-0.2;-1.0;4.7;12.1;4.2;-1.6;4.2
1915;-1.6;-2.0;-0.6;3.7;8.6;12.5;13.3;11.8;7.9;5.1;-0.1;0.8;3.9;12.5;4.3;-1.4;4.9
1916;-2.3;-2.7;2.8;4.0;8.4;11.8;13.6;12.3;8.6;5.7;2.9;0.5;5.1;12.6;5.7;-3.1;5.5
1917;-3.1;-6.7;-0.8;3.1;8.2;12.3;13.6;14.7;11.0;6.5;1.9;-4.7;3.5;13.5;6.4;-4.0;4.7
1918;-3.4;-3.9;-0.3;4.7;8.4;10.0;12.9;12.8;11.3;6.2;0.5;-2.0;4.3;11.9;6.0;-2.2;4.8
1919;-1.8;-2.8;1.3;3.8;5.4;10.7;12.0;12.6;11.0;4.9;0.8;-2.4;3.5;11.8;5.6;-2.8;4.6
1920;-2.1;-3.8;1.5;6.4;9.8;10.6;14.1;12.8;10.0;3.1;-2.8;-2.2;5.9;12.5;3.4;-2.4;4.8
1921;-1.0;-3.9;0.9;3.4;9.6;9.9;14.1;14.4;9.2;5.3;-0.8;-3.6;4.6;12.8;4.6;-4.7;4.8
1922;-5.5;-5.1;2.2;3.8;8.5;11.8;14.0;14.0;9.4;4.8;-1.2;-3.7;4.8;13.3;4.3;-3.3;4.4
1923;-3.4;-2.6;1.0;3.5;10.0;9.6;13.6;13.4;10.8;8.0;4.6;-2.0;4.8;12.2;7.8;-4.6;5.5
1924;-7.6;-4.0;-0.7;4.2;10.3;12.3;13.4;12.4;11.8;5.7;-0.6;-3.4;4.6;12.7;5.6;-2.1;4.5
1925;-3.7;0.8;0.0;4.4;8.8;9.9;13.3;12.8;9.4;5.7;2.8;-4.3;4.4;12.0;6.0;-2.5;5.0
1926;-3.4;0.1;-0.2;5.6;8.0;10.8;12.6;11.5;10.7;7.0;6.4;-2.4;4.4;11.6;8.0;-3.0;5.5
1927;-2.4;-4.3;2.9;4.6;8.5;13.2;14.8;14.7;11.7;5.9;2.8;-4.8;5.3;14.2;6.8;-4.3;5.6
1928;-4.3;-3.9;-1.6;5.1;6.6;11.4;15.7;14.7;11.2;5.7;3.4;-3.6;3.4;13.9;6.8;-6.4;5.0
1929;-7.2;-8.5;-2.8;1.5;9.8;11.1;13.3;14.9;9.3;6.4;3.1;-1.5;2.9;13.1;6.3;-2.6;4.1
1930;-3.3;-3.0;1.7;5.0;7.7;12.2;13.7;13.1;11.0;5.8;2.9;-2.1;4.8;13.0;6.6;-2.6;5.4
1931;-3.1;-2.4;-1.4;2.3;9.3;12.9;14.5;13.0;7.9;4.6;0.4;-4.5;3.4;13.4;4.3;-5.9;4.4
1932;-5.4;-7.7;-3.1;3.2;7.9;10.0;13.5;13.8;11.4;6.6;1.0;-2.4;2.7;12.5;6.3;-3.9;4.1
1933;-6.2;-3.1;-0.7;1.6;6.8;9.0;12.7;12.7;8.3;4.8;2.0;-6.2;2.6;11.5;5.0;-5.4;3.5
1934;-4.9;-5.0;1.9;5.1;9.2;10.5;12.9;12.7;10.8;5.4;2.8;-0.4;5.4;12.0;6.3;-3.3;5.1
1935;-5.8;-3.7;-1.1;3.3;7.1;12.3;12.5;12.6;9.5;7.2;1.2;-1.7;3.1;12.5;6.0;-1.4;4.4
1936;-0.6;-1.7;2.0;4.7;8.7;10.9;15.0;13.1;9.0;4.0;1.4;-3.8;5.1;13.0;4.8;-4.2;5.2
1937;-6.1;-2.6;1.7;3.9;9.3;11.8;13.4;12.7;11.0;6.1;1.9;-2.1;5.0;12.6;6.3;-3.3;5.1
1938;-4.7;-3.1;0.4;2.3;7.1;12.0;14.3;13.5;9.8;5.8;2.0;-2.7;3.3;13.3;5.8;-2.4;4.7
1939;-2.3;-2.1;-1.7;4.7;7.4;11.4;13.9;13.3;9.8;5.8;1.8;-3.2;3.5;12.8;5.8;-5.7;4.9
1940;-8.5;-5.3;-1.5;4.0;7.3;11.0;13.5;11.5;10.1;6.2;3.3;-5.6;3.3;12.0;6.5;-3.6;3.8
1941;-4.4;-0.9;0.1;4.2;7.3;11.2;13.5;12.7;8.0;4.0;-1.1;-4.8;3.9;12.4;3.6;-6.4;4.1
1942;-9.8;-4.5;-1.4;3.2;8.5;11.7;13.2;13.9;12.2;6.4;0.5;-2.4;3.4;12.9;6.4;-3.8;4.3
1943;-6.8;-2.3;-0.5;4.0;7.7;10.7;13.2;14.9;11.4;7.6;2.3;-2.1;3.7;12.9;7.1;-3.2;5.0
1944;-3.8;-3.7;-1.5;4.4;7.5;11.3;12.9;14.0;10.3;7.1;1.5;-2.9;3.5;12.8;6.3;-4.2;4.8
1945;-6.4;-3.3;-0.3;3.8;9.7;12.2;13.9;13.7;10.5;4.6;1.3;-2.9;4.4;13.3;5.4;-3.8;4.7
1946;-5.8;-2.8;0.9;5.1;9.6;12.7;14.7;14.8;12.2;3.5;3.1;-3.5;5.2;14.0;6.3;-5.0;5.4
1947;-8.2;-3.4;2.2;5.5;9.5;12.5;14.6;13.6;11.7;4.6;2.7;-1.1;5.7;13.6;6.3;-1.4;5.4
1948;-0.1;-2.9;-0.3;5.0;9.6;11.0;12.1;13.4;10.2;5.8;-0.0;-6.5;4.8;12.2;5.3;-4.7;4.8
1949;-3.2;-4.3;-2.0;3.9;8.7;9.7;12.5;11.9;10.1;5.8;3.5;-1.7;3.5;11.4;6.5;-4.1;4.6
1950;-7.3;-3.4;1.0;5.2;9.6;12.2;14.5;13.4;10.6;4.3;1.6;-0.2;5.3;13.3;5.5;-1.0;5.1
1951;-2.6;-0.4;1.6;4.6;8.4;12.0;13.5;14.1;11.7;4.8;3.2;-3.4;4.9;13.2;6.6;-3.3;5.6
1952;-3.0;-3.4;-2.5;5.3;7.5;11.8;14.8;15.6;11.3;5.2;1.9;-0.4;3.4;14.1;6.1;-2.4;5.3
1953;-3.3;-3.5;-2.7;4.2;7.7;12.2;14.5;13.0;10.2;6.7;-1.0;-4.9;3.1;13.2;5.3;-6.7;4.4
