Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Malta                : parameter = Minimum Temperature            : Units = degrees Celsius     
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;7.9;7.6;10.6;13.3;13.8;18.4;21.4;21.8;21.0;16.9;12.9;10.0;12.5;20.5;16.9;9.5;14.6
1902;8.0;10.5;10.6;13.7;13.1;17.4;21.6;21.9;21.0;17.6;13.0;10.1;12.4;20.3;17.2;9.3;14.9
1903;9.2;8.7;10.3;11.3;15.0;16.9;20.1;21.6;20.6;17.9;12.7;10.6;12.2;19.5;17.0;9.7;14.6
1904;8.3;10.3;10.8;13.2;15.3;19.4;22.0;21.8;19.9;16.7;11.5;9.6;13.1;21.1;16.0;7.5;14.9
1905;6.6;6.4;10.0;13.1;14.3;17.6;21.5;22.5;21.6;15.4;13.8;10.3;12.4;20.5;16.9;8.7;14.4
1906;8.5;7.2;10.1;11.6;13.9;17.6;20.2;22.2;20.0;15.7;13.2;8.9;11.9;20.0;16.3;7.5;14.1
1907;7.1;6.6;7.6;11.0;14.8;17.2;20.8;22.2;20.3;18.2;14.4;11.1;11.1;20.1;17.6;9.4;14.3
1908;8.9;8.4;10.1;10.6;16.7;18.0;20.5;20.8;19.0;17.6;11.8;9.1;12.5;19.7;16.1;7.9;14.3
1909;7.5;7.1;10.4;12.4;13.7;18.2;18.7;20.7;20.1;17.5;13.1;11.4;12.1;19.2;16.9;9.6;14.2
1910;8.6;8.8;9.6;12.1;13.8;17.4;20.3;21.3;18.6;18.7;13.1;11.6;11.8;19.7;16.8;9.1;14.5
1911;7.6;8.1;10.8;12.0;14.5;19.2;22.2;24.0;21.2;18.7;14.5;12.1;12.4;21.8;18.1;11.0;15.4
1912;9.7;11.2;11.5;12.3;15.4;17.9;22.0;21.5;18.7;17.4;11.9;10.0;13.0;20.5;16.0;9.5;14.9
1913;9.9;8.7;11.1;12.0;14.9;18.2;20.3;21.6;21.8;18.4;14.8;10.7;12.6;20.0;18.3;9.3;15.2
1914;7.9;9.5;11.4;13.4;15.8;18.3;21.0;21.4;19.9;16.8;13.2;10.2;13.5;20.2;16.6;9.4;14.9
1915;9.4;8.6;10.8;11.9;15.5;19.4;21.3;22.0;19.5;16.3;13.1;12.1;12.7;20.9;16.3;10.2;15.0
1916;8.9;9.8;11.2;12.8;16.1;20.0;22.4;21.5;19.4;16.4;13.0;11.2;13.4;21.3;16.3;9.5;15.2
1917;8.2;8.9;10.0;11.7;16.3;20.2;21.4;23.5;21.4;16.8;12.1;8.1;12.6;21.7;16.8;8.0;14.9
1918;8.1;7.8;9.8;12.2;15.2;18.7;21.1;21.1;22.0;16.2;12.0;9.2;12.4;20.3;16.7;9.2;14.4
1919;8.8;9.7;10.7;12.2;13.0;18.7;21.3;21.8;21.3;17.4;13.9;9.6;12.0;20.6;17.5;9.6;14.9
1920;9.6;9.7;10.6;12.9;16.1;19.1;22.3;22.0;20.8;18.3;13.2;10.6;13.2;21.1;17.4;9.8;15.4
