Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Moldova              : parameter = Minimum Temperature            : Units = degrees Celsius     
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;-8.0;-6.6;0.2;5.2;10.8;16.3;16.0;15.3;10.2;5.3;-1.5;-0.5;5.4;15.9;4.7;-2.4;5.2
1902;-2.4;-4.3;-1.4;3.0;8.4;13.8;13.7;14.3;9.2;4.0;-5.0;-9.2;3.4;13.9;2.7;-6.0;3.7
1903;-6.4;-2.4;0.9;4.8;10.2;14.4;14.9;13.8;9.8;4.6;1.1;-3.9;5.3;14.4;5.1;-4.8;5.2
1904;-8.2;-2.4;-2.8;2.7;8.2;11.8;13.9;14.0;9.4;5.7;-1.1;-3.0;2.7;13.2;4.7;-5.9;4.0
1905;-9.6;-5.1;-1.4;3.4;10.9;15.0;15.6;15.6;11.2;4.8;3.1;-4.1;4.3;15.4;6.4;-4.5;4.9
1906;-5.1;-4.1;0.2;5.7;12.7;14.2;15.5;13.1;9.0;4.3;2.8;-4.1;6.2;14.3;5.4;-7.3;5.4
1907;-8.9;-8.8;-3.4;3.3;12.0;13.6;14.5;13.4;9.1;7.7;-2.7;-6.0;3.9;13.8;4.7;-5.3;3.6
1908;-6.9;-2.9;-1.6;3.9;10.4;13.6;15.2;13.7;9.7;3.3;-4.3;-6.5;4.2;14.2;2.9;-8.6;4.0
1909;-9.6;-9.7;-0.9;3.5;8.6;12.9;15.7;15.6;13.0;7.4;0.6;-1.4;3.7;14.7;7.0;-1.9;4.6
1910;-3.8;-0.5;-1.4;5.4;11.2;15.2;15.6;14.3;10.5;4.3;1.6;-0.9;5.1;15.0;5.5;-6.5;6.0
1911;-6.9;-11.7;-1.5;4.3;11.2;12.6;14.7;15.1;10.3;5.7;2.0;-3.2;4.6;14.1;6.0;-6.3;4.4
1912;-10.1;-5.4;1.9;3.1;8.1;14.3;14.4;14.3;9.5;2.1;0.2;-0.6;4.4;14.4;3.9;-4.1;4.3
1913;-5.6;-6.1;1.1;5.8;9.3;12.2;14.3;15.0;11.6;4.6;2.2;-1.4;5.4;13.8;6.1;-3.2;5.3
1914;-7.1;-1.0;1.6;5.2;10.1;13.9;16.4;13.8;9.2;4.7;-2.4;-1.7;5.7;14.7;3.8;-2.5;5.2
1915;-2.2;-3.7;-3.2;4.9;9.3;13.9;16.2;13.7;9.4;4.6;0.2;-1.4;3.7;14.6;4.8;-2.5;5.1
1916;-3.4;-2.8;1.3;5.7;10.3;13.5;15.7;13.8;9.5;5.7;2.0;-2.0;5.7;14.3;5.7;-7.0;5.8
1917;-7.2;-11.8;-4.4;4.5;8.4;14.7;15.0;16.0;10.6;6.7;3.2;-4.6;2.8;15.3;6.8;-4.2;4.3
1918;-4.0;-4.1;-1.9;6.3;8.4;12.0;15.0;14.1;12.0;8.6;0.2;-2.6;4.3;13.7;7.0;-3.9;5.4
1919;-3.7;-5.3;-1.4;5.9;7.7;12.6;14.7;12.9;12.0;5.9;-2.1;-3.6;4.1;13.4;5.3;-5.3;4.6
1920;-5.1;-7.1;1.1;8.3;12.0;12.8;16.5;15.3;10.3;0.3;-2.6;-5.5;7.1;14.9;2.7;-5.6;4.7
1921;-3.2;-8.1;0.3;5.8;12.1;12.9;15.2;15.5;8.3;4.2;-2.7;-5.8;6.1;14.5;3.3;-7.1;4.5
1922;-8.8;-6.6;0.6;4.7;10.5;13.8;16.0;14.4;9.3;3.3;-0.1;-3.1;5.3;14.7;4.2;-4.6;4.5
1923;-3.4;-7.2;0.7;3.5;12.0;12.4;15.3;13.0;11.7;7.7;4.5;-3.1;5.4;13.6;7.9;-7.5;5.6
