Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Netherlands          : parameter = Minimum Temperature            : Units = degrees Celsius     
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;-3.6;-4.2;0.9;4.4;7.4;10.4;13.6;12.4;10.3;7.3;2.1;1.5;4.2;12.2;6.6;0.8;5.2
1902;3.2;-2.3;2.1;3.8;4.8;10.5;11.0;10.8;8.8;5.3;1.0;-1.5;3.6;10.8;5.0;0.7;4.8
1903;0.7;3.0;3.8;1.9;8.1;9.7;12.0;11.6;10.3;8.0;4.0;-0.1;4.6;11.1;7.4;0.0;6.1
1904;-0.9;1.1;1.0;5.1;7.7;9.8;13.0;11.7;8.6;6.3;3.0;2.9;4.6;11.5;6.0;0.9;5.8
1905;-1.4;1.3;3.0;2.6;7.1;11.8;13.5;12.1;9.9;3.5;2.2;1.5;4.3;12.5;5.2;1.2;5.6
1906;1.5;0.6;1.2;3.3;8.8;10.3;12.7;12.8;9.8;8.3;5.8;-1.5;4.4;11.9;8.0;-1.0;6.1
1907;0.1;-1.5;1.5;3.2;7.9;10.2;10.6;11.9;9.6;8.8;3.1;2.1;4.2;10.9;7.2;0.4;5.6
1908;-2.7;1.7;1.0;2.4;9.0;11.6;12.9;11.4;9.7;5.6;1.1;0.2;4.1;12.0;5.4;-1.2;5.3
1909;-1.4;-2.5;0.3;3.9;5.9;9.2;11.3;12.2;9.9;8.2;2.0;1.9;3.3;10.9;6.7;1.9;5.1
1910;1.7;2.2;1.8;3.8;8.0;11.9;11.9;12.5;9.9;7.2;1.7;3.7;4.5;12.1;6.3;1.6;6.4
1911;-0.2;1.2;2.2;3.4;8.8;10.3;13.8;14.6;10.4;6.4;3.9;3.7;4.8;12.9;6.9;1.4;6.5
1912;-1.0;1.6;4.7;3.8;7.4;11.1;13.9;11.0;7.3;4.6;3.3;4.1;5.3;12.0;5.0;1.9;6.0
1913;0.6;0.9;3.9;4.2;8.0;10.4;11.0;11.3;9.8;7.5;6.4;3.0;5.4;10.9;7.9;1.2;6.4
1914;-2.3;2.8;3.4;5.6;7.1;10.1;13.7;13.3;9.7;7.2;3.5;3.8;5.4;12.4;6.8;2.0;6.5
1915;1.3;0.9;1.4;3.3;7.4;11.0;11.9;12.0;9.0;5.1;0.8;3.5;4.0;11.6;5.0;2.6;5.6
1916;3.9;0.5;1.9;4.4;8.3;8.6;11.6;12.5;9.3;7.0;3.8;1.9;4.9;10.9;6.7;-1.5;6.1
1917;-2.2;-4.3;-1.2;1.3;8.9;12.7;12.7;13.0;11.0;5.1;5.0;-1.5;3.0;12.8;7.0;0.3;5.0
1918;0.9;1.6;1.7;5.0;8.9;9.1;12.5;12.6;10.1;6.8;2.6;4.7;5.2;11.4;6.5;1.4;6.4
1919;0.7;-1.0;1.6;2.7;7.7;10.1;10.6;12.0;10.4;4.4;-0.2;1.5;4.0;10.9;4.9;2.1;5.0
1920;2.3;2.4;4.1;6.1;8.8;10.7;12.8;11.3;10.2;4.3;0.5;0.8;6.4;11.6;5.0;2.1;6.2
1921;4.2;1.1;3.1;4.2;8.6;10.2;13.2;12.9;9.9;8.7;-0.8;1.4;5.3;12.1;5.9;-0.9;6.4
1922;-2.2;-1.9;1.7;2.5;8.3;10.7;11.8;11.3;9.1;3.4;2.5;3.6;4.2;11.3;5.0;2.3;5.1
1923;2.5;0.8;3.2;3.2;7.1;8.1;14.3;12.0;9.9;8.3;2.0;-1.0;4.5;11.5;6.7;-1.8;5.9
1924;-2.2;-2.2;0.3;3.1;9.3;10.7;12.6;11.2;10.9;7.6;2.7;2.6;4.2;11.5;7.0;2.7;5.6
1925;2.5;2.9;0.8;4.3;9.3;10.4;13.9;13.2;8.7;6.5;1.5;-0.2;4.8;12.5;5.6;1.4;6.1
1926;0.3;4.1;2.9;5.7;6.9;10.3;14.0;12.8;11.7;5.9;5.0;1.5;5.2;12.3;7.5;1.6;6.7
1927;2.5;0.8;4.2;4.4;6.6;9.4;13.5;13.3;10.9;7.2;2.4;-2.5;5.0;12.1;6.8;0.5;6.1
1928;1.8;2.2;0.8;4.1;6.4;9.6;12.7;12.5;8.6;6.8;5.9;0.9;3.8;11.6;7.1;-3.7;6.0
1929;-3.8;-8.3;0.5;1.5;8.0;10.0;13.0;12.6;11.5;7.8;4.1;3.8;3.3;11.8;7.8;2.1;5.1
