Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Ukraine              : parameter = Minimum Temperature            : Units = degrees Celsius     
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;-9.3;-7.9;-1.6;4.1;9.4;15.7;14.8;14.7;8.6;3.9;-2.4;-2.8;4.0;15.1;3.4;-4.5;3.9
1902;-4.2;-6.4;-3.1;1.4;7.6;12.9;12.9;13.0;7.6;2.2;-6.0;-10.5;2.0;12.9;1.3;-7.2;2.3
1903;-7.5;-3.7;-1.2;4.5;9.0;13.8;14.5;12.9;8.6;2.9;-0.1;-5.9;4.1;13.7;3.8;-6.3;4.0
1904;-9.4;-3.6;-4.5;1.7;6.9;10.3;12.8;12.7;7.7;4.4;-1.4;-4.4;1.3;11.9;3.6;-7.4;2.8
1905;-11.3;-6.6;-3.7;2.4;10.1;14.3;14.2;14.1;9.7;4.3;1.7;-5.4;2.9;14.2;5.3;-6.3;3.7
1906;-6.8;-6.6;-1.3;4.8;12.3;13.3;15.0;12.0;7.5;3.2;1.3;-5.2;5.3;13.5;4.0;-8.8;4.1
1907;-10.9;-10.2;-4.5;2.5;10.0;12.6;13.9;12.2;7.7;5.6;-4.4;-8.2;2.7;12.9;3.0;-7.4;2.2
1908;-9.0;-5.1;-4.3;2.6;8.5;12.4;14.2;12.7;8.6;1.9;-5.5;-8.4;2.3;13.1;1.7;-10.4;2.4
1909;-11.3;-11.5;-3.2;2.2;7.5;11.8;14.4;14.0;11.9;5.8;-0.3;-2.9;2.2;13.4;5.8;-3.9;3.2
1910;-5.3;-3.5;-2.9;4.6;10.1;13.7;14.7;13.0;8.8;2.6;0.2;-2.4;3.9;13.8;3.9;-8.5;4.5
1911;-8.9;-14.2;-3.5;3.2;9.9;11.6;13.6;13.9;8.7;4.0;0.7;-4.8;3.2;13.0;4.5;-8.3;2.9
1912;-11.8;-8.4;0.5;2.0;6.9;13.8;13.2;13.4;8.5;0.5;-1.0;-1.7;3.1;13.5;2.7;-5.7;3.0
