Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Albania              : parameter = Maximum Temperature            : Units = degrees Celsius     
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;3.9;6.1;12.4;15.5;20.0;24.5;28.0;27.1;23.7;18.9;11.6;10.7;16.0;26.5;18.1;10.0;16.9
1902;9.1;10.2;11.0;15.3;17.7;23.2;27.1;27.8;24.0;18.7;10.4;5.8;14.7;26.0;17.7;7.6;16.7
1903;7.3;9.6;12.6;13.5;20.1;23.0;26.6;27.2;23.9;18.8;13.3;9.8;15.4;25.6;18.7;8.9;17.2
1904;6.4;10.5;11.3;15.6;20.5;24.5;28.6;27.5;22.5;18.7;10.8;8.2;15.8;26.9;17.3;6.2;17.1
1905;3.9;6.6;11.4;14.4;20.4;24.2;28.7;28.8;25.2;16.1;14.5;9.0;15.4;27.2;18.6;8.1;16.9
1906;7.1;8.3;12.0;15.6;20.2;23.5;27.5;27.0;22.6;18.1;14.5;7.1;15.9;26.0;18.4;6.0;17.0
1907;5.2;5.6;8.0;13.4;22.1;24.5;26.8;27.7;23.5;21.3;12.4;9.7;14.5;26.3;19.1;8.2;16.7
1908;6.4;8.3;10.7;14.2;22.9;25.8;27.2;27.0;22.6;17.4;9.6;7.2;15.9;26.7;16.5;5.5;16.6
1909;4.9;4.3;11.4;15.7;20.1;23.9;26.9;28.1;24.4;19.2;11.7;10.9;15.7;26.3;18.4;9.9;16.8
1910;8.2;10.5;11.1;14.9;19.7;24.2;26.4;27.4;22.7;18.4;12.3;10.8;15.2;26.0;17.8;7.9;17.2
1911;6.9;6.0;11.3;14.7;20.0;23.9;27.9;28.4;24.1;18.9;14.8;9.9;15.3;26.7;19.3;8.9;17.2
1912;5.9;10.8;13.5;13.6;19.8;24.6;27.2;26.3;21.0;16.9;11.1;9.6;15.6;26.1;16.3;7.8;16.7
1913;7.0;6.8;13.2;15.5;19.5;23.7;25.0;25.8;23.9;19.0;13.9;8.6;16.0;24.8;18.9;6.7;16.8
1914;4.3;7.2;12.3;16.0;19.7;23.1;26.5;27.3;22.4;17.3;11.8;10.1;16.0;25.6;17.1;9.3;16.5
1915;9.0;8.8;10.9;15.0;20.7;25.2;27.2;26.4;21.8;17.6;11.6;11.7;15.5;26.2;17.0;9.7;17.2
1916;9.1;8.4;13.8;15.4;20.5;24.7;27.8;26.7;22.3;18.4;14.3;11.5;16.6;26.4;18.3;8.3;17.7
1917;8.1;5.2;10.5;14.2;20.4;25.2;27.6;28.9;24.9;18.8;13.0;6.6;15.1;27.2;18.9;7.1;17.0
1918;7.8;7.0;10.9;15.9;20.6;22.9;27.1;27.2;25.2;18.4;12.1;9.1;15.8;25.7;18.5;8.9;17.0
1919;9.2;8.3;12.4;15.0;18.2;23.8;26.1;27.3;24.6;17.5;12.4;8.7;15.2;25.7;18.2;8.7;16.9
1920;9.3;8.0;12.8;17.3;21.8;23.5;28.1;27.1;23.8;16.5;9.5;9.2;17.3;26.2;16.6;9.0;17.2
1921;10.0;7.7;12.1;14.5;21.4;22.8;28.4;28.7;23.4;18.4;11.0;7.8;16.0;26.6;17.6;6.9;17.2
1922;6.2;6.6;13.4;15.3;20.6;24.8;28.0;28.5;23.3;17.7;10.4;7.8;16.4;27.1;17.1;8.0;16.9
1923;7.6;8.7;12.0;15.0;21.8;22.3;27.8;28.0;24.5;20.6;15.7;8.9;16.3;26.0;20.3;6.8;17.7
1924;4.4;7.2;10.7;15.8;22.2;24.9;27.5;26.5;25.5;18.5;11.5;8.2;16.2;26.3;18.5;9.1;16.9
1925;7.8;11.3;10.9;15.8;20.5;22.9;27.3;27.3;23.2;18.5;14.2;7.4;15.7;25.9;18.6;8.9;17.3
1926;8.1;11.3;11.2;16.8;19.8;23.3;26.3;25.9;24.7;19.9;17.7;8.8;16.0;25.2;20.8;8.2;17.8
1927;8.8;7.0;13.8;16.0;20.7;26.1;29.0;29.0;25.4;18.6;14.6;7.3;16.8;28.0;19.5;7.4;18.0
1928;7.5;7.5;10.0;16.5;18.6;24.3;30.0;29.3;25.1;18.6;14.6;7.5;15.0;27.9;19.4;5.1;17.5
1929;4.5;3.3;9.1;13.3;21.8;24.4;27.8;29.0;23.3;19.0;14.5;9.6;14.7;27.0;18.9;8.6;16.6
1930;8.2;8.0;13.1;16.3;19.6;25.3;27.9;27.5;25.0;18.5;14.6;9.2;16.3;26.9;19.4;8.5;17.8
1931;8.0;8.2;10.7;14.1;21.6;26.1;29.1;28.5;21.8;18.0;12.6;7.1;15.5;27.9;17.5;6.0;17.1
1932;6.3;4.6;9.0;15.1;20.8;23.8;28.5;28.7;26.6;20.4;12.7;9.4;15.0;27.0;19.9;7.8;17.2
1933;5.9;8.3;11.0;14.0;18.6;21.9;26.9;27.4;22.7;19.0;14.1;6.4;14.5;25.4;18.6;6.9;16.3
1934;6.7;7.6;13.5;18.3;22.1;24.5;28.0;27.9;24.3;18.5;14.3;10.7;18.0;26.8;19.0;8.0;18.0
1935;5.2;8.2;10.1;15.5;20.0;26.2;27.8;27.8;24.2;20.5;12.7;9.5;15.2;27.3;19.1;9.9;17.3
1936;11.0;9.2;13.4;16.3;20.2;23.4;28.7;27.1;23.5;16.1;12.5;8.0;16.6;26.4;17.4;8.1;17.4
1937;6.5;9.8;13.5;15.1;21.7;25.9;28.0;27.6;24.4;18.5;13.2;8.6;16.7;27.1;18.7;7.6;17.7
1938;6.6;7.5;12.5;13.2;19.6;26.1;28.6;28.1;23.3;19.6;13.9;8.0;15.1;27.6;18.9;9.0;17.2
1939;9.3;9.6;9.3;17.1;19.4;23.6;28.5;27.7;23.6;18.7;13.2;8.2;15.3;26.6;18.5;6.2;17.4
1940;3.4;6.9;10.4;14.8;18.7;22.9;26.9;25.6;23.6;18.8;14.2;5.3;14.7;25.1;18.9;7.5;16.0
1941;7.2;10.0;12.0;15.6;18.7;24.0;27.3;27.4;21.3;17.2;10.5;7.6;15.4;26.2;16.4;5.4;16.6
1942;2.3;6.2;10.3;14.7;21.4;25.1;27.4;27.9;26.2;19.4;12.0;9.1;15.4;26.8;19.2;8.0;16.8
1943;5.4;9.6;11.2;16.1;19.5;23.3;27.8;29.6;25.6;19.6;13.4;9.5;15.6;26.9;19.5;8.2;17.6
1944;8.0;7.2;9.1;15.9;19.4;24.6;27.2;28.3;23.9;18.6;12.8;7.3;14.8;26.7;18.5;6.6;16.8
1945;4.6;7.9;11.5;15.8;23.5;26.0;29.1;28.8;24.3;17.6;12.2;8.5;17.0;28.0;18.0;7.6;17.5
1946;5.6;8.5;11.7;17.2;21.9;25.9;29.5;30.1;26.5;16.7;13.9;7.0;17.0;28.5;19.0;6.2;17.9
1947;3.1;8.4;14.3;18.0;21.7;25.6;28.7;28.2;25.3;17.5;13.9;9.3;18.0;27.5;18.9;9.3;17.8
