Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Belgium              : parameter = Maximum Temperature            : Units = degrees Celsius     
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;2.4;1.9;7.2;13.9;18.9;21.3;24.3;22.2;18.8;14.1;7.5;5.7;13.3;22.6;13.5;5.5;13.2
1902;7.0;3.9;9.7;13.7;13.7;20.7;21.6;20.2;17.9;12.0;6.8;3.6;12.4;20.8;12.2;6.3;12.6
1903;5.8;9.4;12.2;9.3;18.4;19.8;21.4;20.7;19.4;14.8;8.6;3.5;13.3;20.6;14.3;4.3;13.6
1904;3.5;5.9;8.2;14.5;18.1;20.7;25.1;22.8;17.1;13.5;7.8;7.3;13.6;22.9;12.8;5.8;13.7
1905;3.6;6.4;10.2;11.3;17.6;22.6;24.1;21.8;17.6;9.7;7.5;5.5;13.1;22.8;11.6;5.7;13.2
1906;6.1;5.3;8.2;13.6;17.9;19.6;22.4;22.6;19.0;16.3;10.5;3.5;13.2;21.5;15.2;3.8;13.7
1907;4.4;3.5;9.3;12.2;18.6;19.2;19.3;21.4;19.7;15.8;9.0;6.5;13.3;20.0;14.8;5.2;13.2
1908;2.7;6.3;7.6;10.6;18.5;22.3;22.2;19.9;18.3;15.1;7.6;4.2;12.3;21.5;13.6;3.9;12.9
1909;3.7;3.8;7.1;14.4;17.6;18.6;19.3;21.8;17.6;15.5;6.8;6.7;13.0;19.9;13.3;6.7;12.7
1910;6.0;7.5;10.2;12.7;17.6;21.3;19.9;21.2;17.6;14.9;6.8;8.1;13.5;20.8;13.1;6.1;13.7
1911;3.2;6.9;9.8;12.9;19.3;20.5;25.8;26.5;21.2;14.4;9.2;8.3;14.0;24.2;14.9;7.2;14.8
1912;4.5;8.8;11.5;13.5;18.0;20.6;23.7;18.5;14.8;12.5;7.3;8.6;14.3;20.9;11.5;7.2;13.5
1913;5.4;7.5;11.8;13.7;18.2;19.6;19.2;20.6;18.7;15.6;11.2;6.4;14.6;19.8;15.1;6.1;14.0
1914;2.1;9.9;10.0;16.3;16.1;19.7;22.4;23.0;18.4;13.3;7.8;8.6;14.1;21.7;13.2;6.7;14.0
1915;5.1;6.6;7.6;12.6;19.1;23.1;21.3;20.6;18.2;11.4;5.9;8.9;13.1;21.7;11.8;8.0;13.4
1916;8.6;6.4;9.1;13.9;18.9;17.4;20.6;21.5;17.8;13.7;9.0;6.1;13.9;19.8;13.5;3.3;13.6
1917;1.7;2.1;5.7;9.2;21.7;24.6;22.5;21.2;20.4;12.2;9.6;2.8;12.2;22.8;14.1;5.5;12.8
1918;6.1;7.4;10.3;12.9;20.2;18.8;21.8;21.7;18.0;12.8;7.8;8.9;14.5;20.8;12.9;6.1;13.9
1919;4.7;4.7;8.3;10.7;19.3;21.0;18.9;22.6;20.6;11.1;5.2;6.8;12.8;20.8;12.3;7.9;12.8
1920;7.3;9.7;12.7;13.9;19.3;20.9;22.2;19.7;18.1;13.6;6.8;5.4;15.3;20.9;12.8;7.0;14.1
1921;8.9;6.8;12.5;14.2;19.5;20.3;25.2;23.1;20.3;18.3;4.6;6.1;15.4;22.9;14.4;5.0;15.0
1922;3.4;5.6;8.8;10.6;20.2;20.8;20.4;20.5;16.3;10.3;7.3;7.1;13.2;20.6;11.3;6.6;12.6
1923;6.0;6.6;10.7;13.0;15.9;16.0;24.5;21.8;18.6;15.1;6.6;4.0;13.2;20.8;13.4;3.5;13.2
