Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Bosnia-Herzegovinia  : parameter = Maximum Temperature            : Units = degrees Celsius     
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;-0.8;1.3;9.9;15.1;20.2;24.1;26.4;25.0;21.1;16.8;7.7;6.6;15.1;25.2;15.2;6.3;14.4
1902;5.9;6.3;9.5;14.7;15.9;21.9;24.9;25.3;21.5;15.3;6.2;0.8;13.4;24.1;14.4;3.7;14.0
1903;2.6;7.8;12.2;12.0;20.0;22.2;24.9;25.2;21.9;16.6;10.1;4.9;14.7;24.1;16.2;4.8;15.0
1904;2.1;7.4;10.2;15.5;20.1;23.8;27.4;26.2;20.0;15.9;7.5;4.5;15.3;25.8;14.5;2.9;15.1
1905;-0.1;4.3;10.5;13.4;19.8;23.9;27.6;26.8;22.8;12.0;10.4;4.7;14.5;26.1;15.1;4.4;14.7
1906;3.1;5.3;10.0;15.6;20.2;22.2;25.6;25.2;20.0;15.8;11.7;2.2;15.3;24.3;15.8;2.0;14.7
1907;1.5;2.2;7.0;12.1;22.1;23.7;24.4;25.8;21.9;19.7;8.5;5.5;13.7;24.6;16.7;4.4;14.5
1908;2.0;5.6;9.1;13.3;22.7;25.2;25.7;24.1;20.3;15.0;5.0;2.3;15.0;25.0;13.4;1.4;14.2
1909;0.7;1.2;9.0;15.4;18.9;22.3;24.3;25.8;21.9;17.2;7.8;6.7;14.4;24.2;15.6;6.4;14.3
1910;4.4;8.1;10.5;14.2;19.3;23.4;24.2;24.8;19.8;15.9;8.3;7.1;14.6;24.1;14.6;4.6;15.0
1911;2.9;3.7;10.0;14.1;19.5;22.5;26.9;26.9;22.3;16.0;11.8;6.1;14.5;25.4;16.7;5.1;15.2
1912;1.5;7.9;12.4;12.6;19.0;23.5;25.4;23.3;17.5;13.6;6.5;5.3;14.7;24.1;12.5;3.9;14.0
