Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Bulgaria             : parameter = Maximum Temperature            : Units = degrees Celsius     
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;-0.7;3.4;10.7;15.2;20.8;26.0;27.8;26.8;22.2;17.3;9.2;7.6;15.6;26.9;16.2;6.6;15.5
1902;5.6;6.6;8.9;14.0;18.2;24.5;26.2;27.4;22.7;16.8;6.5;0.1;13.7;26.0;15.3;3.2;14.8
1903;2.5;6.8;10.9;14.1;20.8;24.0;27.1;26.8;23.7;17.8;11.5;5.2;15.3;26.0;17.7;4.6;15.9
1904;0.6;7.9;8.2;15.3;20.2;24.9;28.2;27.3;21.7;17.3;8.5;4.8;14.6;26.8;15.8;2.5;15.4
1905;-0.6;3.3;8.6;14.0;21.0;25.0;28.6;28.9;24.3;15.5;13.0;4.2;14.5;27.5;17.6;3.9;15.5
1906;2.6;5.0;11.3;16.1;21.4;24.8;27.5;26.0;21.7;15.5;12.0;4.0;16.3;26.1;16.4;1.8;15.7
1907;0.3;1.1;5.8;12.6;23.3;24.8;26.7;26.7;22.4;19.7;8.6;5.3;13.9;26.1;16.9;4.2;14.8
1908;2.0;5.3;8.7;14.0;22.9;25.7;26.9;26.4;21.8;15.4;6.0;2.4;15.2;26.3;14.4;0.8;14.8
1909;-0.5;0.4;9.0;14.8;20.6;24.3;27.3;28.0;24.8;18.6;10.2;7.1;14.8;26.5;17.8;6.3;15.4
1910;4.2;7.6;9.8;15.4;20.7;25.0;26.6;26.5;22.6;15.9;10.9;6.5;15.3;26.0;16.4;3.1;16.0
1911;2.3;0.5;8.2;14.4;21.4;24.1;27.2;27.2;22.6;17.5;12.6;4.8;14.7;26.2;17.6;3.6;15.2
1912;-0.1;6.1;11.6;13.4;19.1;25.2;26.1;25.6;20.6;14.1;9.4;5.9;14.7;25.6;14.7;3.8;14.7
1913;2.1;3.4;11.9;15.8;19.5;23.7;25.1;25.7;23.3;16.9;11.5;5.6;15.8;24.8;17.2;3.6;15.4
1914;0.3;4.9;11.6;16.3;20.4;24.1;27.1;26.1;20.9;15.2;7.8;5.6;16.1;25.8;14.6;5.8;15.0
1915;6.2;5.6;8.7;15.2;20.5;25.5;27.6;25.1;20.9;16.0;9.6;8.1;14.8;26.1;15.5;5.9;15.8
1916;4.4;5.4;11.8;15.4;20.4;25.0;27.1;25.8;21.6;17.1;11.5;6.9;15.9;26.0;16.7;3.7;16.0
1917;3.9;0.5;8.4;15.2;19.7;25.2;27.0;28.3;23.8;18.2;12.0;2.4;14.5;26.8;18.0;3.4;15.4
1918;4.3;3.5;9.1;15.4;20.1;23.6;26.7;26.7;24.8;19.3;9.8;4.9;14.9;25.7;18.0;4.7;15.7
1919;4.6;4.5;10.3;15.8;17.4;23.2;26.2;25.8;24.7;17.1;10.0;4.7;14.5;25.0;17.3;3.8;15.4
1920;4.2;2.5;10.6;17.8;22.2;24.0;28.4;27.1;22.7;13.3;6.0;3.4;16.9;26.5;14.0;4.0;15.2
