Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Croatia              : parameter = Maximum Temperature            : Units = degrees Celsius     
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;1.3;2.1;9.9;15.5;20.3;24.3;26.7;25.1;21.3;17.2;8.9;7.9;15.2;25.4;15.8;7.5;15.1
1902;7.6;6.9;10.2;15.4;15.8;22.2;25.6;25.3;21.8;15.6;7.9;3.4;13.8;24.4;15.1;5.6;14.8
1903;4.0;9.3;12.9;12.1;20.3;22.7;25.3;25.4;22.1;17.4;11.3;6.1;15.1;24.5;16.9;6.1;15.7
1904;4.0;8.1;10.9;16.1;20.3;24.4;28.2;26.6;20.0;16.2;9.1;6.5;15.7;26.4;15.1;4.8;15.9
1905;2.1;5.8;11.1;13.7;19.7;24.4;28.3;26.7;22.9;12.3;11.2;6.6;14.8;26.5;15.5;5.9;15.4
1906;5.0;6.1;10.4;15.7;20.1;22.3;26.0;25.6;20.3;16.9;12.9;3.7;15.4;24.6;16.7;3.7;15.4
1907;3.6;3.9;8.0;12.3;22.0;23.9;24.7;26.1;22.3;20.3;9.8;7.2;14.1;24.9;17.5;5.8;15.3
1908;3.7;6.7;9.3;13.1;22.8;25.6;26.1;24.0;20.4;16.2;6.9;4.1;15.1;25.3;14.5;3.1;14.9
1909;2.4;2.7;8.9;15.9;18.9;22.7;24.5;25.8;21.8;17.8;8.8;7.9;14.6;24.3;16.1;7.5;14.8
1910;5.8;8.7;11.0;14.4;19.1;23.8;24.4;24.7;19.6;16.7;9.2;8.7;14.9;24.3;15.1;6.1;15.5
1911;4.1;5.6;10.5;14.4;19.3;22.9;27.8;27.4;22.8;16.5;12.8;7.7;14.8;26.0;17.4;6.8;16.0
1912;3.6;9.1;12.8;13.0;19.3;23.9;25.8;23.2;17.3;14.0;7.4;7.1;15.1;24.3;12.9;5.6;14.7
1913;4.0;5.7;13.0;14.9;19.0;22.8;22.5;23.4;21.1;17.1;12.1;6.5;15.6;22.9;16.8;4.3;15.2
