Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Czech_Republic       : parameter = Maximum Temperature            : Units = degrees Celsius     
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;-3.3;-2.4;5.0;12.4;18.5;21.4;23.6;21.2;17.0;12.8;4.0;2.5;12.0;22.1;11.3;2.3;11.1
1902;3.5;0.8;5.9;11.8;13.2;19.8;20.9;20.1;16.6;10.1;2.5;-1.8;10.3;20.3;9.8;1.2;10.3
1903;-0.1;5.4;9.4;8.8;18.0;20.1;21.5;20.6;17.7;12.6;5.6;-0.1;12.1;20.7;12.0;0.4;11.6
1904;-1.0;2.4;6.2;13.0;17.1;20.9;24.9;22.6;15.7;11.1;4.1;2.5;12.1;22.8;10.3;0.9;11.6
1905;-1.8;2.1;7.1;9.6;17.5;22.5;23.9;21.9;17.0;7.2;5.1;1.7;11.4;22.8;9.8;1.4;11.2
1906;1.3;1.4;5.5;13.5;18.3;19.2;22.1;21.3;15.8;12.3;8.0;-1.4;12.5;20.8;12.0;-0.9;11.4
1907;-0.5;-0.8;4.5;9.4;19.3;20.4;19.4;20.9;17.4;15.5;4.3;1.8;11.0;20.3;12.4;1.0;11.0
1908;-0.9;2.1;5.1;9.4;19.0;22.5;22.2;19.0;15.7;12.2;2.2;-0.9;11.2;21.2;10.0;-1.4;10.6
1909;-1.5;-1.8;4.3;12.4;15.8;19.5;19.6;21.1;16.8;13.4;3.1;2.6;10.9;20.1;11.1;2.6;10.5
1910;1.4;3.6;6.9;11.5;17.0;21.5;19.9;20.0;15.1;12.0;3.6;3.5;11.8;20.5;10.2;1.4;11.3
1911;-0.8;1.6;6.6;11.6;17.5;20.3;24.5;24.2;18.8;11.6;6.6;2.8;11.9;23.0;12.4;1.5;12.1
1912;-2.0;3.8;8.5;10.5;16.4;20.6;22.6;18.3;12.7;9.2;2.6;3.3;11.8;20.5;8.2;1.5;10.6
1913;-0.9;2.2;9.3;12.2;16.8;19.5;18.8;19.4;16.6;12.4;7.3;2.6;12.8;19.2;12.1;0.8;11.3
1914;-3.0;2.7;7.2;14.2;15.8;19.3;21.6;21.8;16.1;10.3;4.0;3.4;12.4;20.9;10.1;2.2;11.1
1915;1.1;2.2;3.8;11.4;18.8;23.3;21.4;19.1;15.5;8.5;2.7;4.7;11.3;21.2;8.9;3.7;11.0
1916;4.3;2.0;7.8;12.5;18.1;18.1;21.0;20.2;15.6;11.0;6.4;3.5;12.8;19.8;11.0;-0.2;11.7
1917;-1.5;-2.6;2.6;8.1;20.2;24.6;22.9;22.1;19.3;11.2;6.0;-1.0;10.3;23.2;12.2;1.0;11.0
1918;1.7;2.3;7.5;14.4;18.9;18.1;21.1;20.3;17.7;11.1;4.0;3.5;13.6;19.8;10.9;2.1;11.7
1919;1.9;0.9;5.9;9.3;14.8;19.9;19.0;21.3;19.7;9.2;2.3;1.5;10.0;20.1;10.4;2.9;10.5
1920;2.9;4.3;9.4;14.2;19.4;18.9;23.0;19.6;16.6;10.0;2.2;1.2;14.3;20.5;9.6;2.7;11.8
1921;5.1;1.8;9.6;11.6;19.5;19.0;24.3;23.2;17.9;14.1;1.7;1.1;13.6;22.1;11.2;-0.4;12.4
1922;-1.8;-0.4;6.7;9.9;18.4;21.0;21.1;20.5;14.3;7.9;3.3;2.0;11.7;20.9;8.5;1.6;10.2
1923;1.4;1.4;7.2;10.7;17.6;15.6;23.3;21.2;17.2;13.6;5.4;-0.5;11.8;20.1;12.1;-1.5;11.2
1924;-2.1;-1.8;4.7;10.2;18.7;20.0;21.5;18.9;17.7;12.4;4.2;1.0;11.2;20.1;11.4;2.9;10.5
1925;2.3;5.4;3.9;12.5;19.0;19.3;22.1;20.3;14.6;11.4;3.8;0.3;11.8;20.6;9.9;1.8;11.2
1926;0.1;5.0;6.0;14.4;15.8;17.8;21.1;20.0;18.5;11.3;9.3;0.8;12.1;19.6;13.0;1.3;11.7
1927;1.7;1.4;8.8;10.8;16.0;20.4;22.5;21.0;17.6;11.4;4.3;-2.4;11.9;21.3;11.1;0.7;11.1
1928;1.6;3.0;5.5;12.0;14.4;19.6;25.0;21.6;17.4;12.1;7.7;-0.3;10.6;22.0;12.4;-2.9;11.6
1929;-4.2;-4.1;4.3;8.4;18.4;19.5;22.9;22.5;19.8;13.2;6.8;3.9;10.3;21.6;13.3;2.2;10.9
1930;1.8;0.9;7.8;12.4;16.7;24.1;21.5;20.4;16.9;11.6;7.7;0.6;12.3;22.0;12.0;0.4;11.9
1931;0.4;0.1;2.8;9.4;20.9;22.0;22.4;19.9;13.2;10.7;5.0;0.7;11.0;21.4;9.6;0.2;10.6
1932;1.7;-1.8;2.7;11.6;17.9;19.5;23.2;23.7;20.2;12.1;5.4;1.3;10.7;22.1;12.6;-0.1;11.5
1933;-3.0;1.4;7.9;10.2;15.8;18.5;22.7;21.9;17.3;12.1;4.0;-3.6;11.3;21.0;11.1;-0.6;10.4
1934;0.1;1.8;8.1;15.4;19.3;21.5;23.9;21.5;19.6;12.1;6.0;4.4;14.3;22.3;12.6;1.7;12.8
1935;-1.9;2.5;5.2;10.8;15.7;23.4;22.8;22.0;17.9;12.4;6.0;1.0;10.6;22.8;12.1;2.0;11.5
1936;3.7;1.3;8.4;11.7;17.4;20.7;22.4;20.4;16.9;8.0;4.6;1.8;12.5;21.2;9.8;0.9;11.4
1937;-1.9;2.8;6.4;10.7;20.6;22.2;21.9;21.4;17.6;12.7;4.8;0.2;12.5;21.8;11.7;1.3;11.6
1938;1.3;2.4;10.3;8.1;16.2;21.8;22.4;21.9;17.6;12.2;7.9;-1.0;11.5;22.0;12.6;1.7;11.8
1939;2.3;3.7;3.4;14.1;14.4;21.3;22.6;22.5;16.7;9.3;6.5;-0.8;10.6;22.1;10.8;-3.8;11.3
1940;-7.0;-3.6;4.3;12.3;15.8;21.5;21.1;18.5;16.5;11.1;7.4;-2.9;10.8;20.4;11.7;-1.8;9.6
1941;-4.2;1.6;6.1;9.4;14.0;21.0;22.5;19.8;16.0;10.3;2.2;1.8;9.8;21.1;9.5;-2.9;10.0
1942;-7.4;-3.1;4.0;10.9;17.6;19.9;21.1;23.1;20.5;14.4;3.8;3.0;10.8;21.3;12.9;2.2;10.7
1943;-1.4;4.9;9.5;13.4;17.8;18.9;22.9;23.8;18.5;14.1;4.3;1.0;13.6;21.9;12.3;1.4;12.3
1944;3.5;-0.2;2.3;12.3;16.4;19.2;22.1;25.0;17.7;11.9;5.1;0.2;10.3;22.1;11.6;0.3;11.3
1945;-3.3;3.9;8.1;13.0;19.1;21.9;23.2;21.2;17.5;11.6;4.3;2.0;13.4;22.1;11.2;1.4;11.9
1946;-1.1;3.2;7.0;16.0;20.3;20.5;24.2;22.0;19.1;8.8;4.7;-1.5;14.4;22.2;10.9;-3.3;11.9
1947;-4.4;-4.0;6.2;14.7;19.9;22.9;24.2;23.0;21.9;11.5;7.0;2.2;13.6;23.4;13.5;2.5;12.1
1948;4.0;1.3;8.6;14.7;19.5;20.2;20.5;21.2;18.7;12.5;5.7;0.7;14.3;20.7;12.3;2.1;12.3
1949;2.2;3.4;4.8;15.1;17.8;18.8;22.6;21.9;20.4;14.3;6.0;3.8;12.6;21.1;13.6;2.1;12.6
1950;-1.4;4.0;8.3;11.8;19.7;23.5;23.9;23.1;17.0;10.5;5.4;0.4;13.3;23.5;11.0;1.9;12.2
1951;1.7;3.5;5.0;13.0;16.3;20.9;22.7;23.3;19.4;11.9;8.3;3.3;11.4;22.3;13.2;1.8;12.4
1952;1.0;1.1;4.3;16.0;16.5;20.5;24.5;24.2;14.4;9.9;3.3;0.0;12.2;23.1;9.2;0.4;11.3
1953;-0.3;1.5;9.0;14.9;18.2;21.5;23.6;21.7;18.9;14.2;5.8;2.4;14.0;22.3;13.0;-1.4;12.6
1954;-3.5;-3.2;7.3;9.4;17.7;22.0;18.8;21.4;18.5;12.5;5.1;4.0;11.5;20.8;12.0;1.2;10.8
1955;-0.6;0.3;3.8;10.5;16.2;19.6;21.7;21.4;17.8;11.5;5.4;3.6;10.2;20.9;11.6;-0.1;10.9
1956;1.4;-5.4;4.9;9.8;17.8;18.3;22.0;19.9;19.1;11.6;2.7;2.1;10.8;20.1;11.1;2.7;10.4
1957;0.8;5.3;9.5;12.6;15.0;23.3;22.8;20.0;15.7;12.5;6.3;1.4;12.4;22.0;11.5;2.0;12.1
1958;0.5;4.0;2.0;8.8;20.1;19.5;22.7;21.9;18.5;12.2;5.4;3.3;10.3;21.4;12.0;2.3;11.6
1959;1.5;2.1;10.0;14.5;17.9;21.5;24.3;22.2;18.2;12.9;5.1;2.5;14.1;22.7;12.1;1.4;12.7
1960;0.2;1.5;6.5;11.6;18.0;21.3;20.6;21.0;16.9;12.0;7.4;2.7;12.1;21.0;12.1;2.5;11.6
1961;-0.5;5.4;9.7;15.8;14.6;21.9;20.5;21.0;21.1;14.2;5.6;0.3;13.4;21.1;13.6;1.3;12.5
1962;2.1;1.4;3.0;13.8;14.7;19.7;20.2;22.2;17.3;12.8;4.7;-2.2;10.5;20.7;11.6;-3.9;10.8
1963;-6.2;-3.2;5.0;13.3;17.5;21.7;24.4;21.9;18.9;11.9;9.5;-2.4;11.9;22.7;13.4;-1.2;11.0
1964;-2.3;1.2;2.1;13.2;18.5;23.7;24.4;21.1;18.2;10.5;6.2;0.7;11.3;23.1;11.6;0.3;11.5
1965;1.3;-1.2;5.0;10.6;15.1;20.5;20.1;20.4;17.8;12.5;2.9;3.0;10.2;20.3;11.1;2.0;10.7
1966;-2.4;5.4;5.9;13.8;18.1;22.1;20.9;20.4;17.3;14.7;4.0;2.2;12.6;21.1;12.0;2.3;11.9
1967;0.2;4.5;8.1;11.3;18.0;20.4;24.7;21.8;18.4;15.0;6.0;1.1;12.5;22.3;13.1;1.0;12.5
1968;-0.4;2.3;8.2;15.1;16.7;21.8;21.7;20.8;17.1;12.5;5.4;-1.6;13.3;21.4;11.6;-0.9;11.6
1969;-0.6;-0.5;2.8;11.8;19.4;19.6;23.8;20.9;18.7;13.9;7.7;-4.3;11.4;21.4;13.4;-2.2;11.1
1970;-2.2;-0.1;3.8;9.6;15.6;22.3;21.7;21.8;17.7;11.2;7.2;1.3;9.7;21.9;12.1;1.3;10.8
1971;-0.3;2.8;4.1;13.6;19.2;18.6;24.1;24.5;15.9;13.0;5.3;4.4;12.3;22.4;11.4;1.9;12.1
1972;-2.1;3.5;9.8;11.0;16.2;20.7;23.1;20.9;15.0;10.3;5.9;1.7;12.3;21.6;10.4;1.4;11.3
1973;0.1;2.3;7.4;9.3;18.3;21.0;21.9;23.7;19.3;10.8;4.7;1.0;11.7;22.2;11.6;2.9;11.6
1974;3.0;4.7;9.7;12.9;15.8;18.4;20.2;23.1;18.0;7.5;5.7;5.1;12.8;20.5;10.4;4.3;12.0
1975;4.7;3.2;7.2;11.0;17.9;19.7;23.3;23.3;20.7;10.5;4.2;2.0;12.0;22.1;11.8;1.7;12.3
1976;1.7;1.3;4.1;12.5;18.3;22.5;24.8;20.9;16.5;12.2;6.4;0.3;11.6;22.7;11.7;1.8;11.8
1977;0.6;4.5;9.9;10.0;17.6;21.2;21.5;20.4;15.3;13.1;6.9;1.6;12.5;21.0;11.8;1.0;11.9
1978;1.1;0.5;7.7;11.3;15.9;19.8;20.4;20.0;15.6;11.9;4.9;1.0;11.7;20.1;10.8;-0.6;10.8
1979;-2.9;0.1;6.5;10.4;19.2;22.6;19.2;20.9;17.9;11.4;4.8;5.0;12.1;20.9;11.4;2.0;11.3
1980;-2.7;3.6;5.2;9.4;15.4;19.4;19.3;21.4;17.4;11.1;4.2;1.6;10.0;20.0;10.9;0.8;10.4
1981;-0.9;1.6;9.6;12.6;18.4;21.0;20.9;21.5;18.3;11.7;5.8;-0.9;13.5;21.1;11.9;-0.4;11.6
1982;-1.4;1.2;7.9;10.9;18.6;21.6;23.9;22.7;21.3;12.5;7.4;3.2;12.5;22.7;13.7;2.7;12.5
1983;4.8;0.2;7.5;13.7;17.7;21.5;26.7;23.5;18.7;12.8;5.2;1.9;13.0;23.9;12.2;1.6;12.8
1984;1.8;1.2;5.6;11.8;16.2;18.7;20.5;22.1;15.9;13.3;6.0;1.1;11.2;20.4;11.7;-1.6;11.2
1985;-4.4;-1.6;5.3;12.3;18.8;18.2;22.9;22.5;17.9;12.4;2.7;4.6;12.1;21.2;11.0;0.5;11.0
1986;1.0;-4.2;5.6;12.3;19.9;20.7;22.4;21.9;16.5;13.2;7.4;2.0;12.6;21.7;12.4;-0.7;11.6
1987;-5.2;1.1;2.1;13.2;14.9;19.2;22.5;19.7;19.0;12.6;5.6;2.8;10.0;20.5;12.4;3.2;10.6
1988;3.5;3.3;4.4;13.2;19.5;19.7;23.4;22.8;17.1;12.5;3.4;3.2;12.4;21.9;11.0;3.7;12.2
1989;2.7;5.4;10.6;12.5;19.2;20.0;23.0;22.1;18.5;13.9;4.6;3.4;14.1;21.7;12.4;4.9;13.0
1990;2.8;8.5;11.1;11.8;19.8;20.4;22.3;24.3;15.2;13.7;6.0;1.2;14.2;22.3;11.6;1.1;13.1
1991;2.1;0.1;8.8;11.4;13.6;19.0;24.1;22.5;19.4;11.1;5.0;0.8;11.3;21.9;11.8;2.1;11.5
1992;1.8;3.7;7.3;12.3;19.2;22.6;24.3;26.0;17.8;9.4;6.2;0.8;13.0;24.3;11.1;1.4;12.6
1993;3.0;0.5;6.0;14.5;20.5;20.3;20.8;21.7;16.2;11.2;1.4;3.5;13.7;20.9;9.6;2.8;11.6
1994;3.5;1.4;8.9;12.5;17.3;21.1;27.2;23.3;17.6;10.5;7.0;3.3;12.9;23.9;11.7;3.4;12.8
1995;0.5;6.3;5.9;12.2;17.3;18.9;25.8;22.9;15.8;14.2;3.0;-1.6;11.8;22.5;11.0;-1.9;11.8
1996;-2.9;-1.4;2.8;13.3;16.5;20.9;20.5;21.6;13.4;12.3;6.4;-2.2;10.9;21.0;10.7;0.3;10.1
1997;-2.2;5.4;8.0;9.9;18.4;21.1;21.5;24.4;18.9;10.1;5.1;2.2;12.1;22.3;11.4;4.1;11.9
1998;3.0;7.0;6.9;13.7;19.1;21.8;21.6;22.5;16.4;10.9;2.3;0.7;13.2;21.9;9.8;1.5;12.1
1999;2.5;1.3;8.1;13.5;18.5;20.3;23.7;22.2;21.5;12.0;4.2;2.3;13.4;22.1;12.6;2.8;12.5
2000;0.4;5.6;7.1;16.2;20.8;23.4;20.0;23.9;17.3;14.2;8.0;3.2;14.7;22.4;13.2;2.7;13.3
2001;1.0;3.8;6.7;11.4;19.8;18.9;23.7;24.1;14.5;15.5;4.6;-0.6;12.6;22.2;11.6;2.7;12.0
2002;1.9;6.9;8.8;12.4;19.8;22.5;23.6;23.7;17.0;10.7;6.8;-0.9;13.7;23.3;11.5;-0.4;12.8
2003;-0.1;-0.2;8.4;13.2;20.5;25.0;24.3;26.2;19.5;8.9;7.6;2.6;14.0;25.2;12.0;1.7;13.0
2004;-1.0;3.6;6.9;14.0;16.3;20.3;22.2;23.5;18.2;13.4;5.6;1.8;12.4;22.0;12.4;1.3;12.0
2005;2.4;-0.3;5.8;14.1;18.3;21.4;23.0;20.5;19.4;14.1;5.1;0.9;12.7;21.6;12.9;-0.5;12.1
2006;-2.7;0.2;3.9;13.0;17.9;22.4;27.4;19.9;21.5;15.4;8.7;5.1;11.6;23.2;15.2;5.3;12.7
2007;5.5;5.2;9.8;16.7;20.0;23.1;23.3;22.8;16.3;11.2;4.1;1.4;15.5;23.1;10.5;3.9;13.3
2008;3.8;6.5;7.1;12.3;19.6;23.0;23.4;23.0;16.3;12.5;7.0;2.3;13.0;23.1;12.0;0.9;13.1
2009;-1.0;1.6;6.5;17.9;19.1;19.7;23.6;24.7;19.9;10.5;8.4;1.2;14.5;22.7;12.9;-0.5;12.7
2010;-3.7;0.9;7.5;14.1;15.1;21.7;26.2;21.8;16.1;10.5;6.8;-2.3;12.2;23.3;11.1;0.2;11.2
2011;1.5;1.3;9.1;16.9;20.0;22.4;21.2;23.5;20.4;12.8;5.9;4.1;15.3;22.4;13.0;1.7;13.3
