Climatic Research Unit Country File created on Thu  6 Mar 10:57:35 GMT 2025, from CRU TS run #2503051245
Country = Denmark              : parameter = Maximum Temperature            : Units = degrees Celsius     
Period = 1901.2024 : missing value = -999.0 : format = (i5,17f8.1)
YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;MAM;JJA;SON;DJF;ANN
1901;0.5;-0.4;3.1;9.5;16.2;17.8;23.7;20.9;17.2;13.2;6.0;2.6;9.6;20.8;12.1;2.6;10.9
1902;4.5;0.6;4.1;8.3;11.3;18.5;17.5;16.4;14.4;10.0;5.3;0.9;7.9;17.5;9.9;2.5;9.3
1903;1.5;5.2;7.3;7.5;15.1;18.5;19.3;17.1;16.1;10.1;6.0;2.0;10.0;18.3;10.7;1.7;10.5
1904;2.2;0.8;3.7;9.4;13.4;18.0;20.7;19.5;16.1;11.1;6.1;4.6;8.8;19.4;11.1;3.4;10.5
1905;2.3;3.4;5.3;6.6;15.6;20.9;20.9;19.0;15.3;8.0;5.4;4.0;9.2;20.3;9.6;3.1;10.6
1906;3.0;2.4;3.8;10.6;15.9;19.4;20.3;19.5;16.6;11.9;9.0;1.9;10.1;19.7;12.5;1.6;11.2
1907;1.6;1.2;5.2;8.8;14.0;16.2;18.0;16.6;15.6;14.5;6.7;2.5;9.3;16.9;12.3;3.0;10.1
1908;2.5;3.9;3.2;8.1;13.2;18.8;21.0;18.9;15.5;12.5;5.6;3.1;8.2;19.6;11.2;1.9;10.5
1909;2.3;0.3;2.0;7.6;12.3;17.3;17.8;18.4;15.1;13.5;4.5;3.5;7.3;17.8;11.0;3.4;9.6
1910;2.8;3.8;6.6;10.0;15.9;20.6;19.8;19.2;16.3;11.7;4.8;4.3;10.8;19.9;10.9;3.7;11.3
1911;3.1;3.6;5.2;9.5;17.3;18.4;20.8;22.3;17.7;10.6;7.2;4.7;10.7;20.5;11.8;1.7;11.7
1912;-0.4;1.0;6.2;9.8;13.3;17.9;22.3;18.1;13.5;10.1;5.6;6.3;9.7;19.4;9.8;4.0;10.3
1913;1.6;4.1;7.1;10.9;15.6;18.0;19.7;18.5;16.4;11.7;9.2;4.3;11.2;18.7;12.4;3.9;11.4
1914;1.6;5.9;5.2;11.6;14.1;19.2;23.3;20.8;16.8;10.1;5.7;5.4;10.3;21.1;10.9;2.9;11.6
1915;0.8;2.6;2.2;9.6;14.2;18.2;18.6;18.5;15.8;8.3;4.6;0.9;8.6;18.4;9.6;2.6;9.5
1916;4.7;2.3;2.3;10.5;14.5;15.7;19.7;18.1;15.0;10.3;7.9;3.5;9.1;17.8;11.1;0.7;10.4
1917;-1.9;0.5;0.5;6.3;15.9;22.1;20.7;20.9;16.9;10.7;7.8;2.2;7.6;21.2;11.8;2.0;10.2
1918;1.1;2.6;5.1;10.5;16.9;16.5;19.8;19.4;14.6;11.6;6.8;4.1;10.8;18.5;11.0;2.4;10.7
1919;2.6;0.5;3.1;8.6;16.4;17.4;19.3;17.5;17.1;9.7;2.5;1.6;9.4;18.1;9.8;3.0;9.7
